marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
SACS00ITA,EURA14,2006-01-16 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
SACS00ITA,EURA14,2006-01-17 11:59:00,0.00037,-2e-05,-0.00281,0.00037,-2e-05,-0.00281
SACS00ITA,EURA14,2006-01-18 11:59:00,0.00019,-0.00153,0.00373,0.00019,-0.00153,0.00373
SACS00ITA,EURA14,2006-01-19 11:59:00,-0.00111,0.0004,-0.00096,-0.00111,0.0004,-0.00096
SACS00ITA,EURA14,2006-01-20 11:59:00,-0.00081,0.00131,0.0017,-0.00081,0.00131,0.0017
SACS00ITA,EURA14,2006-01-21 11:59:00,-0.00051,0.00104,-0.00283,-0.00051,0.00104,-0.00283
SACS00ITA,EURA14,2006-01-22 11:59:00,-0.00257,-0.00074,0.00292,-0.00257,-0.00074,0.00292
SACS00ITA,EURA14,2006-01-23 11:59:00,-0.00249,-0.00056,0.0139,-0.00249,-0.00056,0.0139
SACS00ITA,EURA14,2006-01-24 11:59:00,-0.00345,0.00083,0.01621,-0.00345,0.00083,0.01621
SACS00ITA,EURA14,2006-01-25 11:59:00,-0.00154,0.00043,0.01386,-0.00154,0.00043,0.01386
SACS00ITA,EURA14,2006-01-26 11:59:00,-0.0005,0.0002,0.01601,-0.0005,0.0002,0.01601
SACS00ITA,EURA14,2006-01-27 11:59:00,-0.00015,-0.00036,0.01547,-0.00015,-0.00036,0.01547
SACS00ITA,EURA14,2006-01-28 11:59:00,-0.00065,-1e-05,0.01056,-0.00065,-1e-05,0.01056
SACS00ITA,EURA14,2006-01-29 11:59:00,-0.00052,0.00083,0.00967,-0.00052,0.00083,0.00967
SACS00ITA,EURA14,2006-01-30 11:59:00,-0.00073,0.00029,0.00681,-0.00073,0.00029,0.00681
SACS00ITA,EURA14,2006-01-31 11:59:00,-0.00058,-0.00217,0.01383,-0.00058,-0.00217,0.01383
SACS00ITA,EURA14,2006-02-01 11:59:00,-0.0018,-0.00059,0.01586,-0.0018,-0.00059,0.01586
SACS00ITA,EURA14,2006-02-02 11:59:00,-0.0011,0.00017,0.0175,-0.0011,0.00017,0.0175
SACS00ITA,EURA14,2006-02-03 11:59:00,-0.00049,-0.00091,0.01737,-0.00049,-0.00091,0.01737
SACS00ITA,EURA14,2006-02-04 11:59:00,-0.00064,-0.00068,0.01793,-0.00064,-0.00068,0.01793
SACS00ITA,EURA14,2006-02-05 11:59:00,0.00102,0.00136,0.0203,0.00102,0.00136,0.0203
SACS00ITA,EURA14,2006-02-06 11:59:00,-0.00301,0.00183,0.0297,-0.00301,0.00183,0.0297
SACS00ITA,EURA14,2006-02-07 11:59:00,-0.00025,0.00015,0.03076,-0.00025,0.00015,0.03076
SACS00ITA,EURA14,2006-02-08 11:59:00,-0.00021,0.00015,0.03235,-0.00021,0.00015,0.03235
SACS00ITA,EURA14,2006-02-09 11:59:00,-0.00058,-0.00058,0.03486,-0.00058,-0.00058,0.03486
SACS00ITA,EURA14,2006-02-10 11:59:00,-0.00116,0.00102,0.03614,-0.00116,0.00102,0.03614
SACS00ITA,EURA14,2006-02-11 11:59:00,-0.0019,-0.00041,0.03051,-0.0019,-0.00041,0.03051
SACS00ITA,EURA14,2006-02-12 11:59:00,-0.0018,-1e-05,0.03333,-0.0018,-1e-05,0.03333
SACS00ITA,EURA14,2006-02-13 11:59:00,-0.00079,0.00067,0.03605,-0.00079,0.00067,0.03605
SACS00ITA,EURA14,2006-02-14 11:59:00,-0.00143,0.00041,0.03668,-0.00143,0.00041,0.03668
SACS00ITA,EURA14,2006-02-15 11:59:00,-0.00094,-8e-05,0.03182,-0.00094,-8e-05,0.03182
SACS00ITA,EURA14,2006-02-16 11:59:00,0.00024,0.00101,0.03496,0.00024,0.00101,0.03496
SACS00ITA,EURA14,2006-02-17 11:59:00,0.00125,-0.00026,0.04912,0.00125,-0.00026,0.04912
SACS00ITA,EURA14,2006-02-18 11:59:00,0.00264,-0.00101,0.03952,0.00264,-0.00101,0.03952
SACS00ITA,EURA14,2006-02-19 11:59:00,0.00071,0.00016,0.03815,0.00071,0.00016,0.03815
SACS00ITA,EURA14,2006-02-20 11:59:00,0.00204,0.00032,0.03927,0.00204,0.00032,0.03927
SACS00ITA,EURA14,2006-02-21 11:59:00,0.0023,0.00467,0.03592,0.0023,0.00467,0.03592
SACS00ITA,EURA14,2006-02-22 11:59:00,0.00027,0.00286,0.03959,0.00027,0.00286,0.03959
SACS00ITA,EURA14,2006-02-23 11:59:00,-0.00128,0.00172,0.0377,-0.00128,0.00172,0.0377
SACS00ITA,EURA14,2006-02-24 11:59:00,-0.00173,-0.00028,0.05299,-0.00173,-0.00028,0.05299
SACS00ITA,EURA14,2006-02-25 11:59:00,-0.0002,0.00114,0.04231,-0.0002,0.00114,0.04231
SACS00ITA,EURA14,2006-02-26 11:59:00,0.00136,0.00173,0.03439,0.00136,0.00173,0.03439
SACS00ITA,EURA14,2006-02-27 11:59:00,-0.00132,0.0022,0.03938,-0.00132,0.0022,0.03938
SACS00ITA,EURA14,2006-02-28 11:59:00,9e-05,0.0019,0.04073,9e-05,0.0019,0.04073
SACS00ITA,EURA14,2006-03-01 11:59:00,0.000575,0.0006299999999999999,0.0403,0.000575,0.0006299999999999999,0.0403
SACS00ITA,EURA14,2006-03-02 11:59:00,0.00106,-0.00064,0.03987,0.00106,-0.00064,0.03987
SACS00ITA,EURA14,2006-03-03 11:59:00,0.00104,0.00048,0.03237,0.00104,0.00048,0.03237
SACS00ITA,EURA14,2006-03-04 11:59:00,0.00042,0.00014,0.03583,0.00042,0.00014,0.03583
SACS00ITA,EURA14,2006-03-05 11:59:00,0.0017,0.00362,0.04402,0.0017,0.00362,0.04402
SACS00ITA,EURA14,2006-03-06 11:59:00,-0.00354,0.00204,0.04351,-0.00354,0.00204,0.04351
SACS00ITA,EURA14,2006-03-07 11:59:00,-0.00239,0.00371,0.05524,-0.00239,0.00371,0.05524
SACS00ITA,EURA14,2006-03-08 11:59:00,-0.00162,0.00354,0.05921,-0.00162,0.00354,0.05921
SACS00ITA,EURA14,2006-03-09 11:59:00,-0.00204,0.00436,0.05791,-0.00204,0.00436,0.05791
SACS00ITA,EURA14,2006-03-10 11:59:00,-0.00091,0.00649,0.06018,-0.00091,0.00649,0.06018
SACS00ITA,EURA14,2006-03-11 11:59:00,-0.00295,0.00558,0.06933,-0.00295,0.00558,0.06933
SACS00ITA,EURA14,2006-03-12 11:59:00,-0.00413,0.00428,0.06474,-0.00413,0.00428,0.06474
SACS00ITA,EURA14,2006-03-13 11:59:00,-0.00451,0.00955,0.07117,-0.00451,0.00955,0.07117
SACS00ITA,EURA14,2006-03-14 11:59:00,-0.00646,0.01092,0.08014,-0.00646,0.01092,0.08014
SACS00ITA,EURA14,2006-03-15 11:59:00,-0.0065,0.01194,0.08008,-0.0065,0.01194,0.08008
SACS00ITA,EURA14,2006-03-16 11:59:00,-0.00477,0.01141,0.07666,-0.00477,0.01141,0.07666
SACS00ITA,EURA14,2006-03-17 11:59:00,-0.00609,0.01151,0.07768,-0.00609,0.01151,0.07768
SACS00ITA,EURA14,2006-03-18 11:59:00,-0.00641,0.0118,0.07698,-0.00641,0.0118,0.07698
SACS00ITA,EURA14,2006-03-19 11:59:00,-0.00705,0.01142,0.08029,-0.00705,0.01142,0.08029
SACS00ITA,EURA14,2006-03-20 11:59:00,-0.00614,0.01103,0.07725,-0.00614,0.01103,0.07725
