marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
SAUR00ITA,EURA14,2012-06-12 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
SAUR00ITA,EURA14,2012-06-23 11:59:00,-0.00059,-0.00049,-0.00124,-0.00059,-0.00049,-0.00124
SAUR00ITA,EURA14,2012-06-24 11:59:00,-5.000000000000002e-05,-0.000665,0.0014899999999999998,-5.000000000000002e-05,-0.000665,0.0014899999999999998
SAUR00ITA,EURA14,2012-06-25 11:59:00,0.00049,-0.00084,0.00422,0.00049,-0.00084,0.00422
SAUR00ITA,EURA14,2012-06-26 11:59:00,-0.001,-0.00192,0.00399,-0.001,-0.00192,0.00399
SAUR00ITA,EURA14,2012-06-27 11:59:00,-0.00117,-0.00141,0.00354,-0.00117,-0.00141,0.00354
SAUR00ITA,EURA14,2012-06-28 11:59:00,0.00013,-0.00141,-0.00071,0.00013,-0.00141,-0.00071
SAUR00ITA,EURA14,2012-06-29 11:59:00,-0.00142,-0.00195,0.00199,-0.00142,-0.00195,0.00199
SAUR00ITA,EURA14,2012-06-30 11:59:00,-0.0015300000000000001,-0.001715,0.0024200000000000003,-0.0015300000000000001,-0.001715,0.0024200000000000003
SAUR00ITA,EURA14,2012-07-01 11:59:00,-0.00164,-0.00148,0.00285,-0.00164,-0.00148,0.00285
SAUR00ITA,EURA14,2012-07-02 11:59:00,0.00038,-0.00026,0.01034,0.00038,-0.00026,0.01034
SAUR00ITA,EURA14,2012-07-03 11:59:00,-0.00098,-0.0027,0.00747,-0.00098,-0.0027,0.00747
SAUR00ITA,EURA14,2012-07-04 11:59:00,-0.00235,-0.00118,0.00895,-0.00235,-0.00118,0.00895
SAUR00ITA,EURA14,2012-07-05 11:59:00,-0.00161,-0.00187,0.00801,-0.00161,-0.00187,0.00801
SAUR00ITA,EURA14,2012-07-06 11:59:00,-0.00248,-0.00091,0.00501,-0.00248,-0.00091,0.00501
SAUR00ITA,EURA14,2012-07-07 11:59:00,-0.00132,-0.00157,0.00698,-0.00132,-0.00157,0.00698
SAUR00ITA,EURA14,2012-07-08 11:59:00,-0.00065,-0.00167,0.0072,-0.00065,-0.00167,0.0072
SAUR00ITA,EURA14,2012-07-09 11:59:00,-0.00093,-0.0011,0.00695,-0.00093,-0.0011,0.00695
SAUR00ITA,EURA14,2012-07-10 11:59:00,-0.00046,-0.00158,0.00013,-0.00046,-0.00158,0.00013
SAUR00ITA,EURA14,2012-07-11 11:59:00,-0.00253,-0.00171,0.01025,-0.00253,-0.00171,0.01025
SAUR00ITA,EURA14,2012-07-12 11:59:00,-0.00054,-0.00109,0.0032,-0.00054,-0.00109,0.0032
SAUR00ITA,EURA14,2012-07-24 11:59:00,-0.00376,-0.00186,0.01256,-0.00376,-0.00186,0.01256
SAUR00ITA,EURA14,2012-07-25 11:59:00,-0.00263,3e-05,0.00634,-0.00263,3e-05,0.00634
SAUR00ITA,EURA14,2012-07-26 11:59:00,-0.00348,-0.00014,0.00437,-0.00348,-0.00014,0.00437
SAUR00ITA,EURA14,2012-07-27 11:59:00,-0.00212,0.00092,0.00058,-0.00212,0.00092,0.00058
SAUR00ITA,EURA14,2012-07-28 11:59:00,-0.00316,0.0002,0.00159,-0.00316,0.0002,0.00159
SAUR00ITA,EURA14,2012-07-29 11:59:00,-0.0026,0.00048,0.00704,-0.0026,0.00048,0.00704
SAUR00ITA,EURA14,2012-07-30 11:59:00,-0.00186,0.0014,0.00488,-0.00186,0.0014,0.00488
SAUR00ITA,EURA14,2012-08-03 11:59:00,-0.0017,-0.00087,0.00036,-0.0017,-0.00087,0.00036
SAUR00ITA,EURA14,2012-08-04 11:59:00,-0.00224,-0.00142,0.00101,-0.00224,-0.00142,0.00101
SAUR00ITA,EURA14,2012-08-05 11:59:00,-0.00263,0.00126,0.00662,-0.00263,0.00126,0.00662
SAUR00ITA,EURA14,2012-08-06 11:59:00,-0.00162,-0.0009,0.00334,-0.00162,-0.0009,0.00334
SAUR00ITA,EURA14,2012-08-07 11:59:00,0.00111,0.00099,0.01773,0.00111,0.00099,0.01773
SAUR00ITA,EURA14,2012-08-08 11:59:00,-0.0008499999999999998,-9.500000000000003e-05,0.013545,-0.0008499999999999998,-9.500000000000003e-05,0.013545
SAUR00ITA,EURA14,2012-08-09 11:59:00,-0.00281,-0.00118,0.00936,-0.00281,-0.00118,0.00936
SAUR00ITA,EURA14,2012-08-10 11:59:00,-0.00374,-0.0016,0.01003,-0.00374,-0.0016,0.01003
SAUR00ITA,EURA14,2012-08-11 11:59:00,-0.0023,-0.0018,0.00997,-0.0023,-0.0018,0.00997
SAUR00ITA,EURA14,2012-08-12 11:59:00,-0.00314,-0.0023699999999999997,0.012475,-0.00314,-0.0023699999999999997,0.012475
SAUR00ITA,EURA14,2012-08-13 11:59:00,-0.00398,-0.00294,0.01498,-0.00398,-0.00294,0.01498
SAUR00ITA,EURA14,2012-08-14 11:59:00,-0.00321,-0.00251,0.00391,-0.00321,-0.00251,0.00391
SAUR00ITA,EURA14,2012-08-15 11:59:00,-0.00266,-0.0027,0.00345,-0.00266,-0.0027,0.00345
SAUR00ITA,EURA14,2012-08-16 11:59:00,-0.00158,-0.00268,0.00872,-0.00158,-0.00268,0.00872
SAUR00ITA,EURA14,2012-08-17 11:59:00,-0.00109,-0.00021,0.00635,-0.00109,-0.00021,0.00635
SAUR00ITA,EURA14,2012-08-18 11:59:00,-0.00148,-0.00227,0.00509,-0.00148,-0.00227,0.00509
SAUR00ITA,EURA14,2012-08-19 11:59:00,-0.00339,-0.00296,-0.00031,-0.00339,-0.00296,-0.00031
SAUR00ITA,EURA14,2012-08-20 11:59:00,-0.0026699999999999996,-0.0027,0.00378,-0.0026699999999999996,-0.0027,0.00378
SAUR00ITA,EURA14,2012-08-21 11:59:00,-0.00195,-0.00244,0.00787,-0.00195,-0.00244,0.00787
SAUR00ITA,EURA14,2012-08-22 11:59:00,-0.00272,-0.00409,0.01227,-0.00272,-0.00409,0.01227
SAUR00ITA,EURA14,2012-08-23 11:59:00,-0.00263,-0.00258,0.0073,-0.00263,-0.00258,0.0073
SAUR00ITA,EURA14,2012-08-24 11:59:00,-0.00099,-0.0034,0.00389,-0.00099,-0.0034,0.00389
SAUR00ITA,EURA14,2012-08-25 11:59:00,-0.00306,-0.00284,0.01645,-0.00306,-0.00284,0.01645
SAUR00ITA,EURA14,2012-08-29 11:59:00,-0.00153,-0.00216,-0.00111,-0.00153,-0.00216,-0.00111
SAUR00ITA,EURA14,2012-08-30 11:59:00,-0.00325,-0.00251,0.01076,-0.00325,-0.00251,0.01076
SAUR00ITA,EURA14,2012-08-31 11:59:00,-0.00532,-0.00244,0.01872,-0.00532,-0.00244,0.01872
SAUR00ITA,EURA14,2012-09-01 11:59:00,-0.00337,-0.00065,0.01006,-0.00337,-0.00065,0.01006
SAUR00ITA,EURA14,2012-09-02 11:59:00,-0.00409,-0.00338,0.00456,-0.00409,-0.00338,0.00456
SAUR00ITA,EURA14,2012-09-03 11:59:00,-0.003205,-0.003905,0.0003600000000000001,-0.003205,-0.003905,0.0003600000000000001
SAUR00ITA,EURA14,2012-09-04 11:59:00,-0.00232,-0.00443,-0.00384,-0.00232,-0.00443,-0.00384
SAUR00ITA,EURA14,2012-09-05 11:59:00,0.00014,-0.00181,0.00341,0.00014,-0.00181,0.00341
SAUR00ITA,EURA14,2012-09-06 11:59:00,-0.0020450000000000004,-0.00179,0.00528,-0.0020450000000000004,-0.00179,0.00528
SAUR00ITA,EURA14,2012-09-07 11:59:00,-0.00423,-0.00177,0.00715,-0.00423,-0.00177,0.00715
SAUR00ITA,EURA14,2012-09-11 11:59:00,-0.00091,-0.00012,0.00748,-0.00091,-0.00012,0.00748
SAUR00ITA,EURA14,2012-09-12 11:59:00,-0.00237,-0.00086,0.00648,-0.00237,-0.00086,0.00648
SAUR00ITA,EURA14,2012-09-13 11:59:00,-0.00528,0.00101,0.01583,-0.00528,0.00101,0.01583
SAUR00ITA,EURA14,2012-09-14 11:59:00,-0.0019,8e-05,0.00954,-0.0019,8e-05,0.00954
SAUR00ITA,EURA14,2012-09-15 11:59:00,-0.00344,-0.00052,0.01221,-0.00344,-0.00052,0.01221
SAUR00ITA,EURA14,2012-09-16 11:59:00,-0.00408,-0.00048,0.0079,-0.00408,-0.00048,0.0079
SAUR00ITA,EURA14,2012-09-17 11:59:00,-0.00283,-0.00021,0.00465,-0.00283,-0.00021,0.00465
SAUR00ITA,EURA14,2012-09-26 11:59:00,-0.00217,-0.00132,-0.00046,-0.00231875,-0.002632045454545455,0.00269965909090909
SAUR00ITA,EURA14,2012-09-27 11:59:00,-0.00294,3e-05,0.00302,-0.00308875,-0.001282045454545455,0.00617965909090909
SAUR00ITA,EURA14,2012-09-28 11:59:00,-0.00285,-0.00038,0.00206,-0.00299875,-0.0016920454545454552,0.00521965909090909
SAUR00ITA,EURA14,2012-09-29 11:59:00,-0.00344,-0.00076,0.00422,-0.00358875,-0.002072045454545455,0.0073796590909090895
SAUR00ITA,EURA14,2012-09-30 11:59:00,-0.00437,-0.00135,-0.00236,-0.00451875,-0.002662045454545455,0.0007996590909090896
SAUR00ITA,EURA14,2012-10-01 11:59:00,-0.00116,0.00044,0.00249,-0.00130875,-0.000872045454545455,0.00564965909090909
SAUR00ITA,EURA14,2012-10-02 11:59:00,-0.00168,0.00161,0.00266,-0.00182875,0.00029795454545454504,0.00581965909090909
SAUR00ITA,EURA14,2012-10-05 11:59:00,-0.00205,-0.00082,0.00456,-0.00219875,-0.002132045454545455,0.0077196590909090895
SAUR00ITA,EURA14,2012-10-06 11:59:00,-0.00356,-0.00047,0.00277,-0.00370875,-0.001782045454545455,0.00592965909090909
SAUR00ITA,EURA14,2012-10-07 11:59:00,-0.00291,-0.00014,0.00909,-0.00305875,-0.001452045454545455,0.01224965909090909
SAUR00ITA,EURA14,2012-10-08 11:59:00,-0.0036,-0.00118,0.00816,-0.00374875,-0.002492045454545455,0.01131965909090909
SAUR00ITA,EURA14,2012-10-09 11:59:00,-0.00187,-0.00119,0.01141,-0.0020187499999999997,-0.002502045454545455,0.01456965909090909
SAUR00ITA,EURA14,2012-10-10 11:59:00,-0.00297,0.00024,0.00849,-0.00311875,-0.001072045454545455,0.011649659090909089
SAUR00ITA,EURA14,2012-10-13 11:59:00,-0.00328,-0.0002,0.00935,-0.00342875,-0.0015120454545454552,0.01250965909090909
SAUR00ITA,EURA14,2012-10-14 11:59:00,-0.00335,0.00067,0.00627,-0.00349875,-0.000642045454545455,0.00942965909090909
SAUR00ITA,EURA14,2012-10-15 11:59:00,-6e-05,-0.00422,-0.00067,-0.00020875,-0.005532045454545454,0.0024896590909090897
SAUR00ITA,EURA14,2012-10-18 11:59:00,-0.00357,0.0013,0.00541,-0.00371875,-1.2045454545455119e-05,0.00856965909090909
SAUR00ITA,EURA14,2012-10-19 11:59:00,-0.00311,0.00083,0.00412,-0.00325875,-0.00048204545454545505,0.00727965909090909
SAUR00ITA,EURA14,2012-10-20 11:59:00,-0.00339,0.00113,0.00689,-0.00353875,-0.00018204545454545513,0.01004965909090909
SAUR00ITA,EURA14,2012-10-21 11:59:00,-0.00226,0.00195,0.00035,-0.00240875,0.0006379545454545449,0.0035096590909090898
SAUR00ITA,EURA14,2012-10-22 11:59:00,-0.00236,0.002055,-0.00156,-0.00250875,0.0007429545454545449,0.0015996590909090897
SAUR00ITA,EURA14,2012-10-23 11:59:00,-0.00246,0.00216,-0.00347,-0.00260875,0.000847954545454545,-0.0003103409090909103
SAUR00ITA,EURA14,2012-10-30 11:59:00,-0.00211,0.00027,0.00374,-0.00225875,-0.001042045454545455,0.00689965909090909
SAUR00ITA,EURA14,2012-10-31 11:59:00,-0.00578,-0.001,0.00742,-0.00592875,-0.002312045454545455,0.010579659090909091
SAUR00ITA,EURA14,2012-11-01 11:59:00,0.00087,-0.00086,0.00863,0.00072125,-0.002172045454545455,0.01178965909090909
SAUR00ITA,EURA14,2012-11-06 11:59:00,-0.00504,0.00013,0.00294,-0.005188750000000001,-0.0011820454545454552,0.00609965909090909
SAUR00ITA,EURA14,2012-11-15 11:59:00,-0.00322,0.00182,0.00194,-0.00336875,0.0005079545454545449,0.00509965909090909
SAUR00ITA,EURA14,2012-11-16 11:59:00,-0.00382,0.0014,0.00766,-0.00396875,8.795454545454493e-05,0.01081965909090909
SAUR00ITA,EURA14,2012-11-17 11:59:00,-0.00179,-0.00048,0.00266,-0.00193875,-0.001792045454545455,0.00581965909090909
SAUR00ITA,EURA14,2012-11-20 11:59:00,-0.00302,0.00024,0.00929,-0.00316875,-0.001072045454545455,0.01244965909090909
SAUR00ITA,EURA14,2012-11-21 11:59:00,-0.00373,0.0012,0.00146,-0.00387875,-0.00011204545454545516,0.004619659090909089
SAUR00ITA,EURA14,2012-11-22 11:59:00,-0.00413,0.00176,0.00448,-0.00427875,0.000447954545454545,0.007639659090909089
SAUR00ITA,EURA14,2012-11-23 11:59:00,-0.00298,0.00165,0.00328,-0.00312875,0.00033795454545454493,0.00643965909090909
SAUR00ITA,EURA14,2012-11-29 11:59:00,-0.00413,-0.00237,0.01505,-0.00427875,-0.003682045454545455,0.01820965909090909
SAUR00ITA,EURA14,2012-12-11 11:59:00,-0.0046,0.00318,0.00266,-0.0047487499999999995,0.001867954545454545,0.00581965909090909
SAUR00ITA,EURA14,2012-12-12 11:59:00,-0.00489,0.00329,-0.00278,-0.00503875,0.001977954545454545,0.0003796590909090898
SAUR00ITA,EURA14,2012-12-13 11:59:00,-0.00423,0.00179,-0.00044,-0.004378750000000001,0.00047795454545454487,0.00271965909090909
SAUR00ITA,EURA14,2012-12-14 11:59:00,-0.00353,0.00241,0.0026,-0.00367875,0.0010979545454545448,0.00575965909090909
SAUR00ITA,EURA14,2012-12-31 11:59:00,-0.00427,0.00387,0.00097,-0.004418750000000001,0.002557954545454545,0.00412965909090909
SAUR00ITA,EURA14,2013-01-01 11:59:00,-0.00416,0.00281,0.00197,-0.00430875,0.001497954545454545,0.005129659090909089
SAUR00ITA,EURA14,2013-01-10 11:59:00,-0.00448,0.00232,0.00491,-0.004628749999999999,0.001007954545454545,0.00806965909090909
SAUR00ITA,EURA14,2013-01-11 11:59:00,-0.004475,0.00209,0.003705,-0.004623749999999999,0.0007779545454545448,0.00686465909090909
SAUR00ITA,EURA14,2013-01-12 11:59:00,-0.00447,0.00186,0.0025,-0.00461875,0.000547954545454545,0.00565965909090909
SAUR00ITA,EURA14,2013-01-13 11:59:00,-0.00607,0.00094,0.004,-0.00621875,-0.0003720454545454551,0.00715965909090909
SAUR00ITA,EURA14,2013-01-21 11:59:00,-0.00386,0.00123,-0.00019,-0.00400875,-8.204545454545509e-05,0.0029696590909090896
SAUR00ITA,EURA14,2013-02-05 11:59:00,-0.005,0.00244,0.00308,-0.0037783114849187947,-0.0013002786331997472,0.00693871245517823
SAUR00ITA,EURA14,2013-02-11 11:59:00,-0.00334,0.00107,-0.00453,-0.0021183114849187942,-0.002670278633199747,-0.0006712875448217693
SAUR00ITA,EURA14,2013-02-14 11:59:00,-0.00439,0.00345,0.00355,-0.0031683114849187935,-0.0002902786331997471,0.0074087124551782315
SAUR00ITA,EURA14,2013-02-21 11:59:00,-0.00397,0.0022,0.00839,-0.0027483114849187933,-0.001540278633199747,0.01224871245517823
SAUR00ITA,EURA14,2013-02-22 11:59:00,-0.00406,0.00208,0.00859,-0.002838311484918795,-0.0016602786331997473,0.01244871245517823
SAUR00ITA,EURA14,2013-02-26 11:59:00,-0.0048,0.00241,0.00277,-0.003578311484918794,-0.0013302786331997473,0.00662871245517823
SAUR00ITA,EURA14,2013-02-27 11:59:00,-0.00397,0.00321,0.00282,-0.0027483114849187933,-0.0005302786331997469,0.00667871245517823
SAUR00ITA,EURA14,2013-02-28 11:59:00,-0.003575,0.0028899999999999998,0.0030299999999999997,-0.002353311484918794,-0.0008502786331997473,0.00688871245517823
SAUR00ITA,EURA14,2013-03-01 11:59:00,-0.00318,0.00257,0.00324,-0.0019583114849187943,-0.0011702786331997473,0.00709871245517823
SAUR00ITA,EURA14,2013-03-06 11:59:00,-0.00231,0.00178,0.0011,-0.0010883114849187941,-0.001960278633199747,0.004958712455178231
SAUR00ITA,EURA14,2013-03-09 11:59:00,-0.00304,0.00215,0.00814,-0.0018183114849187943,-0.001590278633199747,0.01199871245517823
