marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
SCRA00ITA,EURA14,2006-11-13 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
SCRA00ITA,EURA14,2006-11-14 11:59:00,0.00078,-0.00034,-0.00562,0.00078,-0.00034,-0.00562
SCRA00ITA,EURA14,2006-11-15 11:59:00,0.00165,0.00057,-0.00704,0.00165,0.00057,-0.00704
SCRA00ITA,EURA14,2006-11-16 11:59:00,0.00228,0.00133,-0.00398,0.00228,0.00133,-0.00398
SCRA00ITA,EURA14,2006-11-17 11:59:00,-9e-05,0.00064,-0.00709,-9e-05,0.00064,-0.00709
SCRA00ITA,EURA14,2006-11-18 11:59:00,0.00182,0.00268,-0.00866,0.00182,0.00268,-0.00866
SCRA00ITA,EURA14,2006-11-19 11:59:00,0.00048,0.00184,-0.00869,0.00048,0.00184,-0.00869
SCRA00ITA,EURA14,2006-11-20 11:59:00,0.00016,0.00176,-0.00255,0.00016,0.00176,-0.00255
SCRA00ITA,EURA14,2006-11-21 11:59:00,0.0018,0.00027,0.00347,0.0018,0.00027,0.00347
SCRA00ITA,EURA14,2006-11-22 11:59:00,0.00334,0.0008,0.00037,0.00334,0.0008,0.00037
SCRA00ITA,EURA14,2006-11-23 11:59:00,0.00225,-8e-05,-0.00231,0.00225,-8e-05,-0.00231
SCRA00ITA,EURA14,2006-11-24 11:59:00,0.00116,0.00178,-0.00271,0.00116,0.00178,-0.00271
SCRA00ITA,EURA14,2006-11-25 11:59:00,0.00167,0.001375,-0.0056500000000000005,0.00167,0.001375,-0.0056500000000000005
SCRA00ITA,EURA14,2006-11-26 11:59:00,0.00218,0.00097,-0.00859,0.00218,0.00097,-0.00859
SCRA00ITA,EURA14,2006-11-27 11:59:00,0.00138,0.00092,-0.00617,0.00138,0.00092,-0.00617
SCRA00ITA,EURA14,2006-11-28 11:59:00,0.00189,0.00048,-0.00657,0.00189,0.00048,-0.00657
SCRA00ITA,EURA14,2006-11-29 11:59:00,-0.00011,0.00143,-0.00612,-0.00011,0.00143,-0.00612
SCRA00ITA,EURA14,2006-11-30 11:59:00,0.00027,0.00124,-0.00368,0.00027,0.00124,-0.00368
SCRA00ITA,EURA14,2006-12-01 11:59:00,0.00132,0.00061,-0.00682,0.00132,0.00061,-0.00682
SCRA00ITA,EURA14,2006-12-02 11:59:00,0.0011,0.00026,-0.00562,0.0011,0.00026,-0.00562
SCRA00ITA,EURA14,2006-12-03 11:59:00,0.0021,-0.00099,-0.00106,0.0021,-0.00099,-0.00106
SCRA00ITA,EURA14,2006-12-04 11:59:00,0.00196,0.00028,0.00523,0.00196,0.00028,0.00523
SCRA00ITA,EURA14,2006-12-05 11:59:00,0.0005,-0.00039,-0.00495,0.0005,-0.00039,-0.00495
SCRA00ITA,EURA14,2006-12-06 11:59:00,0.0009,0.00061,-0.00151,0.0009,0.00061,-0.00151
SCRA00ITA,EURA14,2006-12-07 11:59:00,0.00155,-0.0002,-0.0042,0.00155,-0.0002,-0.0042
SCRA00ITA,EURA14,2006-12-08 11:59:00,0.00043,-0.0001,-0.00099,0.00043,-0.0001,-0.00099
SCRA00ITA,EURA14,2006-12-09 11:59:00,0.00437,0.00382,-0.00099,0.00437,0.00382,-0.00099
SCRA00ITA,EURA14,2006-12-10 11:59:00,0.00145,-5e-05,-0.00047,0.00145,-5e-05,-0.00047
SCRA00ITA,EURA14,2006-12-11 11:59:00,0.00227,0.00076,-0.00413,0.00227,0.00076,-0.00413
SCRA00ITA,EURA14,2006-12-12 11:59:00,0.00091,0.00077,-0.00581,0.00091,0.00077,-0.00581
SCRA00ITA,EURA14,2006-12-13 11:59:00,0.00116,0.00065,-0.00779,0.00116,0.00065,-0.00779
SCRA00ITA,EURA14,2006-12-14 11:59:00,-0.0006,-0.00044,-0.00917,-0.0006,-0.00044,-0.00917
SCRA00ITA,EURA14,2006-12-15 11:59:00,0.0008,0.00134,-0.00354,0.0008,0.00134,-0.00354
SCRA00ITA,EURA14,2006-12-16 11:59:00,0.00105,0.00068,-0.00351,0.00105,0.00068,-0.00351
SCRA00ITA,EURA14,2006-12-17 11:59:00,0.00055,0.0002,-0.00031,0.00055,0.0002,-0.00031
SCRA00ITA,EURA14,2006-12-18 11:59:00,0.00113,0.00083,0.00686,0.00113,0.00083,0.00686
SCRA00ITA,EURA14,2006-12-19 11:59:00,0.00115,0.00142,0.00559,0.00115,0.00142,0.00559
SCRA00ITA,EURA14,2006-12-20 11:59:00,0.00159,0.00132,-0.00469,0.00159,0.00132,-0.00469
SCRA00ITA,EURA14,2006-12-21 11:59:00,0.00146,0.00104,-0.00111,0.00146,0.00104,-0.00111
SCRA00ITA,EURA14,2006-12-22 11:59:00,0.00219,0.00117,-0.0065,0.00219,0.00117,-0.0065
SCRA00ITA,EURA14,2006-12-23 11:59:00,0.00083,0.00144,0.00168,0.00083,0.00144,0.00168
SCRA00ITA,EURA14,2006-12-24 11:59:00,-0.00025,0.00024,-0.00062,-0.00025,0.00024,-0.00062
SCRA00ITA,EURA14,2006-12-25 11:59:00,0.00038,0.00103,-0.00162,0.00038,0.00103,-0.00162
SCRA00ITA,EURA14,2006-12-26 11:59:00,0.00076,0.0004,-0.004,0.00076,0.0004,-0.004
SCRA00ITA,EURA14,2006-12-27 11:59:00,0.00147,0.00066,-0.00788,0.00147,0.00066,-0.00788
SCRA00ITA,EURA14,2006-12-28 11:59:00,0.00122,4e-05,-0.00645,0.00122,4e-05,-0.00645
SCRA00ITA,EURA14,2006-12-29 11:59:00,0.00041,0.00108,-0.00571,0.00041,0.00108,-0.00571
SCRA00ITA,EURA14,2006-12-30 11:59:00,0.00016,0.00076,-0.00545,0.00016,0.00076,-0.00545
SCRA00ITA,EURA14,2006-12-31 11:59:00,0.00079,-0.00071,-0.00988,0.00079,-0.00071,-0.00988
SCRA00ITA,EURA14,2007-01-01 11:59:00,0.00928,0.00113,0.01088,0.00928,0.00113,0.01088
SCRA00ITA,EURA14,2007-01-02 11:59:00,-0.00141,-4e-05,0.00792,-0.00141,-4e-05,0.00792
SCRA00ITA,EURA14,2007-01-03 11:59:00,0.00085,0.00034,-6e-05,0.00085,0.00034,-6e-05
