marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
SFCI00ITA,EURA14,2009-02-27 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
SFCI00ITA,EURA14,2009-02-28 11:59:00,-0.00029,-0.00029,-0.00128,-0.00029,-0.00029,-0.00128
SFCI00ITA,EURA14,2009-03-01 11:59:00,-0.00021,0.00066,-0.00283,-0.00021,0.00066,-0.00283
SFCI00ITA,EURA14,2009-03-02 11:59:00,-0.00317,-0.00144,-0.00396,-0.00317,-0.00144,-0.00396
SFCI00ITA,EURA14,2009-03-03 11:59:00,-0.00171,0.00046,0.00093,-0.00171,0.00046,0.00093
SFCI00ITA,EURA14,2009-03-04 11:59:00,0.00059,0.00221,0.00356,0.00059,0.00221,0.00356
SFCI00ITA,EURA14,2009-03-05 11:59:00,-0.00055,0.00116,0.00885,-0.00055,0.00116,0.00885
SFCI00ITA,EURA14,2009-03-06 11:59:00,-0.00107,-0.00157,0.00631,-0.00107,-0.00157,0.00631
SFCI00ITA,EURA14,2009-03-07 11:59:00,-0.00053,-0.00029,-0.00119,-0.00053,-0.00029,-0.00119
SFCI00ITA,EURA14,2009-03-08 11:59:00,-0.00094,-0.00067,-0.00637,-0.00094,-0.00067,-0.00637
SFCI00ITA,EURA14,2009-03-09 11:59:00,-0.00138,-0.00083,-0.00784,-0.00138,-0.00083,-0.00784
SFCI00ITA,EURA14,2009-03-10 11:59:00,-0.00127,-0.00116,-0.00624,-0.00127,-0.00116,-0.00624
SFCI00ITA,EURA14,2009-03-11 11:59:00,0.00074,-0.00195,-0.0027,0.00074,-0.00195,-0.0027
SFCI00ITA,EURA14,2009-03-12 11:59:00,-0.00091,0.00063,-0.00454,-0.00091,0.00063,-0.00454
SFCI00ITA,EURA14,2009-03-13 11:59:00,-0.00173,-3e-05,-0.00634,-0.00173,-3e-05,-0.00634
SFCI00ITA,EURA14,2009-03-14 11:59:00,-0.00043,-0.00046,-0.00545,-0.00043,-0.00046,-0.00545
SFCI00ITA,EURA14,2009-03-15 11:59:00,-0.001,0.00022,-0.00898,-0.001,0.00022,-0.00898
SFCI00ITA,EURA14,2009-03-16 11:59:00,-0.00211,0.00125,-0.00223,-0.00211,0.00125,-0.00223
SFCI00ITA,EURA14,2009-03-17 11:59:00,0.00124,0.00181,-0.00789,0.00124,0.00181,-0.00789
SFCI00ITA,EURA14,2009-03-18 11:59:00,-0.00241,0.00015,0.00168,-0.00241,0.00015,0.00168
SFCI00ITA,EURA14,2009-03-19 11:59:00,-0.0016099999999999999,9.499999999999999e-05,0.0,-0.0016099999999999999,9.499999999999999e-05,0.0
SFCI00ITA,EURA14,2009-03-20 11:59:00,-0.00081,4e-05,-0.00168,-0.00081,4e-05,-0.00168
SFCI00ITA,EURA14,2009-03-21 11:59:00,-3e-05,0.00031,0.00052,-3e-05,0.00031,0.00052
SFCI00ITA,EURA14,2009-03-22 11:59:00,-0.00167,0.00096,-0.00326,-0.00167,0.00096,-0.00326
SFCI00ITA,EURA14,2009-03-23 11:59:00,-0.00313,-0.0015,-0.00343,-0.00313,-0.0015,-0.00343
SFCI00ITA,EURA14,2009-03-24 11:59:00,-0.0005,0.00025,-0.00335,-0.0005,0.00025,-0.00335
SFCI00ITA,EURA14,2009-03-25 11:59:00,-0.001765,-0.00013499999999999997,-0.00421,-0.001765,-0.00013499999999999997,-0.00421
SFCI00ITA,EURA14,2009-03-26 11:59:00,-0.00303,-0.00052,-0.00507,-0.00303,-0.00052,-0.00507
SFCI00ITA,EURA14,2009-03-27 11:59:00,-0.00167,-0.00103,-0.00844,-0.00167,-0.00103,-0.00844
