marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
SGDS00ITA,EURA14,2016-09-22 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
SGDS00ITA,EURA14,2016-09-23 11:59:00,0.00074,-0.00032,-0.00016,0.00074,-0.00032,-0.00016
SGDS00ITA,EURA14,2016-09-24 11:59:00,0.00016,0.0002,-0.00092,0.00016,0.0002,-0.00092
SGDS00ITA,EURA14,2016-09-25 11:59:00,0.00122,-0.00115,0.00309,0.00122,-0.00115,0.00309
SGDS00ITA,EURA14,2016-09-26 11:59:00,0.0013,-0.0007,0.00358,0.0013,-0.0007,0.00358
SGDS00ITA,EURA14,2016-09-27 11:59:00,-0.00106,0.00109,0.00388,-0.00106,0.00109,0.00388
SGDS00ITA,EURA14,2016-09-28 11:59:00,0.00061,0.00058,0.00029,0.00061,0.00058,0.00029
SGDS00ITA,EURA14,2016-09-29 11:59:00,0.00021,0.00021,0.00235,0.00021,0.00021,0.00235
SGDS00ITA,EURA14,2016-09-30 11:59:00,-0.00031,-0.00086,0.00466,-0.00031,-0.00086,0.00466
SGDS00ITA,EURA14,2016-10-01 11:59:00,0.00078,-0.00055,0.00609,0.00078,-0.00055,0.00609
SGDS00ITA,EURA14,2016-10-02 11:59:00,-0.00228,0.00039,0.01173,-0.00228,0.00039,0.01173
SGDS00ITA,EURA14,2016-10-03 11:59:00,-0.00219,0.00041,0.00567,-0.00219,0.00041,0.00567
SGDS00ITA,EURA14,2016-10-04 11:59:00,0.00027,0.00086,0.00565,0.00027,0.00086,0.00565
SGDS00ITA,EURA14,2016-10-05 11:59:00,-0.00014,0.00123,0.00844,-0.00014,0.00123,0.00844
SGDS00ITA,EURA14,2016-10-06 11:59:00,0.00088,0.0,0.01241,0.00088,0.0,0.01241
SGDS00ITA,EURA14,2016-10-07 11:59:00,-0.00025,0.00312,0.00452,-0.00025,0.00312,0.00452
SGDS00ITA,EURA14,2016-10-08 11:59:00,-0.00086,0.00053,0.00638,-0.00086,0.00053,0.00638
SGDS00ITA,EURA14,2016-10-09 11:59:00,-0.00196,0.00359,0.01102,-0.00196,0.00359,0.01102
SGDS00ITA,EURA14,2016-10-10 11:59:00,-0.00148,0.00247,0.00666,-0.00148,0.00247,0.00666
SGDS00ITA,EURA14,2016-10-11 11:59:00,-0.00072,0.001,0.01604,-0.00072,0.001,0.01604
SGDS00ITA,EURA14,2016-10-12 11:59:00,-0.00045,-0.00024,0.00572,-0.00045,-0.00024,0.00572
SGDS00ITA,EURA14,2016-10-13 11:59:00,-1e-05,0.00063,0.00425,-1e-05,0.00063,0.00425
SGDS00ITA,EURA14,2016-10-14 11:59:00,-0.00037,-0.00189,0.00439,-0.00037,-0.00189,0.00439
SGDS00ITA,EURA14,2016-10-15 11:59:00,-0.00462,-0.00537,0.00408,-0.00462,-0.00537,0.00408
SGDS00ITA,EURA14,2016-10-16 11:59:00,-1e-05,-0.00074,0.0006,-1e-05,-0.00074,0.0006
SGDS00ITA,EURA14,2016-10-17 11:59:00,-0.00046,0.00053,0.00012,-0.00046,0.00053,0.00012
SGDS00ITA,EURA14,2016-10-18 11:59:00,-3e-05,0.00035,0.00269,-3e-05,0.00035,0.00269
SGDS00ITA,EURA14,2016-10-19 11:59:00,-0.02356,0.01155,0.02133,-0.02356,0.01155,0.02133
SGDS00ITA,EURA14,2016-10-20 11:59:00,0.0045,0.00271,0.00567,0.0045,0.00271,0.00567
SGDS00ITA,EURA14,2016-10-21 11:59:00,-0.00442,0.00188,0.01841,-0.00442,0.00188,0.01841
SGDS00ITA,EURA14,2016-10-22 11:59:00,-7e-05,0.00132,0.00287,-7e-05,0.00132,0.00287
SGDS00ITA,EURA14,2016-10-23 11:59:00,0.00118,0.00133,0.00451,0.00118,0.00133,0.00451
SGDS00ITA,EURA14,2016-10-24 11:59:00,0.00086,0.00075,0.00458,0.00086,0.00075,0.00458
SGDS00ITA,EURA14,2016-10-25 11:59:00,-0.0006,0.00184,0.00125,-0.0006,0.00184,0.00125
SGDS00ITA,EURA14,2016-10-26 11:59:00,0.00087,-0.00037,0.00226,0.00087,-0.00037,0.00226
SGDS00ITA,EURA14,2016-10-27 11:59:00,-0.00027,0.00382,-0.00176,-0.00027,0.00382,-0.00176
SGDS00ITA,EURA14,2016-10-28 11:59:00,0.00265,0.0058,-0.00295,0.00265,0.0058,-0.00295
SGDS00ITA,EURA14,2016-10-29 11:59:00,-0.00099,-0.00048,-0.00318,-0.00099,-0.00048,-0.00318
SGDS00ITA,EURA14,2016-10-30 11:59:00,-0.00056,0.00161,0.00186,-0.003760027307979732,0.003058659994817967,-0.0016632024063648696
SGDS00ITA,EURA14,2016-10-31 11:59:00,0.00051,0.00139,-0.00131,-0.0026900273079797318,0.002838659994817967,-0.00483320240636487
SGDS00ITA,EURA14,2016-11-01 11:59:00,-0.00019,0.0005,0.00343,-0.003390027307979732,0.001948659994817967,-9.320240636486983e-05
SGDS00ITA,EURA14,2016-11-02 11:59:00,-0.00122,0.00133,0.00777,-0.004420027307979732,0.002778659994817967,0.004246797593635131
SGDS00ITA,EURA14,2016-11-03 11:59:00,0.00048,0.00053,0.0116,-0.002720027307979732,0.001978659994817967,0.008076797593635129
SGDS00ITA,EURA14,2016-11-04 11:59:00,0.00037,0.0016,0.00398,-0.0028300273079797317,0.003048659994817967,0.0004567975936351303
SGDS00ITA,EURA14,2016-11-05 11:59:00,0.00705,0.00315,0.01268,0.003849972692020268,0.004598659994817967,0.00915679759363513
SGDS00ITA,EURA14,2016-11-06 11:59:00,0.00509,-0.0010400000000000001,0.02026,0.001889972692020268,0.00040865999481796695,0.016736797593635132
SGDS00ITA,EURA14,2016-11-07 11:59:00,0.00313,-0.00523,0.02784,-7.002730797973184e-05,-0.003781340005182033,0.024316797593635132
SGDS00ITA,EURA14,2016-11-08 11:59:00,0.00106,0.00076,0.00873,-0.002140027307979732,0.002208659994817967,0.00520679759363513
SGDS00ITA,EURA14,2016-11-09 11:59:00,0.00078,0.00222,0.00913,-0.002420027307979732,0.003668659994817967,0.005606797593635129
SGDS00ITA,EURA14,2016-11-10 11:59:00,0.00042,0.00149,0.00567,-0.002780027307979732,0.0029386599948179673,0.00214679759363513
SGDS00ITA,EURA14,2016-11-11 11:59:00,-1e-05,-0.00089,0.00727,-0.003210027307979732,0.0005586599948179671,0.0037467975936351307
SGDS00ITA,EURA14,2016-11-12 11:59:00,0.00077,0.00185,0.00383,-0.002430027307979732,0.0032986599948179674,0.00030679759363513035
SGDS00ITA,EURA14,2016-11-13 11:59:00,0.00118,0.00139,0.00084,-0.0020200273079797318,0.002838659994817967,-0.0026832024063648697
SGDS00ITA,EURA14,2016-11-14 11:59:00,0.00065,0.00199,0.00317,-0.002550027307979732,0.003438659994817967,-0.00035320240636486965
SGDS00ITA,EURA14,2016-11-15 11:59:00,0.00022,0.00129,0.00456,-0.0029800273079797317,0.0027386599948179668,0.00103679759363513
SGDS00ITA,EURA14,2016-11-16 11:59:00,0.00041,0.00025,0.00183,-0.0027900273079797316,0.001698659994817967,-0.0016932024063648697
SGDS00ITA,EURA14,2016-11-17 11:59:00,0.00076,0.00084,0.00136,-0.002440027307979732,0.002288659994817967,-0.0021632024063648696
SGDS00ITA,EURA14,2016-11-18 11:59:00,0.00011,0.0027,0.00164,-0.003090027307979732,0.0041486599948179674,-0.0018832024063648698
SGDS00ITA,EURA14,2016-11-19 11:59:00,-1e-05,0.00127,0.01164,-0.003210027307979732,0.002718659994817967,0.00811679759363513
SGDS00ITA,EURA14,2016-11-20 11:59:00,0.0004,0.00087,0.0053,-0.0028000273079797316,0.002318659994817967,0.0017767975936351303
SGDS00ITA,EURA14,2016-11-21 11:59:00,0.00064,0.0004,0.0027,-0.002560027307979732,0.001848659994817967,-0.0008232024063648696
SGDS00ITA,EURA14,2016-11-22 11:59:00,0.00169,0.00058,0.00486,-0.0015100273079797317,0.002028659994817967,0.00133679759363513
SGDS00ITA,EURA14,2016-11-23 11:59:00,0.00094,0.00054,0.00648,-0.002260027307979732,0.001988659994817967,0.00295679759363513
SGDS00ITA,EURA14,2016-11-24 11:59:00,0.00015,0.00073,0.00871,-0.003050027307979732,0.002178659994817967,0.005186797593635131
SGDS00ITA,EURA14,2016-11-25 11:59:00,0.00022,0.00181,0.00771,-0.0029800273079797317,0.0032586599948179673,0.00418679759363513
SGDS00ITA,EURA14,2016-11-26 11:59:00,0.00044,0.00124,0.00144,-0.002760027307979732,0.002688659994817967,-0.00208320240636487
SGDS00ITA,EURA14,2016-11-27 11:59:00,0.00022,0.00125,0.00264,-0.0029800273079797317,0.002698659994817967,-0.0008832024063648697
SGDS00ITA,EURA14,2016-11-28 11:59:00,-0.000175,0.0022900000000000004,0.000825,-0.0033750273079797316,0.0037386599948179677,-0.00269820240636487
SGDS00ITA,EURA14,2016-11-29 11:59:00,-0.00057,0.00333,-0.00099,-0.0037700273079797316,0.004778659994817967,-0.00451320240636487
SGDS00ITA,EURA14,2016-11-30 11:59:00,-0.00053,0.00366,-0.00358,-0.003730027307979732,0.005108659994817967,-0.00710320240636487
SGDS00ITA,EURA14,2016-12-01 11:59:00,-0.00096,0.00111,-0.00255,-0.004160027307979732,0.002558659994817967,-0.00607320240636487
SGDS00ITA,EURA14,2016-12-02 11:59:00,-0.00025,0.00156,0.00371,-0.0034500273079797316,0.003008659994817967,0.00018679759363513047
SGDS00ITA,EURA14,2016-12-03 11:59:00,-0.00016,0.00107,0.00364,-0.003360027307979732,0.002518659994817967,0.00011679759363513028
SGDS00ITA,EURA14,2016-12-04 11:59:00,-0.00051,0.00197,0.00503,-0.003710027307979732,0.003418659994817967,0.00150679759363513
SGDS00ITA,EURA14,2016-12-05 11:59:00,0.00032,0.00148,0.00278,-0.002880027307979732,0.002928659994817967,-0.0007432024063648698
SGDS00ITA,EURA14,2016-12-06 11:59:00,-0.00014,0.00062,0.00542,-0.0033400273079797317,0.002068659994817967,0.0018967975936351306
SGDS00ITA,EURA14,2016-12-07 11:59:00,0.00011,0.00089,0.00262,-0.003090027307979732,0.002338659994817967,-0.0009032024063648698
SGDS00ITA,EURA14,2016-12-08 11:59:00,-0.0005,0.0011,0.00063,-0.003700027307979732,0.002548659994817967,-0.00289320240636487
SGDS00ITA,EURA14,2016-12-09 11:59:00,-0.00066,0.00122,0.00364,-0.003860027307979732,0.002668659994817967,0.00011679759363513028
SGDS00ITA,EURA14,2016-12-10 11:59:00,-0.00141,0.00079,0.00603,-0.004610027307979732,0.002238659994817967,0.00250679759363513
SGDS00ITA,EURA14,2016-12-11 11:59:00,-0.00071,0.00111,0.00703,-0.003910027307979732,0.002558659994817967,0.00350679759363513
SGDS00ITA,EURA14,2016-12-12 11:59:00,0.00015,0.00316,0.00462,-0.003050027307979732,0.004608659994817967,0.0010967975936351303
SGDS00ITA,EURA14,2016-12-13 11:59:00,-0.0006,0.00209,0.00314,-0.0038000273079797317,0.003538659994817967,-0.0003832024063648697
SGDS00ITA,EURA14,2016-12-14 11:59:00,5e-05,0.00184,0.00485,-0.0031500273079797317,0.003288659994817967,0.0013267975936351304
SGDS00ITA,EURA14,2016-12-15 11:59:00,-0.00101,0.00205,0.00567,-0.004210027307979732,0.003498659994817967,0.00214679759363513
SGDS00ITA,EURA14,2016-12-16 11:59:00,-0.00091,0.00227,-0.00343,-0.004110027307979732,0.0037186599948179667,-0.006953202406364869
SGDS00ITA,EURA14,2016-12-17 11:59:00,-0.00068,0.00269,-0.00462,-0.003880027307979732,0.004138659994817967,-0.00814320240636487
SGDS00ITA,EURA14,2016-12-18 11:59:00,0.00015,0.00179,-0.00099,-0.003050027307979732,0.0032386599948179672,-0.00451320240636487
SGDS00ITA,EURA14,2016-12-19 11:59:00,-0.00052,0.00167,0.00367,-0.003720027307979732,0.003118659994817967,0.00014679759363513036
SGDS00ITA,EURA14,2016-12-20 11:59:00,-0.0011,0.00215,0.00452,-0.004300027307979732,0.0035986599948179673,0.00099679759363513
SGDS00ITA,EURA14,2016-12-21 11:59:00,-0.00031,0.00136,0.00446,-0.0035100273079797318,0.0028086599948179674,0.0009367975936351307
SGDS00ITA,EURA14,2016-12-22 11:59:00,-0.00087,0.00144,0.00201,-0.0040700273079797315,0.002888659994817967,-0.0015132024063648697
SGDS00ITA,EURA14,2016-12-23 11:59:00,-0.00138,0.00119,-0.00017,-0.0045800273079797315,0.0026386599948179674,-0.0036932024063648697
SGDS00ITA,EURA14,2016-12-24 11:59:00,-0.00133,0.00069,0.00329,-0.004530027307979732,0.002138659994817967,-0.00023320240636486977
SGDS00ITA,EURA14,2016-12-25 11:59:00,-0.00143,0.0007,0.00248,-0.004630027307979732,0.002148659994817967,-0.0010432024063648697
SGDS00ITA,EURA14,2016-12-26 11:59:00,-0.00047,0.0011,0.00592,-0.0036700273079797317,0.002548659994817967,0.00239679759363513
SGDS00ITA,EURA14,2016-12-27 11:59:00,-0.0008,0.00119,0.00764,-0.004000027307979732,0.0026386599948179674,0.004116797593635131
SGDS00ITA,EURA14,2016-12-28 11:59:00,-0.0019,0.00363,0.01257,-0.005100027307979732,0.005078659994817967,0.00904679759363513
SGDS00ITA,EURA14,2016-12-29 11:59:00,-0.00122,0.00256,0.00688,-0.004420027307979732,0.004008659994817967,0.00335679759363513
SGDS00ITA,EURA14,2016-12-30 11:59:00,-0.0009,0.00084,0.00388,-0.004100027307979732,0.002288659994817967,0.0003567975936351305
SGDS00ITA,EURA14,2016-12-31 11:59:00,-0.00157,0.00122,0.00652,-0.004770027307979732,0.002668659994817967,0.00299679759363513
SGDS00ITA,EURA14,2017-01-01 11:59:00,-0.00094,0.00162,0.00925,-0.004140027307979732,0.003068659994817967,0.005726797593635129
SGDS00ITA,EURA14,2017-01-02 11:59:00,-0.001,0.00156,0.00843,-0.004200027307979732,0.003008659994817967,0.00490679759363513
SGDS00ITA,EURA14,2017-01-03 11:59:00,-0.00121,0.00196,0.00696,-0.0044100273079797315,0.0034086599948179672,0.0034367975936351303
SGDS00ITA,EURA14,2017-01-04 11:59:00,-0.00044,0.00085,0.00998,-0.0036400273079797317,0.002298659994817967,0.006456797593635129
