marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
SGL100ITA,EURA14,2009-07-08 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
SGL100ITA,EURA14,2009-07-09 11:59:00,-0.00392,0.00214,-0.01095,-0.00392,0.00214,-0.01095
SGL100ITA,EURA14,2009-07-10 11:59:00,0.00151,0.00348,-0.00887,0.00151,0.00348,-0.00887
SGL100ITA,EURA14,2009-07-11 11:59:00,-0.00065,0.00424,-0.01503,-0.00065,0.00424,-0.01503
SGL100ITA,EURA14,2009-07-12 11:59:00,0.00134,0.0064,-0.01366,0.00134,0.0064,-0.01366
SGL100ITA,EURA14,2009-07-13 11:59:00,0.00036,0.00311,-0.01126,0.00036,0.00311,-0.01126
SGL100ITA,EURA14,2009-07-14 11:59:00,0.00149,0.00546,-0.00946,0.00149,0.00546,-0.00946
SGL100ITA,EURA14,2009-07-15 11:59:00,0.00075,0.00379,-0.00568,0.00075,0.00379,-0.00568
SGL100ITA,EURA14,2009-07-16 11:59:00,-0.00022,0.00634,-0.00597,-0.00022,0.00634,-0.00597
SGL100ITA,EURA14,2009-07-17 11:59:00,-0.0006,0.00396,-0.00189,-0.0006,0.00396,-0.00189
SGL100ITA,EURA14,2009-07-18 11:59:00,0.0008,0.00432,0.00248,0.0008,0.00432,0.00248
SGL100ITA,EURA14,2009-07-19 11:59:00,0.00081,0.00576,-0.00852,0.00081,0.00576,-0.00852
SGL100ITA,EURA14,2009-07-20 11:59:00,-0.00069,0.00525,-0.00915,-0.00069,0.00525,-0.00915
SGL100ITA,EURA14,2009-07-21 11:59:00,-0.00022,0.0054,-0.0002,-0.00022,0.0054,-0.0002
SGL100ITA,EURA14,2009-07-22 11:59:00,4e-05,0.00313,-0.00965,4e-05,0.00313,-0.00965
SGL100ITA,EURA14,2009-07-23 11:59:00,0.00117,0.00282,0.00146,0.00117,0.00282,0.00146
SGL100ITA,EURA14,2009-07-24 11:59:00,-0.00074,0.00466,-0.00504,-0.00074,0.00466,-0.00504
SGL100ITA,EURA14,2009-07-25 11:59:00,-0.00101,0.00489,-0.00491,-0.00101,0.00489,-0.00491
SGL100ITA,EURA14,2009-07-26 11:59:00,1e-05,0.00331,0.00186,1e-05,0.00331,0.00186
SGL100ITA,EURA14,2009-07-29 11:59:00,0.00051,0.00102,-0.00726,0.00051,0.00102,-0.00726
SGL100ITA,EURA14,2009-07-30 11:59:00,-0.00262,0.0045,-0.00739,-0.00262,0.0045,-0.00739
SGL100ITA,EURA14,2009-07-31 11:59:00,-0.00048,0.00482,-0.01019,-0.00048,0.00482,-0.01019
SGL100ITA,EURA14,2009-08-01 11:59:00,0.00426,0.00319,0.0057,0.00426,0.00319,0.0057
SGL100ITA,EURA14,2009-08-02 11:59:00,-0.0012,0.00335,-0.00696,-0.0012,0.00335,-0.00696
SGL100ITA,EURA14,2009-08-03 11:59:00,-0.00116,-0.00521,-0.00749,-0.00116,-0.00521,-0.00749
SGL100ITA,EURA14,2009-08-04 11:59:00,0.00073,0.0061,-0.00368,0.00073,0.0061,-0.00368
SGL100ITA,EURA14,2009-08-05 11:59:00,-8e-05,0.00472,-0.00919,-8e-05,0.00472,-0.00919
SGL100ITA,EURA14,2009-08-06 11:59:00,-0.00147,0.00242,-0.00038,-0.00147,0.00242,-0.00038
SGL100ITA,EURA14,2009-08-07 11:59:00,-4e-05,0.00427,-0.00519,-4e-05,0.00427,-0.00519
SGL100ITA,EURA14,2009-08-08 11:59:00,-0.00052,0.00324,-0.01001,-0.00052,0.00324,-0.01001
SGL100ITA,EURA14,2009-08-09 11:59:00,-0.00054,0.00529,-0.00451,-0.00054,0.00529,-0.00451
SGL100ITA,EURA14,2009-08-10 11:59:00,-0.00103,0.00351,-0.01004,-0.00103,0.00351,-0.01004
SGL100ITA,EURA14,2009-08-11 11:59:00,-0.00259,0.00448,-0.01103,-0.00259,0.00448,-0.01103
SGL100ITA,EURA14,2009-08-12 11:59:00,0.00025,0.00232,0.00182,0.00025,0.00232,0.00182
SGL100ITA,EURA14,2009-08-13 11:59:00,-0.00124,0.00381,-0.00059,-0.00124,0.00381,-0.00059
SGL100ITA,EURA14,2009-08-14 11:59:00,-0.00158,0.0043,-0.00712,-0.00158,0.0043,-0.00712
SGL100ITA,EURA14,2009-08-15 11:59:00,-0.00152,0.00419,-0.00403,-0.00152,0.00419,-0.00403
SGL100ITA,EURA14,2009-08-16 11:59:00,0.00043,0.00447,-0.00556,0.00043,0.00447,-0.00556
SGL100ITA,EURA14,2009-08-17 11:59:00,-0.00158,0.00418,-0.00286,-0.00158,0.00418,-0.00286
SGL100ITA,EURA14,2009-08-18 11:59:00,0.00133,0.002,-0.00734,0.00133,0.002,-0.00734
SGL100ITA,EURA14,2009-08-19 11:59:00,-0.00159,0.00467,-0.00487,-0.00159,0.00467,-0.00487
SGL100ITA,EURA14,2009-08-20 11:59:00,-0.00153,0.00458,0.00042,-0.00153,0.00458,0.00042
SGL100ITA,EURA14,2009-08-21 11:59:00,-0.00176,0.00325,0.00421,-0.00176,0.00325,0.00421
SGL100ITA,EURA14,2009-08-22 11:59:00,0.00061,0.00553,-0.00737,0.00061,0.00553,-0.00737
SGL100ITA,EURA14,2009-08-23 11:59:00,-0.00259,0.0067,0.00281,-0.00259,0.0067,0.00281
SGL100ITA,EURA14,2009-08-24 11:59:00,-0.00218,0.00439,-0.00254,-0.00218,0.00439,-0.00254
SGL100ITA,EURA14,2009-08-25 11:59:00,-0.00086,0.00586,-0.00801,-0.00086,0.00586,-0.00801
SGL100ITA,EURA14,2009-08-26 11:59:00,-0.0021,0.00605,0.00662,-0.0021,0.00605,0.00662
SGL100ITA,EURA14,2009-08-27 11:59:00,-0.00058,0.00423,-0.00529,-0.00058,0.00423,-0.00529
SGL100ITA,EURA14,2009-08-28 11:59:00,-0.0001,0.00564,-0.00082,-0.0001,0.00564,-0.00082
SGL100ITA,EURA14,2009-08-29 11:59:00,-0.00187,0.00365,-0.00574,-0.00187,0.00365,-0.00574
SGL100ITA,EURA14,2009-08-30 11:59:00,-0.00091,0.00694,-0.01725,-0.00091,0.00694,-0.01725
SGL100ITA,EURA14,2009-08-31 11:59:00,-0.00066,0.00681,-0.01365,-0.00066,0.00681,-0.01365
SGL100ITA,EURA14,2009-09-01 11:59:00,0.0001,0.00508,-0.00133,0.0001,0.00508,-0.00133
SGL100ITA,EURA14,2009-09-02 11:59:00,-0.00012,0.00393,-0.0119,-0.00012,0.00393,-0.0119
SGL100ITA,EURA14,2009-09-03 11:59:00,-0.00134,0.00402,-0.00913,-0.00134,0.00402,-0.00913
SGL100ITA,EURA14,2009-09-04 11:59:00,-0.00346,0.00391,-0.01682,-0.00346,0.00391,-0.01682
SGL100ITA,EURA14,2009-09-05 11:59:00,-0.0008,0.00447,0.00563,-0.0008,0.00447,0.00563
SGL100ITA,EURA14,2009-09-06 11:59:00,-0.00227,0.00469,-0.00633,-0.00227,0.00469,-0.00633
SGL100ITA,EURA14,2009-09-07 11:59:00,0.00043,0.00578,-0.00764,0.00043,0.00578,-0.00764
SGL100ITA,EURA14,2009-09-08 11:59:00,-0.00067,0.00594,-0.00363,-0.00067,0.00594,-0.00363
SGL100ITA,EURA14,2009-09-09 11:59:00,-0.00213,0.00596,6e-05,-0.00213,0.00596,6e-05
SGL100ITA,EURA14,2009-09-10 11:59:00,-0.00087,0.00504,-0.01519,-0.00087,0.00504,-0.01519
SGL100ITA,EURA14,2009-09-11 11:59:00,-0.0024,0.00629,-0.00124,-0.0024,0.00629,-0.00124
SGL100ITA,EURA14,2009-09-12 11:59:00,-0.00273,0.00491,0.00024,-0.00273,0.00491,0.00024
SGL100ITA,EURA14,2009-09-13 11:59:00,-0.00174,0.00633,-0.00226,-0.00174,0.00633,-0.00226
SGL100ITA,EURA14,2009-09-14 11:59:00,-0.00618,0.00892,-0.00134,-0.00618,0.00892,-0.00134
SGL100ITA,EURA14,2009-09-15 11:59:00,-0.005744999999999999,0.00837,0.002025,-0.005744999999999999,0.00837,0.002025
SGL100ITA,EURA14,2009-09-16 11:59:00,-0.00531,0.00782,0.00539,-0.00531,0.00782,0.00539
SGL100ITA,EURA14,2009-09-17 11:59:00,-0.00262,0.00422,0.01033,-0.00262,0.00422,0.01033
SGL100ITA,EURA14,2009-09-18 11:59:00,-0.00167,0.0051,-0.00484,-0.00167,0.0051,-0.00484
SGL100ITA,EURA14,2009-09-19 11:59:00,0.00128,0.00531,-0.00113,0.00128,0.00531,-0.00113
SGL100ITA,EURA14,2009-09-20 11:59:00,-0.00032,0.00495,-0.00457,-0.00032,0.00495,-0.00457
SGL100ITA,EURA14,2009-09-21 11:59:00,-0.00143,0.00714,-0.00336,-0.00143,0.00714,-0.00336
SGL100ITA,EURA14,2009-09-22 11:59:00,-5e-05,0.00497,-0.00756,-5e-05,0.00497,-0.00756
SGL100ITA,EURA14,2009-09-23 11:59:00,-7e-05,0.00425,-0.00361,-7e-05,0.00425,-0.00361
SGL100ITA,EURA14,2009-09-24 11:59:00,0.00052,0.00646,-0.00049,0.00052,0.00646,-0.00049
SGL100ITA,EURA14,2009-09-25 11:59:00,-0.00077,0.00726,-0.0081,-0.00077,0.00726,-0.0081
SGL100ITA,EURA14,2009-09-26 11:59:00,-0.00039,0.00578,-0.0121,-0.00039,0.00578,-0.0121
SGL100ITA,EURA14,2009-09-27 11:59:00,-0.00046,0.0046,-0.00896,-0.00046,0.0046,-0.00896
SGL100ITA,EURA14,2009-09-28 11:59:00,0.00043,0.00488,-0.00721,0.00043,0.00488,-0.00721
SGL100ITA,EURA14,2009-09-29 11:59:00,0.0001,0.00428,-0.01028,0.0001,0.00428,-0.01028
SGL100ITA,EURA14,2009-09-30 11:59:00,0.00099,0.00335,-0.00575,0.00099,0.00335,-0.00575
SGL100ITA,EURA14,2009-10-01 11:59:00,-0.00126,0.00377,-0.00993,-0.00126,0.00377,-0.00993
SGL100ITA,EURA14,2009-10-02 11:59:00,-0.00035,0.00463,0.00203,-0.00035,0.00463,0.00203
SGL100ITA,EURA14,2009-10-03 11:59:00,0.00095,0.00285,-0.00567,0.00095,0.00285,-0.00567
SGL100ITA,EURA14,2009-10-04 11:59:00,-3e-05,0.00351,-0.0109,-3e-05,0.00351,-0.0109
SGL100ITA,EURA14,2009-10-05 11:59:00,-0.00044,0.00223,-0.00917,-0.00044,0.00223,-0.00917
SGL100ITA,EURA14,2009-10-06 11:59:00,0.00147,0.00288,-0.00907,0.00147,0.00288,-0.00907
SGL100ITA,EURA14,2009-10-07 11:59:00,0.001,0.00336,-0.007455,0.001,0.00336,-0.007455
SGL100ITA,EURA14,2009-10-08 11:59:00,0.00053,0.00384,-0.00584,0.00053,0.00384,-0.00584
SGL100ITA,EURA14,2009-10-09 11:59:00,-0.00089,0.00361,-0.00841,-0.00089,0.00361,-0.00841
SGL100ITA,EURA14,2009-10-10 11:59:00,-0.00052,0.0035,-0.00044,-0.00052,0.0035,-0.00044
SGL100ITA,EURA14,2009-10-11 11:59:00,0.00089,0.00273,0.00297,0.00089,0.00273,0.00297
SGL100ITA,EURA14,2009-10-12 11:59:00,-0.00126,0.0038,-0.00104,-0.00126,0.0038,-0.00104
SGL100ITA,EURA14,2009-10-13 11:59:00,0.00394,0.00253,0.00059,0.00394,0.00253,0.00059
SGL100ITA,EURA14,2009-10-14 11:59:00,0.00079,0.00449,-0.0081,0.00079,0.00449,-0.0081
SGL100ITA,EURA14,2009-10-15 11:59:00,-0.00054,0.0029,-0.00109,-0.00054,0.0029,-0.00109
SGL100ITA,EURA14,2009-10-16 11:59:00,0.00017,0.0049,-0.00952,0.00017,0.0049,-0.00952
SGL100ITA,EURA14,2009-10-17 11:59:00,0.00098,0.00364,-0.00471,0.00098,0.00364,-0.00471
SGL100ITA,EURA14,2009-10-18 11:59:00,0.0007,0.00249,-0.00256,0.0007,0.00249,-0.00256
SGL100ITA,EURA14,2009-10-19 11:59:00,0.00197,0.0031,-0.00957,0.00197,0.0031,-0.00957
SGL100ITA,EURA14,2009-10-20 11:59:00,0.0021,0.00376,-0.00886,0.0021,0.00376,-0.00886
SGL100ITA,EURA14,2009-10-21 11:59:00,0.002325,0.0018349999999999998,-0.0005699999999999993,0.002325,0.0018349999999999998,-0.0005699999999999993
SGL100ITA,EURA14,2009-10-22 11:59:00,0.00255,-9e-05,0.00772,0.00255,-9e-05,0.00772
SGL100ITA,EURA14,2009-10-23 11:59:00,-0.00677,-0.0055,-0.00106,-0.00677,-0.0055,-0.00106
SGL100ITA,EURA14,2009-10-26 11:59:00,0.00245,0.00319,-0.00216,0.00245,0.00319,-0.00216
SGL100ITA,EURA14,2009-10-27 11:59:00,0.00194,0.00379,-0.00761,0.00194,0.00379,-0.00761
SGL100ITA,EURA14,2009-10-28 11:59:00,0.00062,0.00328,-0.00772,0.00062,0.00328,-0.00772
SGL100ITA,EURA14,2009-10-29 11:59:00,0.00085,0.00344,-0.00657,0.00085,0.00344,-0.00657
SGL100ITA,EURA14,2009-10-30 11:59:00,0.00226,0.00386,-0.00608,0.00226,0.00386,-0.00608
SGL100ITA,EURA14,2009-10-31 11:59:00,0.00098,0.00306,-0.01114,0.00098,0.00306,-0.01114
SGL100ITA,EURA14,2009-11-01 11:59:00,-0.00012,0.00273,-0.01151,-0.00012,0.00273,-0.01151
SGL100ITA,EURA14,2009-11-02 11:59:00,-0.00113,0.00042,-0.00368,-0.00113,0.00042,-0.00368
SGL100ITA,EURA14,2009-11-03 11:59:00,0.00043,0.00264,0.00108,0.00043,0.00264,0.00108
