marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
SGRE00ITA,EURA14,2009-04-15 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
SGRE00ITA,EURA14,2009-04-16 11:59:00,0.00241,0.00171,0.00225,0.00241,0.00171,0.00225
SGRE00ITA,EURA14,2009-04-17 11:59:00,-0.00116,0.00015,-0.00469,-0.00116,0.00015,-0.00469
SGRE00ITA,EURA14,2009-04-18 11:59:00,-0.0012,0.00092,-0.00319,-0.0012,0.00092,-0.00319
SGRE00ITA,EURA14,2009-04-19 11:59:00,0.00053,0.00046,-0.00749,0.00053,0.00046,-0.00749
SGRE00ITA,EURA14,2009-04-20 11:59:00,-0.00089,-0.00102,-0.00473,-0.00089,-0.00102,-0.00473
SGRE00ITA,EURA14,2009-04-21 11:59:00,0.00114,0.00028,-0.00742,0.00114,0.00028,-0.00742
SGRE00ITA,EURA14,2009-04-25 11:59:00,-0.00093,0.00048,-0.00182,-0.00093,0.00048,-0.00182
SGRE00ITA,EURA14,2009-04-26 11:59:00,-0.00064,0.0006,-0.00604,-0.00064,0.0006,-0.00604
SGRE00ITA,EURA14,2009-04-27 11:59:00,0.00072,0.00028,0.00868,0.00072,0.00028,0.00868
SGRE00ITA,EURA14,2009-04-28 11:59:00,-0.00071,-0.00096,6e-05,-0.00071,-0.00096,6e-05
SGRE00ITA,EURA14,2009-04-29 11:59:00,-0.00071,0.00069,0.00183,-0.00071,0.00069,0.00183
SGRE00ITA,EURA14,2009-04-30 11:59:00,-0.0013,-0.00087,-0.0023,-0.0013,-0.00087,-0.0023
SGRE00ITA,EURA14,2009-05-01 11:59:00,-0.00317,0.00032,-0.00108,-0.00317,0.00032,-0.00108
SGRE00ITA,EURA14,2009-05-14 11:59:00,-0.00431,0.00107,-0.00703,0.0036776446148929377,-0.002180620006391819,0.0019506439757110902
SGRE00ITA,EURA14,2009-05-15 11:59:00,-0.00362,0.00033,0.00036,0.004367644614892937,-0.0029206200063918186,0.00934064397571109
SGRE00ITA,EURA14,2009-05-16 11:59:00,-0.00488,0.00115,-0.01172,0.0031076446148929375,-0.0021006200063918186,-0.0027393560242889095
