marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
SI0100ITA,EURA14,2006-05-01 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
SI0100ITA,EURA14,2006-05-02 11:59:00,-0.00132,-0.00131,0.00203,-0.00132,-0.00131,0.00203
SI0100ITA,EURA14,2006-05-03 11:59:00,-0.00083,-0.00013,0.00116,-0.00083,-0.00013,0.00116
SI0100ITA,EURA14,2006-05-04 11:59:00,-0.00047,-0.00049,0.00294,-0.00047,-0.00049,0.00294
SI0100ITA,EURA14,2006-05-05 11:59:00,-0.00311,-0.0002,0.00348,-0.00311,-0.0002,0.00348
SI0100ITA,EURA14,2006-05-06 11:59:00,-0.00221,-0.00016,-0.00842,-0.00221,-0.00016,-0.00842
SI0100ITA,EURA14,2006-05-07 11:59:00,-0.0006,0.00108,-0.00676,-0.0006,0.00108,-0.00676
SI0100ITA,EURA14,2006-05-08 11:59:00,-0.00306,-0.00024,0.00205,-0.00306,-0.00024,0.00205
SI0100ITA,EURA14,2006-05-09 11:59:00,-0.002,0.0,-0.00159,-0.002,0.0,-0.00159
SI0100ITA,EURA14,2006-05-10 11:59:00,-0.00148,-0.00055,0.00476,-0.00148,-0.00055,0.00476
SI0100ITA,EURA14,2006-05-11 11:59:00,-0.00151,0.00013,0.0032,-0.00151,0.00013,0.0032
SI0100ITA,EURA14,2006-05-12 11:59:00,-0.0011,-0.0002,-0.00396,-0.0011,-0.0002,-0.00396
SI0100ITA,EURA14,2006-05-13 11:59:00,0.00011,0.0011,-0.00212,0.00011,0.0011,-0.00212
SI0100ITA,EURA14,2006-05-14 11:59:00,-0.00135,-0.00038,0.00241,-0.00135,-0.00038,0.00241
SI0100ITA,EURA14,2006-05-15 11:59:00,-0.00255,-0.00019,0.00014,-0.00255,-0.00019,0.00014
SI0100ITA,EURA14,2006-05-16 11:59:00,-0.00026,0.0001,0.01012,-0.00026,0.0001,0.01012
SI0100ITA,EURA14,2006-05-17 11:59:00,-0.00154,-0.00151,0.0083,-0.00154,-0.00151,0.0083
SI0100ITA,EURA14,2006-05-20 11:59:00,-0.00207,-0.00529,0.0085,-0.00207,-0.00529,0.0085
SI0100ITA,EURA14,2006-05-21 11:59:00,-0.00095,-0.00117,-0.00335,-0.00095,-0.00117,-0.00335
SI0100ITA,EURA14,2006-05-22 11:59:00,-0.00824,-0.00678,0.00117,-0.00824,-0.00678,0.00117
SI0100ITA,EURA14,2006-05-23 11:59:00,-0.00205,-0.0014,0.00389,-0.00205,-0.0014,0.00389
SI0100ITA,EURA14,2006-05-24 11:59:00,-0.00552,-0.00113,0.00306,-0.00552,-0.00113,0.00306
SI0100ITA,EURA14,2006-05-25 11:59:00,-0.003325,-0.0005149999999999999,0.002395,-0.003325,-0.0005149999999999999,0.002395
SI0100ITA,EURA14,2006-05-26 11:59:00,-0.00113,0.0001,0.00173,-0.00113,0.0001,0.00173
SI0100ITA,EURA14,2006-05-27 11:59:00,-0.00167,-0.00039,0.00188,-0.00167,-0.00039,0.00188
SI0100ITA,EURA14,2006-05-28 11:59:00,-0.00049,-0.00087,0.00554,-0.00049,-0.00087,0.00554
SI0100ITA,EURA14,2006-05-29 11:59:00,-0.00547,-0.00427,0.00381,-0.00547,-0.00427,0.00381
SI0100ITA,EURA14,2006-05-30 11:59:00,-0.00127,-0.00171,0.00771,-0.00127,-0.00171,0.00771
SI0100ITA,EURA14,2006-05-31 11:59:00,-0.00158,0.00056,0.01066,-0.00158,0.00056,0.01066
SI0100ITA,EURA14,2006-06-01 11:59:00,-0.00226,-0.00019,0.01333,-0.00226,-0.00019,0.01333
SI0100ITA,EURA14,2006-06-02 11:59:00,-0.00174,-0.00094,0.00664,-0.00174,-0.00094,0.00664
SI0100ITA,EURA14,2006-06-03 11:59:00,-0.00113,-0.00081,0.0029,-0.00113,-0.00081,0.0029
SI0100ITA,EURA14,2006-06-04 11:59:00,-0.00333,0.00019,0.00142,-0.00333,0.00019,0.00142
SI0100ITA,EURA14,2006-06-05 11:59:00,-0.00359,-0.0016,-3e-05,-0.00359,-0.0016,-3e-05
SI0100ITA,EURA14,2006-06-06 11:59:00,-0.00123,-0.00015,-0.00332,-0.00123,-0.00015,-0.00332
SI0100ITA,EURA14,2006-06-07 11:59:00,-0.00186,-0.00039500000000000006,-0.0005300000000000001,-0.00186,-0.00039500000000000006,-0.0005300000000000001
SI0100ITA,EURA14,2006-06-08 11:59:00,-0.00249,-0.00064,0.00226,-0.00249,-0.00064,0.00226
SI0100ITA,EURA14,2006-06-09 11:59:00,-0.00108,0.00126,-0.00083,-0.00108,0.00126,-0.00083
SI0100ITA,EURA14,2006-06-13 11:59:00,-0.00213,-0.0028,-3e-05,-0.00213,-0.0028,-3e-05
SI0100ITA,EURA14,2006-06-14 11:59:00,0.00033,-0.00143,-0.0011,0.00033,-0.00143,-0.0011
SI0100ITA,EURA14,2006-06-15 11:59:00,-0.00107,-0.00087,0.00528,-0.00107,-0.00087,0.00528
SI0100ITA,EURA14,2006-06-16 11:59:00,-0.00014,-0.0012,0.00377,-0.00014,-0.0012,0.00377
SI0100ITA,EURA14,2006-06-17 11:59:00,-0.00031,-0.00179,0.00773,-0.00031,-0.00179,0.00773
SI0100ITA,EURA14,2006-06-18 11:59:00,-0.00122,-0.00117,0.00629,-0.00122,-0.00117,0.00629
SI0100ITA,EURA14,2006-06-19 11:59:00,-0.00131,-0.00252,0.00068,-0.00131,-0.00252,0.00068
SI0100ITA,EURA14,2006-06-20 11:59:00,-0.002,0.0003,0.00818,-0.002,0.0003,0.00818
SI0100ITA,EURA14,2006-06-21 11:59:00,-0.00266,-0.00241,0.00057,-0.00266,-0.00241,0.00057
SI0100ITA,EURA14,2006-06-22 11:59:00,-0.00244,3e-05,0.00578,-0.00244,3e-05,0.00578
SI0100ITA,EURA14,2006-06-23 11:59:00,-0.00268,-0.00117,-0.00158,-0.00268,-0.00117,-0.00158
SI0100ITA,EURA14,2006-06-24 11:59:00,-0.00041,-0.00303,0.01229,-0.00041,-0.00303,0.01229
SI0100ITA,EURA14,2006-06-25 11:59:00,-0.00116,-0.00036,0.0035,-0.00116,-0.00036,0.0035
SI0100ITA,EURA14,2006-06-26 11:59:00,0.00043,-0.00189,0.00355,0.00043,-0.00189,0.00355
SI0100ITA,EURA14,2006-06-27 11:59:00,-0.00364,0.00057,0.00636,-0.00364,0.00057,0.00636
SI0100ITA,EURA14,2006-06-28 11:59:00,-0.0022,-0.00221,0.00287,-0.0022,-0.00221,0.00287
SI0100ITA,EURA14,2006-06-29 11:59:00,-0.0094,-0.00612,0.00603,-0.0094,-0.00612,0.00603
SI0100ITA,EURA14,2006-06-30 11:59:00,0.00367,0.00051,0.00448,0.00367,0.00051,0.00448
SI0100ITA,EURA14,2006-07-01 11:59:00,0.00468,0.0018,-0.01191,0.00468,0.0018,-0.01191
SI0100ITA,EURA14,2006-07-02 11:59:00,0.00182,4e-05,0.00465,0.00182,4e-05,0.00465
SI0100ITA,EURA14,2006-07-03 11:59:00,0.0031,0.00039,0.0082,0.0031,0.00039,0.0082
SI0100ITA,EURA14,2006-07-04 11:59:00,-0.00066,0.00017,0.00769,-0.00066,0.00017,0.00769
SI0100ITA,EURA14,2006-07-05 11:59:00,0.00059,-0.00128,0.00448,0.00059,-0.00128,0.00448
SI0100ITA,EURA14,2006-07-06 11:59:00,-0.00172,-0.00255,0.00205,-0.00172,-0.00255,0.00205
SI0100ITA,EURA14,2006-09-30 11:59:00,-0.00107,0.0,0.00227,0.00029934401628008513,-2.089940254795072e-05,-0.0026708994070779152
SI0100ITA,EURA14,2006-10-01 11:59:00,-0.00062,0.00044,0.00087,0.0007493440162800851,0.0004191005974520493,-0.004070899407077915
SI0100ITA,EURA14,2006-10-04 11:59:00,0.0015,-0.0041,-0.01033,0.002869344016280085,-0.0041208994025479515,-0.015270899407077916
SI0100ITA,EURA14,2006-10-05 11:59:00,-0.00013999999999999993,-0.0018850000000000004,-0.0039900000000000005,0.0012293440162800852,-0.001905899402547951,-0.008930899407077916
SI0100ITA,EURA14,2006-10-06 11:59:00,-0.00178,0.00033,0.00235,-0.0004106559837199148,0.0003091005974520493,-0.002590899407077915
SI0100ITA,EURA14,2006-10-07 11:59:00,-6e-05,-0.00077,0.0113,0.0013093440162800852,-0.0007908994025479507,0.006359100592922084
SI0100ITA,EURA14,2006-10-08 11:59:00,-0.00021,0.00015,0.00843,0.001159344016280085,0.00012910059745204925,0.003489100592922085
SI0100ITA,EURA14,2006-10-09 11:59:00,-0.0012,0.00217,0.00063,0.00016934401628008523,0.0021491005974520493,-0.004310899407077915
SI0100ITA,EURA14,2006-10-10 11:59:00,-0.00069,0.00073,0.00774,0.0006793440162800852,0.0007091005974520493,0.0027991005929220852
SI0100ITA,EURA14,2006-10-11 11:59:00,-0.00117,0.00032,0.00872,0.0001993440162800851,0.0002991005974520493,0.003779100592922085
SI0100ITA,EURA14,2006-10-12 11:59:00,-0.00195,0.00179,0.00562,-0.0005806559837199148,0.0017691005974520492,0.0006791005929220849
SI0100ITA,EURA14,2006-10-13 11:59:00,-0.00125,0.00208,0.00631,0.0001193440162800851,0.002059100597452049,0.0013691005929220845
SI0100ITA,EURA14,2006-10-14 11:59:00,-0.00071,0.0019,0.00711,0.0006593440162800851,0.0018791005974520493,0.002169100592922085
SI0100ITA,EURA14,2006-10-15 11:59:00,-0.00193,0.0004,0.00596,-0.000560655983719915,0.0003791005974520493,0.001019100592922085
SI0100ITA,EURA14,2006-10-16 11:59:00,-0.00212,0.00212,0.00633,-0.0007506559837199148,0.002099100597452049,0.0013891005929220846
SI0100ITA,EURA14,2006-10-17 11:59:00,-0.00143,0.00201,0.00226,-6.065598371991494e-05,0.0019891005974520494,-0.0026808994070779153
