marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
SUBL00ITA,EURA14,2016-12-16 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
SUBL00ITA,EURA14,2016-12-17 11:59:00,0.00117,-0.00013,-0.00193,0.00117,-0.00013,-0.00193
SUBL00ITA,EURA14,2016-12-28 11:59:00,0.00059,0.00345,-0.00909,0.00059,0.00345,-0.00909
SUBL00ITA,EURA14,2016-12-29 11:59:00,0.0001,0.00315,-0.00958,0.0001,0.00315,-0.00958
SUBL00ITA,EURA14,2017-01-17 11:59:00,0.00513,0.0054,-0.00173,0.00513,0.0054,-0.00173
SUBL00ITA,EURA14,2017-01-18 11:59:00,0.0068,0.00507,-0.00045,0.0068,0.00507,-0.00045
SUBL00ITA,EURA14,2017-01-19 11:59:00,0.00087,4e-05,0.00069,0.00087,4e-05,0.00069
SUBL00ITA,EURA14,2017-01-20 11:59:00,1e-05,0.00023,0.00124,1e-05,0.00023,0.00124
SUBL00ITA,EURA14,2017-01-21 11:59:00,0.00048,0.00014,0.00527,0.00048,0.00014,0.00527
SUBL00ITA,EURA14,2017-01-22 11:59:00,0.00051,-0.00046,-0.00011,0.00051,-0.00046,-0.00011
SUBL00ITA,EURA14,2017-01-23 11:59:00,0.0009,-9e-05,0.00356,0.0009,-9e-05,0.00356
SUBL00ITA,EURA14,2017-01-24 11:59:00,0.00085,-0.00039,0.00237,0.00085,-0.00039,0.00237
SUBL00ITA,EURA14,2017-01-25 11:59:00,2e-05,3e-05,-0.00015,2e-05,3e-05,-0.00015
SUBL00ITA,EURA14,2017-01-26 11:59:00,0.00057,0.0006,0.00091,0.00057,0.0006,0.00091
SUBL00ITA,EURA14,2017-01-27 11:59:00,0.00071,0.00059,-0.00217,0.00071,0.00059,-0.00217
SUBL00ITA,EURA14,2017-01-28 11:59:00,-0.00017,-0.00016,-0.001,-0.00017,-0.00016,-0.001
SUBL00ITA,EURA14,2017-01-29 11:59:00,0.00025,-0.00018,0.00075,0.00025,-0.00018,0.00075
