marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
SULM00ITA,EURA14,2015-03-19 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
SULM00ITA,EURA14,2015-03-20 11:59:00,-0.00063,-0.00066,-0.00139,-0.00063,-0.00066,-0.00139
SULM00ITA,EURA14,2015-03-21 11:59:00,-0.00126,-0.00017,0.00219,-0.00126,-0.00017,0.00219
SULM00ITA,EURA14,2015-03-22 11:59:00,-0.00196,-0.00032,0.00698,-0.00196,-0.00032,0.00698
SULM00ITA,EURA14,2015-06-21 11:59:00,0.0021,0.00052,-0.00418,-0.0007519715447154474,-0.0007841260162601628,-0.011495121951219512
SULM00ITA,EURA14,2015-06-22 11:59:00,0.00262,0.00058,-0.0053,-0.00023197154471544731,-0.0007241260162601628,-0.012615121951219513
SULM00ITA,EURA14,2015-06-23 11:59:00,0.00092,-0.00018,0.02,-0.0019319715447154472,-0.0014841260162601628,0.012684878048780488
SULM00ITA,EURA14,2015-06-24 11:59:00,0.00234,0.00205,0.00668,-0.0005119715447154472,0.0007458739837398374,-0.0006351219512195118
SULM00ITA,EURA14,2015-06-25 11:59:00,0.00256,0.0008,-0.00146,-0.00029197154471544704,-0.0005041260162601627,-0.008775121951219511
SULM00ITA,EURA14,2015-06-26 11:59:00,0.00515,0.00671,0.00294,0.002298028455284553,0.005405873983739837,-0.004375121951219512
SULM00ITA,EURA14,2015-06-27 11:59:00,0.00253,0.00162,0.0029,-0.0003219715447154471,0.00031587398373983714,-0.004415121951219512
SULM00ITA,EURA14,2015-06-28 11:59:00,0.00288,0.00312,-0.00604,2.8028455284552934e-05,0.0018158739837398372,-0.013355121951219512
SULM00ITA,EURA14,2015-06-29 11:59:00,0.00319,0.00188,0.0048,0.0003380284552845529,0.0005758739837398372,-0.0025151219512195124
SULM00ITA,EURA14,2015-06-30 11:59:00,0.00302,0.00075,0.00578,0.00016802845528455287,-0.0005541260162601628,-0.0015351219512195115
SULM00ITA,EURA14,2015-07-01 11:59:00,0.00315,5e-05,0.00766,0.0002980284552845528,-0.0012541260162601629,0.0003448780487804882
SULM00ITA,EURA14,2015-07-02 11:59:00,0.00322,0.00085,-0.00075,0.00036802845528455296,-0.0004541260162601628,-0.008065121951219513
SULM00ITA,EURA14,2015-07-06 11:59:00,-0.00171,0.00082,0.00312,-0.004561971544715447,-0.0004841260162601628,-0.0041951219512195125
SULM00ITA,EURA14,2015-07-07 11:59:00,0.00091,0.00288,-0.00398,-0.0019419715447154472,0.0015758739837398374,-0.011295121951219511
SULM00ITA,EURA14,2015-07-08 11:59:00,0.00177,-0.00375,0.01076,-0.0010819715447154472,-0.005054126016260162,0.0034448780487804885
SULM00ITA,EURA14,2015-07-09 11:59:00,0.00244,-0.00201,0.02016,-0.00041197154471544735,-0.003314126016260163,0.012844878048780489
SULM00ITA,EURA14,2015-07-10 11:59:00,0.00191,0.00093,0.00715,-0.0009419715447154472,-0.0003741260162601627,-0.00016512195121951186
SULM00ITA,EURA14,2015-07-11 11:59:00,0.00194,0.00089,-0.00058,-0.0009119715447154471,-0.0004141260162601628,-0.007895121951219513
SULM00ITA,EURA14,2015-07-12 11:59:00,0.00233,-0.0009400000000000001,-0.0016400000000000002,-0.0005219715447154472,-0.002244126016260163,-0.008955121951219513
SULM00ITA,EURA14,2015-07-13 11:59:00,0.00272,-0.00277,-0.0027,-0.00013197154471544705,-0.0040741260162601625,-0.010015121951219511
SULM00ITA,EURA14,2015-07-14 11:59:00,0.00822,0.00104,0.00268,0.005368028455284553,-0.00026412601626016287,-0.004635121951219512
SULM00ITA,EURA14,2015-07-15 11:59:00,0.00335,0.0016,0.00277,0.0004980284552845529,0.0002958739837398373,-0.004545121951219512
