marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
TELI00ITA,EURA14,2012-01-28 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
TELI00ITA,EURA14,2012-01-29 11:59:00,7e-05,0.00129,0.00527,7e-05,0.00129,0.00527
TELI00ITA,EURA14,2012-01-30 11:59:00,-0.00097,0.00034,0.00841,-0.00097,0.00034,0.00841
TELI00ITA,EURA14,2012-01-31 11:59:00,0.00066,0.0001,0.00665,0.00066,0.0001,0.00665
TELI00ITA,EURA14,2012-02-01 11:59:00,-0.00135,0.00155,0.00741,-0.00135,0.00155,0.00741
TELI00ITA,EURA14,2012-02-02 11:59:00,0.00072,5e-05,0.0079,0.00072,5e-05,0.0079
TELI00ITA,EURA14,2012-02-03 11:59:00,0.00249,-0.0071,0.00798,0.00249,-0.0071,0.00798
TELI00ITA,EURA14,2012-02-04 11:59:00,0.00272,-0.00162,0.00036,0.00272,-0.00162,0.00036
TELI00ITA,EURA14,2012-02-05 11:59:00,0.0003,-0.00082,0.0054,0.0003,-0.00082,0.0054
TELI00ITA,EURA14,2012-02-06 11:59:00,0.00143,-0.0005,0.00935,0.00143,-0.0005,0.00935
TELI00ITA,EURA14,2012-02-07 11:59:00,0.0034,-0.00367,0.00831,0.0034,-0.00367,0.00831
TELI00ITA,EURA14,2012-02-08 11:59:00,-0.00077,-0.0007,0.00285,-0.00077,-0.0007,0.00285
TELI00ITA,EURA14,2012-02-09 11:59:00,0.00048,-0.00105,0.00029,0.00048,-0.00105,0.00029
TELI00ITA,EURA14,2012-02-10 11:59:00,0.00243,-0.00113,0.00935,0.00243,-0.00113,0.00935
TELI00ITA,EURA14,2012-02-11 11:59:00,-0.00079,-0.00072,0.00804,-0.00079,-0.00072,0.00804
TELI00ITA,EURA14,2012-02-12 11:59:00,0.00239,-0.00174,0.00399,0.00239,-0.00174,0.00399
TELI00ITA,EURA14,2012-02-13 11:59:00,-0.00047,-0.00285,0.0065,-0.00047,-0.00285,0.0065
TELI00ITA,EURA14,2012-02-14 11:59:00,-0.00015,-0.00288,0.00435,-0.00015,-0.00288,0.00435
TELI00ITA,EURA14,2012-02-15 11:59:00,0.00089,-0.00223,0.00616,0.00089,-0.00223,0.00616
TELI00ITA,EURA14,2012-02-16 11:59:00,0.00025,-0.00054,0.00391,0.00025,-0.00054,0.00391
TELI00ITA,EURA14,2012-02-17 11:59:00,-0.00066,0.0001,0.00285,-0.00066,0.0001,0.00285
TELI00ITA,EURA14,2012-02-18 11:59:00,0.00079,-0.00055,-0.00148,0.00079,-0.00055,-0.00148
TELI00ITA,EURA14,2012-02-19 11:59:00,9e-05,0.0001,0.00176,9e-05,0.0001,0.00176
TELI00ITA,EURA14,2012-02-20 11:59:00,0.00099,0.00022,0.00331,0.00099,0.00022,0.00331
TELI00ITA,EURA14,2012-02-21 11:59:00,0.00101,3e-05,0.00265,0.00101,3e-05,0.00265
TELI00ITA,EURA14,2012-02-22 11:59:00,0.00095,-0.00139,0.00133,0.00095,-0.00139,0.00133
TELI00ITA,EURA14,2012-02-23 11:59:00,0.00075,-0.00053,0.00232,0.00075,-0.00053,0.00232
TELI00ITA,EURA14,2012-02-24 11:59:00,0.00078,-0.00118,0.00218,0.00078,-0.00118,0.00218
TELI00ITA,EURA14,2012-02-25 11:59:00,0.00041,-0.00092,0.00524,0.00041,-0.00092,0.00524
TELI00ITA,EURA14,2012-02-26 11:59:00,5e-05,-0.00071,0.01218,5e-05,-0.00071,0.01218
TELI00ITA,EURA14,2012-02-27 11:59:00,-0.00046,-4e-05,-0.00095,-0.00046,-4e-05,-0.00095
TELI00ITA,EURA14,2012-02-28 11:59:00,-6e-05,-0.00084,0.00506,-6e-05,-0.00084,0.00506
TELI00ITA,EURA14,2012-02-29 11:59:00,0.00042,-0.00107,0.00507,0.00042,-0.00107,0.00507
TELI00ITA,EURA14,2012-03-01 11:59:00,0.00092,-0.00133,0.00364,0.00092,-0.00133,0.00364
TELI00ITA,EURA14,2012-03-02 11:59:00,0.00106,-4e-05,0.00222,0.00106,-4e-05,0.00222
