marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
TEOS00ITA,EURA14,2021-06-18 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
TEOS00ITA,EURA14,2021-06-19 11:59:00,-0.00264,-0.00208,0.01174,-0.00264,-0.00208,0.01174
TEOS00ITA,EURA14,2021-06-20 11:59:00,-0.00051,-0.00115,0.01888,-0.00051,-0.00115,0.01888
TEOS00ITA,EURA14,2021-06-21 11:59:00,-0.00388,-0.00257,0.02011,-0.00388,-0.00257,0.02011
TEOS00ITA,EURA14,2021-06-22 11:59:00,-0.00258,0.00232,0.00051,-0.00258,0.00232,0.00051
TEOS00ITA,EURA14,2021-06-23 11:59:00,-0.00313,-0.00102,0.01282,-0.00313,-0.00102,0.01282
TEOS00ITA,EURA14,2021-06-24 11:59:00,0.00689,-0.0018,0.01175,0.00689,-0.0018,0.01175
TEOS00ITA,EURA14,2021-06-25 11:59:00,-0.00317,-0.001,-0.00525,-0.00317,-0.001,-0.00525
TEOS00ITA,EURA14,2021-06-26 11:59:00,-0.00271,-0.00071,0.00408,-0.00271,-0.00071,0.00408
TEOS00ITA,EURA14,2021-06-27 11:59:00,-0.00198,-0.00154,0.00932,-0.00198,-0.00154,0.00932
TEOS00ITA,EURA14,2021-06-28 11:59:00,0.00024,-0.00301,-0.00047,0.00024,-0.00301,-0.00047
TEOS00ITA,EURA14,2021-06-29 11:59:00,0.00076,-0.00222,0.00704,0.00076,-0.00222,0.00704
TEOS00ITA,EURA14,2021-06-30 11:59:00,-0.00837,-0.00497,0.01253,-0.00837,-0.00497,0.01253
TEOS00ITA,EURA14,2021-07-01 11:59:00,-0.00301,-0.00348,0.00404,-0.00301,-0.00348,0.00404
TEOS00ITA,EURA14,2021-07-02 11:59:00,-0.00172,-0.00207,0.00588,-0.00172,-0.00207,0.00588
TEOS00ITA,EURA14,2021-07-03 11:59:00,-0.00079,-0.00143,-0.00285,-0.00079,-0.00143,-0.00285
TEOS00ITA,EURA14,2021-07-04 11:59:00,-0.00149,0.00041,-0.00583,-0.00149,0.00041,-0.00583
TEOS00ITA,EURA14,2021-07-05 11:59:00,-0.00248,-0.00019,-0.00088,-0.00248,-0.00019,-0.00088
TEOS00ITA,EURA14,2021-07-06 11:59:00,-0.00273,-0.00198,0.00177,-0.00273,-0.00198,0.00177
TEOS00ITA,EURA14,2021-07-07 11:59:00,-0.00315,-0.00184,0.0036,-0.00315,-0.00184,0.0036
TEOS00ITA,EURA14,2021-07-08 11:59:00,-0.00308,-0.00075,-0.00079,-0.00308,-0.00075,-0.00079
TEOS00ITA,EURA14,2021-07-09 11:59:00,0.00044,-0.00059,0.00892,0.00044,-0.00059,0.00892
TEOS00ITA,EURA14,2021-07-10 11:59:00,-0.00135,-0.00111,-0.00153,-0.00135,-0.00111,-0.00153
TEOS00ITA,EURA14,2021-07-11 11:59:00,-0.0022,-0.00176,0.00651,-0.0022,-0.00176,0.00651
TEOS00ITA,EURA14,2021-07-12 11:59:00,-0.00078,-0.00118,0.00161,-0.00078,-0.00118,0.00161
TEOS00ITA,EURA14,2021-07-13 11:59:00,-0.0048,-0.00668,0.0283,-0.0048,-0.00668,0.0283
TEOS00ITA,EURA14,2021-07-14 11:59:00,-0.00862,-0.00172,0.01262,-0.00862,-0.00172,0.01262
TEOS00ITA,EURA14,2021-07-15 11:59:00,-0.00119,-0.00202,0.00197,-0.00119,-0.00202,0.00197
TEOS00ITA,EURA14,2021-07-16 11:59:00,-0.00291,-0.0011,0.0069,-0.00291,-0.0011,0.0069
TEOS00ITA,EURA14,2021-07-17 11:59:00,-0.00159,-0.00132,-0.00123,-0.00159,-0.00132,-0.00123
TEOS00ITA,EURA14,2021-07-18 11:59:00,-0.00169,-0.00476,0.0138,-0.00169,-0.00476,0.0138
TEOS00ITA,EURA14,2021-07-19 11:59:00,-0.00226,-0.00205,0.00694,-0.00226,-0.00205,0.00694
TEOS00ITA,EURA14,2021-07-20 11:59:00,-0.00286,0.0002,-0.00118,-0.00286,0.0002,-0.00118
TEOS00ITA,EURA14,2021-07-21 11:59:00,2e-05,-0.00288,0.00225,2e-05,-0.00288,0.00225
TEOS00ITA,EURA14,2021-07-22 11:59:00,-0.00055,-0.00109,-0.0065,-0.00055,-0.00109,-0.0065
TEOS00ITA,EURA14,2021-07-23 11:59:00,-0.00148,-0.00314,0.0079,-0.00148,-0.00314,0.0079
TEOS00ITA,EURA14,2021-07-24 11:59:00,-0.00082,-0.00486,0.01388,-0.00082,-0.00486,0.01388
TEOS00ITA,EURA14,2021-07-25 11:59:00,-0.00247,-0.00252,0.00941,-0.00247,-0.00252,0.00941
TEOS00ITA,EURA14,2021-07-26 11:59:00,0.00147,-0.00249,0.00609,0.00147,-0.00249,0.00609
TEOS00ITA,EURA14,2021-07-27 11:59:00,-0.00024,-0.00307,0.00208,-0.00024,-0.00307,0.00208
