marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
TERA00ITA,EURA14,2009-01-15 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
TERA00ITA,EURA14,2009-01-16 11:59:00,-0.00134,-0.00015,-0.00191,-0.00134,-0.00015,-0.00191
TERA00ITA,EURA14,2009-01-17 11:59:00,-0.00036,0.00016,-0.00717,-0.00036,0.00016,-0.00717
TERA00ITA,EURA14,2009-01-18 11:59:00,-0.00163,2e-05,0.00065,-0.00163,2e-05,0.00065
TERA00ITA,EURA14,2009-01-19 11:59:00,-0.0025,-0.00199,0.00518,-0.0025,-0.00199,0.00518
TERA00ITA,EURA14,2009-01-20 11:59:00,0.00084,0.00012,0.00711,0.00084,0.00012,0.00711
TERA00ITA,EURA14,2009-01-21 11:59:00,-0.00036,-0.00033,0.00912,-0.00036,-0.00033,0.00912
TERA00ITA,EURA14,2009-01-22 11:59:00,-0.00039,-0.00044,0.00434,-0.00039,-0.00044,0.00434
TERA00ITA,EURA14,2009-01-23 11:59:00,-0.00019,0.00029,0.00339,-0.00019,0.00029,0.00339
TERA00ITA,EURA14,2009-01-24 11:59:00,-0.0016,-0.00069,0.00423,-0.0016,-0.00069,0.00423
TERA00ITA,EURA14,2009-01-25 11:59:00,-0.00045,-0.00081,0.00298,-0.00045,-0.00081,0.00298
TERA00ITA,EURA14,2009-01-26 11:59:00,1e-05,-0.00046,-0.00592,1e-05,-0.00046,-0.00592
TERA00ITA,EURA14,2009-01-27 11:59:00,-0.00112,0.00034,-0.0029,-0.00112,0.00034,-0.0029
TERA00ITA,EURA14,2009-01-28 11:59:00,-0.00113,0.00073,-0.00447,-0.00113,0.00073,-0.00447
TERA00ITA,EURA14,2009-01-29 11:59:00,-0.00085,0.00023,-0.00325,-0.00085,0.00023,-0.00325
TERA00ITA,EURA14,2009-01-30 11:59:00,-0.00134,0.0015,-0.00577,-0.00134,0.0015,-0.00577
TERA00ITA,EURA14,2009-01-31 11:59:00,-9e-05,-0.00022,-0.00173,-9e-05,-0.00022,-0.00173
TERA00ITA,EURA14,2009-02-01 11:59:00,-0.00066,0.00046,0.00363,-0.00066,0.00046,0.00363
TERA00ITA,EURA14,2009-02-02 11:59:00,0.00097,-0.00097,-0.00235,0.00097,-0.00097,-0.00235
TERA00ITA,EURA14,2009-02-03 11:59:00,0.00073,0.00073,0.00354,0.00073,0.00073,0.00354
TERA00ITA,EURA14,2009-02-04 11:59:00,0.00077,0.00024,-0.0064,0.00077,0.00024,-0.0064
TERA00ITA,EURA14,2009-02-05 11:59:00,-0.00022,-0.00052,-0.00201,-0.00022,-0.00052,-0.00201
TERA00ITA,EURA14,2009-02-06 11:59:00,-0.00153,0.00057,-0.00115,-0.00153,0.00057,-0.00115
TERA00ITA,EURA14,2009-02-07 11:59:00,0.00156,0.00164,0.00246,0.00156,0.00164,0.00246
TERA00ITA,EURA14,2009-02-08 11:59:00,-0.00013,0.00071,-0.00262,-0.00013,0.00071,-0.00262
TERA00ITA,EURA14,2009-02-09 11:59:00,-0.00066,0.00079,-0.00738,-0.00066,0.00079,-0.00738
TERA00ITA,EURA14,2009-02-10 11:59:00,0.00082,0.00193,-0.00931,0.00082,0.00193,-0.00931
TERA00ITA,EURA14,2009-02-11 11:59:00,-0.00085,0.00219,0.00069,-0.00085,0.00219,0.00069
TERA00ITA,EURA14,2009-02-12 11:59:00,-0.00135,4e-05,-0.00185,-0.00135,4e-05,-0.00185
TERA00ITA,EURA14,2009-02-13 11:59:00,-0.00215,0.00061,-0.002,-0.00215,0.00061,-0.002
TERA00ITA,EURA14,2009-02-14 11:59:00,-0.0016,0.0015,-0.00224,-0.0016,0.0015,-0.00224
TERA00ITA,EURA14,2009-02-15 11:59:00,-0.001,0.00151,-0.0051,-0.001,0.00151,-0.0051
TERA00ITA,EURA14,2009-02-16 11:59:00,-0.00076,0.00145,-0.00614,-0.00076,0.00145,-0.00614
TERA00ITA,EURA14,2009-02-17 11:59:00,-3e-05,0.00045,-0.00083,-3e-05,0.00045,-0.00083
TERA00ITA,EURA14,2009-02-18 11:59:00,-0.00189,0.00184,-0.00379,-0.00189,0.00184,-0.00379
TERA00ITA,EURA14,2009-02-19 11:59:00,-0.00192,0.00273,-0.00134,-0.00192,0.00273,-0.00134
TERA00ITA,EURA14,2009-02-20 11:59:00,-0.00151,0.00171,-0.00579,-0.00151,0.00171,-0.00579
TERA00ITA,EURA14,2009-02-21 11:59:00,-0.0005,0.0022,-0.00378,-0.0005,0.0022,-0.00378
TERA00ITA,EURA14,2009-02-22 11:59:00,-0.00123,0.00134,-0.00104,-0.00123,0.00134,-0.00104
TERA00ITA,EURA14,2009-02-23 11:59:00,-0.00129,0.00222,0.00256,-0.00129,0.00222,0.00256
TERA00ITA,EURA14,2009-02-24 11:59:00,-0.00089,0.00197,-0.0032,-0.00089,0.00197,-0.0032
TERA00ITA,EURA14,2009-02-25 11:59:00,-0.00125,0.00375,-0.00296,-0.00125,0.00375,-0.00296
TERA00ITA,EURA14,2009-02-26 11:59:00,0.00118,0.00171,0.00319,0.00118,0.00171,0.00319
TERA00ITA,EURA14,2009-02-27 11:59:00,0.0003,0.00114,-0.00133,0.0003,0.00114,-0.00133
TERA00ITA,EURA14,2009-03-07 11:59:00,-0.00112,0.00226,-0.0012,-0.00112,0.00226,-0.0012
TERA00ITA,EURA14,2009-03-08 11:59:00,-0.00089,0.0018,-0.00416,-0.00089,0.0018,-0.00416
TERA00ITA,EURA14,2009-03-09 11:59:00,-0.00341,0.00261,0.0024,-0.00341,0.00261,0.0024
TERA00ITA,EURA14,2009-03-10 11:59:00,-0.0007,0.00192,-0.00849,-0.0007,0.00192,-0.00849
TERA00ITA,EURA14,2009-03-11 11:59:00,0.001,0.00184,-0.00193,0.001,0.00184,-0.00193
TERA00ITA,EURA14,2009-03-12 11:59:00,-0.00057,0.0025,-0.00688,-0.00057,0.0025,-0.00688
TERA00ITA,EURA14,2009-03-13 11:59:00,-8e-05,0.00091,-0.00028,-8e-05,0.00091,-0.00028
TERA00ITA,EURA14,2009-03-14 11:59:00,-0.00054,0.00205,-0.00208,-0.00054,0.00205,-0.00208
TERA00ITA,EURA14,2009-03-15 11:59:00,-0.00034,0.00315,-0.00491,-0.00034,0.00315,-0.00491
TERA00ITA,EURA14,2009-03-16 11:59:00,-0.00155,0.00277,-0.00506,-0.00155,0.00277,-0.00506
TERA00ITA,EURA14,2009-03-17 11:59:00,0.00026,0.00182,-0.00991,0.00026,0.00182,-0.00991
TERA00ITA,EURA14,2009-03-20 11:59:00,-0.0023,0.00245,-0.00142,-0.0023,0.00245,-0.00142
TERA00ITA,EURA14,2009-03-21 11:59:00,-0.00198,0.0018,-0.0015500000000000002,-0.00198,0.0018,-0.0015500000000000002
TERA00ITA,EURA14,2009-03-22 11:59:00,-0.00166,0.00115,-0.00168,-0.00166,0.00115,-0.00168
TERA00ITA,EURA14,2009-03-29 11:59:00,-0.00133,0.00422,-0.00236,-0.00133,0.00422,-0.00236
TERA00ITA,EURA14,2009-03-30 11:59:00,-0.00034,0.00479,0.00419,-0.00034,0.00479,0.00419
TERA00ITA,EURA14,2009-03-31 11:59:00,-0.00095,0.00213,-0.00138,-0.00095,0.00213,-0.00138
TERA00ITA,EURA14,2009-04-01 11:59:00,-0.00176,0.00265,-0.00274,-0.00176,0.00265,-0.00274
TERA00ITA,EURA14,2009-04-02 11:59:00,0.00013,0.00286,-0.00222,0.00013,0.00286,-0.00222
TERA00ITA,EURA14,2009-04-03 11:59:00,-0.00091,0.00385,-0.01633,-0.00091,0.00385,-0.01633
TERA00ITA,EURA14,2009-04-04 11:59:00,-0.00146,0.00261,-0.01798,-0.00146,0.00261,-0.01798
TERA00ITA,EURA14,2009-04-05 11:59:00,-0.00018,0.00229,-0.01003,-0.00018,0.00229,-0.01003
TERA00ITA,EURA14,2009-04-06 11:59:00,0.0044,0.0139,-0.01276,-0.0037672751987710236,0.003933392399934269,-0.0130745508279636
TERA00ITA,EURA14,2009-04-07 11:59:00,0.00792,0.01124,-0.00165,-0.00024727519877102387,0.0012733923999342697,-0.0019645508279635994
TERA00ITA,EURA14,2009-04-08 11:59:00,0.00693,0.01404,-0.0043,-0.0012372751987710234,0.00407339239993427,-0.004614550827963599
TERA00ITA,EURA14,2009-04-09 11:59:00,0.00701,0.01366,-0.00779,-0.001157275198771024,0.00369339239993427,-0.008104550827963599
TERA00ITA,EURA14,2009-04-10 11:59:00,0.00801,0.01529,-0.00904,-0.00015727519877102407,0.0053233923999342694,-0.009354550827963598
TERA00ITA,EURA14,2009-04-11 11:59:00,0.00893,0.01379,-0.00185,0.0007627248012289766,0.00382339239993427,-0.0021645508279635995
TERA00ITA,EURA14,2009-04-12 11:59:00,0.00936,0.01511,1e-05,0.0011927248012289764,0.00514339239993427,-0.00030455082796359927
TERA00ITA,EURA14,2009-04-13 11:59:00,0.00847,0.01428,0.00267,0.00030272480122897627,0.004313392399934269,0.0023554491720364007
TERA00ITA,EURA14,2009-04-14 11:59:00,0.00862,0.0142,0.00199,0.00045272480122897536,0.0042333923999342705,0.0016754491720364006
TERA00ITA,EURA14,2009-04-15 11:59:00,0.00945,0.01522,-0.0038,0.0012827248012289762,0.005253392399934269,-0.004114550827963599
TERA00ITA,EURA14,2009-04-16 11:59:00,0.0088,0.01512,-0.0003,0.0006327248012289767,0.005153392399934269,-0.0006145508279635993
TERA00ITA,EURA14,2009-04-17 11:59:00,0.00514,0.01043,-0.00959,-0.0030272751987710242,0.0004633923999342697,-0.009904550827963599
TERA00ITA,EURA14,2009-04-18 11:59:00,0.00774,0.01434,-0.00522,-0.0004272751987710235,0.00437339239993427,-0.005534550827963599
TERA00ITA,EURA14,2009-04-19 11:59:00,0.00939,0.0147,-0.00261,0.001222724801228977,0.004733392399934269,-0.0029245508279635993
TERA00ITA,EURA14,2009-04-20 11:59:00,0.00765,0.01363,-0.0041,-0.0005172751987710241,0.0036633923999342694,-0.004414550827963599
TERA00ITA,EURA14,2009-04-21 11:59:00,0.00663,0.01381,4e-05,-0.0015372751987710242,0.003843392399934269,-0.0002745508279635993
TERA00ITA,EURA14,2009-04-22 11:59:00,0.00837,0.01425,-0.00133,0.00020272480122897688,0.00428339239993427,-0.0016445508279635994
TERA00ITA,EURA14,2009-04-23 11:59:00,0.00805,0.01484,-0.00302,-0.00011727519877102396,0.00487339239993427,-0.0033345508279635995
TERA00ITA,EURA14,2009-04-24 11:59:00,0.00871,0.01472,-0.00616,0.0005427248012289769,0.00475339239993427,-0.006474550827963599
TERA00ITA,EURA14,2009-04-25 11:59:00,0.00828,0.01482,-0.00461,0.00011272480122897534,0.0048533923999342695,-0.004924550827963599
TERA00ITA,EURA14,2009-04-26 11:59:00,0.00873,0.01293,-0.00578,0.0005627248012289761,0.00296339239993427,-0.006094550827963599
TERA00ITA,EURA14,2009-04-27 11:59:00,0.00841,0.01462,-0.00069,0.00024272480122897698,0.004653392399934269,-0.0010045508279635993
TERA00ITA,EURA14,2009-04-28 11:59:00,0.00846,0.0134,-0.00305,0.0002927248012289767,0.00343339239993427,-0.0033645508279635996
TERA00ITA,EURA14,2009-04-29 11:59:00,0.00924,0.01437,-0.00238,0.0010727248012289761,0.0044033923999342705,-0.0026945508279635996
TERA00ITA,EURA14,2009-04-30 11:59:00,0.00925,0.01381,0.00469,0.0010827248012289757,0.003843392399934269,0.004375449172036401
TERA00ITA,EURA14,2009-05-01 11:59:00,0.00819,0.01498,-0.00219,2.2724801228975536e-05,0.00501339239993427,-0.0025045508279635995
TERA00ITA,EURA14,2009-05-02 11:59:00,0.00948,0.01461,-0.00487,0.0013127248012289768,0.004643392399934269,-0.005184550827963599
TERA00ITA,EURA14,2009-05-03 11:59:00,0.00915,0.01584,-0.00503,0.0009827248012289763,0.00587339239993427,-0.005344550827963599
TERA00ITA,EURA14,2009-05-04 11:59:00,0.00904,0.01591,-0.00875,0.0008727248012289756,0.00594339239993427,-0.0090645508279636
TERA00ITA,EURA14,2009-05-05 11:59:00,0.00786,0.01526,-0.00368,-0.00030727519877102316,0.005293392399934269,-0.003994550827963599
TERA00ITA,EURA14,2009-05-06 11:59:00,0.00988,0.01441,-0.00808,0.001712724801228976,0.004443392399934269,-0.0083945508279636
TERA00ITA,EURA14,2009-05-07 11:59:00,0.00953,0.01549,-0.00393,0.0013627248012289764,0.00552339239993427,-0.004244550827963599
TERA00ITA,EURA14,2009-05-08 11:59:00,0.00891,0.01369,-0.00331,0.0007427248012289757,0.0037233923999342704,-0.0036245508279635994
TERA00ITA,EURA14,2009-05-09 11:59:00,0.01015,0.01485,-0.00075,0.0019827248012289755,0.00488339239993427,-0.0010645508279635992
TERA00ITA,EURA14,2009-05-10 11:59:00,0.00904,0.015,-0.00152,0.0008727248012289756,0.005033392399934269,-0.0018345508279635995
TERA00ITA,EURA14,2009-05-11 11:59:00,0.00964,0.01433,-0.00161,0.0014727248012289754,0.00436339239993427,-0.0019245508279635993
TERA00ITA,EURA14,2009-05-12 11:59:00,0.01046,0.01581,-0.00243,0.0022927248012289767,0.005843392399934271,-0.0027445508279635993
TERA00ITA,EURA14,2009-05-13 11:59:00,0.01052,0.01441,-0.00569,0.002352724801228976,0.004443392399934269,-0.006004550827963599
TERA00ITA,EURA14,2009-05-14 11:59:00,0.00912,0.01564,0.00042,0.0009527248012289758,0.005673392399934271,0.00010544917203640072
TERA00ITA,EURA14,2009-05-15 11:59:00,0.01108,0.01317,-0.00231,0.0029127248012289757,0.003203392399934269,-0.0026245508279635994
TERA00ITA,EURA14,2009-05-16 11:59:00,0.00994,0.01598,-0.00659,0.0017727248012289754,0.006013392399934271,-0.006904550827963599
TERA00ITA,EURA14,2009-05-17 11:59:00,0.00895,0.0165,-0.0096,0.0007827248012289758,0.0065333923999342704,-0.009914550827963598
TERA00ITA,EURA14,2009-05-18 11:59:00,0.00911,0.01437,-0.01434,0.0009427248012289762,0.0044033923999342705,-0.0146545508279636
TERA00ITA,EURA14,2009-05-19 11:59:00,0.00845,0.01466,-0.01031,0.00028272480122897535,0.004693392399934269,-0.010624550827963599
TERA00ITA,EURA14,2009-05-20 11:59:00,0.01071,0.01629,-0.00653,0.002542724801228977,0.006323392399934269,-0.006844550827963599
TERA00ITA,EURA14,2009-05-21 11:59:00,0.00983,0.01589,-0.00056,0.0016627248012289764,0.005923392399934271,-0.0008745508279635992
TERA00ITA,EURA14,2009-05-22 11:59:00,0.00888,0.01645,-0.00658,0.0007127248012289769,0.006483392399934269,-0.006894550827963599
