marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
TERN01ITA,EURA14,2018-10-27 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
TERN01ITA,EURA14,2018-10-28 11:59:00,-0.00192,-0.002,-0.00803,-0.00192,-0.002,-0.00803
TERN01ITA,EURA14,2018-11-08 11:59:00,2e-05,0.00067,-0.01451,2e-05,0.00067,-0.01451
TERN01ITA,EURA14,2018-11-13 11:59:00,0.00049,0.00176,-0.01421,0.00049,0.00176,-0.01421
TERN01ITA,EURA14,2018-11-14 11:59:00,-0.00033,0.00163,-0.01107,-0.00033,0.00163,-0.01107
TERN01ITA,EURA14,2018-11-15 11:59:00,0.00042,0.0013,-0.01004,0.00042,0.0013,-0.01004
TERN01ITA,EURA14,2018-11-16 11:59:00,0.00152,0.00149,-0.01435,0.00152,0.00149,-0.01435
TERN01ITA,EURA14,2018-11-21 11:59:00,-0.00044,0.00147,-0.01679,-0.00044,0.00147,-0.01679
TERN01ITA,EURA14,2018-11-22 11:59:00,-0.00092,0.00187,-0.01659,-0.00092,0.00187,-0.01659
TERN01ITA,EURA14,2018-12-06 11:59:00,-0.00026,0.00098,-0.01085,-0.00026,0.00098,-0.01085
TERN01ITA,EURA14,2018-12-07 11:59:00,-0.00087,0.00141,-0.01249,-0.00087,0.00141,-0.01249
TERN01ITA,EURA14,2018-12-08 11:59:00,-0.0002,0.00318,-0.01575,-0.0002,0.00318,-0.01575
TERN01ITA,EURA14,2018-12-09 11:59:00,-0.00017,0.00139,-0.0103,-0.00017,0.00139,-0.0103
TERN01ITA,EURA14,2018-12-10 11:59:00,-0.00019,0.00256,-0.01182,-0.00019,0.00256,-0.01182
TERN01ITA,EURA14,2018-12-11 11:59:00,0.00099,0.0018,-0.01175,0.00099,0.0018,-0.01175
TERN01ITA,EURA14,2018-12-12 11:59:00,0.00042,0.00148,-0.01321,0.00042,0.00148,-0.01321
TERN01ITA,EURA14,2018-12-13 11:59:00,0.00058,0.00117,-0.01179,0.00058,0.00117,-0.01179
TERN01ITA,EURA14,2018-12-14 11:59:00,-0.00085,0.00161,-0.01514,-0.00085,0.00161,-0.01514
TERN01ITA,EURA14,2018-12-15 11:59:00,-0.00018,-0.00052,-0.01497,-0.00018,-0.00052,-0.01497
TERN01ITA,EURA14,2018-12-16 11:59:00,0.00026,0.00079,-0.01416,0.00026,0.00079,-0.01416
TERN01ITA,EURA14,2018-12-17 11:59:00,0.00179,0.00543,-0.02072,0.00179,0.00543,-0.02072
TERN01ITA,EURA14,2018-12-18 11:59:00,0.00262,0.00284,-0.01574,0.00262,0.00284,-0.01574
TERN01ITA,EURA14,2018-12-19 11:59:00,0.00016,0.00017,-0.01035,0.00016,0.00017,-0.01035
TERN01ITA,EURA14,2018-12-20 11:59:00,0.00095,0.00077,-0.00754,0.00095,0.00077,-0.00754
TERN01ITA,EURA14,2018-12-21 11:59:00,0.00086,-0.0003,-0.01406,0.00086,-0.0003,-0.01406
TERN01ITA,EURA14,2018-12-22 11:59:00,0.00082,0.0013,-0.00991,0.00082,0.0013,-0.00991
TERN01ITA,EURA14,2018-12-23 11:59:00,9e-05,0.00074,-0.0078,9e-05,0.00074,-0.0078
TERN01ITA,EURA14,2018-12-24 11:59:00,0.00114,0.00093,-0.01002,0.00114,0.00093,-0.01002
TERN01ITA,EURA14,2018-12-25 11:59:00,0.00065,0.001,-0.0119,0.00065,0.001,-0.0119
TERN01ITA,EURA14,2018-12-26 11:59:00,0.00031,0.00104,-0.01292,0.00031,0.00104,-0.01292
TERN01ITA,EURA14,2018-12-27 11:59:00,-3e-05,0.00137,-0.01179,-3e-05,0.00137,-0.01179
TERN01ITA,EURA14,2018-12-28 11:59:00,-0.00026,0.00113,-0.01353,-0.00026,0.00113,-0.01353
TERN01ITA,EURA14,2018-12-29 11:59:00,0.00021,0.00193,-0.00953,0.00021,0.00193,-0.00953
TERN01ITA,EURA14,2018-12-30 11:59:00,0.00091,0.00437,-0.01308,0.00091,0.00437,-0.01308
TERN01ITA,EURA14,2018-12-31 11:59:00,-1e-05,0.00475,-0.01247,-1e-05,0.00475,-0.01247
TERN01ITA,EURA14,2019-01-01 11:59:00,0.00047,0.00314,-0.00938,0.00047,0.00314,-0.00938
TERN01ITA,EURA14,2019-01-02 11:59:00,-0.00056,0.00551,-0.01289,-0.00056,0.00551,-0.01289
TERN01ITA,EURA14,2019-01-03 11:59:00,-0.00094,0.00585,-0.01011,-0.00094,0.00585,-0.01011
TERN01ITA,EURA14,2019-01-04 11:59:00,0.00026,0.00722,-0.01947,0.00026,0.00722,-0.01947
TERN01ITA,EURA14,2019-01-05 11:59:00,0.0007,0.00101,-0.0102,0.0007,0.00101,-0.0102
TERN01ITA,EURA14,2019-01-06 11:59:00,0.00063,0.0019,-0.00533,0.00063,0.0019,-0.00533
TERN01ITA,EURA14,2019-01-07 11:59:00,0.00022,0.00144,-0.0114,0.00022,0.00144,-0.0114
TERN01ITA,EURA14,2019-01-08 11:59:00,0.00047,0.00067,-0.00332,0.00047,0.00067,-0.00332
TERN01ITA,EURA14,2019-01-09 11:59:00,0.00052,0.0041,-0.00271,0.00052,0.0041,-0.00271
TERN01ITA,EURA14,2019-01-10 11:59:00,0.00302,0.00926,-0.0104,0.00302,0.00926,-0.0104
TERN01ITA,EURA14,2019-01-11 11:59:00,0.00211,0.00225,-0.00449,0.00211,0.00225,-0.00449
