marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
TINA00ITA,EURA14,2012-01-20 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
TINA00ITA,EURA14,2012-01-21 11:59:00,0.00131,0.00111,-0.00135,0.00131,0.00111,-0.00135
TINA00ITA,EURA14,2012-01-22 11:59:00,0.00217,5e-05,0.00259,0.00217,5e-05,0.00259
TINA00ITA,EURA14,2012-01-23 11:59:00,0.00013,0.00206,-0.00327,0.00013,0.00206,-0.00327
TINA00ITA,EURA14,2012-01-24 11:59:00,0.0013,0.00117,-0.00482,0.0013,0.00117,-0.00482
TINA00ITA,EURA14,2012-01-25 11:59:00,0.001105,0.001785,-0.00631,0.001105,0.001785,-0.00631
TINA00ITA,EURA14,2012-01-26 11:59:00,0.00091,0.0024,-0.0078,0.00091,0.0024,-0.0078
TINA00ITA,EURA14,2012-01-27 11:59:00,0.00033,0.00245,-0.0056,0.00033,0.00245,-0.0056
TINA00ITA,EURA14,2012-01-31 11:59:00,0.00144,0.00166,-0.0026,0.00144,0.00166,-0.0026
TINA00ITA,EURA14,2012-02-01 11:59:00,-0.00022,-0.00111,-0.00084,-0.00022,-0.00111,-0.00084
TINA00ITA,EURA14,2012-02-02 11:59:00,0.00167,0.0011,-0.00229,0.00167,0.0011,-0.00229
TINA00ITA,EURA14,2012-02-03 11:59:00,-0.00473,-0.00216,-0.01902,-0.00473,-0.00216,-0.01902
TINA00ITA,EURA14,2012-02-04 11:59:00,0.002,-0.00171,-0.01222,0.002,-0.00171,-0.01222
TINA00ITA,EURA14,2012-02-05 11:59:00,0.00062,0.0023,-0.00305,0.00062,0.0023,-0.00305
TINA00ITA,EURA14,2012-02-06 11:59:00,0.001075,0.0016350000000000002,-0.0009200000000000002,0.001075,0.0016350000000000002,-0.0009200000000000002
TINA00ITA,EURA14,2012-02-07 11:59:00,0.00153,0.00097,0.00121,0.00153,0.00097,0.00121
TINA00ITA,EURA14,2012-02-08 11:59:00,0.00148,0.00017,0.00554,0.00148,0.00017,0.00554
TINA00ITA,EURA14,2012-02-09 11:59:00,0.00248,0.00122,0.00227,0.00248,0.00122,0.00227
TINA00ITA,EURA14,2012-02-10 11:59:00,0.00056,0.00199,-0.00314,0.00056,0.00199,-0.00314
TINA00ITA,EURA14,2012-02-11 11:59:00,0.00202,0.00103,-0.00393,0.00202,0.00103,-0.00393
TINA00ITA,EURA14,2012-02-12 11:59:00,0.00145,-0.00073,-0.00584,0.00145,-0.00073,-0.00584
TINA00ITA,EURA14,2012-02-13 11:59:00,0.00059,0.00192,-0.0036,0.00059,0.00192,-0.0036
TINA00ITA,EURA14,2012-02-14 11:59:00,0.00014,0.00139,-0.00317,0.00014,0.00139,-0.00317
TINA00ITA,EURA14,2012-02-15 11:59:00,0.00152,0.00044,-0.00595,0.00152,0.00044,-0.00595
TINA00ITA,EURA14,2012-02-16 11:59:00,0.001,0.00377,-0.00066,0.001,0.00377,-0.00066
TINA00ITA,EURA14,2012-02-17 11:59:00,0.00049,0.00158,-0.00032,0.00049,0.00158,-0.00032
TINA00ITA,EURA14,2012-02-18 11:59:00,0.00216,0.00059,-0.00647,0.00216,0.00059,-0.00647
TINA00ITA,EURA14,2012-02-19 11:59:00,0.00195,0.0011,-0.00223,0.00195,0.0011,-0.00223
TINA00ITA,EURA14,2012-02-20 11:59:00,0.00172,-0.00102,-0.00582,0.00172,-0.00102,-0.00582
TINA00ITA,EURA14,2012-02-21 11:59:00,-0.00043,0.0015,0.00131,-0.00043,0.0015,0.00131
TINA00ITA,EURA14,2012-02-22 11:59:00,-0.00228,0.00646,-0.00878,-0.00228,0.00646,-0.00878
TINA00ITA,EURA14,2012-02-23 11:59:00,-0.00027,0.00205,-0.00108,-0.00027,0.00205,-0.00108
TINA00ITA,EURA14,2012-02-24 11:59:00,0.00093,0.001,-0.00474,0.00093,0.001,-0.00474
TINA00ITA,EURA14,2012-02-25 11:59:00,0.00117,0.00098,-0.00472,0.00117,0.00098,-0.00472
TINA00ITA,EURA14,2012-02-26 11:59:00,0.00045,0.00219,0.00043,0.00045,0.00219,0.00043
TINA00ITA,EURA14,2012-02-27 11:59:00,0.00138,0.00137,-0.00094,0.00138,0.00137,-0.00094
TINA00ITA,EURA14,2012-02-28 11:59:00,0.00072,0.00144,-0.00958,0.00072,0.00144,-0.00958
TINA00ITA,EURA14,2012-02-29 11:59:00,0.00249,0.00186,-0.01258,0.00249,0.00186,-0.01258
TINA00ITA,EURA14,2012-03-01 11:59:00,0.00052,0.00159,-0.00863,0.00052,0.00159,-0.00863
TINA00ITA,EURA14,2012-03-02 11:59:00,0.0018,0.00137,-0.01376,0.0018,0.00137,-0.01376
TINA00ITA,EURA14,2012-03-03 11:59:00,-0.00011,0.00182,-0.00254,-0.00011,0.00182,-0.00254
TINA00ITA,EURA14,2012-03-04 11:59:00,0.00027,0.00248,-0.00443,0.00027,0.00248,-0.00443
TINA00ITA,EURA14,2012-03-05 11:59:00,0.00097,0.00021,0.00479,0.00097,0.00021,0.00479
TINA00ITA,EURA14,2012-03-06 11:59:00,-0.00022,0.0029,0.00142,-0.00022,0.0029,0.00142
TINA00ITA,EURA14,2012-03-07 11:59:00,0.00168,0.0018,-0.00734,0.00168,0.0018,-0.00734
TINA00ITA,EURA14,2012-03-08 11:59:00,0.00028,0.00099,0.00697,0.00028,0.00099,0.00697
TINA00ITA,EURA14,2012-03-09 11:59:00,0.00108,0.00292,-0.00016,0.00108,0.00292,-0.00016
TINA00ITA,EURA14,2012-03-10 11:59:00,0.00095,-0.00051,0.00898,0.00095,-0.00051,0.00898
TINA00ITA,EURA14,2012-03-11 11:59:00,0.00263,0.00203,0.00084,0.00263,0.00203,0.00084
TINA00ITA,EURA14,2012-03-12 11:59:00,0.01391,0.00978,-0.01419,0.01391,0.00978,-0.01419
TINA00ITA,EURA14,2012-03-13 11:59:00,0.00178,0.00278,-0.00973,0.00178,0.00278,-0.00973
TINA00ITA,EURA14,2012-03-14 11:59:00,0.00346,0.00246,-0.01114,0.00346,0.00246,-0.01114
TINA00ITA,EURA14,2012-03-15 11:59:00,0.00173,0.00173,-0.00732,0.00173,0.00173,-0.00732
TINA00ITA,EURA14,2012-03-16 11:59:00,0.00252,0.00145,-0.01454,0.00252,0.00145,-0.01454
TINA00ITA,EURA14,2012-03-17 11:59:00,0.00302,0.00188,-0.01407,0.00302,0.00188,-0.01407
TINA00ITA,EURA14,2012-03-18 11:59:00,0.00018,0.0008,-0.00916,0.00018,0.0008,-0.00916
TINA00ITA,EURA14,2012-03-19 11:59:00,0.00211,-0.00053,-0.01173,0.00211,-0.00053,-0.01173
TINA00ITA,EURA14,2012-03-20 11:59:00,0.00227,0.00124,-0.01019,0.00227,0.00124,-0.01019
TINA00ITA,EURA14,2012-03-21 11:59:00,0.00187,0.00166,-0.00435,0.00187,0.00166,-0.00435
TINA00ITA,EURA14,2012-03-22 11:59:00,0.00201,0.00073,-0.0075,0.00201,0.00073,-0.0075
TINA00ITA,EURA14,2012-03-23 11:59:00,0.00294,0.00193,0.00186,0.00294,0.00193,0.00186
TINA00ITA,EURA14,2012-03-24 11:59:00,0.00149,0.00081,-0.00187,0.00149,0.00081,-0.00187
TINA00ITA,EURA14,2012-03-25 11:59:00,0.00345,0.00288,-0.00017,0.00345,0.00288,-0.00017
TINA00ITA,EURA14,2012-03-26 11:59:00,-2e-05,0.00125,0.00164,-2e-05,0.00125,0.00164
TINA00ITA,EURA14,2012-03-27 11:59:00,0.00116,0.00226,-0.00322,0.00116,0.00226,-0.00322
TINA00ITA,EURA14,2012-03-28 11:59:00,0.00318,0.0018,-0.00146,0.00318,0.0018,-0.00146
TINA00ITA,EURA14,2012-03-29 11:59:00,0.00149,0.00287,-0.00674,0.00149,0.00287,-0.00674
TINA00ITA,EURA14,2012-03-30 11:59:00,0.00149,0.00057,0.00341,0.00149,0.00057,0.00341
TINA00ITA,EURA14,2012-03-31 11:59:00,0.00184,0.00147,0.00222,0.00184,0.00147,0.00222
TINA00ITA,EURA14,2012-04-01 11:59:00,0.00215,0.001,0.00423,0.00215,0.001,0.00423
TINA00ITA,EURA14,2012-04-02 11:59:00,0.00217,0.00183,-0.00279,0.00217,0.00183,-0.00279
TINA00ITA,EURA14,2012-04-03 11:59:00,0.00347,0.00195,-0.00094,0.00347,0.00195,-0.00094
TINA00ITA,EURA14,2012-04-04 11:59:00,0.00291,-0.00152,-0.00136,0.00291,-0.00152,-0.00136
TINA00ITA,EURA14,2012-04-05 11:59:00,0.0039,-0.00068,0.002,0.0039,-0.00068,0.002
TINA00ITA,EURA14,2012-04-06 11:59:00,0.00243,0.00222,-0.00389,0.00243,0.00222,-0.00389
TINA00ITA,EURA14,2012-04-07 11:59:00,0.00076,0.00196,0.00181,0.00076,0.00196,0.00181
TINA00ITA,EURA14,2012-04-08 11:59:00,0.00121,0.00139,-0.00393,0.00121,0.00139,-0.00393
TINA00ITA,EURA14,2012-04-09 11:59:00,0.00082,-0.00039,-0.00785,0.00082,-0.00039,-0.00785
TINA00ITA,EURA14,2012-04-10 11:59:00,0.00292,0.00195,-0.00788,0.00292,0.00195,-0.00788
TINA00ITA,EURA14,2012-04-11 11:59:00,0.0,0.00315,0.00075,0.0,0.00315,0.00075
TINA00ITA,EURA14,2012-04-12 11:59:00,0.00243,0.00224,-0.00772,0.00243,0.00224,-0.00772
TINA00ITA,EURA14,2012-04-13 11:59:00,0.00242,0.00097,-0.00364,0.00242,0.00097,-0.00364
TINA00ITA,EURA14,2012-04-14 11:59:00,0.00142,0.00205,0.00251,0.00142,0.00205,0.00251
TINA00ITA,EURA14,2012-04-15 11:59:00,0.00132,0.00235,-0.00619,0.00132,0.00235,-0.00619
TINA00ITA,EURA14,2012-04-16 11:59:00,0.00158,0.00254,-0.00096,0.00158,0.00254,-0.00096
TINA00ITA,EURA14,2012-04-19 11:59:00,-0.0001,0.00211,0.00073,-0.0001,0.00211,0.00073
TINA00ITA,EURA14,2012-04-20 11:59:00,0.00127,0.00178,0.00278,0.00127,0.00178,0.00278
TINA00ITA,EURA14,2012-04-21 11:59:00,0.00148,0.00332,-0.01313,0.00148,0.00332,-0.01313
TINA00ITA,EURA14,2012-04-22 11:59:00,0.00093,-0.00037,0.00019,0.00093,-0.00037,0.00019
TINA00ITA,EURA14,2012-04-23 11:59:00,0.00207,-7e-05,-0.00816,0.00207,-7e-05,-0.00816
