marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
TOLF00ITA,EURA14,2004-03-15 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
TOLF00ITA,EURA14,2004-03-16 11:59:00,-0.00064,-0.00086,-0.00218,-0.00064,-0.00086,-0.00218
TOLF00ITA,EURA14,2004-03-17 11:59:00,-0.0007,-0.00073,0.003,-0.0007,-0.00073,0.003
TOLF00ITA,EURA14,2004-03-18 11:59:00,-3e-05,-0.00109,0.00033,-3e-05,-0.00109,0.00033
TOLF00ITA,EURA14,2004-03-19 11:59:00,0.00037,-0.00023,0.001,0.00037,-0.00023,0.001
TOLF00ITA,EURA14,2004-03-20 11:59:00,0.00043,-0.00152,-0.00071,0.00043,-0.00152,-0.00071
TOLF00ITA,EURA14,2004-03-21 11:59:00,0.00087,-0.00177,0.00053,0.00087,-0.00177,0.00053
TOLF00ITA,EURA14,2004-03-22 11:59:00,0.00034,-0.00082,0.00016,0.00034,-0.00082,0.00016
TOLF00ITA,EURA14,2004-03-23 11:59:00,9e-05,-0.00223,0.003,9e-05,-0.00223,0.003
TOLF00ITA,EURA14,2004-03-24 11:59:00,8e-05,-0.00236,0.00639,8e-05,-0.00236,0.00639
TOLF00ITA,EURA14,2004-03-25 11:59:00,0.00121,-0.0013,0.00667,0.00121,-0.0013,0.00667
TOLF00ITA,EURA14,2004-03-31 11:59:00,-0.00098,-0.00108,-0.00135,-0.00098,-0.00108,-0.00135
TOLF00ITA,EURA14,2004-04-01 11:59:00,0.00028,-0.00072,-0.00408,0.00028,-0.00072,-0.00408
TOLF00ITA,EURA14,2004-04-02 11:59:00,-0.00088,-0.00204,-0.00266,-0.00088,-0.00204,-0.00266
TOLF00ITA,EURA14,2004-04-03 11:59:00,-0.00111,-0.00115,-0.0068,-0.00111,-0.00115,-0.0068
TOLF00ITA,EURA14,2004-04-07 11:59:00,-0.00067,-0.00377,-0.00166,-0.00067,-0.00377,-0.00166
TOLF00ITA,EURA14,2004-04-08 11:59:00,-0.00147,-0.00213,-0.0003,-0.00147,-0.00213,-0.0003
TOLF00ITA,EURA14,2004-04-09 11:59:00,-0.00033,-0.00156,-0.00184,-0.00033,-0.00156,-0.00184
TOLF00ITA,EURA14,2004-04-10 11:59:00,-0.00086,-0.00205,0.00161,-0.00086,-0.00205,0.00161
TOLF00ITA,EURA14,2004-04-11 11:59:00,-0.00136,-0.00115,0.00171,-0.00136,-0.00115,0.00171
TOLF00ITA,EURA14,2004-04-12 11:59:00,-0.00046,-0.00126,-0.00304,-0.00046,-0.00126,-0.00304
TOLF00ITA,EURA14,2004-04-13 11:59:00,-0.00117,-0.00262,0.00142,-0.00117,-0.00262,0.00142
TOLF00ITA,EURA14,2004-04-14 11:59:00,-0.00287,-0.00309,0.00033,-0.00287,-0.00309,0.00033
TOLF00ITA,EURA14,2004-04-15 11:59:00,-0.00141,-0.00084,-0.00256,-0.00141,-0.00084,-0.00256
TOLF00ITA,EURA14,2004-04-16 11:59:00,-0.00112,-0.00086,-0.00042,-0.00112,-0.00086,-0.00042
TOLF00ITA,EURA14,2004-04-17 11:59:00,-0.00146,-0.00113,0.00171,-0.00146,-0.00113,0.00171
TOLF00ITA,EURA14,2004-04-18 11:59:00,-0.00104,-0.00222,0.00122,-0.00104,-0.00222,0.00122
TOLF00ITA,EURA14,2004-04-19 11:59:00,-0.00184,-0.00238,-0.00159,-0.00184,-0.00238,-0.00159
TOLF00ITA,EURA14,2004-04-20 11:59:00,0.00055,-0.00144,-0.0045,0.00055,-0.00144,-0.0045
TOLF00ITA,EURA14,2004-04-21 11:59:00,-0.0006,0.00048,0.00233,-0.0006,0.00048,0.00233
TOLF00ITA,EURA14,2004-04-22 11:59:00,-0.00158,-0.00146,-0.00063,-0.00158,-0.00146,-0.00063
TOLF00ITA,EURA14,2004-04-23 11:59:00,-0.00133,-0.00107,-0.00084,-0.00133,-0.00107,-0.00084
TOLF00ITA,EURA14,2004-04-24 11:59:00,-0.00224,-0.0005,0.00356,-0.00224,-0.0005,0.00356
TOLF00ITA,EURA14,2004-04-25 11:59:00,-0.00099,-0.0006,-0.00072,-0.00099,-0.0006,-0.00072
TOLF00ITA,EURA14,2004-04-26 11:59:00,0.00022,-0.0001,0.0007,0.00022,-0.0001,0.0007
TOLF00ITA,EURA14,2004-04-27 11:59:00,-0.00093,-0.00063,0.00075,-0.00093,-0.00063,0.00075
TOLF00ITA,EURA14,2004-04-28 11:59:00,-0.0005,-0.00116,-0.00416,-0.0005,-0.00116,-0.00416
TOLF00ITA,EURA14,2004-04-29 11:59:00,-0.00142,-0.00193,0.00131,-0.00142,-0.00193,0.00131
