marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
TRIV00ITA,EURA14,2004-09-28 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
TRIV00ITA,EURA14,2004-09-29 11:59:00,-0.00103,0.00019,-0.00441,-0.00103,0.00019,-0.00441
TRIV00ITA,EURA14,2004-09-30 11:59:00,-0.00082,0.00041,-0.01102,-0.00082,0.00041,-0.01102
TRIV00ITA,EURA14,2004-10-01 11:59:00,-0.0002,0.0001,-0.00763,-0.0002,0.0001,-0.00763
TRIV00ITA,EURA14,2004-10-02 11:59:00,-0.00184,0.00014,-0.00699,-0.00184,0.00014,-0.00699
TRIV00ITA,EURA14,2004-10-03 11:59:00,-0.00065,-0.00025,-0.0051,-0.00065,-0.00025,-0.0051
TRIV00ITA,EURA14,2004-10-04 11:59:00,-0.00179,0.00011,-0.00842,-0.00179,0.00011,-0.00842
TRIV00ITA,EURA14,2004-10-05 11:59:00,0.00101,-0.00036,-0.00911,0.00101,-0.00036,-0.00911
TRIV00ITA,EURA14,2004-10-06 11:59:00,0.00059,0.00016,-0.00658,0.00059,0.00016,-0.00658
TRIV00ITA,EURA14,2004-10-07 11:59:00,-0.00154,0.00065,-0.00736,-0.00154,0.00065,-0.00736
TRIV00ITA,EURA14,2004-10-08 11:59:00,-0.00159,-7e-05,-0.00538,-0.00159,-7e-05,-0.00538
TRIV00ITA,EURA14,2004-10-09 11:59:00,-0.00443,-0.00043,-0.0055,-0.00443,-0.00043,-0.0055
TRIV00ITA,EURA14,2004-10-10 11:59:00,0.00731,0.00231,-0.00044,0.00731,0.00231,-0.00044
TRIV00ITA,EURA14,2004-10-11 11:59:00,-0.00316,0.00019,-0.00135,-0.00316,0.00019,-0.00135
TRIV00ITA,EURA14,2004-10-12 11:59:00,-0.00019,0.0009,-0.00363,-0.00019,0.0009,-0.00363
TRIV00ITA,EURA14,2004-10-13 11:59:00,-0.00048,0.00137,-0.00579,-0.00048,0.00137,-0.00579
TRIV00ITA,EURA14,2004-10-14 11:59:00,-0.0008,0.00041,-0.00673,-0.0008,0.00041,-0.00673
TRIV00ITA,EURA14,2004-10-15 11:59:00,-0.00036,0.00146,-0.00612,-0.00036,0.00146,-0.00612
TRIV00ITA,EURA14,2004-10-16 11:59:00,0.00507,0.00241,0.00873,0.00507,0.00241,0.00873
TRIV00ITA,EURA14,2004-10-17 11:59:00,0.00157,0.00253,0.01181,0.00157,0.00253,0.01181
TRIV00ITA,EURA14,2004-10-18 11:59:00,0.00296,0.00046,0.01297,0.00296,0.00046,0.01297
