marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
UMBE00ITA,EURA14,2005-05-12 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
UMBE00ITA,EURA14,2005-05-13 11:59:00,0.00031,-0.00024,-0.00573,0.00031,-0.00024,-0.00573
UMBE00ITA,EURA14,2005-05-14 11:59:00,-0.00197,-0.00251,-0.00441,-0.00197,-0.00251,-0.00441
UMBE00ITA,EURA14,2005-05-15 11:59:00,-0.00049,-0.00021,-0.00452,-0.00049,-0.00021,-0.00452
UMBE00ITA,EURA14,2005-05-16 11:59:00,-0.00243,-0.00052,-0.00501,-0.00243,-0.00052,-0.00501
UMBE00ITA,EURA14,2005-05-17 11:59:00,-0.0008,-0.00192,0.00022,-0.0008,-0.00192,0.00022
UMBE00ITA,EURA14,2005-05-18 11:59:00,2e-05,-0.00359,0.00324,2e-05,-0.00359,0.00324
UMBE00ITA,EURA14,2005-05-19 11:59:00,0.00253,-0.00134,-0.00411,0.00253,-0.00134,-0.00411
UMBE00ITA,EURA14,2005-05-20 11:59:00,0.0015,-0.0014,-0.00285,0.0015,-0.0014,-0.00285
UMBE00ITA,EURA14,2005-05-21 11:59:00,0.00071,-0.00034,-0.00465,0.00071,-0.00034,-0.00465
UMBE00ITA,EURA14,2005-05-22 11:59:00,0.00154,-0.00057,0.00098,0.00154,-0.00057,0.00098
UMBE00ITA,EURA14,2005-05-23 11:59:00,0.00059,0.00129,-0.00668,0.00059,0.00129,-0.00668
UMBE00ITA,EURA14,2005-05-24 11:59:00,0.00016,0.00097,0.00057,0.00016,0.00097,0.00057
UMBE00ITA,EURA14,2005-05-25 11:59:00,-0.00187,-0.0001,-0.00698,-0.00187,-0.0001,-0.00698
UMBE00ITA,EURA14,2005-05-26 11:59:00,0.00189,0.00035,-0.0066,0.00189,0.00035,-0.0066
UMBE00ITA,EURA14,2005-05-27 11:59:00,-0.00073,8e-05,0.00235,-0.00073,8e-05,0.00235
UMBE00ITA,EURA14,2005-05-28 11:59:00,-0.00143,0.00102,-0.00783,-0.00143,0.00102,-0.00783
UMBE00ITA,EURA14,2005-05-29 11:59:00,-0.00104,0.00125,-0.00528,-0.00104,0.00125,-0.00528
UMBE00ITA,EURA14,2005-05-30 11:59:00,-0.00184,0.00213,0.00562,-0.00184,0.00213,0.00562
UMBE00ITA,EURA14,2005-05-31 11:59:00,-0.00085,0.0005,0.00178,-0.00085,0.0005,0.00178
UMBE00ITA,EURA14,2005-06-01 11:59:00,-0.00215,0.00095,-0.00261,-0.00215,0.00095,-0.00261
UMBE00ITA,EURA14,2005-06-02 11:59:00,-0.00019,0.00046,-0.00224,-0.00019,0.00046,-0.00224
UMBE00ITA,EURA14,2005-06-03 11:59:00,7e-05,0.00158,0.00062,7e-05,0.00158,0.00062
UMBE00ITA,EURA14,2005-06-04 11:59:00,-0.00368,-0.00063,0.0022,-0.00368,-0.00063,0.0022
UMBE00ITA,EURA14,2005-06-05 11:59:00,-0.00119,0.00144,-0.00101,-0.00119,0.00144,-0.00101
UMBE00ITA,EURA14,2005-06-06 11:59:00,-0.00085,3e-05,0.00215,-0.00085,3e-05,0.00215
UMBE00ITA,EURA14,2005-06-07 11:59:00,-0.00096,-0.00056,0.00019,-0.00096,-0.00056,0.00019
UMBE00ITA,EURA14,2005-06-08 11:59:00,0.00125,-0.00178,-0.00018,0.00125,-0.00178,-0.00018
UMBE00ITA,EURA14,2005-06-09 11:59:00,0.00029,-0.00277,0.00487,0.00029,-0.00277,0.00487
UMBE00ITA,EURA14,2005-06-10 11:59:00,0.00114,-0.00058,0.00134,0.00114,-0.00058,0.00134
UMBE00ITA,EURA14,2005-06-11 11:59:00,0.00118,-0.00179,0.00304,0.00118,-0.00179,0.00304
UMBE00ITA,EURA14,2005-06-12 11:59:00,4e-05,-0.00161,-0.00076,4e-05,-0.00161,-0.00076
UMBE00ITA,EURA14,2005-06-13 11:59:00,0.0003,0.00027,0.00163,0.0003,0.00027,0.00163
UMBE00ITA,EURA14,2005-06-14 11:59:00,0.00119,-0.00392,0.00274,0.00119,-0.00392,0.00274
UMBE00ITA,EURA14,2005-06-15 11:59:00,0.00172,-0.00191,-0.00138,0.00172,-0.00191,-0.00138
UMBE00ITA,EURA14,2005-06-16 11:59:00,0.00072,0.00168,0.00266,0.00072,0.00168,0.00266
UMBE00ITA,EURA14,2005-06-17 11:59:00,0.00114,0.00151,0.00231,0.00114,0.00151,0.00231
UMBE00ITA,EURA14,2005-06-18 11:59:00,-0.00065,0.00065,-0.00064,-0.00065,0.00065,-0.00064
UMBE00ITA,EURA14,2005-06-19 11:59:00,-0.00041,0.00074,-0.00822,-0.00041,0.00074,-0.00822
UMBE00ITA,EURA14,2005-06-20 11:59:00,-0.00068,0.00267,0.0021,-0.00068,0.00267,0.0021
UMBE00ITA,EURA14,2005-06-21 11:59:00,0.00069,-0.00226,-0.00277,0.00069,-0.00226,-0.00277
UMBE00ITA,EURA14,2005-06-22 11:59:00,0.0,0.00192,-0.00402,0.0,0.00192,-0.00402
UMBE00ITA,EURA14,2005-06-23 11:59:00,0.00105,0.00386,-0.00102,0.00105,0.00386,-0.00102
UMBE00ITA,EURA14,2005-06-24 11:59:00,0.00115,0.00384,-0.0003,0.00115,0.00384,-0.0003
UMBE00ITA,EURA14,2005-06-25 11:59:00,-0.00127,-0.00059,0.00384,-0.00127,-0.00059,0.00384
UMBE00ITA,EURA14,2005-06-26 11:59:00,-0.00093,0.00087,0.00315,-0.00093,0.00087,0.00315
UMBE00ITA,EURA14,2005-06-27 11:59:00,-0.00042,0.00118,-0.00793,-0.00042,0.00118,-0.00793
UMBE00ITA,EURA14,2005-06-28 11:59:00,0.00099,0.00184,0.00661,0.00099,0.00184,0.00661
UMBE00ITA,EURA14,2005-06-29 11:59:00,0.00131,0.00092,0.00294,0.00131,0.00092,0.00294
UMBE00ITA,EURA14,2005-06-30 11:59:00,-0.00242,0.00027,0.0036,-0.00242,0.00027,0.0036
UMBE00ITA,EURA14,2005-07-01 11:59:00,-0.00048,-0.00084,5e-05,-0.00048,-0.00084,5e-05
UMBE00ITA,EURA14,2005-07-02 11:59:00,0.00095,0.00231,0.00527,0.00095,0.00231,0.00527
UMBE00ITA,EURA14,2005-07-03 11:59:00,-4e-05,3e-05,0.00051,-4e-05,3e-05,0.00051
UMBE00ITA,EURA14,2005-07-04 11:59:00,0.00082,0.00138,0.00073,0.00082,0.00138,0.00073
UMBE00ITA,EURA14,2005-07-05 11:59:00,8e-05,-0.00306,0.00407,8e-05,-0.00306,0.00407
UMBE00ITA,EURA14,2005-07-06 11:59:00,-0.00031,0.00072,0.00235,-0.00031,0.00072,0.00235
UMBE00ITA,EURA14,2005-07-07 11:59:00,0.00183,0.001,-0.00312,0.00183,0.001,-0.00312
UMBE00ITA,EURA14,2005-07-08 11:59:00,0.0049,-0.00116,0.00076,0.0049,-0.00116,0.00076
UMBE00ITA,EURA14,2005-07-09 11:59:00,0.00241,-0.00013,0.00072,0.00241,-0.00013,0.00072
UMBE00ITA,EURA14,2005-07-10 11:59:00,0.00286,-0.00419,0.00343,0.00286,-0.00419,0.00343
UMBE00ITA,EURA14,2005-07-11 11:59:00,0.00411,-0.00283,0.00044,0.00411,-0.00283,0.00044
UMBE00ITA,EURA14,2005-07-12 11:59:00,0.00189,0.00011,0.00143,0.00189,0.00011,0.00143
UMBE00ITA,EURA14,2005-07-13 11:59:00,0.00195,0.00027,-0.00527,0.00195,0.00027,-0.00527
UMBE00ITA,EURA14,2005-07-14 11:59:00,0.00175,0.00245,-0.00082,0.00175,0.00245,-0.00082
UMBE00ITA,EURA14,2005-07-15 11:59:00,0.00268,0.00166,0.00836,0.00268,0.00166,0.00836
UMBE00ITA,EURA14,2005-07-16 11:59:00,0.00256,0.00114,-0.00256,0.00256,0.00114,-0.00256
UMBE00ITA,EURA14,2005-07-17 11:59:00,0.00218,0.002,0.00074,0.00218,0.002,0.00074
UMBE00ITA,EURA14,2005-07-18 11:59:00,0.00049,0.00133,-0.0031,0.00049,0.00133,-0.0031
UMBE00ITA,EURA14,2005-07-19 11:59:00,0.00144,0.00154,-0.00752,0.00144,0.00154,-0.00752
UMBE00ITA,EURA14,2005-07-20 11:59:00,0.00224,0.00259,-0.00491,0.00224,0.00259,-0.00491
UMBE00ITA,EURA14,2005-07-21 11:59:00,0.00102,0.00225,-0.00082,0.00102,0.00225,-0.00082
UMBE00ITA,EURA14,2005-07-22 11:59:00,-0.00254,-0.00276,0.00517,-0.00254,-0.00276,0.00517
UMBE00ITA,EURA14,2005-07-23 11:59:00,0.00364,0.00119,0.00616,0.00364,0.00119,0.00616
UMBE00ITA,EURA14,2005-07-24 11:59:00,0.00113,-0.00072,0.00063,0.00113,-0.00072,0.00063
UMBE00ITA,EURA14,2005-07-25 11:59:00,0.00281,0.00216,-0.00413,0.00281,0.00216,-0.00413
UMBE00ITA,EURA14,2005-07-26 11:59:00,0.00251,-0.00021,-0.00146,0.00251,-0.00021,-0.00146
UMBE00ITA,EURA14,2005-07-27 11:59:00,0.00224,0.00274,-0.00623,0.00224,0.00274,-0.00623
UMBE00ITA,EURA14,2005-07-28 11:59:00,0.00434,0.00296,-0.0089,0.00434,0.00296,-0.0089
UMBE00ITA,EURA14,2005-07-29 11:59:00,0.00228,0.00317,-0.00252,0.00228,0.00317,-0.00252
UMBE00ITA,EURA14,2005-07-30 11:59:00,-0.00325,0.002,-0.00383,-0.00325,0.002,-0.00383
UMBE00ITA,EURA14,2005-07-31 11:59:00,-0.00118,0.00176,0.00265,-0.00118,0.00176,0.00265
UMBE00ITA,EURA14,2005-08-01 11:59:00,0.00288,0.00081,-0.00437,0.00288,0.00081,-0.00437
UMBE00ITA,EURA14,2005-08-02 11:59:00,-0.001,3e-05,-0.00409,-0.001,3e-05,-0.00409
UMBE00ITA,EURA14,2005-08-03 11:59:00,0.00442,-0.00333,0.00316,0.00442,-0.00333,0.00316
UMBE00ITA,EURA14,2005-08-04 11:59:00,0.00168,-0.00127,-0.00227,0.00168,-0.00127,-0.00227
UMBE00ITA,EURA14,2005-08-05 11:59:00,0.00237,-0.00166,0.00504,0.00237,-0.00166,0.00504
UMBE00ITA,EURA14,2005-08-06 11:59:00,0.00188,9e-05,-0.00416,0.00188,9e-05,-0.00416
UMBE00ITA,EURA14,2005-08-07 11:59:00,0.00311,-0.00121,0.00888,0.00311,-0.00121,0.00888
UMBE00ITA,EURA14,2005-08-08 11:59:00,0.00319,-0.0013,0.00505,0.00319,-0.0013,0.00505
UMBE00ITA,EURA14,2005-08-09 11:59:00,0.00245,-0.00213,-0.00196,0.00245,-0.00213,-0.00196
UMBE00ITA,EURA14,2005-08-10 11:59:00,0.00226,-0.00044,-0.00254,0.00226,-0.00044,-0.00254
UMBE00ITA,EURA14,2005-08-11 11:59:00,0.00044,-0.00152,0.00135,0.00044,-0.00152,0.00135
UMBE00ITA,EURA14,2005-08-12 11:59:00,0.00211,-0.00049,-0.00535,0.00211,-0.00049,-0.00535
UMBE00ITA,EURA14,2005-08-13 11:59:00,0.00212,0.00115,0.00404,0.00212,0.00115,0.00404
UMBE00ITA,EURA14,2005-08-14 11:59:00,0.00363,0.00167,-0.00818,0.00363,0.00167,-0.00818
UMBE00ITA,EURA14,2005-08-15 11:59:00,0.0027,-0.00093,-0.00388,0.0027,-0.00093,-0.00388
UMBE00ITA,EURA14,2005-08-16 11:59:00,0.00335,-0.00159,-0.00354,0.00335,-0.00159,-0.00354
UMBE00ITA,EURA14,2005-08-17 11:59:00,0.00182,0.00082,-0.00212,0.00182,0.00082,-0.00212
UMBE00ITA,EURA14,2005-08-18 11:59:00,-0.00075,-0.00159,-0.00286,-0.00075,-0.00159,-0.00286
UMBE00ITA,EURA14,2005-08-19 11:59:00,0.0005,-0.00124,0.00349,0.0005,-0.00124,0.00349
UMBE00ITA,EURA14,2005-08-20 11:59:00,0.00027,-0.00067,-0.00659,0.00027,-0.00067,-0.00659
UMBE00ITA,EURA14,2005-08-21 11:59:00,0.00257,-0.00491,0.00536,0.00257,-0.00491,0.00536
UMBE00ITA,EURA14,2005-08-22 11:59:00,0.00205,-0.0018,0.0003,0.00205,-0.0018,0.0003
UMBE00ITA,EURA14,2005-08-23 11:59:00,0.00337,-0.00081,0.00228,0.00337,-0.00081,0.00228
UMBE00ITA,EURA14,2005-08-24 11:59:00,0.00129,0.00078,-0.00523,0.00129,0.00078,-0.00523
UMBE00ITA,EURA14,2005-08-25 11:59:00,0.00113,-0.00217,-0.00552,0.00113,-0.00217,-0.00552
UMBE00ITA,EURA14,2005-08-26 11:59:00,0.00123,-0.00065,-0.00368,0.00123,-0.00065,-0.00368
UMBE00ITA,EURA14,2005-08-27 11:59:00,0.00197,0.00217,-0.00364,0.00197,0.00217,-0.00364
UMBE00ITA,EURA14,2005-08-28 11:59:00,0.00292,-0.00128,-0.00392,0.00292,-0.00128,-0.00392
