marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
USSI00ITA,EURA14,2016-11-12 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
USSI00ITA,EURA14,2016-11-13 11:59:00,8e-05,-0.00106,0.00322,8e-05,-0.00106,0.00322
USSI00ITA,EURA14,2016-11-14 11:59:00,-0.00027,-0.00023,0.00127,-0.00027,-0.00023,0.00127
USSI00ITA,EURA14,2016-11-15 11:59:00,-0.00137,-0.00207,0.00156,-0.00137,-0.00207,0.00156
USSI00ITA,EURA14,2016-11-16 11:59:00,-0.0007,-0.00249,0.00669,-0.0007,-0.00249,0.00669
USSI00ITA,EURA14,2016-11-17 11:59:00,-0.00074,-0.00203,0.0075,-0.00074,-0.00203,0.0075
USSI00ITA,EURA14,2016-11-18 11:59:00,-0.00128,-0.00195,0.01115,-0.00128,-0.00195,0.01115
USSI00ITA,EURA14,2016-11-19 11:59:00,0.00043,-0.00198,0.00145,0.00043,-0.00198,0.00145
USSI00ITA,EURA14,2016-11-20 11:59:00,-0.00013,-0.00165,0.00194,-0.00013,-0.00165,0.00194
USSI00ITA,EURA14,2016-11-21 11:59:00,-0.00044,-0.00237,-0.00621,-0.00044,-0.00237,-0.00621
USSI00ITA,EURA14,2016-11-22 11:59:00,0.00042,-0.00218,-0.00087,0.00042,-0.00218,-0.00087
USSI00ITA,EURA14,2016-11-23 11:59:00,0.00059,-0.00202,-0.00173,0.00059,-0.00202,-0.00173
USSI00ITA,EURA14,2016-11-24 11:59:00,0.00046,-0.00247,0.0024,0.00046,-0.00247,0.0024
USSI00ITA,EURA14,2016-11-25 11:59:00,0.00129,-0.003,0.00837,0.00129,-0.003,0.00837
USSI00ITA,EURA14,2016-11-26 11:59:00,0.00065,-0.00255,-0.00047,0.00065,-0.00255,-0.00047
USSI00ITA,EURA14,2016-11-27 11:59:00,5e-05,-0.00266,0.00129,5e-05,-0.00266,0.00129
USSI00ITA,EURA14,2016-11-28 11:59:00,-0.00086,-0.00217,0.00058,-0.00086,-0.00217,0.00058
USSI00ITA,EURA14,2016-11-29 11:59:00,-0.00192,-0.00249,0.0033,-0.00192,-0.00249,0.0033
USSI00ITA,EURA14,2016-11-30 11:59:00,0.0002,-0.00102,-0.00071,0.0002,-0.00102,-0.00071
USSI00ITA,EURA14,2016-12-01 11:59:00,0.00036,-0.00182,-0.00229,0.00036,-0.00182,-0.00229
USSI00ITA,EURA14,2016-12-02 11:59:00,-0.00028,-0.0018,0.00311,-0.00028,-0.0018,0.00311
USSI00ITA,EURA14,2016-12-03 11:59:00,-6e-05,-0.00136,0.00199,-6e-05,-0.00136,0.00199
USSI00ITA,EURA14,2016-12-04 11:59:00,-4e-05,-0.00183,0.00459,-4e-05,-0.00183,0.00459
USSI00ITA,EURA14,2016-12-05 11:59:00,-0.00022,-0.00114,-0.00176,-0.00022,-0.00114,-0.00176
USSI00ITA,EURA14,2016-12-06 11:59:00,0.00023,-0.00214,0.0004,0.00023,-0.00214,0.0004
USSI00ITA,EURA14,2016-12-07 11:59:00,0.00111,-0.00226,-0.00261,0.00111,-0.00226,-0.00261
USSI00ITA,EURA14,2016-12-08 11:59:00,0.00019,-0.00195,0.00048,0.00019,-0.00195,0.00048
USSI00ITA,EURA14,2016-12-09 11:59:00,-0.00055,-0.00193,0.00247,-0.00055,-0.00193,0.00247
USSI00ITA,EURA14,2016-12-10 11:59:00,-0.00051,-0.00208,0.00022,-0.00051,-0.00208,0.00022
USSI00ITA,EURA14,2016-12-11 11:59:00,-5e-05,-0.00183,0.00524,-5e-05,-0.00183,0.00524
USSI00ITA,EURA14,2016-12-12 11:59:00,0.0,-0.00177,0.00247,0.0,-0.00177,0.00247
USSI00ITA,EURA14,2016-12-13 11:59:00,-1e-05,-0.00183,0.00097,-1e-05,-0.00183,0.00097
USSI00ITA,EURA14,2016-12-14 11:59:00,0.00026,-0.00218,0.00262,0.00026,-0.00218,0.00262
USSI00ITA,EURA14,2016-12-15 11:59:00,0.00025,-0.00203,0.002,0.00025,-0.00203,0.002
USSI00ITA,EURA14,2016-12-16 11:59:00,-0.00073,-0.00073,-0.00626,-0.00073,-0.00073,-0.00626
USSI00ITA,EURA14,2016-12-17 11:59:00,0.00102,-0.00157,-0.00276,0.00102,-0.00157,-0.00276
USSI00ITA,EURA14,2016-12-18 11:59:00,0.00066,-0.00119,-0.00072,0.00066,-0.00119,-0.00072
USSI00ITA,EURA14,2016-12-19 11:59:00,0.00016,-0.00155,-0.00115,0.00016,-0.00155,-0.00115
USSI00ITA,EURA14,2016-12-20 11:59:00,-0.00211,-0.0016,0.00604,-0.00211,-0.0016,0.00604
USSI00ITA,EURA14,2016-12-21 11:59:00,-0.00036,-0.00249,0.00453,-0.00036,-0.00249,0.00453
USSI00ITA,EURA14,2016-12-22 11:59:00,-0.00015,-0.00243,0.00178,-0.00015,-0.00243,0.00178
USSI00ITA,EURA14,2016-12-23 11:59:00,0.00026,-0.00193,0.00038,0.00026,-0.00193,0.00038
USSI00ITA,EURA14,2016-12-24 11:59:00,0.0005,-0.00253,-0.00036,0.0005,-0.00253,-0.00036
USSI00ITA,EURA14,2016-12-25 11:59:00,0.0007,-0.00244,0.00028,0.0007,-0.00244,0.00028
USSI00ITA,EURA14,2016-12-26 11:59:00,0.00031,-0.00173,-2e-05,0.00031,-0.00173,-2e-05
USSI00ITA,EURA14,2016-12-27 11:59:00,-0.00083,-0.0036,0.00626,-0.00083,-0.0036,0.00626
USSI00ITA,EURA14,2016-12-28 11:59:00,-0.00057,-0.003,0.00425,-0.00057,-0.003,0.00425
USSI00ITA,EURA14,2016-12-29 11:59:00,-0.00574,-0.00464,-0.0057,-0.00574,-0.00464,-0.0057
USSI00ITA,EURA14,2016-12-30 11:59:00,-0.00297,-0.00403,0.0008,-0.00297,-0.00403,0.0008
USSI00ITA,EURA14,2016-12-31 11:59:00,0.00108,-0.00165,0.00217,0.00108,-0.00165,0.00217
USSI00ITA,EURA14,2017-01-01 11:59:00,0.00084,-0.00231,0.00455,0.00084,-0.00231,0.00455
USSI00ITA,EURA14,2017-01-02 11:59:00,0.00149,-0.0026,0.00982,0.00149,-0.0026,0.00982
USSI00ITA,EURA14,2017-01-03 11:59:00,0.00198,-0.00331,-0.00096,0.00198,-0.00331,-0.00096
USSI00ITA,EURA14,2017-01-04 11:59:00,0.00182,-0.00209,0.00674,0.00182,-0.00209,0.00674
USSI00ITA,EURA14,2017-01-05 11:59:00,0.00055,-0.00311,0.00648,0.00055,-0.00311,0.00648
USSI00ITA,EURA14,2017-01-06 11:59:00,6e-05,-0.00372,0.006,6e-05,-0.00372,0.006
USSI00ITA,EURA14,2017-01-07 11:59:00,0.0003,-0.00427,0.00144,0.0003,-0.00427,0.00144
USSI00ITA,EURA14,2017-01-08 11:59:00,-0.00034,-0.00401,0.00377,-0.00034,-0.00401,0.00377
USSI00ITA,EURA14,2017-01-09 11:59:00,-0.0005,-0.00575,-0.00248,-0.0005,-0.00575,-0.00248
USSI00ITA,EURA14,2017-01-10 11:59:00,0.00553,-0.0015,0.00186,0.00553,-0.0015,0.00186
USSI00ITA,EURA14,2017-01-11 11:59:00,0.00259,-0.00257,-0.00187,0.00259,-0.00257,-0.00187
USSI00ITA,EURA14,2017-01-12 11:59:00,0.00307,-0.00308,0.00448,0.00307,-0.00308,0.00448
USSI00ITA,EURA14,2017-01-13 11:59:00,0.00161,-0.00433,0.01049,0.00161,-0.00433,0.01049
USSI00ITA,EURA14,2017-01-14 11:59:00,0.00272,-0.00337,0.00652,0.00272,-0.00337,0.00652
USSI00ITA,EURA14,2017-01-15 11:59:00,0.00716,-0.0024,0.00595,0.00716,-0.0024,0.00595
USSI00ITA,EURA14,2017-01-16 11:59:00,0.00407,-0.00337,0.00563,0.00407,-0.00337,0.00563
USSI00ITA,EURA14,2017-01-17 11:59:00,0.00539,-0.00456,0.0025,0.00539,-0.00456,0.0025
USSI00ITA,EURA14,2017-01-18 11:59:00,0.00568,-0.00638,-0.01754,0.00568,-0.00638,-0.01754
USSI00ITA,EURA14,2017-01-19 11:59:00,0.00418,-0.00149,-0.00297,0.00418,-0.00149,-0.00297
USSI00ITA,EURA14,2017-01-20 11:59:00,0.00285,-0.00239,-0.00424,0.00285,-0.00239,-0.00424
USSI00ITA,EURA14,2017-01-21 11:59:00,0.00264,-0.00234,0.00271,0.00264,-0.00234,0.00271
USSI00ITA,EURA14,2017-01-22 11:59:00,0.00281,-0.00253,0.00199,0.00281,-0.00253,0.00199
USSI00ITA,EURA14,2017-01-23 11:59:00,0.00284,-0.00418,0.00638,0.00284,-0.00418,0.00638
USSI00ITA,EURA14,2017-01-24 11:59:00,0.00425,-0.00166,0.00477,0.00425,-0.00166,0.00477
USSI00ITA,EURA14,2017-01-25 11:59:00,0.00371,-0.00221,0.00105,0.00371,-0.00221,0.00105
USSI00ITA,EURA14,2017-01-26 11:59:00,0.00376,-0.00209,-0.00092,0.00376,-0.00209,-0.00092
USSI00ITA,EURA14,2017-01-27 11:59:00,0.00424,-0.00265,-0.00158,0.00424,-0.00265,-0.00158
USSI00ITA,EURA14,2017-01-28 11:59:00,0.0034,-0.00321,0.00027,0.0034,-0.00321,0.00027
USSI00ITA,EURA14,2017-01-29 11:59:00,0.00445,-0.00231,-0.00058,0.00445,-0.00231,-0.00058
USSI00ITA,EURA14,2017-01-30 11:59:00,0.00405,-0.00331,0.00208,0.00405,-0.00331,0.00208
