marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
VAGA00ITA,EURA14,2005-03-15 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
VAGA00ITA,EURA14,2005-03-16 11:59:00,-0.00129,-0.00131,-0.00172,-0.00129,-0.00131,-0.00172
VAGA00ITA,EURA14,2005-03-17 11:59:00,0.00047,-0.00119,-0.0015,0.00047,-0.00119,-0.0015
VAGA00ITA,EURA14,2005-03-18 11:59:00,-6e-05,-0.00107,0.00069,-6e-05,-0.00107,0.00069
VAGA00ITA,EURA14,2005-03-19 11:59:00,7e-05,-0.00103,0.00077,7e-05,-0.00103,0.00077
VAGA00ITA,EURA14,2005-03-20 11:59:00,0.00036,-0.002,0.00408,0.00036,-0.002,0.00408
VAGA00ITA,EURA14,2005-03-21 11:59:00,0.00021,-0.00141,0.00052,0.00021,-0.00141,0.00052
VAGA00ITA,EURA14,2005-03-22 11:59:00,0.00012,-0.00171,-9e-05,0.00012,-0.00171,-9e-05
VAGA00ITA,EURA14,2005-03-23 11:59:00,-0.00018,-0.00105,0.0002,-0.00018,-0.00105,0.0002
VAGA00ITA,EURA14,2005-03-24 11:59:00,5e-05,-0.0015,0.00242,5e-05,-0.0015,0.00242
VAGA00ITA,EURA14,2005-03-25 11:59:00,-0.00273,-0.00209,0.01072,-0.00273,-0.00209,0.01072
VAGA00ITA,EURA14,2005-03-26 11:59:00,-0.00125,-0.00292,0.00404,-0.00125,-0.00292,0.00404
VAGA00ITA,EURA14,2005-03-27 11:59:00,-0.00172,-0.00247,0.01367,-0.00172,-0.00247,0.01367
VAGA00ITA,EURA14,2005-03-28 11:59:00,-0.00054,-0.00202,0.00478,-0.00054,-0.00202,0.00478
VAGA00ITA,EURA14,2005-03-29 11:59:00,-0.00159,-0.00252,0.00407,-0.00159,-0.00252,0.00407
VAGA00ITA,EURA14,2005-03-30 11:59:00,-0.00125,-0.00282,0.00762,-0.00125,-0.00282,0.00762
VAGA00ITA,EURA14,2005-03-31 11:59:00,-0.00071,0.00373,-0.00294,-0.00071,0.00373,-0.00294
VAGA00ITA,EURA14,2005-04-01 11:59:00,-0.00252,-0.00057,-0.00042,-0.00252,-0.00057,-0.00042
VAGA00ITA,EURA14,2005-04-02 11:59:00,0.00021,0.00037,-0.00509,0.00021,0.00037,-0.00509
VAGA00ITA,EURA14,2005-04-03 11:59:00,-0.00181,-0.00111,0.00229,-0.00181,-0.00111,0.00229
VAGA00ITA,EURA14,2005-04-04 11:59:00,-0.00281,-0.00072,0.00172,-0.00281,-0.00072,0.00172
VAGA00ITA,EURA14,2005-04-05 11:59:00,-0.00202,-0.0017,-4e-05,-0.00202,-0.0017,-4e-05
VAGA00ITA,EURA14,2005-04-06 11:59:00,-0.00278,-0.00079,0.00523,-0.00278,-0.00079,0.00523
VAGA00ITA,EURA14,2005-04-07 11:59:00,-0.00167,-0.00207,0.0025,-0.00167,-0.00207,0.0025
VAGA00ITA,EURA14,2005-04-08 11:59:00,-0.00327,-0.00523,0.01374,-0.00327,-0.00523,0.01374
VAGA00ITA,EURA14,2005-04-11 11:59:00,-0.00246,-0.00262,0.00077,-0.00246,-0.00262,0.00077
VAGA00ITA,EURA14,2005-04-12 11:59:00,0.00037,-0.00212,-0.00198,0.00037,-0.00212,-0.00198
VAGA00ITA,EURA14,2005-04-13 11:59:00,-0.0015,-0.00181,-0.00125,-0.0015,-0.00181,-0.00125
VAGA00ITA,EURA14,2005-04-14 11:59:00,-0.00207,-0.00269,-2e-05,-0.00207,-0.00269,-2e-05
VAGA00ITA,EURA14,2005-04-15 11:59:00,-0.00321,-0.00306,-0.00037,-0.00321,-0.00306,-0.00037
VAGA00ITA,EURA14,2005-04-16 11:59:00,-0.00217,-0.00274,0.00854,-0.00217,-0.00274,0.00854
VAGA00ITA,EURA14,2005-04-17 11:59:00,-0.00163,-0.00291,0.00124,-0.00163,-0.00291,0.00124
VAGA00ITA,EURA14,2005-04-18 11:59:00,-0.00153,-0.00413,-0.00282,-0.00153,-0.00413,-0.00282
VAGA00ITA,EURA14,2005-04-19 11:59:00,-0.00185,-0.00435,0.00831,-0.00185,-0.00435,0.00831
VAGA00ITA,EURA14,2005-04-20 11:59:00,-0.00229,-0.00431,0.00479,-0.00229,-0.00431,0.00479
VAGA00ITA,EURA14,2005-04-21 11:59:00,-0.00251,-0.00243,-0.00652,-0.00251,-0.00243,-0.00652
VAGA00ITA,EURA14,2005-04-22 11:59:00,-0.00198,-0.00252,-0.00337,-0.00198,-0.00252,-0.00337
VAGA00ITA,EURA14,2005-04-23 11:59:00,-0.00249,-0.00317,-0.00707,-0.00249,-0.00317,-0.00707
VAGA00ITA,EURA14,2005-04-24 11:59:00,-0.00321,-0.004,-0.00529,-0.00321,-0.004,-0.00529
VAGA00ITA,EURA14,2005-04-25 11:59:00,-0.00357,-0.00532,0.0074,-0.00357,-0.00532,0.0074
VAGA00ITA,EURA14,2005-04-26 11:59:00,-0.00378,-0.00333,-0.00428,-0.00378,-0.00333,-0.00428
