marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
VALC00ITA,EURA14,2007-04-04 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
VALC00ITA,EURA14,2007-04-05 11:59:00,0.00188,0.00178,-0.00811,0.00188,0.00178,-0.00811
VALC00ITA,EURA14,2007-04-06 11:59:00,0.00226,0.00262,-0.01251,0.00226,0.00262,-0.01251
VALC00ITA,EURA14,2007-04-07 11:59:00,0.00083,0.00178,-0.01528,0.00083,0.00178,-0.01528
VALC00ITA,EURA14,2007-04-08 11:59:00,0.00095,0.00228,-0.01193,0.00095,0.00228,-0.01193
VALC00ITA,EURA14,2007-04-09 11:59:00,0.00139,0.00145,-0.01487,0.00139,0.00145,-0.01487
VALC00ITA,EURA14,2007-04-10 11:59:00,0.00032,0.00156,-0.00956,0.00032,0.00156,-0.00956
VALC00ITA,EURA14,2007-04-11 11:59:00,0.00328,0.00137,-0.01012,0.00328,0.00137,-0.01012
VALC00ITA,EURA14,2007-04-12 11:59:00,0.00166,0.0034,-0.01558,0.00166,0.0034,-0.01558
VALC00ITA,EURA14,2007-04-13 11:59:00,0.00163,0.00237,-0.00542,0.00163,0.00237,-0.00542
VALC00ITA,EURA14,2007-04-14 11:59:00,-0.00116,0.00141,-0.00844,-0.00116,0.00141,-0.00844
VALC00ITA,EURA14,2007-04-15 11:59:00,-0.00023,0.00133,-0.00891,-0.00023,0.00133,-0.00891
VALC00ITA,EURA14,2007-04-16 11:59:00,-0.00045,0.00075,-0.00863,-0.00045,0.00075,-0.00863
VALC00ITA,EURA14,2007-04-17 11:59:00,0.0002,0.00113,-0.00833,0.0002,0.00113,-0.00833
VALC00ITA,EURA14,2007-04-18 11:59:00,0.00094,0.00178,-0.00938,0.00094,0.00178,-0.00938
VALC00ITA,EURA14,2007-04-19 11:59:00,0.00069,0.00139,-0.01002,0.00069,0.00139,-0.01002
VALC00ITA,EURA14,2007-04-20 11:59:00,0.00183,0.00339,-0.01159,0.00183,0.00339,-0.01159
VALC00ITA,EURA14,2007-04-21 11:59:00,0.00393,0.00312,-0.00599,0.00393,0.00312,-0.00599
VALC00ITA,EURA14,2007-04-22 11:59:00,-0.00019,0.00332,-0.01333,-0.00019,0.00332,-0.01333
VALC00ITA,EURA14,2007-04-23 11:59:00,-0.001,0.00193,-0.01353,-0.001,0.00193,-0.01353
VALC00ITA,EURA14,2007-04-24 11:59:00,0.00052,0.00296,-0.00295,0.00052,0.00296,-0.00295
VALC00ITA,EURA14,2007-04-25 11:59:00,-0.00023,0.00194,-0.01469,-0.00023,0.00194,-0.01469
VALC00ITA,EURA14,2007-04-26 11:59:00,4e-05,0.0021,-0.00636,4e-05,0.0021,-0.00636
VALC00ITA,EURA14,2007-04-27 11:59:00,0.00028,0.00248,-0.01091,0.00028,0.00248,-0.01091
VALC00ITA,EURA14,2007-04-28 11:59:00,0.00117,0.00159,-0.0105,0.00117,0.00159,-0.0105
VALC00ITA,EURA14,2007-04-29 11:59:00,0.0012,0.00343,-0.00382,0.0012,0.00343,-0.00382
VALC00ITA,EURA14,2007-04-30 11:59:00,0.00075,0.00121,-0.00514,0.00075,0.00121,-0.00514
VALC00ITA,EURA14,2007-05-01 11:59:00,0.00145,0.0015,-0.0089,0.00145,0.0015,-0.0089
VALC00ITA,EURA14,2007-05-02 11:59:00,0.00295,0.00109,-0.00814,0.00295,0.00109,-0.00814
VALC00ITA,EURA14,2007-05-03 11:59:00,0.00117,-0.00019,-0.00479,0.00117,-0.00019,-0.00479
VALC00ITA,EURA14,2007-05-04 11:59:00,0.00082,0.00073,-0.00152,0.00082,0.00073,-0.00152
VALC00ITA,EURA14,2007-05-05 11:59:00,0.00101,0.00096,-0.00861,0.00101,0.00096,-0.00861
VALC00ITA,EURA14,2007-05-06 11:59:00,0.00069,0.0007,-0.00881,0.00069,0.0007,-0.00881
VALC00ITA,EURA14,2007-05-07 11:59:00,0.00169,0.00136,-0.01424,0.00169,0.00136,-0.01424
VALC00ITA,EURA14,2007-05-08 11:59:00,0.00164,0.00207,-0.0098,0.00164,0.00207,-0.0098
VALC00ITA,EURA14,2007-05-09 11:59:00,0.00156,0.00129,-0.00863,0.00156,0.00129,-0.00863
VALC00ITA,EURA14,2007-05-10 11:59:00,0.00761,0.00195,-0.00107,0.00761,0.00195,-0.00107
VALC00ITA,EURA14,2007-05-11 11:59:00,0.00329,-0.00046,-0.00877,0.00329,-0.00046,-0.00877
VALC00ITA,EURA14,2007-05-12 11:59:00,0.0017,0.00095,-0.01051,0.0017,0.00095,-0.01051
VALC00ITA,EURA14,2007-05-13 11:59:00,0.00137,0.00133,-0.00539,0.00137,0.00133,-0.00539
VALC00ITA,EURA14,2007-05-14 11:59:00,-0.00016,0.00013,-0.00782,-0.00016,0.00013,-0.00782
VALC00ITA,EURA14,2007-05-15 11:59:00,-0.00023,0.00115,-0.00401,-0.00023,0.00115,-0.00401
VALC00ITA,EURA14,2007-05-16 11:59:00,0.00108,0.00058,-0.00765,0.00108,0.00058,-0.00765
VALC00ITA,EURA14,2007-05-17 11:59:00,0.00184,0.00165,-0.00238,0.00184,0.00165,-0.00238
VALC00ITA,EURA14,2007-05-18 11:59:00,-0.00144,0.00082,-0.00268,-0.00144,0.00082,-0.00268
VALC00ITA,EURA14,2007-05-19 11:59:00,0.00016,0.00038,-0.00633,0.00016,0.00038,-0.00633
VALC00ITA,EURA14,2007-05-20 11:59:00,0.00066,0.0008,-0.00533,0.00066,0.0008,-0.00533
VALC00ITA,EURA14,2007-05-21 11:59:00,0.002,0.00048,-0.00544,0.002,0.00048,-0.00544
VALC00ITA,EURA14,2007-05-22 11:59:00,0.00145,-0.00016,-0.00026,0.00145,-0.00016,-0.00026
VALC00ITA,EURA14,2007-05-23 11:59:00,0.00037,-0.00102,0.00247,0.00037,-0.00102,0.00247
VALC00ITA,EURA14,2007-05-24 11:59:00,-0.00104,4e-05,0.00468,-0.00104,4e-05,0.00468
VALC00ITA,EURA14,2007-05-25 11:59:00,0.00247,0.00022,0.00328,0.00247,0.00022,0.00328
VALC00ITA,EURA14,2007-05-26 11:59:00,0.00186,0.00072,-0.00174,0.00186,0.00072,-0.00174
VALC00ITA,EURA14,2007-05-27 11:59:00,0.00182,0.00082,-0.00507,0.00182,0.00082,-0.00507
VALC00ITA,EURA14,2007-05-28 11:59:00,0.0021,-0.00082,-0.00067,0.0021,-0.00082,-0.00067
VALC00ITA,EURA14,2007-05-29 11:59:00,0.00188,0.00012,-0.00412,0.00188,0.00012,-0.00412
VALC00ITA,EURA14,2007-05-30 11:59:00,0.00125,0.00077,-0.0063,0.00125,0.00077,-0.0063
VALC00ITA,EURA14,2007-05-31 11:59:00,0.00382,0.00025,-0.00661,0.00382,0.00025,-0.00661
VALC00ITA,EURA14,2007-06-01 11:59:00,0.00166,0.0016,-0.00715,0.00166,0.0016,-0.00715
VALC00ITA,EURA14,2007-06-02 11:59:00,0.00072,0.0017,0.00144,0.00072,0.0017,0.00144
VALC00ITA,EURA14,2007-06-03 11:59:00,0.00229,0.00151,-0.00098,0.00229,0.00151,-0.00098
VALC00ITA,EURA14,2007-06-04 11:59:00,0.00027,0.00093,-0.00748,0.00027,0.00093,-0.00748
VALC00ITA,EURA14,2007-06-05 11:59:00,0.00262,-0.00025,-0.00943,0.00262,-0.00025,-0.00943
VALC00ITA,EURA14,2007-06-06 11:59:00,0.00162,0.00175,-0.00337,0.00162,0.00175,-0.00337
VALC00ITA,EURA14,2007-06-07 11:59:00,0.00147,0.00212,-0.00866,0.00147,0.00212,-0.00866
