marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
VINC00ITA,EURA14,2012-01-28 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
VINC00ITA,EURA14,2012-01-29 11:59:00,-0.0003,0.00019,0.00266,-0.0003,0.00019,0.00266
VINC00ITA,EURA14,2012-01-30 11:59:00,0.00047,0.00076,0.00185,0.00047,0.00076,0.00185
VINC00ITA,EURA14,2012-01-31 11:59:00,2e-05,-0.00058,0.00257,2e-05,-0.00058,0.00257
VINC00ITA,EURA14,2012-02-01 11:59:00,-0.00354,0.00498,0.0011,-0.00354,0.00498,0.0011
VINC00ITA,EURA14,2012-02-02 11:59:00,-0.00043,0.00405,-0.00046,-0.00043,0.00405,-0.00046
VINC00ITA,EURA14,2012-02-03 11:59:00,0.00555,0.0037,-0.01951,0.00555,0.0037,-0.01951
VINC00ITA,EURA14,2012-02-04 11:59:00,0.00232,0.00088,-0.01215,0.00232,0.00088,-0.01215
VINC00ITA,EURA14,2012-02-05 11:59:00,0.00151,-0.00238,-0.0008,0.00151,-0.00238,-0.0008
VINC00ITA,EURA14,2012-02-06 11:59:00,0.00038,-0.00105,0.00446,0.00038,-0.00105,0.00446
VINC00ITA,EURA14,2012-02-07 11:59:00,0.0004,-0.001095,0.0023100000000000004,0.0004,-0.001095,0.0023100000000000004
VINC00ITA,EURA14,2012-02-08 11:59:00,0.00042,-0.00114,0.00016,0.00042,-0.00114,0.00016
VINC00ITA,EURA14,2012-02-09 11:59:00,0.00054,-0.00087,0.00177,0.00054,-0.00087,0.00177
VINC00ITA,EURA14,2012-02-10 11:59:00,-0.00086,-0.002325,-0.0022250000000000004,-0.00086,-0.002325,-0.0022250000000000004
VINC00ITA,EURA14,2012-02-11 11:59:00,-0.00226,-0.00378,-0.00622,-0.00226,-0.00378,-0.00622
VINC00ITA,EURA14,2012-02-12 11:59:00,-0.00209,0.00128,-0.00431,-0.00209,0.00128,-0.00431
VINC00ITA,EURA14,2012-02-13 11:59:00,0.00059,-0.00189,-0.00128,0.00059,-0.00189,-0.00128
VINC00ITA,EURA14,2012-02-16 11:59:00,-0.0009,0.00121,-0.00108,-0.0009,0.00121,-0.00108
VINC00ITA,EURA14,2012-02-21 11:59:00,-0.00041,0.00139,-0.00026,-0.00041,0.00139,-0.00026
VINC00ITA,EURA14,2012-02-24 11:59:00,-0.00078,0.00077,-0.00098,-0.00078,0.00077,-0.00098
VINC00ITA,EURA14,2012-02-25 11:59:00,-0.00088,-0.00016,0.00084,-0.00088,-0.00016,0.00084
VINC00ITA,EURA14,2012-02-26 11:59:00,-0.00107,0.00048,0.00343,-0.00107,0.00048,0.00343
VINC00ITA,EURA14,2012-02-27 11:59:00,-0.00151,0.00104,-0.00224,-0.00151,0.00104,-0.00224
