marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
VIRB00ITA,EURA14,2012-06-12 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
VIRB00ITA,EURA14,2012-06-13 11:59:00,-0.00023,0.00084,2e-05,-0.00023,0.00084,2e-05
VIRB00ITA,EURA14,2012-06-14 11:59:00,0.00064,0.00115,-0.00217,0.00064,0.00115,-0.00217
VIRB00ITA,EURA14,2012-06-15 11:59:00,-0.00119,0.00089,0.00167,-0.00119,0.00089,0.00167
VIRB00ITA,EURA14,2012-06-16 11:59:00,-0.00034,0.00232,0.00089,-0.00034,0.00232,0.00089
VIRB00ITA,EURA14,2012-06-17 11:59:00,-0.00229,0.00186,0.0022,-0.00229,0.00186,0.0022
VIRB00ITA,EURA14,2012-06-18 11:59:00,-0.00116,0.0012,0.00184,-0.00116,0.0012,0.00184
VIRB00ITA,EURA14,2012-06-19 11:59:00,-0.00196,0.00194,0.00044,-0.00196,0.00194,0.00044
VIRB00ITA,EURA14,2012-06-20 11:59:00,-0.00169,0.00239,0.00261,-0.00169,0.00239,0.00261
VIRB00ITA,EURA14,2012-09-18 11:59:00,0.00146,-0.00065,-0.01812,0.002871274379432624,-0.0017894555260047282,0.008235394503546097
VIRB00ITA,EURA14,2012-09-19 11:59:00,-0.00116,-0.00087,-0.01443,0.0002512743794326239,-0.0020094555260047283,0.011925394503546098
VIRB00ITA,EURA14,2012-09-20 11:59:00,-0.0002,-0.00068,-0.02468,0.0012112743794326238,-0.0018194555260047283,0.0016753945035460974
VIRB00ITA,EURA14,2012-09-21 11:59:00,-0.00033,0.00067,-0.02743,0.001081274379432624,-0.0004694555260047282,-0.0010746054964539016
VIRB00ITA,EURA14,2012-09-22 11:59:00,0.00027,0.00039,-0.02215,0.001681274379432624,-0.0007494555260047283,0.004205394503546098
VIRB00ITA,EURA14,2012-09-23 11:59:00,-9e-05,0.00099,-0.02219,0.0013212743794326239,-0.00014945552600472822,0.0041653945035460965
VIRB00ITA,EURA14,2012-09-24 11:59:00,-0.00125,0.0004,-0.01957,0.00016127437943262387,-0.0007394555260047282,0.006785394503546097
VIRB00ITA,EURA14,2012-09-25 11:59:00,-0.00033,0.00048,-0.02713,0.001081274379432624,-0.0006594555260047283,-0.0007746054964539034
VIRB00ITA,EURA14,2012-09-26 11:59:00,0.00261,-0.00081,-0.02399,0.004021274379432624,-0.0019494555260047282,0.002365394503546097
VIRB00ITA,EURA14,2012-09-27 11:59:00,-0.00073,0.0003,-0.02274,0.0006812743794326239,-0.0008394555260047283,0.003615394503546098
VIRB00ITA,EURA14,2012-09-28 11:59:00,-0.00081,-6e-05,-0.02144,0.0006012743794326239,-0.0011994555260047282,0.004915394503546097
VIRB00ITA,EURA14,2012-09-29 11:59:00,-6e-05,-0.00012,-0.01366,0.001351274379432624,-0.0012594555260047283,0.012695394503546098
VIRB00ITA,EURA14,2012-09-30 11:59:00,-0.00315,-0.00091,-0.01669,-0.0017387256205673761,-0.002049455526004728,0.009665394503546098
VIRB00ITA,EURA14,2012-10-01 11:59:00,-0.00037,-4e-05,-0.01532,0.0010412743794326238,-0.0011794555260047283,0.011035394503546098
VIRB00ITA,EURA14,2012-10-02 11:59:00,-0.00118,0.00023,-0.02587,0.00023127437943262384,-0.0009094555260047283,0.0004853945035460973
VIRB00ITA,EURA14,2012-10-03 11:59:00,0.00017,0.00068,-0.02564,0.001581274379432624,-0.00045945552600472816,0.0007153945035460983
VIRB00ITA,EURA14,2012-10-04 11:59:00,-0.00118,0.00024,-0.0268,0.00023127437943262384,-0.0008994555260047282,-0.000444605496453903
VIRB00ITA,EURA14,2012-10-05 11:59:00,-0.00054,0.0006,-0.02175,0.0008712743794326239,-0.0005394555260047283,0.004605394503546099
VIRB00ITA,EURA14,2012-10-06 11:59:00,-0.00056,0.0001,-0.02111,0.000851274379432624,-0.0010394555260047282,0.005245394503546098
