marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
VIT100ITA,EURA14,2010-03-04 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
VIT100ITA,EURA14,2010-03-05 11:59:00,0.00081,-0.00031,-0.00632,0.00081,-0.00031,-0.00632
VIT100ITA,EURA14,2010-03-06 11:59:00,0.00012,0.00022,-0.00063,0.00012,0.00022,-0.00063
VIT100ITA,EURA14,2010-03-07 11:59:00,0.00088,0.00069,-0.00212,0.00088,0.00069,-0.00212
VIT100ITA,EURA14,2010-03-08 11:59:00,-0.00021,0.00039,-0.00013,-0.00021,0.00039,-0.00013
VIT100ITA,EURA14,2010-03-09 11:59:00,-0.00112,0.00228,-0.00095,-0.00112,0.00228,-0.00095
VIT100ITA,EURA14,2010-03-10 11:59:00,-0.00018,0.00086,0.0044,-0.00018,0.00086,0.0044
VIT100ITA,EURA14,2010-03-11 11:59:00,9e-05,-0.00215,0.00463,9e-05,-0.00215,0.00463
VIT100ITA,EURA14,2010-03-12 11:59:00,0.00028,-0.00158,0.00241,0.00028,-0.00158,0.00241
VIT100ITA,EURA14,2010-03-13 11:59:00,-0.00088,0.00025,-0.00349,-0.00088,0.00025,-0.00349
VIT100ITA,EURA14,2010-03-14 11:59:00,-0.00016,-0.00093,-0.00088,-0.00016,-0.00093,-0.00088
VIT100ITA,EURA14,2010-03-15 11:59:00,0.00074,0.00022,-0.00477,0.00074,0.00022,-0.00477
VIT100ITA,EURA14,2010-03-16 11:59:00,0.00018,0.00074,-0.00728,0.00018,0.00074,-0.00728
VIT100ITA,EURA14,2010-03-17 11:59:00,2e-05,-1e-05,-0.00688,2e-05,-1e-05,-0.00688
VIT100ITA,EURA14,2010-03-18 11:59:00,0.000595,-0.000275,-0.00643,0.000595,-0.000275,-0.00643
VIT100ITA,EURA14,2010-03-19 11:59:00,0.00117,-0.00054,-0.00598,0.00117,-0.00054,-0.00598
VIT100ITA,EURA14,2010-03-20 11:59:00,0.00078,-0.00011,-0.00292,0.00078,-0.00011,-0.00292
VIT100ITA,EURA14,2010-03-21 11:59:00,-0.00026,0.00012,-0.00476,-0.00026,0.00012,-0.00476
VIT100ITA,EURA14,2010-03-22 11:59:00,0.00129,-0.00473,0.012,0.00129,-0.00473,0.012
VIT100ITA,EURA14,2010-03-23 11:59:00,-0.00154,-0.0003,0.00361,-0.00154,-0.0003,0.00361
VIT100ITA,EURA14,2010-03-24 11:59:00,-0.00014,0.00091,0.0013,-0.00014,0.00091,0.0013
VIT100ITA,EURA14,2010-03-25 11:59:00,9e-05,0.00018,0.00025,9e-05,0.00018,0.00025
VIT100ITA,EURA14,2010-03-26 11:59:00,0.00078,1e-05,0.00209,0.00078,1e-05,0.00209
VIT100ITA,EURA14,2010-03-27 11:59:00,-0.0015,-0.00182,0.00293,-0.0015,-0.00182,0.00293
