marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
VITE00ITA,EURA14,2005-07-06 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
VITE00ITA,EURA14,2005-07-07 11:59:00,-0.00281,-0.0012,0.00111,-0.00281,-0.0012,0.00111
VITE00ITA,EURA14,2005-07-08 11:59:00,-0.00075,-0.00049,0.0065,-0.00075,-0.00049,0.0065
VITE00ITA,EURA14,2005-07-09 11:59:00,-0.00105,-0.0017,0.00706,-0.00105,-0.0017,0.00706
VITE00ITA,EURA14,2005-07-10 11:59:00,-0.00233,-0.00115,0.00943,-0.00233,-0.00115,0.00943
VITE00ITA,EURA14,2005-07-11 11:59:00,0.00119,-0.00062,0.00504,0.00119,-0.00062,0.00504
VITE00ITA,EURA14,2005-07-12 11:59:00,-0.00131,-0.00198,0.0027,-0.00131,-0.00198,0.0027
VITE00ITA,EURA14,2005-07-25 11:59:00,0.00116,-0.00149,0.00159,0.00116,-0.00149,0.00159
VITE00ITA,EURA14,2005-07-26 11:59:00,-0.00141,-0.00231,0.00055,-0.00141,-0.00231,0.00055
VITE00ITA,EURA14,2005-07-27 11:59:00,-0.00042,-0.00146,-0.00549,-0.00042,-0.00146,-0.00549
VITE00ITA,EURA14,2005-07-28 11:59:00,-0.00074,-0.0025,-0.00915,-0.00074,-0.0025,-0.00915
VITE00ITA,EURA14,2005-07-29 11:59:00,-0.00233,-0.00422,0.00031,-0.00233,-0.00422,0.00031
VITE00ITA,EURA14,2005-07-30 11:59:00,-0.00055,-0.00151,-0.00241,-0.00055,-0.00151,-0.00241
VITE00ITA,EURA14,2005-07-31 11:59:00,-0.00162,-0.00146,0.00015,-0.00162,-0.00146,0.00015
VITE00ITA,EURA14,2005-08-01 11:59:00,0.00052,-0.00249,0.00082,0.00052,-0.00249,0.00082
VITE00ITA,EURA14,2005-08-02 11:59:00,-0.00092,-0.00053,-0.00414,-0.00092,-0.00053,-0.00414
VITE00ITA,EURA14,2005-08-03 11:59:00,0.00013,-0.00063,-0.00561,0.00013,-0.00063,-0.00561
VITE00ITA,EURA14,2005-08-04 11:59:00,-0.00086,-0.0024,-0.00165,-0.00086,-0.0024,-0.00165
VITE00ITA,EURA14,2005-08-05 11:59:00,-0.00067,-0.00147,-0.00317,-0.00067,-0.00147,-0.00317
VITE00ITA,EURA14,2005-08-06 11:59:00,-0.00121,-0.00145,-0.00012,-0.00121,-0.00145,-0.00012
VITE00ITA,EURA14,2005-08-07 11:59:00,-0.00144,0.00016,0.00235,-0.00144,0.00016,0.00235
VITE00ITA,EURA14,2005-08-08 11:59:00,-0.00122,-0.00134,-0.00203,-0.00122,-0.00134,-0.00203
VITE00ITA,EURA14,2005-08-09 11:59:00,-0.0015,-0.00233,-0.0034,-0.0015,-0.00233,-0.0034
VITE00ITA,EURA14,2005-08-10 11:59:00,-0.0015,-0.00126,0.00223,-0.0015,-0.00126,0.00223
VITE00ITA,EURA14,2005-08-11 11:59:00,0.00024,-0.00016,0.00082,0.00024,-0.00016,0.00082
VITE00ITA,EURA14,2005-08-12 11:59:00,-0.00247,-0.00053,-0.00021,-0.00247,-0.00053,-0.00021
VITE00ITA,EURA14,2005-08-13 11:59:00,0.00047,-0.00244,0.00821,0.00047,-0.00244,0.00821
VITE00ITA,EURA14,2005-08-14 11:59:00,-0.00144,-3e-05,0.00049,-0.00144,-3e-05,0.00049
VITE00ITA,EURA14,2005-08-15 11:59:00,0.00024,-0.00138,-0.00288,0.00024,-0.00138,-0.00288
VITE00ITA,EURA14,2005-08-16 11:59:00,-0.00012,-0.0022,0.00168,-0.00012,-0.0022,0.00168
VITE00ITA,EURA14,2005-08-17 11:59:00,-0.00195,-0.00081,0.002,-0.00195,-0.00081,0.002
VITE00ITA,EURA14,2005-08-18 11:59:00,-0.00274,1e-05,-0.00262,-0.00274,1e-05,-0.00262
