marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
VIVA00ITA,EURA14,2012-09-18 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
VIVA00ITA,EURA14,2012-09-19 11:59:00,-0.00311,0.00061,0.00176,-0.00311,0.00061,0.00176
VIVA00ITA,EURA14,2012-09-20 11:59:00,-0.00047,0.00149,0.00624,-0.00047,0.00149,0.00624
VIVA00ITA,EURA14,2012-09-21 11:59:00,-0.00113,0.00249,-0.00225,-0.00113,0.00249,-0.00225
VIVA00ITA,EURA14,2012-09-22 11:59:00,-0.00126,0.00107,0.00126,-0.00126,0.00107,0.00126
VIVA00ITA,EURA14,2012-09-23 11:59:00,0.00038,0.00102,0.00081,0.00038,0.00102,0.00081
VIVA00ITA,EURA14,2012-09-24 11:59:00,0.00071,0.00024,0.00228,0.00071,0.00024,0.00228
VIVA00ITA,EURA14,2012-09-25 11:59:00,-0.00028,0.0008,0.00165,-0.00028,0.0008,0.00165
VIVA00ITA,EURA14,2012-09-26 11:59:00,0.00289,0.00107,0.00615,0.00289,0.00107,0.00615
VIVA00ITA,EURA14,2012-09-27 11:59:00,0.00052,-0.00054,0.00634,0.00052,-0.00054,0.00634
VIVA00ITA,EURA14,2012-09-28 11:59:00,0.00165,0.00065,0.00618,0.00165,0.00065,0.00618
VIVA00ITA,EURA14,2012-09-29 11:59:00,-0.00041,0.00182,0.00567,-0.00041,0.00182,0.00567
VIVA00ITA,EURA14,2012-09-30 11:59:00,-0.00222,0.00179,0.00016,-0.00222,0.00179,0.00016
VIVA00ITA,EURA14,2012-10-01 11:59:00,0.00126,0.00174,-0.00085,0.00126,0.00174,-0.00085
VIVA00ITA,EURA14,2012-10-02 11:59:00,-8e-05,-0.00026,-0.0065,-8e-05,-0.00026,-0.0065
VIVA00ITA,EURA14,2012-10-03 11:59:00,-0.00027,0.00066,-0.00183,-0.00027,0.00066,-0.00183
VIVA00ITA,EURA14,2012-10-04 11:59:00,-0.00107,-0.00031,-0.0053,-0.00107,-0.00031,-0.0053
VIVA00ITA,EURA14,2012-10-05 11:59:00,-0.00074,0.00012,-0.00389,-0.00074,0.00012,-0.00389
VIVA00ITA,EURA14,2012-10-06 11:59:00,-0.00124,0.00076,-0.00871,-0.00124,0.00076,-0.00871
VIVA00ITA,EURA14,2012-10-07 11:59:00,0.0010350000000000001,0.0012100000000000001,-0.0014149999999999996,0.0010350000000000001,0.0012100000000000001,-0.0014149999999999996
VIVA00ITA,EURA14,2012-10-08 11:59:00,0.00331,0.00166,0.00588,0.00331,0.00166,0.00588
VIVA00ITA,EURA14,2012-10-09 11:59:00,0.00063,0.00187,0.00777,0.00063,0.00187,0.00777
VIVA00ITA,EURA14,2012-10-10 11:59:00,-0.00109,0.00168,0.00244,-0.00109,0.00168,0.00244
VIVA00ITA,EURA14,2012-10-11 11:59:00,0.00042,0.00226,-0.00157,0.00042,0.00226,-0.00157
VIVA00ITA,EURA14,2012-10-12 11:59:00,4e-05,-0.00108,0.00332,4e-05,-0.00108,0.00332
VIVA00ITA,EURA14,2012-10-13 11:59:00,-0.00019,0.00176,-0.0059,-0.00019,0.00176,-0.0059
VIVA00ITA,EURA14,2012-10-14 11:59:00,0.00154,0.00125,-0.00023,0.00154,0.00125,-0.00023
VIVA00ITA,EURA14,2012-10-15 11:59:00,0.00362,-0.00071,0.0026,0.00362,-0.00071,0.0026
VIVA00ITA,EURA14,2012-10-16 11:59:00,0.00119,0.00239,-0.0019,0.00119,0.00239,-0.0019
VIVA00ITA,EURA14,2012-10-17 11:59:00,-0.00023,0.00202,-0.0072,-0.00023,0.00202,-0.0072
VIVA00ITA,EURA14,2012-10-18 11:59:00,0.00189,0.00346,-0.00904,0.00189,0.00346,-0.00904
VIVA00ITA,EURA14,2012-10-19 11:59:00,4e-05,0.00159,0.0001,4e-05,0.00159,0.0001
VIVA00ITA,EURA14,2012-10-20 11:59:00,-0.00043,0.00302,-0.00142,-0.00043,0.00302,-0.00142
VIVA00ITA,EURA14,2012-10-21 11:59:00,-0.00176,0.00229,0.00183,-0.00176,0.00229,0.00183
VIVA00ITA,EURA14,2012-10-22 11:59:00,-0.00011,0.00132,0.0058,-0.00011,0.00132,0.0058
VIVA00ITA,EURA14,2012-10-23 11:59:00,0.0016,0.00114,-0.0012,0.0016,0.00114,-0.0012
VIVA00ITA,EURA14,2012-10-24 11:59:00,0.002,0.00246,0.0006,0.002,0.00246,0.0006
VIVA00ITA,EURA14,2012-10-25 11:59:00,0.00053,0.0012,0.00635,0.00053,0.0012,0.00635
VIVA00ITA,EURA14,2012-10-26 11:59:00,0.00097,0.00109,0.00276,0.00097,0.00109,0.00276
VIVA00ITA,EURA14,2012-10-27 11:59:00,0.00064,0.00147,0.00334,0.00064,0.00147,0.00334
VIVA00ITA,EURA14,2012-10-28 11:59:00,0.00049,0.00186,0.00617,0.00049,0.00186,0.00617
VIVA00ITA,EURA14,2012-10-29 11:59:00,0.00132,0.00243,0.00382,0.00132,0.00243,0.00382
VIVA00ITA,EURA14,2012-10-30 11:59:00,0.00058,0.0026,0.00277,0.00058,0.0026,0.00277
VIVA00ITA,EURA14,2012-10-31 11:59:00,0.00254,-0.00061,0.0088,0.00254,-0.00061,0.0088
VIVA00ITA,EURA14,2012-11-01 11:59:00,-0.0001,0.00242,0.00555,-0.0001,0.00242,0.00555
VIVA00ITA,EURA14,2012-11-02 11:59:00,0.00017,0.00116,-0.00114,0.00017,0.00116,-0.00114
VIVA00ITA,EURA14,2012-11-03 11:59:00,0.00025,0.00246,-0.00076,0.00025,0.00246,-0.00076
VIVA00ITA,EURA14,2012-11-04 11:59:00,0.00299,0.0018,0.00871,0.00299,0.0018,0.00871
VIVA00ITA,EURA14,2012-11-05 11:59:00,-0.00148,0.00155,0.00331,-0.00148,0.00155,0.00331
VIVA00ITA,EURA14,2012-11-06 11:59:00,0.00143,0.00149,0.00144,0.00143,0.00149,0.00144
VIVA00ITA,EURA14,2012-11-07 11:59:00,-0.00038,0.00284,-0.00124,-0.00038,0.00284,-0.00124
VIVA00ITA,EURA14,2012-11-08 11:59:00,0.00032,0.00236,-0.00165,0.00032,0.00236,-0.00165
VIVA00ITA,EURA14,2012-11-09 11:59:00,-0.00065,0.00242,0.00126,-0.00065,0.00242,0.00126
VIVA00ITA,EURA14,2012-11-10 11:59:00,-0.00042,0.00148,0.00641,-0.00042,0.00148,0.00641
VIVA00ITA,EURA14,2012-11-11 11:59:00,0.00163,0.00013,0.00926,0.00163,0.00013,0.00926
VIVA00ITA,EURA14,2012-11-12 11:59:00,0.00182,0.00352,0.00637,0.00182,0.00352,0.00637
VIVA00ITA,EURA14,2012-11-13 11:59:00,0.0004,0.00234,-0.00037,0.0004,0.00234,-0.00037
VIVA00ITA,EURA14,2012-11-14 11:59:00,-0.00051,0.00289,-0.00126,-0.00051,0.00289,-0.00126
VIVA00ITA,EURA14,2012-11-15 11:59:00,-0.00043,0.00257,0.00649,-0.00043,0.00257,0.00649
