marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
VTRA00ITA,EURA14,2006-06-20 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
VTRA00ITA,EURA14,2006-06-21 11:59:00,-0.00067,-0.00163,-0.00085,-0.00067,-0.00163,-0.00085
VTRA00ITA,EURA14,2006-06-22 11:59:00,-0.00215,0.00015,0.00482,-0.00215,0.00015,0.00482
VTRA00ITA,EURA14,2006-06-23 11:59:00,-0.00181,-0.00112,-0.00012,-0.00181,-0.00112,-0.00012
VTRA00ITA,EURA14,2006-06-24 11:59:00,-0.00191,-0.00099,0.00287,-0.00191,-0.00099,0.00287
VTRA00ITA,EURA14,2006-06-25 11:59:00,-0.00011,-0.00072,-0.00133,-0.00011,-0.00072,-0.00133
VTRA00ITA,EURA14,2006-06-26 11:59:00,-0.00058,-0.00099,-0.00337,-0.00058,-0.00099,-0.00337
VTRA00ITA,EURA14,2006-06-27 11:59:00,-0.00149,0.00069,-0.00789,-0.00149,0.00069,-0.00789
VTRA00ITA,EURA14,2006-06-28 11:59:00,-0.00051,-0.00032,-0.00125,-0.00051,-0.00032,-0.00125
VTRA00ITA,EURA14,2006-06-29 11:59:00,-0.00045,-9e-05,0.00242,-0.00045,-9e-05,0.00242
VTRA00ITA,EURA14,2006-06-30 11:59:00,0.00042,0.00198,-0.00805,0.00042,0.00198,-0.00805
VTRA00ITA,EURA14,2006-07-01 11:59:00,0.00072,0.00014,-0.00587,0.00072,0.00014,-0.00587
VTRA00ITA,EURA14,2006-07-02 11:59:00,-0.00024,-0.00106,-0.00621,-0.00024,-0.00106,-0.00621
VTRA00ITA,EURA14,2006-07-03 11:59:00,-0.00028,0.00025,-0.00267,-0.00028,0.00025,-0.00267
VTRA00ITA,EURA14,2006-07-04 11:59:00,-0.00099,0.00078,-0.00406,-0.00099,0.00078,-0.00406
VTRA00ITA,EURA14,2006-07-05 11:59:00,0.0036,0.00149,0.06386,0.0036,0.00149,0.06386
VTRA00ITA,EURA14,2006-07-06 11:59:00,0.00259,0.00271,0.09127,0.00259,0.00271,0.09127
VTRA00ITA,EURA14,2006-07-07 11:59:00,0.00454,-0.00038,0.10466,0.00454,-0.00038,0.10466
VTRA00ITA,EURA14,2006-07-08 11:59:00,0.00282,0.00073,0.09053,0.00282,0.00073,0.09053
VTRA00ITA,EURA14,2006-07-09 11:59:00,0.00345,0.00145,0.09571,0.00345,0.00145,0.09571
VTRA00ITA,EURA14,2006-07-10 11:59:00,0.00483,0.00108,0.09257,0.00483,0.00108,0.09257
VTRA00ITA,EURA14,2006-07-11 11:59:00,0.0034,0.00198,0.09391,0.0034,0.00198,0.09391
VTRA00ITA,EURA14,2006-07-12 11:59:00,0.00329,0.00397,0.09156,0.00329,0.00397,0.09156
VTRA00ITA,EURA14,2006-07-13 11:59:00,0.00296,0.00232,0.09612,0.00296,0.00232,0.09612
VTRA00ITA,EURA14,2006-07-14 11:59:00,0.00405,0.0026,0.09516,0.00405,0.0026,0.09516
VTRA00ITA,EURA14,2006-07-15 11:59:00,0.00318,0.00142,0.09595,0.00318,0.00142,0.09595
VTRA00ITA,EURA14,2006-07-16 11:59:00,0.00361,0.00111,0.09917,0.00361,0.00111,0.09917
VTRA00ITA,EURA14,2006-07-17 11:59:00,0.00282,0.00107,0.09452,0.00282,0.00107,0.09452
VTRA00ITA,EURA14,2006-07-18 11:59:00,0.00246,0.00177,0.09566,0.00246,0.00177,0.09566
VTRA00ITA,EURA14,2006-07-19 11:59:00,0.00289,0.00192,0.09485,0.00289,0.00192,0.09485
VTRA00ITA,EURA14,2006-07-20 11:59:00,0.00273,0.00066,0.09815,0.00273,0.00066,0.09815
VTRA00ITA,EURA14,2006-07-21 11:59:00,0.00297,0.00192,0.0938,0.00297,0.00192,0.0938
VTRA00ITA,EURA14,2006-07-22 11:59:00,0.00253,0.00151,0.09049,0.00253,0.00151,0.09049
VTRA00ITA,EURA14,2006-07-23 11:59:00,0.00341,0.0009,0.09185,0.00341,0.0009,0.09185
VTRA00ITA,EURA14,2006-07-24 11:59:00,0.00274,-0.00101,0.09417,0.00274,-0.00101,0.09417
VTRA00ITA,EURA14,2006-07-25 11:59:00,0.00331,0.00152,0.10108,0.00331,0.00152,0.10108
VTRA00ITA,EURA14,2006-07-26 11:59:00,0.00167,0.00101,0.09709,0.00167,0.00101,0.09709
VTRA00ITA,EURA14,2006-07-27 11:59:00,0.00265,-0.00028,0.09191,0.00265,-0.00028,0.09191
VTRA00ITA,EURA14,2006-07-28 11:59:00,0.00079,0.0014,0.09361,0.00079,0.0014,0.09361
VTRA00ITA,EURA14,2006-07-29 11:59:00,0.00498,0.00194,0.09695,0.00498,0.00194,0.09695
