marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
VVLO00ITA,EURA14,2000-05-31 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
VVLO00ITA,EURA14,2000-06-01 11:59:00,-0.00289,1e-05,-0.00043,-0.00289,1e-05,-0.00043
VVLO00ITA,EURA14,2000-06-02 11:59:00,-0.00371,-0.00144,0.00218,-0.00371,-0.00144,0.00218
VVLO00ITA,EURA14,2000-06-03 11:59:00,-0.00213,-0.00018,0.00956,-0.00213,-0.00018,0.00956
VVLO00ITA,EURA14,2000-06-04 11:59:00,-0.00076,-0.00139,0.00251,-0.00076,-0.00139,0.00251
VVLO00ITA,EURA14,2000-06-05 11:59:00,-0.00166,-0.00158,0.00739,-0.00166,-0.00158,0.00739
VVLO00ITA,EURA14,2000-06-06 11:59:00,-0.00183,-0.0015149999999999999,0.01027,-0.00183,-0.0015149999999999999,0.01027
VVLO00ITA,EURA14,2000-06-07 11:59:00,-0.002,-0.00145,0.01315,-0.002,-0.00145,0.01315
VVLO00ITA,EURA14,2000-06-08 11:59:00,0.00063,-0.00502,0.00903,0.00063,-0.00502,0.00903
VVLO00ITA,EURA14,2000-06-09 11:59:00,-0.00252,-0.00176,0.00432,-0.00252,-0.00176,0.00432
VVLO00ITA,EURA14,2000-06-10 11:59:00,-0.00258,0.00104,0.01199,-0.00258,0.00104,0.01199
VVLO00ITA,EURA14,2000-06-11 11:59:00,-0.00787,-0.01139,-0.00273,-0.00787,-0.01139,-0.00273
VVLO00ITA,EURA14,2000-06-12 11:59:00,-0.00287,-0.00556,-0.01241,-0.00287,-0.00556,-0.01241
VVLO00ITA,EURA14,2000-06-13 11:59:00,-0.00152,-0.00266,0.00564,-0.00152,-0.00266,0.00564
VVLO00ITA,EURA14,2000-06-14 11:59:00,-0.00546,-0.00297,0.00149,-0.00546,-0.00297,0.00149
VVLO00ITA,EURA14,2000-06-15 11:59:00,-0.00494,-0.00268,-0.00398,-0.00494,-0.00268,-0.00398
VVLO00ITA,EURA14,2000-06-16 11:59:00,-0.00111,-0.00047,-0.00277,-0.00111,-0.00047,-0.00277
VVLO00ITA,EURA14,2000-06-17 11:59:00,0.00161,0.00383,-0.00028,0.00161,0.00383,-0.00028
VVLO00ITA,EURA14,2000-06-18 11:59:00,0.00134,0.00264,0.01715,0.00134,0.00264,0.01715
VVLO00ITA,EURA14,2000-06-22 11:59:00,-0.0039,-0.00249,0.00044,-0.0039,-0.00249,0.00044
VVLO00ITA,EURA14,2000-06-23 11:59:00,-0.01227,-0.00942,0.00219,-0.01227,-0.00942,0.00219
VVLO00ITA,EURA14,2000-06-24 11:59:00,-0.00876,-0.0043,-0.00312,-0.00876,-0.0043,-0.00312
VVLO00ITA,EURA14,2000-06-25 11:59:00,-0.00571,-0.00308,0.00735,-0.00571,-0.00308,0.00735
VVLO00ITA,EURA14,2000-06-26 11:59:00,-0.00616,-0.00098,-0.00656,-0.00616,-0.00098,-0.00656
VVLO00ITA,EURA14,2000-06-27 11:59:00,-0.00787,-0.00284,0.00275,-0.00787,-0.00284,0.00275
VVLO00ITA,EURA14,2000-06-28 11:59:00,-0.00638,-0.00272,0.00411,-0.00638,-0.00272,0.00411
VVLO00ITA,EURA14,2000-06-29 11:59:00,-0.00577,-0.0002,0.01222,-0.00577,-0.0002,0.01222
VVLO00ITA,EURA14,2000-06-30 11:59:00,-0.00726,-0.00254,0.00722,-0.00726,-0.00254,0.00722
VVLO00ITA,EURA14,2000-07-01 11:59:00,-0.0077,-0.00159,-0.00625,-0.0077,-0.00159,-0.00625
VVLO00ITA,EURA14,2000-07-02 11:59:00,-0.00686,-0.00073,-0.00564,-0.00686,-0.00073,-0.00564
VVLO00ITA,EURA14,2000-07-03 11:59:00,-0.00764,-0.00584,-0.00314,-0.00764,-0.00584,-0.00314
VVLO00ITA,EURA14,2000-07-04 11:59:00,-0.00278,-0.00029,0.01324,-0.00278,-0.00029,0.01324
VVLO00ITA,EURA14,2000-07-05 11:59:00,0.00078,-0.0008,0.00905,0.00078,-0.0008,0.00905
VVLO00ITA,EURA14,2000-07-06 11:59:00,-0.00559,-0.00362,0.00997,-0.00559,-0.00362,0.00997
VVLO00ITA,EURA14,2000-07-07 11:59:00,-0.0067,-0.00273,-0.0094,-0.0067,-0.00273,-0.0094
VVLO00ITA,EURA14,2000-07-08 11:59:00,-0.00821,0.00111,0.01123,-0.00821,0.00111,0.01123
VVLO00ITA,EURA14,2000-07-09 11:59:00,-0.00444,-0.00277,0.00558,-0.00444,-0.00277,0.00558
VVLO00ITA,EURA14,2000-07-10 11:59:00,-0.00721,-0.00395,0.00831,-0.00721,-0.00395,0.00831
VVLO00ITA,EURA14,2000-07-11 11:59:00,-0.00485,0.00173,0.00668,-0.00485,0.00173,0.00668
VVLO00ITA,EURA14,2000-07-12 11:59:00,-0.01234,-0.00868,-0.00629,-0.01234,-0.00868,-0.00629
VVLO00ITA,EURA14,2000-07-13 11:59:00,-0.00561,-0.00197,0.00935,-0.00561,-0.00197,0.00935
VVLO00ITA,EURA14,2000-07-14 11:59:00,-0.00986,-0.00433,-0.0009,-0.00986,-0.00433,-0.0009
VVLO00ITA,EURA14,2000-07-15 11:59:00,-0.00447,-0.00293,0.00347,-0.00447,-0.00293,0.00347
VVLO00ITA,EURA14,2000-07-16 11:59:00,-0.00522,-0.00134,0.00726,-0.00522,-0.00134,0.00726
VVLO00ITA,EURA14,2000-07-17 11:59:00,-0.00389,-0.00292,0.00211,-0.00389,-0.00292,0.00211
VVLO00ITA,EURA14,2000-07-18 11:59:00,-0.00655,-0.00165,-0.0034,-0.00655,-0.00165,-0.0034
VVLO00ITA,EURA14,2000-07-19 11:59:00,-0.00452,-0.00211,0.00746,-0.00452,-0.00211,0.00746
VVLO00ITA,EURA14,2000-07-20 11:59:00,-0.00506,-0.00412,0.00229,-0.00506,-0.00412,0.00229
VVLO00ITA,EURA14,2000-07-21 11:59:00,-0.00238,0.00041,-0.00103,-0.00238,0.00041,-0.00103
VVLO00ITA,EURA14,2000-07-28 11:59:00,-0.0049,-0.00209,0.01027,-0.0049,-0.00209,0.01027
VVLO00ITA,EURA14,2000-07-29 11:59:00,-0.00579,-0.00399,0.00676,-0.00579,-0.00399,0.00676
VVLO00ITA,EURA14,2000-07-30 11:59:00,-0.004,-0.003065,0.005815000000000001,-0.004,-0.003065,0.005815000000000001
VVLO00ITA,EURA14,2000-07-31 11:59:00,-0.00221,-0.00214,0.00487,-0.00221,-0.00214,0.00487
VVLO00ITA,EURA14,2000-08-01 11:59:00,-0.00256,-0.00427,0.00497,-0.00256,-0.00427,0.00497
VVLO00ITA,EURA14,2000-08-02 11:59:00,-0.00119,-0.00445,0.00582,-0.00119,-0.00445,0.00582
VVLO00ITA,EURA14,2000-08-03 11:59:00,-0.00125,-0.00343,0.00737,-0.00125,-0.00343,0.00737
VVLO00ITA,EURA14,2000-08-04 11:59:00,0.00018,-0.00429,-0.00275,0.00018,-0.00429,-0.00275
VVLO00ITA,EURA14,2000-08-05 11:59:00,-0.00645,-0.00916,0.00999,-0.00645,-0.00916,0.00999
VVLO00ITA,EURA14,2000-08-06 11:59:00,0.0,-0.004,0.00851,0.0,-0.004,0.00851
VVLO00ITA,EURA14,2000-08-07 11:59:00,-0.00114,-0.00608,0.01757,-0.00114,-0.00608,0.01757
VVLO00ITA,EURA14,2000-08-08 11:59:00,0.0011,-0.00568,0.00144,0.0011,-0.00568,0.00144
VVLO00ITA,EURA14,2000-08-09 11:59:00,-0.00354,-0.00743,0.01196,-0.00354,-0.00743,0.01196
VVLO00ITA,EURA14,2000-08-10 11:59:00,-0.00312,-0.00596,0.00236,-0.00312,-0.00596,0.00236
VVLO00ITA,EURA14,2000-08-11 11:59:00,-0.00377,-0.00846,0.01227,-0.00377,-0.00846,0.01227
VVLO00ITA,EURA14,2000-08-12 11:59:00,-0.00274,-0.00975,0.01626,-0.00274,-0.00975,0.01626
VVLO00ITA,EURA14,2000-08-13 11:59:00,-0.00539,-0.00992,0.00966,-0.00539,-0.00992,0.00966
VVLO00ITA,EURA14,2000-08-14 11:59:00,-0.00455,-0.00635,0.01218,-0.00455,-0.00635,0.01218
VVLO00ITA,EURA14,2000-08-15 11:59:00,-0.0004,-0.00478,0.01456,-0.0004,-0.00478,0.01456
VVLO00ITA,EURA14,2000-08-16 11:59:00,-0.00176,-0.00724,0.00617,-0.00176,-0.00724,0.00617
VVLO00ITA,EURA14,2000-08-17 11:59:00,-0.00335,-0.01023,0.01247,-0.00335,-0.01023,0.01247
VVLO00ITA,EURA14,2000-08-18 11:59:00,-0.00768,-0.00977,0.02167,-0.00768,-0.00977,0.02167
VVLO00ITA,EURA14,2000-08-19 11:59:00,-0.00494,-0.00931,0.02398,-0.00494,-0.00931,0.02398
VVLO00ITA,EURA14,2000-08-20 11:59:00,-0.0039,-0.00861,0.01096,-0.0039,-0.00861,0.01096
VVLO00ITA,EURA14,2000-08-21 11:59:00,0.00153,-0.00808,0.00615,0.00153,-0.00808,0.00615
VVLO00ITA,EURA14,2000-08-22 11:59:00,-0.00162,-0.00807,0.00921,-0.00162,-0.00807,0.00921
VVLO00ITA,EURA14,2000-08-23 11:59:00,-0.00064,-0.00585,0.00989,-0.00064,-0.00585,0.00989
VVLO00ITA,EURA14,2000-08-24 11:59:00,-0.00179,-0.00318,0.0113,-0.00179,-0.00318,0.0113
VVLO00ITA,EURA14,2000-08-25 11:59:00,-0.00059,-0.00579,0.02046,-0.00059,-0.00579,0.02046
VVLO00ITA,EURA14,2000-08-26 11:59:00,0.00084,-0.00318,0.00666,0.00084,-0.00318,0.00666
VVLO00ITA,EURA14,2000-08-27 11:59:00,-0.00019,-0.00688,0.01622,-0.00019,-0.00688,0.01622
VVLO00ITA,EURA14,2000-08-28 11:59:00,-0.00202,-0.00959,0.00876,-0.00202,-0.00959,0.00876
VVLO00ITA,EURA14,2000-08-29 11:59:00,0.00349,-0.00227,0.0185,0.00349,-0.00227,0.0185
VVLO00ITA,EURA14,2000-08-30 11:59:00,-0.00213,-0.00669,0.0216,-0.00213,-0.00669,0.0216
VVLO00ITA,EURA14,2000-08-31 11:59:00,0.00258,-0.00371,0.01045,0.00258,-0.00371,0.01045
VVLO00ITA,EURA14,2000-09-01 11:59:00,-0.00161,-0.00282,0.01616,-0.00161,-0.00282,0.01616
VVLO00ITA,EURA14,2000-09-02 11:59:00,0.00015,-0.00887,-0.00272,0.00015,-0.00887,-0.00272
VVLO00ITA,EURA14,2000-09-03 11:59:00,-0.0052,-0.0089,0.02805,-0.0052,-0.0089,0.02805
VVLO00ITA,EURA14,2000-09-04 11:59:00,-0.00292,-0.0071,0.01799,-0.00292,-0.0071,0.01799
VVLO00ITA,EURA14,2000-09-05 11:59:00,-0.00064,-0.0053,0.00793,-0.00064,-0.0053,0.00793
VVLO00ITA,EURA14,2000-09-06 11:59:00,-0.00082,-0.00496,0.00916,-0.00082,-0.00496,0.00916
VVLO00ITA,EURA14,2000-09-07 11:59:00,0.00015,-0.00646,0.01145,0.00015,-0.00646,0.01145
VVLO00ITA,EURA14,2000-09-08 11:59:00,-0.00235,-0.00639,0.01769,-0.00235,-0.00639,0.01769
VVLO00ITA,EURA14,2000-09-09 11:59:00,0.00201,-0.00472,-0.0084,0.00201,-0.00472,-0.0084
VVLO00ITA,EURA14,2000-09-10 11:59:00,-0.00081,-0.00629,0.00129,-0.00081,-0.00629,0.00129
VVLO00ITA,EURA14,2000-09-11 11:59:00,-0.00184,-0.007,0.01995,-0.00184,-0.007,0.01995
VVLO00ITA,EURA14,2000-09-12 11:59:00,-0.00135,-0.00569,0.00783,-0.00135,-0.00569,0.00783
VVLO00ITA,EURA14,2000-09-13 11:59:00,-5e-05,-0.00623,0.00622,-5e-05,-0.00623,0.00622
VVLO00ITA,EURA14,2000-09-14 11:59:00,-0.00126,-0.00736,0.00793,-0.00126,-0.00736,0.00793
VVLO00ITA,EURA14,2000-09-15 11:59:00,-0.0001,-0.00652,0.00616,-0.0001,-0.00652,0.00616
VVLO00ITA,EURA14,2000-09-16 11:59:00,-0.00065,-0.00603,0.00761,-0.00065,-0.00603,0.00761
VVLO00ITA,EURA14,2000-09-17 11:59:00,-0.0098,-0.01266,-0.00687,-0.0098,-0.01266,-0.00687
VVLO00ITA,EURA14,2000-09-18 11:59:00,-0.00393,-0.00955,-0.012,-0.00393,-0.00955,-0.012
VVLO00ITA,EURA14,2000-09-19 11:59:00,0.00119,0.00231,0.02296,0.00119,0.00231,0.02296
VVLO00ITA,EURA14,2000-09-20 11:59:00,0.00419,-0.00362,-0.00453,0.00419,-0.00362,-0.00453
VVLO00ITA,EURA14,2000-09-21 11:59:00,0.0,-0.00585,0.02783,0.0,-0.00585,0.02783
VVLO00ITA,EURA14,2000-09-22 11:59:00,0.00025,-0.00523,0.00418,0.00025,-0.00523,0.00418
VVLO00ITA,EURA14,2000-10-02 11:59:00,-0.0018,-0.00949,0.00687,-0.0018,-0.00949,0.00687
VVLO00ITA,EURA14,2000-10-03 11:59:00,0.00045,-0.00562,0.01026,0.00045,-0.00562,0.01026
VVLO00ITA,EURA14,2000-10-04 11:59:00,0.00217,-0.00383,0.00771,0.00217,-0.00383,0.00771
VVLO00ITA,EURA14,2000-10-05 11:59:00,0.00023,-0.00289,0.01029,0.00023,-0.00289,0.01029
VVLO00ITA,EURA14,2000-10-06 11:59:00,0.00241,-0.0029,0.00808,0.00241,-0.0029,0.00808
VVLO00ITA,EURA14,2000-10-07 11:59:00,6e-05,-0.00416,0.01143,6e-05,-0.00416,0.01143
VVLO00ITA,EURA14,2000-10-08 11:59:00,-0.0002,-0.00322,0.00668,-0.0002,-0.00322,0.00668
VVLO00ITA,EURA14,2000-10-09 11:59:00,0.00113,-0.0041,0.00802,0.00113,-0.0041,0.00802
VVLO00ITA,EURA14,2000-10-10 11:59:00,-0.00407,-0.00747,0.01336,-0.00407,-0.00747,0.01336
VVLO00ITA,EURA14,2000-10-11 11:59:00,-0.00566,-0.013,-0.00774,-0.00566,-0.013,-0.00774
VVLO00ITA,EURA14,2000-10-12 11:59:00,-0.00794,-0.00663,-0.01795,-0.00794,-0.00663,-0.01795
VVLO00ITA,EURA14,2000-10-13 11:59:00,-0.00185,-0.00558,0.00776,-0.00185,-0.00558,0.00776
VVLO00ITA,EURA14,2000-10-14 11:59:00,-0.00081,-0.00585,-0.00835,-0.00081,-0.00585,-0.00835
VVLO00ITA,EURA14,2000-10-15 11:59:00,-0.00827,-0.0115,-0.01327,-0.00827,-0.0115,-0.01327
VVLO00ITA,EURA14,2000-10-16 11:59:00,-0.00361,-0.00907,-0.00926,-0.00361,-0.00907,-0.00926
VVLO00ITA,EURA14,2000-10-26 11:59:00,-0.00115,-0.00324,0.01054,-0.00115,-0.00324,0.01054
VVLO00ITA,EURA14,2000-10-27 11:59:00,-0.00117,-0.00292,0.00377,-0.00117,-0.00292,0.00377
