marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
FOLI00ITA,EURA14,2005-10-17 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
FOLI00ITA,EURA14,2005-10-18 11:59:00,0.00039,-0.00341,0.01171,0.00039,-0.00341,0.01171
FOLI00ITA,EURA14,2005-10-19 11:59:00,-0.00117,-0.00268,0.01456,-0.00117,-0.00268,0.01456
FOLI00ITA,EURA14,2005-10-20 11:59:00,-0.00029,-0.00903,0.02805,-0.00029,-0.00903,0.02805
FOLI00ITA,EURA14,2005-10-21 11:59:00,-0.00196,-0.00435,0.01286,-0.00196,-0.00435,0.01286
FOLI00ITA,EURA14,2005-10-22 11:59:00,-0.00059,-0.00404,0.01442,-0.00059,-0.00404,0.01442
FOLI00ITA,EURA14,2005-10-23 11:59:00,-0.00064,-0.00458,0.01332,-0.00064,-0.00458,0.01332
FOLI00ITA,EURA14,2005-10-24 11:59:00,0.00053,-0.00401,0.00382,0.00053,-0.00401,0.00382
FOLI00ITA,EURA14,2005-10-25 11:59:00,0.00076,-0.00377,0.00591,0.00076,-0.00377,0.00591
FOLI00ITA,EURA14,2005-10-26 11:59:00,0.00046,-0.0044,0.00488,0.00046,-0.0044,0.00488
FOLI00ITA,EURA14,2005-10-27 11:59:00,-9e-05,-0.00362,0.00584,-9e-05,-0.00362,0.00584
FOLI00ITA,EURA14,2005-10-28 11:59:00,-0.00036,-0.00285,0.00571,-0.00036,-0.00285,0.00571
FOLI00ITA,EURA14,2005-10-29 11:59:00,0.00015,-0.00273,0.0079,0.00015,-0.00273,0.0079
FOLI00ITA,EURA14,2005-10-30 11:59:00,0.0008,-0.00395,0.00485,0.0008,-0.00395,0.00485
FOLI00ITA,EURA14,2005-10-31 11:59:00,0.0004,-0.0037,0.0077,0.0004,-0.0037,0.0077
FOLI00ITA,EURA14,2005-11-01 11:59:00,0.00028,-0.00383,0.01478,0.00028,-0.00383,0.01478
FOLI00ITA,EURA14,2005-11-02 11:59:00,1e-05,-0.00683,0.01315,1e-05,-0.00683,0.01315
FOLI00ITA,EURA14,2005-11-03 11:59:00,0.00083,-0.00467,0.01035,0.00083,-0.00467,0.01035
FOLI00ITA,EURA14,2005-11-04 11:59:00,-0.00117,-0.00272,0.00968,-0.00117,-0.00272,0.00968
FOLI00ITA,EURA14,2005-11-05 11:59:00,-0.00072,-0.00199,0.01347,-0.00072,-0.00199,0.01347
FOLI00ITA,EURA14,2005-11-06 11:59:00,-0.00071,-0.004,0.01806,-0.00071,-0.004,0.01806
FOLI00ITA,EURA14,2005-11-07 11:59:00,0.0008,-0.00387,0.00881,0.0008,-0.00387,0.00881
FOLI00ITA,EURA14,2005-11-08 11:59:00,-0.00074,-0.00266,0.00735,-0.00074,-0.00266,0.00735
FOLI00ITA,EURA14,2005-11-09 11:59:00,0.00049,-0.00277,0.00516,0.00049,-0.00277,0.00516
FOLI00ITA,EURA14,2005-11-10 11:59:00,0.00098,-0.00399,0.00116,0.00098,-0.00399,0.00116
FOLI00ITA,EURA14,2005-11-11 11:59:00,0.00068,-0.00323,0.01249,0.00068,-0.00323,0.01249
FOLI00ITA,EURA14,2005-11-12 11:59:00,8e-05,-0.00279,0.00689,8e-05,-0.00279,0.00689
FOLI00ITA,EURA14,2005-11-13 11:59:00,0.00034,-0.00176,0.0059,0.00034,-0.00176,0.0059
FOLI00ITA,EURA14,2005-11-14 11:59:00,-0.0011499999999999998,-0.003645,0.012575,-0.0011499999999999998,-0.003645,0.012575
FOLI00ITA,EURA14,2005-11-15 11:59:00,-0.00264,-0.00553,0.01925,-0.00264,-0.00553,0.01925
