marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
TIN200ITA,EURA14,2016-06-14 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
TIN200ITA,EURA14,2016-06-15 11:59:00,-0.00101,0.00203,0.00574,-0.00101,0.00203,0.00574
TIN200ITA,EURA14,2016-06-16 11:59:00,-6e-05,0.00408,-0.00175,-6e-05,0.00408,-0.00175
TIN200ITA,EURA14,2016-06-17 11:59:00,-0.00235,0.00184,0.00266,-0.00235,0.00184,0.00266
TIN200ITA,EURA14,2016-06-18 11:59:00,-0.00315,0.00648,0.00708,-0.00315,0.00648,0.00708
TIN200ITA,EURA14,2016-06-19 11:59:00,-0.0007,0.00246,-0.00332,-0.0007,0.00246,-0.00332
TIN200ITA,EURA14,2016-06-20 11:59:00,-0.00153,0.00041,-0.01264,-0.00153,0.00041,-0.01264
TIN200ITA,EURA14,2016-06-21 11:59:00,0.00172,-0.00059,-0.01098,0.00172,-0.00059,-0.01098
TIN200ITA,EURA14,2016-06-22 11:59:00,-0.0003,0.0003,-0.00041,-0.0003,0.0003,-0.00041
TIN200ITA,EURA14,2016-06-23 11:59:00,-0.00309,-0.0019,0.01365,-0.00309,-0.0019,0.01365
TIN200ITA,EURA14,2016-06-24 11:59:00,-0.00473,0.0004,0.00099,-0.00473,0.0004,0.00099
TIN200ITA,EURA14,2016-06-25 11:59:00,-0.00185,0.00104,-0.00104,-0.00185,0.00104,-0.00104
TIN200ITA,EURA14,2016-06-26 11:59:00,0.00137,0.00359,-0.00026,0.00137,0.00359,-0.00026
TIN200ITA,EURA14,2016-06-27 11:59:00,-0.00178,0.00282,-0.00295,-0.00178,0.00282,-0.00295
TIN200ITA,EURA14,2016-06-28 11:59:00,-0.00124,0.00068,0.00554,-0.00124,0.00068,0.00554
TIN200ITA,EURA14,2016-06-29 11:59:00,-0.00178,0.00273,-0.00466,-0.00178,0.00273,-0.00466
TIN200ITA,EURA14,2016-06-30 11:59:00,-0.001555,0.001475,0.0027399999999999994,-0.001555,0.001475,0.0027399999999999994
TIN200ITA,EURA14,2016-07-01 11:59:00,-0.00133,0.00022,0.01014,-0.00133,0.00022,0.01014
TIN200ITA,EURA14,2016-07-02 11:59:00,-0.00162,0.00279,3e-05,-0.00162,0.00279,3e-05
TIN200ITA,EURA14,2016-07-03 11:59:00,-0.00353,0.00285,0.004,-0.00353,0.00285,0.004
TIN200ITA,EURA14,2016-07-04 11:59:00,-0.00265,0.00163,0.00364,-0.00265,0.00163,0.00364
TIN200ITA,EURA14,2016-07-05 11:59:00,-0.00338,-0.00093,-0.0025,-0.00338,-0.00093,-0.0025
TIN200ITA,EURA14,2016-07-06 11:59:00,-0.0011,0.00041,-0.00269,-0.0011,0.00041,-0.00269
TIN200ITA,EURA14,2016-07-07 11:59:00,-0.0029,0.00011,0.004,-0.0029,0.00011,0.004
TIN200ITA,EURA14,2016-07-08 11:59:00,-0.00287,0.00045,0.00748,-0.00287,0.00045,0.00748
