marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CADG00ITA,EURA14,2024-06-22 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CADG00ITA,EURA14,2024-06-23 11:59:00,0.00397,0.00133,-0.00927,0.00397,0.00133,-0.00927
CADG00ITA,EURA14,2024-06-24 11:59:00,0.00172,0.00064,-0.00562,0.00172,0.00064,-0.00562
CADG00ITA,EURA14,2024-06-25 11:59:00,-0.0013,0.00095,0.00268,-0.0013,0.00095,0.00268
CADG00ITA,EURA14,2024-06-26 11:59:00,0.00029,0.00142,0.00504,0.00029,0.00142,0.00504
CADG00ITA,EURA14,2024-06-27 11:59:00,0.00263,-0.00202,-0.0096,0.00263,-0.00202,-0.0096
CADG00ITA,EURA14,2024-06-28 11:59:00,0.00199,-0.00206,-0.0045,0.00199,-0.00206,-0.0045
CADG00ITA,EURA14,2024-06-29 11:59:00,0.00118,-0.00015,-0.00729,0.00118,-0.00015,-0.00729
CADG00ITA,EURA14,2024-06-30 11:59:00,0.00179,-0.00107,-0.00564,0.00179,-0.00107,-0.00564
CADG00ITA,EURA14,2024-07-01 11:59:00,0.00604,-0.00139,-0.00901,0.00604,-0.00139,-0.00901
CADG00ITA,EURA14,2024-07-02 11:59:00,0.00252,-0.00278,-0.00889,0.00252,-0.00278,-0.00889
CADG00ITA,EURA14,2024-07-03 11:59:00,0.00397,-0.00196,-0.00961,0.00397,-0.00196,-0.00961
CADG00ITA,EURA14,2024-07-04 11:59:00,0.00333,-0.00241,-0.00638,0.00333,-0.00241,-0.00638
CADG00ITA,EURA14,2024-07-05 11:59:00,0.00364,-0.00119,-0.01577,0.00364,-0.00119,-0.01577
CADG00ITA,EURA14,2024-07-06 11:59:00,0.00313,-0.001,-0.0118,0.00313,-0.001,-0.0118
CADG00ITA,EURA14,2024-07-07 11:59:00,0.0008,-0.00111,-0.00407,0.0008,-0.00111,-0.00407
CADG00ITA,EURA14,2024-07-08 11:59:00,0.00112,-0.00196,-0.00748,0.00112,-0.00196,-0.00748
CADG00ITA,EURA14,2024-07-09 11:59:00,0.00232,-0.00226,-0.00475,0.00232,-0.00226,-0.00475
CADG00ITA,EURA14,2024-07-10 11:59:00,0.00428,-0.00277,-0.00082,0.00428,-0.00277,-0.00082
CADG00ITA,EURA14,2024-07-11 11:59:00,0.00366,-0.00089,-0.00059,0.00366,-0.00089,-0.00059
CADG00ITA,EURA14,2024-07-12 11:59:00,0.00224,-0.00219,-0.00761,0.00224,-0.00219,-0.00761
CADG00ITA,EURA14,2024-07-13 11:59:00,0.00096,-0.00177,0.0071,0.00096,-0.00177,0.0071
CADG00ITA,EURA14,2024-07-14 11:59:00,0.00241,-0.00213,-0.00619,0.00241,-0.00213,-0.00619
CADG00ITA,EURA14,2024-07-15 11:59:00,0.00127,-0.00072,-0.00247,0.00127,-0.00072,-0.00247
CADG00ITA,EURA14,2024-07-16 11:59:00,0.0027,-0.00456,-0.00504,0.0027,-0.00456,-0.00504
CADG00ITA,EURA14,2024-07-17 11:59:00,0.00103,-0.00126,-0.00479,0.00103,-0.00126,-0.00479
CADG00ITA,EURA14,2024-07-18 11:59:00,0.00111,1e-05,0.00101,0.00111,1e-05,0.00101
CADG00ITA,EURA14,2024-07-19 11:59:00,0.00315,-0.00226,-0.00758,0.00315,-0.00226,-0.00758
CADG00ITA,EURA14,2024-07-20 11:59:00,0.00076,-0.00274,-0.00726,0.00076,-0.00274,-0.00726
CADG00ITA,EURA14,2024-07-21 11:59:00,0.0019,0.00049,-0.01147,0.0019,0.00049,-0.01147
