marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
MSAL00ITA,EURA14,2024-05-30 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
MSAL00ITA,EURA14,2024-05-31 11:59:00,-0.00817,-0.0084,0.0078,-0.00817,-0.0084,0.0078
MSAL00ITA,EURA14,2024-06-01 11:59:00,-0.00609,-0.00826,0.00194,-0.00609,-0.00826,0.00194
MSAL00ITA,EURA14,2024-06-02 11:59:00,-0.00862,-0.00607,0.00573,-0.00862,-0.00607,0.00573
MSAL00ITA,EURA14,2024-06-03 11:59:00,-0.00729,-0.00655,-0.00095,-0.00729,-0.00655,-0.00095
MSAL00ITA,EURA14,2024-06-04 11:59:00,-0.00776,-0.00609,-0.00485,-0.00776,-0.00609,-0.00485
MSAL00ITA,EURA14,2024-06-05 11:59:00,-0.00918,-0.00761,0.00067,-0.00918,-0.00761,0.00067
MSAL00ITA,EURA14,2024-06-06 11:59:00,-0.01006,-0.00549,-0.00175,-0.01006,-0.00549,-0.00175
MSAL00ITA,EURA14,2024-06-07 11:59:00,-0.00849,-0.00415,-0.00425,-0.00849,-0.00415,-0.00425
MSAL00ITA,EURA14,2024-06-08 11:59:00,-0.00765,-0.00609,0.00545,-0.00765,-0.00609,0.00545
MSAL00ITA,EURA14,2024-06-09 11:59:00,-0.00682,-0.00521,0.006,-0.00682,-0.00521,0.006
MSAL00ITA,EURA14,2024-06-10 11:59:00,-0.00777,-0.00739,-0.00257,-0.00777,-0.00739,-0.00257
MSAL00ITA,EURA14,2024-06-11 11:59:00,-0.00932,-0.00597,-0.00665,-0.00932,-0.00597,-0.00665
MSAL00ITA,EURA14,2024-06-12 11:59:00,-0.00857,-0.00632,-0.00327,-0.00857,-0.00632,-0.00327
MSAL00ITA,EURA14,2024-06-13 11:59:00,-0.00889,-0.0067,-0.0013,-0.00889,-0.0067,-0.0013
MSAL00ITA,EURA14,2024-06-14 11:59:00,-0.0089,-0.00618,0.00011,-0.0089,-0.00618,0.00011
MSAL00ITA,EURA14,2024-06-15 11:59:00,-0.00989,-0.00504,-0.00278,-0.00989,-0.00504,-0.00278
MSAL00ITA,EURA14,2024-06-16 11:59:00,-0.00799,-0.00616,0.0026,-0.00799,-0.00616,0.0026
MSAL00ITA,EURA14,2024-06-17 11:59:00,-0.00673,-0.00616,0.00165,-0.00673,-0.00616,0.00165
MSAL00ITA,EURA14,2024-06-18 11:59:00,-0.00677,-0.0058,0.00178,-0.00677,-0.0058,0.00178
MSAL00ITA,EURA14,2024-06-19 11:59:00,-0.00694,-0.00489,-0.0063,-0.00694,-0.00489,-0.0063
MSAL00ITA,EURA14,2024-06-20 11:59:00,-0.00554,-0.00397,-0.00367,-0.00554,-0.00397,-0.00367
MSAL00ITA,EURA14,2024-06-21 11:59:00,-0.00747,-0.0053,-0.01008,-0.00747,-0.0053,-0.01008
MSAL00ITA,EURA14,2024-06-22 11:59:00,-0.00646,-0.00599,-0.00014,-0.00646,-0.00599,-0.00014
MSAL00ITA,EURA14,2024-06-23 11:59:00,-0.00865,-0.00674,2e-05,-0.00865,-0.00674,2e-05
MSAL00ITA,EURA14,2024-06-24 11:59:00,-0.00798,-0.00744,0.00622,-0.00798,-0.00744,0.00622
MSAL00ITA,EURA14,2024-06-25 11:59:00,-0.00793,-0.00794,-0.00331,-0.00793,-0.00794,-0.00331
MSAL00ITA,EURA14,2024-06-26 11:59:00,-0.00872,-0.00585,-0.00514,-0.00872,-0.00585,-0.00514
MSAL00ITA,EURA14,2024-06-27 11:59:00,-0.00885,-0.0077,0.0078,-0.00885,-0.0077,0.0078
MSAL00ITA,EURA14,2024-06-28 11:59:00,-0.01015,-0.00753,-0.00198,-0.01015,-0.00753,-0.00198
MSAL00ITA,EURA14,2024-06-29 11:59:00,-0.00695,-0.00505,-0.00179,-0.00695,-0.00505,-0.00179
MSAL00ITA,EURA14,2024-06-30 11:59:00,-0.00787,-0.00667,0.00279,-0.00787,-0.00667,0.00279
MSAL00ITA,EURA14,2024-07-01 11:59:00,-0.00953,-0.00469,-0.00083,-0.00953,-0.00469,-0.00083
MSAL00ITA,EURA14,2024-07-02 11:59:00,-0.00934,-0.00604,0.0087,-0.00934,-0.00604,0.0087
MSAL00ITA,EURA14,2024-07-03 11:59:00,-0.00767,-0.00896,0.00128,-0.00767,-0.00896,0.00128
MSAL00ITA,EURA14,2024-07-04 11:59:00,-0.01001,-0.00843,0.01079,-0.01001,-0.00843,0.01079
MSAL00ITA,EURA14,2024-07-05 11:59:00,-0.00689,-0.00547,-0.00413,-0.00689,-0.00547,-0.00413
MSAL00ITA,EURA14,2024-07-06 11:59:00,-0.00705,-0.00519,-0.00194,-0.00705,-0.00519,-0.00194
MSAL00ITA,EURA14,2024-07-07 11:59:00,-0.00731,-0.00424,0.0054,-0.00731,-0.00424,0.0054
MSAL00ITA,EURA14,2024-07-08 11:59:00,-0.0075,-0.00601,0.00356,-0.0075,-0.00601,0.00356
MSAL00ITA,EURA14,2024-07-09 11:59:00,-0.00769,-0.00861,0.00618,-0.00769,-0.00861,0.00618
MSAL00ITA,EURA14,2024-07-10 11:59:00,-0.00714,-0.00626,0.008,-0.00714,-0.00626,0.008
MSAL00ITA,EURA14,2024-07-11 11:59:00,-0.00874,-0.00634,0.00572,-0.00874,-0.00634,0.00572
MSAL00ITA,EURA14,2024-07-12 11:59:00,-0.00772,-0.0075,-0.00233,-0.00772,-0.0075,-0.00233
MSAL00ITA,EURA14,2024-07-13 11:59:00,-0.00656,-0.00666,0.00463,-0.00656,-0.00666,0.00463
MSAL00ITA,EURA14,2024-07-14 11:59:00,-0.00631,-0.00527,-0.00355,-0.00631,-0.00527,-0.00355
MSAL00ITA,EURA14,2024-07-15 11:59:00,-0.00571,-0.00571,0.00263,-0.00571,-0.00571,0.00263
MSAL00ITA,EURA14,2024-07-16 11:59:00,-0.00728,-0.00576,0.00923,-0.00728,-0.00576,0.00923
MSAL00ITA,EURA14,2024-07-17 11:59:00,-0.00796,-0.00621,0.00302,-0.00796,-0.00621,0.00302
