marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ASS200ITA,EURA14,2022-11-11 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ASS200ITA,EURA14,2022-11-12 11:59:00,0.00099,0.00262,-0.00256,0.00099,0.00262,-0.00256
ASS200ITA,EURA14,2022-11-13 11:59:00,-0.00071,0.0014,-0.00105,-0.00071,0.0014,-0.00105
ASS200ITA,EURA14,2022-11-14 11:59:00,-0.00058,0.0002,-0.00028,-0.00058,0.0002,-0.00028
ASS200ITA,EURA14,2022-11-15 11:59:00,-2e-05,0.00027,0.00563,-2e-05,0.00027,0.00563
ASS200ITA,EURA14,2022-11-16 11:59:00,0.00255,-0.00083,0.00804,0.00255,-0.00083,0.00804
ASS200ITA,EURA14,2022-11-17 11:59:00,0.00044,0.00042,0.00683,0.00044,0.00042,0.00683
ASS200ITA,EURA14,2022-11-18 11:59:00,6e-05,-0.00076,0.01352,6e-05,-0.00076,0.01352
ASS200ITA,EURA14,2022-11-19 11:59:00,-0.00135,0.00023,0.00392,-0.00135,0.00023,0.00392
ASS200ITA,EURA14,2022-11-20 11:59:00,0.00028,0.00093,0.00189,0.00028,0.00093,0.00189
ASS200ITA,EURA14,2022-11-21 11:59:00,0.00064,-0.00053,-0.00311,0.00064,-0.00053,-0.00311
ASS200ITA,EURA14,2022-11-22 11:59:00,0.0009,9e-05,0.00238,0.0009,9e-05,0.00238
ASS200ITA,EURA14,2022-11-23 11:59:00,-0.00025,-9e-05,-0.00129,-0.00025,-9e-05,-0.00129
ASS200ITA,EURA14,2022-11-24 11:59:00,-0.00044,0.00119,-0.00401,-0.00044,0.00119,-0.00401
ASS200ITA,EURA14,2022-11-25 11:59:00,-0.00076,0.0005,-0.00322,-0.00076,0.0005,-0.00322
ASS200ITA,EURA14,2022-11-26 11:59:00,-7e-05,0.0042,-0.00732,-7e-05,0.0042,-0.00732
ASS200ITA,EURA14,2022-11-27 11:59:00,-0.00034,0.00267,-0.00312,-0.00034,0.00267,-0.00312
ASS200ITA,EURA14,2022-11-28 11:59:00,-9.500000000000003e-05,0.00219,-0.000245,-9.500000000000003e-05,0.00219,-0.000245
ASS200ITA,EURA14,2022-11-29 11:59:00,0.00015,0.00171,0.00263,0.00015,0.00171,0.00263
ASS200ITA,EURA14,2022-12-22 11:59:00,0.00064,0.0012,-0.00484,0.00064,0.0012,-0.00484
ASS200ITA,EURA14,2022-12-23 11:59:00,-0.00065,0.00018,-0.01116,-0.00065,0.00018,-0.01116
ASS200ITA,EURA14,2022-12-24 11:59:00,-0.0006,0.00131,-0.00838,-0.0006,0.00131,-0.00838
ASS200ITA,EURA14,2022-12-25 11:59:00,-0.00098,0.00176,-0.01082,-0.00098,0.00176,-0.01082
ASS200ITA,EURA14,2022-12-30 11:59:00,-0.0018,0.00157,-0.00902,-0.0018,0.00157,-0.00902
ASS200ITA,EURA14,2023-03-06 11:59:00,-0.00111,0.00057,-0.0014,0.0006772582619339047,-0.0003228564871481026,0.002974190636474908
