marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CDPV00ITA,EURA14,2023-03-07 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CDPV00ITA,EURA14,2023-03-08 11:59:00,0.001,-0.00079,0.0018,0.001,-0.00079,0.0018
CDPV00ITA,EURA14,2023-03-09 11:59:00,0.00867,0.00352,0.00419,0.00867,0.00352,0.00419
CDPV00ITA,EURA14,2023-03-10 11:59:00,0.00038,0.00142,-0.00143,0.00038,0.00142,-0.00143
CDPV00ITA,EURA14,2023-03-11 11:59:00,0.0,-0.00036,0.00141,0.0,-0.00036,0.00141
CDPV00ITA,EURA14,2023-03-12 11:59:00,-0.00056,0.00017,-0.0054,-0.00056,0.00017,-0.0054
CDPV00ITA,EURA14,2023-03-13 11:59:00,0.00093,0.00064,-0.01104,0.00093,0.00064,-0.01104
CDPV00ITA,EURA14,2023-03-14 11:59:00,1e-05,0.00121,-0.00034,1e-05,0.00121,-0.00034
CDPV00ITA,EURA14,2023-03-15 11:59:00,-0.00067,0.00179,-0.00456,-0.00067,0.00179,-0.00456
CDPV00ITA,EURA14,2023-03-16 11:59:00,0.00111,0.00225,-0.0103,0.00111,0.00225,-0.0103
CDPV00ITA,EURA14,2023-03-17 11:59:00,0.00114,0.00213,-0.00597,0.00114,0.00213,-0.00597
CDPV00ITA,EURA14,2023-03-18 11:59:00,0.00163,0.0016,-0.00812,0.00163,0.0016,-0.00812
CDPV00ITA,EURA14,2023-03-19 11:59:00,0.00016,0.00092,-0.00786,0.00016,0.00092,-0.00786
CDPV00ITA,EURA14,2023-03-20 11:59:00,-0.0003,0.00076,-0.00842,-0.0003,0.00076,-0.00842
CDPV00ITA,EURA14,2023-03-21 11:59:00,0.00049,0.00237,-0.0101,0.00049,0.00237,-0.0101
CDPV00ITA,EURA14,2023-03-22 11:59:00,0.00011,0.00205,0.00103,0.00011,0.00205,0.00103
CDPV00ITA,EURA14,2023-03-23 11:59:00,0.00047,0.00115,-0.00593,0.00047,0.00115,-0.00593
CDPV00ITA,EURA14,2023-03-24 11:59:00,0.00065,0.00109,-0.00378,0.00065,0.00109,-0.00378
CDPV00ITA,EURA14,2023-03-25 11:59:00,0.00061,0.00149,-0.00346,0.00061,0.00149,-0.00346
CDPV00ITA,EURA14,2023-03-26 11:59:00,0.00104,0.00117,0.00253,0.00104,0.00117,0.00253
CDPV00ITA,EURA14,2023-03-27 11:59:00,0.00074,0.00238,0.0063,0.00074,0.00238,0.0063
CDPV00ITA,EURA14,2023-03-28 11:59:00,1e-05,0.00222,-0.00165,1e-05,0.00222,-0.00165
CDPV00ITA,EURA14,2023-03-29 11:59:00,0.00011,0.00077,-0.00634,0.00011,0.00077,-0.00634
CDPV00ITA,EURA14,2023-03-30 11:59:00,0.00224,0.00156,-0.00506,0.00224,0.00156,-0.00506
CDPV00ITA,EURA14,2023-03-31 11:59:00,0.00156,0.00281,-0.00012,0.00156,0.00281,-0.00012
CDPV00ITA,EURA14,2023-04-01 11:59:00,0.00153,0.00015,6e-05,0.00153,0.00015,6e-05
CDPV00ITA,EURA14,2023-04-02 11:59:00,-0.00071,0.0016,0.00105,-0.00071,0.0016,0.00105
CDPV00ITA,EURA14,2023-04-03 11:59:00,-0.00012,0.00263,-0.00243,-0.00012,0.00263,-0.00243
CDPV00ITA,EURA14,2023-04-04 11:59:00,0.00078,0.00251,-0.00166,0.00078,0.00251,-0.00166
CDPV00ITA,EURA14,2023-04-05 11:59:00,0.00102,0.00222,-0.0006,0.00102,0.00222,-0.0006
CDPV00ITA,EURA14,2023-04-06 11:59:00,0.0014,0.00254,-0.0048,0.0014,0.00254,-0.0048
CDPV00ITA,EURA14,2023-04-07 11:59:00,0.00055,0.00236,-0.00139,0.00055,0.00236,-0.00139
CDPV00ITA,EURA14,2023-04-08 11:59:00,-0.00079,0.00165,-0.00296,-0.00079,0.00165,-0.00296
CDPV00ITA,EURA14,2023-04-09 11:59:00,-0.00069,0.00253,-0.00491,-0.00069,0.00253,-0.00491
CDPV00ITA,EURA14,2023-04-10 11:59:00,0.00152,0.00136,-0.00662,0.00152,0.00136,-0.00662
CDPV00ITA,EURA14,2023-04-11 11:59:00,0.00047,0.00208,-0.00419,0.00047,0.00208,-0.00419
CDPV00ITA,EURA14,2023-04-12 11:59:00,0.00127,0.00169,-0.00313,0.00127,0.00169,-0.00313
CDPV00ITA,EURA14,2023-04-13 11:59:00,0.001215,0.00184,-0.0010799999999999998,0.001215,0.00184,-0.0010799999999999998
CDPV00ITA,EURA14,2023-04-14 11:59:00,0.00116,0.00199,0.00097,0.00116,0.00199,0.00097
CDPV00ITA,EURA14,2023-04-15 11:59:00,0.000445,0.00169,0.000555,0.000445,0.00169,0.000555
CDPV00ITA,EURA14,2023-04-16 11:59:00,-0.00027,0.00139,0.00014,-0.00027,0.00139,0.00014
CDPV00ITA,EURA14,2023-04-17 11:59:00,3.9999999999999996e-05,0.0017599999999999998,-0.00019,3.9999999999999996e-05,0.0017599999999999998,-0.00019
CDPV00ITA,EURA14,2023-04-18 11:59:00,0.00035,0.00213,-0.00052,0.00035,0.00213,-0.00052
CDPV00ITA,EURA14,2023-04-19 11:59:00,-0.00032,0.00264,0.00024,-0.00032,0.00264,0.00024
CDPV00ITA,EURA14,2023-04-20 11:59:00,0.00151,0.00059,-0.0068,0.00151,0.00059,-0.0068
CDPV00ITA,EURA14,2023-04-21 11:59:00,-0.00032,0.0007,-0.00321,-0.00032,0.0007,-0.00321
CDPV00ITA,EURA14,2023-04-22 11:59:00,6e-05,0.00209,-0.00296,6e-05,0.00209,-0.00296
CDPV00ITA,EURA14,2023-04-23 11:59:00,4e-05,0.00028,0.00483,4e-05,0.00028,0.00483
CDPV00ITA,EURA14,2023-04-24 11:59:00,0.0022,0.00135,0.00532,0.0022,0.00135,0.00532
CDPV00ITA,EURA14,2023-04-25 11:59:00,0.00075,0.00091,-0.00336,0.00075,0.00091,-0.00336
CDPV00ITA,EURA14,2023-04-26 11:59:00,0.00179,0.00243,-0.00206,0.00179,0.00243,-0.00206
CDPV00ITA,EURA14,2023-04-27 11:59:00,-3e-05,0.00108,-0.00241,-3e-05,0.00108,-0.00241
CDPV00ITA,EURA14,2023-04-28 11:59:00,0.00091,0.00124,-0.00409,0.00091,0.00124,-0.00409
CDPV00ITA,EURA14,2023-04-29 11:59:00,0.00035,0.00075,-0.00353,0.00035,0.00075,-0.00353
CDPV00ITA,EURA14,2023-04-30 11:59:00,-0.00049,0.00139,0.00414,-0.00049,0.00139,0.00414
CDPV00ITA,EURA14,2023-05-01 11:59:00,-0.00057,1e-05,-0.00041,-0.00057,1e-05,-0.00041
CDPV00ITA,EURA14,2023-05-02 11:59:00,-0.00027,0.00082,3e-05,-0.00027,0.00082,3e-05
CDPV00ITA,EURA14,2023-05-03 11:59:00,-0.00155,0.00027,-0.00162,-0.00155,0.00027,-0.00162
CDPV00ITA,EURA14,2023-05-04 11:59:00,0.00028,0.00175,-0.00348,0.00028,0.00175,-0.00348
CDPV00ITA,EURA14,2023-05-05 11:59:00,0.00036,0.00287,-0.00433,0.00036,0.00287,-0.00433
CDPV00ITA,EURA14,2023-05-06 11:59:00,-0.0006,0.0028,-0.00244,-0.0006,0.0028,-0.00244
CDPV00ITA,EURA14,2023-05-07 11:59:00,-0.00049,0.00167,-0.00384,-0.00049,0.00167,-0.00384
CDPV00ITA,EURA14,2023-05-08 11:59:00,-0.00027,0.00134,-0.00239,-0.00027,0.00134,-0.00239
CDPV00ITA,EURA14,2023-05-09 11:59:00,0.00019,0.00361,-0.0049,0.00019,0.00361,-0.0049
CDPV00ITA,EURA14,2023-05-10 11:59:00,-0.00013,0.00179,-0.00457,-0.00013,0.00179,-0.00457
CDPV00ITA,EURA14,2023-05-11 11:59:00,7e-05,0.0012,0.00023,7e-05,0.0012,0.00023
CDPV00ITA,EURA14,2023-05-12 11:59:00,-0.00010499999999999998,0.0007499999999999999,-0.00127,-0.00010499999999999998,0.0007499999999999999,-0.00127
CDPV00ITA,EURA14,2023-05-13 11:59:00,-0.00028,0.0003,-0.00277,-0.00028,0.0003,-0.00277
CDPV00ITA,EURA14,2023-05-14 11:59:00,0.00064,0.00029,0.00148,0.00064,0.00029,0.00148
CDPV00ITA,EURA14,2023-05-15 11:59:00,-0.00103,0.00058,-0.00083,-0.00103,0.00058,-0.00083
CDPV00ITA,EURA14,2023-05-16 11:59:00,0.00036,0.00116,-0.00445,0.00036,0.00116,-0.00445
CDPV00ITA,EURA14,2023-05-17 11:59:00,0.00014,0.00122,-0.00478,0.00014,0.00122,-0.00478
CDPV00ITA,EURA14,2023-05-18 11:59:00,0.0,0.00152,-0.00039,0.0,0.00152,-0.00039
CDPV00ITA,EURA14,2023-05-19 11:59:00,0.00027,0.00138,-0.00649,0.00027,0.00138,-0.00649
CDPV00ITA,EURA14,2023-05-23 11:59:00,-0.00215,0.00069,-0.00291,-0.00215,0.00069,-0.00291
CDPV00ITA,EURA14,2023-05-24 11:59:00,-0.00065,0.00127,-0.01236,-0.00065,0.00127,-0.01236
CDPV00ITA,EURA14,2023-05-25 11:59:00,-0.0007949999999999999,0.0011350000000000002,-0.0073399999999999984,-0.0007949999999999999,0.0011350000000000002,-0.0073399999999999984
CDPV00ITA,EURA14,2023-05-26 11:59:00,-0.00094,0.001,-0.00232,-0.00094,0.001,-0.00232
CDPV00ITA,EURA14,2023-05-27 11:59:00,-0.0006,0.00072,-0.00182,-0.0006,0.00072,-0.00182
CDPV00ITA,EURA14,2023-05-28 11:59:00,-0.00027,0.00174,-0.00333,-0.00027,0.00174,-0.00333
CDPV00ITA,EURA14,2023-05-29 11:59:00,-0.00105,0.00079,-0.00061,-0.00105,0.00079,-0.00061
CDPV00ITA,EURA14,2023-05-30 11:59:00,0.00087,0.0028,-0.00569,0.00087,0.0028,-0.00569
CDPV00ITA,EURA14,2023-05-31 11:59:00,0.00057,0.00236,-0.00964,0.00057,0.00236,-0.00964
CDPV00ITA,EURA14,2023-06-01 11:59:00,-0.00125,0.00082,-0.00323,-0.00125,0.00082,-0.00323
CDPV00ITA,EURA14,2023-06-02 11:59:00,-0.000875,0.00201,-0.00272,-0.000875,0.00201,-0.00272
CDPV00ITA,EURA14,2023-06-03 11:59:00,-0.0005,0.0032,-0.00221,-0.0005,0.0032,-0.00221
CDPV00ITA,EURA14,2023-06-04 11:59:00,0.00056,0.00127,-0.00464,0.00056,0.00127,-0.00464
CDPV00ITA,EURA14,2023-06-05 11:59:00,0.00055,0.00121,-0.00429,0.00055,0.00121,-0.00429
CDPV00ITA,EURA14,2023-06-06 11:59:00,0.00164,0.00193,-0.0027,0.00164,0.00193,-0.0027
CDPV00ITA,EURA14,2023-06-07 11:59:00,0.00026,0.00049,0.0023,0.00026,0.00049,0.0023
CDPV00ITA,EURA14,2023-06-14 11:59:00,-0.00029,0.00174,-0.00569,-0.00029,0.00174,-0.00569
CDPV00ITA,EURA14,2023-06-15 11:59:00,-0.00071,0.00096,-0.00855,-0.00071,0.00096,-0.00855
CDPV00ITA,EURA14,2023-06-16 11:59:00,-0.00117,0.00146,-0.00211,-0.00117,0.00146,-0.00211
CDPV00ITA,EURA14,2023-06-17 11:59:00,0.00096,0.00115,-0.00726,0.00096,0.00115,-0.00726
