marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CGAP00ITA,EURA14,2007-12-08 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CGAP00ITA,EURA14,2007-12-09 11:59:00,-0.00189,-0.00337,-0.00048,-0.00189,-0.00337,-0.00048
CGAP00ITA,EURA14,2007-12-10 11:59:00,-0.00075,-0.00145,-0.00121,-0.00075,-0.00145,-0.00121
CGAP00ITA,EURA14,2007-12-11 11:59:00,0.00081,-0.0002,-0.00136,0.00081,-0.0002,-0.00136
CGAP00ITA,EURA14,2007-12-12 11:59:00,-0.00016,-0.00047,-0.0005,-0.00016,-0.00047,-0.0005
CGAP00ITA,EURA14,2007-12-13 11:59:00,-0.00056,-9e-05,-0.00365,-0.00056,-9e-05,-0.00365
CGAP00ITA,EURA14,2007-12-14 11:59:00,-0.00178,0.00098,-0.00549,-0.00178,0.00098,-0.00549
CGAP00ITA,EURA14,2007-12-15 11:59:00,0.00044,-0.00026,-0.00822,0.00044,-0.00026,-0.00822
CGAP00ITA,EURA14,2007-12-16 11:59:00,-0.00072,-0.00054,-0.00532,-0.00072,-0.00054,-0.00532
CGAP00ITA,EURA14,2007-12-17 11:59:00,-0.00042,-0.00054,-0.00813,-0.00042,-0.00054,-0.00813
CGAP00ITA,EURA14,2007-12-18 11:59:00,0.00041,0.00024,-0.00951,0.00041,0.00024,-0.00951
CGAP00ITA,EURA14,2007-12-19 11:59:00,-0.0006,0.00033,-0.01161,-0.0006,0.00033,-0.01161
CGAP00ITA,EURA14,2007-12-20 11:59:00,-0.00074,-0.00046,-0.01087,-0.00074,-0.00046,-0.01087
CGAP00ITA,EURA14,2007-12-21 11:59:00,-0.00057,-0.00054,-0.01037,-0.00057,-0.00054,-0.01037
CGAP00ITA,EURA14,2007-12-22 11:59:00,0.00024,-0.00147,-0.00952,0.00024,-0.00147,-0.00952
CGAP00ITA,EURA14,2007-12-23 11:59:00,-0.00033,-0.0003,-0.00824,-0.00033,-0.0003,-0.00824
