marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
COCU00ITA,EURA14,2024-07-10 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
COCU00ITA,EURA14,2024-07-11 11:59:00,-0.0005,-0.00141,-0.00302,-0.0005,-0.00141,-0.00302
COCU00ITA,EURA14,2024-07-12 11:59:00,-0.00085,-0.00172,0.00565,-0.00085,-0.00172,0.00565
COCU00ITA,EURA14,2024-07-13 11:59:00,-0.00233,-0.00217,0.00684,-0.00233,-0.00217,0.00684
COCU00ITA,EURA14,2024-07-14 11:59:00,-0.00108,-0.00103,-0.00051,-0.00108,-0.00103,-0.00051
COCU00ITA,EURA14,2024-07-15 11:59:00,-0.0012,-0.00191,0.00603,-0.0012,-0.00191,0.00603
COCU00ITA,EURA14,2024-07-16 11:59:00,-0.00153,0.00118,0.00585,-0.00153,0.00118,0.00585
COCU00ITA,EURA14,2024-07-17 11:59:00,-0.00218,-0.00373,0.00901,-0.00218,-0.00373,0.00901
COCU00ITA,EURA14,2024-07-18 11:59:00,-0.00401,-6e-05,0.00225,-0.00401,-6e-05,0.00225
COCU00ITA,EURA14,2024-07-19 11:59:00,0.00149,-0.00236,0.00252,0.00149,-0.00236,0.00252
COCU00ITA,EURA14,2024-07-20 11:59:00,-0.00131,-0.0019,0.00219,-0.00131,-0.0019,0.00219
COCU00ITA,EURA14,2024-07-21 11:59:00,-0.00344,-0.00106,0.01191,-0.00344,-0.00106,0.01191
COCU00ITA,EURA14,2024-07-22 11:59:00,-0.00181,-0.00067,0.0108,-0.00181,-0.00067,0.0108
COCU00ITA,EURA14,2024-07-23 11:59:00,-0.00201,-0.001,0.01145,-0.00201,-0.001,0.01145
COCU00ITA,EURA14,2024-07-24 11:59:00,0.00246,0.00194,0.00111,0.00246,0.00194,0.00111
COCU00ITA,EURA14,2024-07-25 11:59:00,-0.00269,-0.00179,0.00625,-0.00269,-0.00179,0.00625
COCU00ITA,EURA14,2024-07-26 11:59:00,-0.00046,-0.00134,0.00355,-0.00046,-0.00134,0.00355
COCU00ITA,EURA14,2024-07-27 11:59:00,0.00027,-0.00123,0.00407,0.00027,-0.00123,0.00407
COCU00ITA,EURA14,2024-07-28 11:59:00,0.00229,-0.00149,0.00381,0.00229,-0.00149,0.00381
COCU00ITA,EURA14,2024-07-29 11:59:00,-0.00364,-0.00027,-0.0015,-0.00364,-0.00027,-0.0015
COCU00ITA,EURA14,2024-07-30 11:59:00,-0.00298,-0.00142,0.00179,-0.00298,-0.00142,0.00179
COCU00ITA,EURA14,2024-07-31 11:59:00,-0.00071,-0.00127,0.00354,-0.00071,-0.00127,0.00354
COCU00ITA,EURA14,2024-08-01 11:59:00,-0.00233,-0.00218,0.00099,-0.00233,-0.00218,0.00099
COCU00ITA,EURA14,2024-08-02 11:59:00,-0.00167,-0.00217,0.00614,-0.00167,-0.00217,0.00614
COCU00ITA,EURA14,2024-08-03 11:59:00,-0.00182,-0.00063,0.01449,-0.00182,-0.00063,0.01449
COCU00ITA,EURA14,2024-08-04 11:59:00,-0.00072,-0.00071,-0.00579,-0.00072,-0.00071,-0.00579
COCU00ITA,EURA14,2024-08-05 11:59:00,-0.00071,-0.00172,0.00214,-0.00071,-0.00172,0.00214
COCU00ITA,EURA14,2024-08-06 11:59:00,-0.00118,0.00044,0.00661,-0.00118,0.00044,0.00661
COCU00ITA,EURA14,2024-08-07 11:59:00,-0.00067,-0.00238,-0.00338,-0.00067,-0.00238,-0.00338
COCU00ITA,EURA14,2024-08-08 11:59:00,-0.00402,-0.00137,-9e-05,-0.00402,-0.00137,-9e-05
COCU00ITA,EURA14,2024-08-09 11:59:00,-0.00031,-0.00154,0.00455,-0.00031,-0.00154,0.00455
COCU00ITA,EURA14,2024-08-10 11:59:00,-0.0021,-0.00132,0.00234,-0.0021,-0.00132,0.00234
COCU00ITA,EURA14,2024-08-11 11:59:00,-0.00091,-0.00184,0.00632,-0.00091,-0.00184,0.00632
COCU00ITA,EURA14,2024-08-12 11:59:00,-0.00119,-0.00127,0.00127,-0.00119,-0.00127,0.00127
COCU00ITA,EURA14,2024-08-13 11:59:00,-0.00184,-0.00296,0.0016,-0.00184,-0.00296,0.0016
COCU00ITA,EURA14,2024-08-14 11:59:00,-0.00276,-0.00046,0.01223,-0.00276,-0.00046,0.01223
COCU00ITA,EURA14,2024-08-15 11:59:00,0.00112,-0.0032,0.00872,0.00112,-0.0032,0.00872
COCU00ITA,EURA14,2024-08-16 11:59:00,-0.00242,-0.00088,0.0039,-0.00242,-0.00088,0.0039
