marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
FRN800ITA,EURA14,2020-08-25 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
FRN800ITA,EURA14,2020-08-26 11:59:00,0.00141,0.00089,-0.01321,0.00141,0.00089,-0.01321
FRN800ITA,EURA14,2020-08-27 11:59:00,0.00098,0.00085,-0.00641,0.00098,0.00085,-0.00641
FRN800ITA,EURA14,2020-08-28 11:59:00,0.00062,0.00109,-0.00459,0.00062,0.00109,-0.00459
FRN800ITA,EURA14,2020-08-29 11:59:00,-0.0005,0.00085,-0.00187,-0.0005,0.00085,-0.00187
FRN800ITA,EURA14,2020-08-30 11:59:00,-0.00043,0.00041,-0.00347,-0.00043,0.00041,-0.00347
FRN800ITA,EURA14,2020-08-31 11:59:00,0.00033,-0.00022,-0.0024,0.00033,-0.00022,-0.0024
FRN800ITA,EURA14,2020-09-01 11:59:00,0.00057,0.0029,0.00221,0.00057,0.0029,0.00221
FRN800ITA,EURA14,2020-09-02 11:59:00,0.005,-0.0002,0.00769,0.005,-0.0002,0.00769
FRN800ITA,EURA14,2020-09-03 11:59:00,0.00034,0.00161,0.00049,0.00034,0.00161,0.00049
FRN800ITA,EURA14,2020-09-04 11:59:00,0.0016,0.00064,-0.00417,0.0016,0.00064,-0.00417
FRN800ITA,EURA14,2020-09-05 11:59:00,0.00174,0.00073,0.00294,0.00174,0.00073,0.00294
FRN800ITA,EURA14,2020-09-06 11:59:00,0.00203,0.00225,-0.0099,0.00203,0.00225,-0.0099
FRN800ITA,EURA14,2020-09-07 11:59:00,0.0008,0.00171,-0.01074,0.0008,0.00171,-0.01074
FRN800ITA,EURA14,2020-09-08 11:59:00,0.00322,0.00146,-0.0052,0.00322,0.00146,-0.0052
FRN800ITA,EURA14,2020-09-09 11:59:00,0.00161,0.00028,0.00129,0.00161,0.00028,0.00129
FRN800ITA,EURA14,2020-09-10 11:59:00,0.00219,0.00102,0.00638,0.00219,0.00102,0.00638
FRN800ITA,EURA14,2020-09-11 11:59:00,0.00172,0.00127,-0.00649,0.00172,0.00127,-0.00649
FRN800ITA,EURA14,2020-09-12 11:59:00,0.00096,-0.00052,-0.00471,0.00096,-0.00052,-0.00471
FRN800ITA,EURA14,2020-09-13 11:59:00,0.00212,0.00224,-0.00563,0.00212,0.00224,-0.00563
FRN800ITA,EURA14,2020-09-14 11:59:00,0.00043,0.00267,-0.00444,0.00043,0.00267,-0.00444
FRN800ITA,EURA14,2020-09-15 11:59:00,0.00127,0.00235,-0.01184,0.00127,0.00235,-0.01184
FRN800ITA,EURA14,2020-09-16 11:59:00,0.00073,0.00161,0.00105,0.00073,0.00161,0.00105
FRN800ITA,EURA14,2020-09-17 11:59:00,0.00079,0.00273,-0.00656,0.00079,0.00273,-0.00656
FRN800ITA,EURA14,2020-09-18 11:59:00,0.00215,0.00142,-0.00451,0.00215,0.00142,-0.00451
FRN800ITA,EURA14,2020-09-19 11:59:00,0.00157,0.00245,-0.00564,0.00157,0.00245,-0.00564
FRN800ITA,EURA14,2020-09-20 11:59:00,0.00112,0.00064,0.00396,0.00112,0.00064,0.00396
FRN800ITA,EURA14,2020-09-21 11:59:00,0.00217,-0.00197,-0.00046,0.00217,-0.00197,-0.00046
FRN800ITA,EURA14,2020-09-22 11:59:00,-0.00039,0.00029,-0.00046,-0.00039,0.00029,-0.00046
FRN800ITA,EURA14,2020-09-23 11:59:00,0.00116,0.0001,-0.00582,0.00116,0.0001,-0.00582
FRN800ITA,EURA14,2020-09-24 11:59:00,0.00162,0.00033,0.00178,0.00162,0.00033,0.00178
FRN800ITA,EURA14,2020-09-25 11:59:00,0.00068,0.00226,0.00808,0.00068,0.00226,0.00808
FRN800ITA,EURA14,2020-09-26 11:59:00,0.00096,-0.00021,0.00434,0.00096,-0.00021,0.00434
FRN800ITA,EURA14,2020-09-27 11:59:00,0.00256,0.00014,0.00248,0.00256,0.00014,0.00248
FRN800ITA,EURA14,2020-09-28 11:59:00,0.00098,0.00013,0.00068,0.00098,0.00013,0.00068
FRN800ITA,EURA14,2020-09-29 11:59:00,0.00068,0.00147,-0.00683,0.00068,0.00147,-0.00683
FRN800ITA,EURA14,2020-09-30 11:59:00,0.00133,-6e-05,0.00502,0.00133,-6e-05,0.00502
FRN800ITA,EURA14,2020-10-01 11:59:00,0.00162,-0.00171,0.00147,0.00162,-0.00171,0.00147
FRN800ITA,EURA14,2020-10-02 11:59:00,0.00117,-0.00264,0.00344,0.00117,-0.00264,0.00344
