marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
FROS02ITA,EURA14,2010-11-01 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
FROS02ITA,EURA14,2010-11-02 11:59:00,0.00022,0.00148,-0.00974,0.00022,0.00148,-0.00974
FROS02ITA,EURA14,2010-11-03 11:59:00,-4e-05,0.00234,-0.00728,-4e-05,0.00234,-0.00728
FROS02ITA,EURA14,2010-11-04 11:59:00,0.00054,0.00155,-0.00568,0.00054,0.00155,-0.00568
FROS02ITA,EURA14,2010-11-05 11:59:00,0.00066,0.00138,-0.00473,0.00066,0.00138,-0.00473
FROS02ITA,EURA14,2010-11-06 11:59:00,0.00053,0.00164,-0.00651,0.00053,0.00164,-0.00651
FROS02ITA,EURA14,2010-11-07 11:59:00,0.00031,0.00077,0.00133,0.00031,0.00077,0.00133
FROS02ITA,EURA14,2010-11-08 11:59:00,0.00191,-0.00056,0.00534,0.00191,-0.00056,0.00534
FROS02ITA,EURA14,2010-11-09 11:59:00,0.00164,-0.00249,0.00083,0.00164,-0.00249,0.00083
FROS02ITA,EURA14,2010-11-10 11:59:00,0.00013,-0.00291,-0.00406,0.00013,-0.00291,-0.00406
FROS02ITA,EURA14,2010-11-11 11:59:00,-0.00087,0.00161,-0.00745,-0.00087,0.00161,-0.00745
FROS02ITA,EURA14,2010-11-12 11:59:00,-0.00038,0.00214,-0.00918,-0.00038,0.00214,-0.00918
FROS02ITA,EURA14,2010-11-13 11:59:00,0.00079,0.00178,-0.00639,0.00079,0.00178,-0.00639
FROS02ITA,EURA14,2010-11-14 11:59:00,0.00101,0.00256,-0.00696,0.00101,0.00256,-0.00696
FROS02ITA,EURA14,2010-11-15 11:59:00,0.00079,0.00251,-0.00465,0.00079,0.00251,-0.00465
FROS02ITA,EURA14,2010-11-16 11:59:00,0.00205,0.00376,-0.00249,0.00205,0.00376,-0.00249
FROS02ITA,EURA14,2010-11-17 11:59:00,0.00077,0.00277,-0.0055,0.00077,0.00277,-0.0055
FROS02ITA,EURA14,2010-11-18 11:59:00,0.00107,0.00084,-0.01335,0.00107,0.00084,-0.01335
FROS02ITA,EURA14,2010-11-19 11:59:00,0.00112,0.001165,-0.01119,0.00112,0.001165,-0.01119
FROS02ITA,EURA14,2010-11-20 11:59:00,0.00117,0.00149,-0.00903,0.00117,0.00149,-0.00903
FROS02ITA,EURA14,2010-11-21 11:59:00,-0.00037,0.00112,-0.00981,-0.00037,0.00112,-0.00981
FROS02ITA,EURA14,2010-11-22 11:59:00,0.00022,0.00159,-0.00012,0.00022,0.00159,-0.00012
FROS02ITA,EURA14,2010-11-23 11:59:00,0.00223,0.00107,0.00088,0.00223,0.00107,0.00088
FROS02ITA,EURA14,2010-11-24 11:59:00,0.00052,0.00407,-0.00594,0.00052,0.00407,-0.00594
FROS02ITA,EURA14,2010-11-25 11:59:00,0.00096,0.00315,-0.0064,0.00096,0.00315,-0.0064
FROS02ITA,EURA14,2010-11-26 11:59:00,0.00189,0.00386,0.00136,0.00189,0.00386,0.00136
FROS02ITA,EURA14,2010-11-27 11:59:00,0.00285,0.00316,-0.0027,0.00285,0.00316,-0.0027
FROS02ITA,EURA14,2010-11-28 11:59:00,0.00071,0.0016,0.00204,0.00071,0.0016,0.00204
FROS02ITA,EURA14,2010-11-29 11:59:00,0.00298,0.00354,0.00053,0.00298,0.00354,0.00053
FROS02ITA,EURA14,2010-11-30 11:59:00,0.00017,0.00264,-0.00658,0.00017,0.00264,-0.00658
FROS02ITA,EURA14,2010-12-01 11:59:00,0.00164,0.00243,-0.00367,0.00164,0.00243,-0.00367
FROS02ITA,EURA14,2010-12-02 11:59:00,0.00098,0.00343,-0.01145,0.00098,0.00343,-0.01145
FROS02ITA,EURA14,2010-12-03 11:59:00,0.00259,0.00455,-0.00341,0.00259,0.00455,-0.00341
FROS02ITA,EURA14,2010-12-04 11:59:00,0.00232,0.00525,-0.01002,0.00232,0.00525,-0.01002
FROS02ITA,EURA14,2010-12-05 11:59:00,0.00211,0.00401,-0.01358,0.00211,0.00401,-0.01358
FROS02ITA,EURA14,2010-12-06 11:59:00,0.00301,0.00562,-0.00438,0.00301,0.00562,-0.00438
FROS02ITA,EURA14,2010-12-07 11:59:00,0.00178,0.00369,-0.00244,0.00178,0.00369,-0.00244
FROS02ITA,EURA14,2010-12-08 11:59:00,0.0010299999999999999,0.003745,-0.00372,0.0010299999999999999,0.003745,-0.00372
FROS02ITA,EURA14,2010-12-09 11:59:00,0.00028,0.0038,-0.005,0.00028,0.0038,-0.005
FROS02ITA,EURA14,2010-12-10 11:59:00,0.00103,0.00448,-0.01221,0.00103,0.00448,-0.01221
FROS02ITA,EURA14,2010-12-11 11:59:00,0.00274,0.00347,-0.0091,0.00274,0.00347,-0.0091
FROS02ITA,EURA14,2010-12-12 11:59:00,0.00155,0.00436,-0.0024,0.00155,0.00436,-0.0024
FROS02ITA,EURA14,2010-12-13 11:59:00,0.00185,0.00529,-0.00446,0.00185,0.00529,-0.00446
FROS02ITA,EURA14,2010-12-14 11:59:00,0.00087,0.00499,-0.00909,0.00087,0.00499,-0.00909
FROS02ITA,EURA14,2010-12-15 11:59:00,0.00103,0.00596,-0.00623,0.00103,0.00596,-0.00623
FROS02ITA,EURA14,2010-12-16 11:59:00,0.0007,0.00577,-0.0071,0.0007,0.00577,-0.0071
FROS02ITA,EURA14,2010-12-17 11:59:00,0.00107,0.00384,-0.00816,0.00107,0.00384,-0.00816
FROS02ITA,EURA14,2010-12-18 11:59:00,0.00412,0.00496,-0.01821,0.00412,0.00496,-0.01821
FROS02ITA,EURA14,2010-12-19 11:59:00,0.00172,0.00538,-0.00813,0.00172,0.00538,-0.00813
FROS02ITA,EURA14,2010-12-20 11:59:00,0.00131,0.00479,-0.00862,0.00131,0.00479,-0.00862
FROS02ITA,EURA14,2010-12-21 11:59:00,0.0011,0.00389,-0.00763,0.0011,0.00389,-0.00763
FROS02ITA,EURA14,2010-12-22 11:59:00,0.00052,0.00526,-0.00794,0.00052,0.00526,-0.00794
FROS02ITA,EURA14,2010-12-23 11:59:00,-0.0012,0.00265,-0.00934,-0.0012,0.00265,-0.00934
FROS02ITA,EURA14,2010-12-24 11:59:00,0.00207,0.00335,-0.00778,0.00207,0.00335,-0.00778
FROS02ITA,EURA14,2010-12-25 11:59:00,0.00073,0.00417,-0.00494,0.00073,0.00417,-0.00494
FROS02ITA,EURA14,2010-12-26 11:59:00,0.00137,0.00475,-0.00898,0.00137,0.00475,-0.00898
FROS02ITA,EURA14,2010-12-27 11:59:00,0.00134,0.00547,-0.01087,0.00134,0.00547,-0.01087
FROS02ITA,EURA14,2010-12-28 11:59:00,0.00082,0.00496,-0.01006,0.00082,0.00496,-0.01006
FROS02ITA,EURA14,2010-12-29 11:59:00,0.00134,0.0055,-0.00837,0.00134,0.0055,-0.00837
FROS02ITA,EURA14,2010-12-30 11:59:00,0.0013650000000000001,0.00543,-0.009465000000000001,0.0013650000000000001,0.00543,-0.009465000000000001
FROS02ITA,EURA14,2010-12-31 11:59:00,0.00139,0.00536,-0.01056,0.00139,0.00536,-0.01056
FROS02ITA,EURA14,2011-01-01 11:59:00,0.00066,0.00453,-0.00721,0.00066,0.00453,-0.00721
FROS02ITA,EURA14,2011-01-02 11:59:00,0.00078,0.00497,-0.007,0.00078,0.00497,-0.007
FROS02ITA,EURA14,2011-01-03 11:59:00,0.00109,0.00517,-0.0056,0.00109,0.00517,-0.0056
FROS02ITA,EURA14,2011-01-04 11:59:00,0.00052,0.00506,-0.00744,0.00052,0.00506,-0.00744
FROS02ITA,EURA14,2011-01-05 11:59:00,6e-05,0.00468,-0.00685,6e-05,0.00468,-0.00685
FROS02ITA,EURA14,2011-01-06 11:59:00,0.00055,0.00474,-0.0094,0.00055,0.00474,-0.0094
FROS02ITA,EURA14,2011-01-07 11:59:00,0.00097,0.00403,-0.01379,0.00097,0.00403,-0.01379
FROS02ITA,EURA14,2011-01-08 11:59:00,0.00109,0.00381,-0.00944,0.00109,0.00381,-0.00944
FROS02ITA,EURA14,2011-01-09 11:59:00,0.00052,0.00508,-0.00912,0.00052,0.00508,-0.00912
FROS02ITA,EURA14,2011-01-10 11:59:00,0.00056,0.00484,-0.00881,0.00056,0.00484,-0.00881
FROS02ITA,EURA14,2011-01-11 11:59:00,0.00031,0.00454,-0.00793,0.00031,0.00454,-0.00793
FROS02ITA,EURA14,2011-01-12 11:59:00,-0.00014,0.00436,-0.00616,-0.00014,0.00436,-0.00616
FROS02ITA,EURA14,2011-01-13 11:59:00,0.0,0.00417,-0.00811,0.0,0.00417,-0.00811
FROS02ITA,EURA14,2011-01-14 11:59:00,0.00022,0.00425,-0.00763,0.00022,0.00425,-0.00763
FROS02ITA,EURA14,2011-01-15 11:59:00,-0.00023,0.0047,-0.00744,-0.00023,0.0047,-0.00744
FROS02ITA,EURA14,2011-01-16 11:59:00,-0.00064,0.00475,-0.00862,-0.00064,0.00475,-0.00862
FROS02ITA,EURA14,2011-01-17 11:59:00,-0.0007,0.00487,-0.0093,-0.0007,0.00487,-0.0093
FROS02ITA,EURA14,2011-01-18 11:59:00,-0.00012,0.00523,-0.01044,-0.00012,0.00523,-0.01044
FROS02ITA,EURA14,2011-01-19 11:59:00,0.00013,0.00448,-0.00653,0.00013,0.00448,-0.00653
FROS02ITA,EURA14,2011-01-20 11:59:00,-0.00061,0.00481,0.00246,-0.00061,0.00481,0.00246
FROS02ITA,EURA14,2011-01-21 11:59:00,-0.00093,0.00449,-0.0054,-0.00093,0.00449,-0.0054
FROS02ITA,EURA14,2011-01-22 11:59:00,0.00017,0.0052,-0.00215,0.00017,0.0052,-0.00215
FROS02ITA,EURA14,2011-01-23 11:59:00,-0.0003,0.00412,-0.00398,-0.0003,0.00412,-0.00398
FROS02ITA,EURA14,2011-01-24 11:59:00,-0.00018,0.00478,-0.00566,-0.00018,0.00478,-0.00566
FROS02ITA,EURA14,2011-01-25 11:59:00,-0.00035,0.00493,-0.00564,-0.00035,0.00493,-0.00564
FROS02ITA,EURA14,2011-01-26 11:59:00,0.00048,0.00446,-0.00425,0.00048,0.00446,-0.00425
FROS02ITA,EURA14,2011-01-27 11:59:00,-0.00042,0.00469,-0.00289,-0.00042,0.00469,-0.00289
FROS02ITA,EURA14,2011-01-28 11:59:00,-0.00053,0.00438,-0.00421,-0.00053,0.00438,-0.00421
FROS02ITA,EURA14,2011-01-29 11:59:00,-0.00029,0.00371,-0.00555,-0.00029,0.00371,-0.00555
