marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
PERC00ITA,EURA14,2023-05-22 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
PERC00ITA,EURA14,2023-05-23 11:59:00,-8e-05,-0.00157,0.00497,-8e-05,-0.00157,0.00497
PERC00ITA,EURA14,2023-05-24 11:59:00,0.0,-0.00033,-0.00352,0.0,-0.00033,-0.00352
PERC00ITA,EURA14,2023-05-25 11:59:00,0.00237,-0.00086,0.00566,0.00237,-0.00086,0.00566
PERC00ITA,EURA14,2023-05-26 11:59:00,-0.00092,0.00062,0.00125,-0.00092,0.00062,0.00125
PERC00ITA,EURA14,2023-05-27 11:59:00,0.00132,-0.00025,0.00193,0.00132,-0.00025,0.00193
PERC00ITA,EURA14,2023-05-28 11:59:00,0.00181,-0.00149,-0.00195,0.00181,-0.00149,-0.00195
PERC00ITA,EURA14,2023-05-29 11:59:00,0.00049,-0.00113,-0.00219,0.00049,-0.00113,-0.00219
PERC00ITA,EURA14,2023-05-30 11:59:00,0.00404,-0.00193,-0.00346,0.00404,-0.00193,-0.00346
PERC00ITA,EURA14,2023-05-31 11:59:00,0.00075,-0.00222,0.00347,0.00075,-0.00222,0.00347
PERC00ITA,EURA14,2023-06-01 11:59:00,0.00127,-0.00288,0.00709,0.00127,-0.00288,0.00709
PERC00ITA,EURA14,2023-06-02 11:59:00,0.00041,-0.00232,0.0009,0.00041,-0.00232,0.0009
PERC00ITA,EURA14,2023-06-03 11:59:00,-0.00032,-0.00139,0.00207,-0.00032,-0.00139,0.00207
PERC00ITA,EURA14,2023-06-04 11:59:00,-0.00022,-0.00133,0.00012,-0.00022,-0.00133,0.00012
PERC00ITA,EURA14,2023-06-05 11:59:00,-0.00135,-0.00091,0.00369,-0.00135,-0.00091,0.00369
PERC00ITA,EURA14,2023-06-06 11:59:00,0.00196,-0.00064,-0.00311,0.00196,-0.00064,-0.00311
PERC00ITA,EURA14,2023-06-07 11:59:00,0.001165,-0.00027499999999999996,-0.0012250000000000002,0.001165,-0.00027499999999999996,-0.0012250000000000002
PERC00ITA,EURA14,2023-06-08 11:59:00,0.00037,9e-05,0.00066,0.00037,9e-05,0.00066
PERC00ITA,EURA14,2023-06-09 11:59:00,0.00228,-0.00238,0.0023,0.00228,-0.00238,0.0023
PERC00ITA,EURA14,2023-06-10 11:59:00,-0.0004,-0.00209,-0.0043,-0.0004,-0.00209,-0.0043
PERC00ITA,EURA14,2023-06-11 11:59:00,0.001115,-0.001785,0.00037000000000000054,0.001115,-0.001785,0.00037000000000000054
PERC00ITA,EURA14,2023-06-12 11:59:00,0.00263,-0.00148,0.00504,0.00263,-0.00148,0.00504
PERC00ITA,EURA14,2023-06-13 11:59:00,0.00011,-0.00228,0.00046,0.00011,-0.00228,0.00046
PERC00ITA,EURA14,2023-06-14 11:59:00,-0.00023,9e-05,-0.0036,-0.00023,9e-05,-0.0036
PERC00ITA,EURA14,2023-06-15 11:59:00,0.00069,0.0001,0.00124,0.00069,0.0001,0.00124
PERC00ITA,EURA14,2023-06-16 11:59:00,-0.00094,-0.00112,-0.0033,-0.00094,-0.00112,-0.0033
PERC00ITA,EURA14,2023-06-17 11:59:00,0.00183,-0.00202,-0.00767,0.00183,-0.00202,-0.00767
PERC00ITA,EURA14,2023-06-18 11:59:00,0.00079,-0.00232,-0.00088,0.00079,-0.00232,-0.00088
PERC00ITA,EURA14,2023-06-19 11:59:00,0.0004,-0.00209,-0.00175,0.0004,-0.00209,-0.00175
PERC00ITA,EURA14,2023-06-20 11:59:00,0.00023,-0.00124,-0.00491,0.00023,-0.00124,-0.00491
PERC00ITA,EURA14,2023-06-21 11:59:00,0.00025,-0.0018,-0.00176,0.00025,-0.0018,-0.00176
PERC00ITA,EURA14,2023-06-22 11:59:00,-2e-05,-0.00171,-0.00121,-2e-05,-0.00171,-0.00121
PERC00ITA,EURA14,2023-06-23 11:59:00,-0.00201,-0.00055,0.01041,-0.00201,-0.00055,0.01041
PERC00ITA,EURA14,2023-06-24 11:59:00,0.0022,-0.00226,0.00758,0.0022,-0.00226,0.00758
PERC00ITA,EURA14,2023-06-25 11:59:00,-9e-05,-0.00226,0.00035,-9e-05,-0.00226,0.00035
