marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
PRUG00ITA,EURA14,2023-06-20 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
PRUG00ITA,EURA14,2023-06-21 11:59:00,-0.00022,-0.00085,0.00445,-0.00022,-0.00085,0.00445
PRUG00ITA,EURA14,2023-06-22 11:59:00,-0.00034,-0.00042,0.00089,-0.00034,-0.00042,0.00089
PRUG00ITA,EURA14,2023-06-23 11:59:00,-0.00262,0.00214,0.01447,-0.00262,0.00214,0.01447
PRUG00ITA,EURA14,2023-06-24 11:59:00,0.00046,-0.001,0.00051,0.00046,-0.001,0.00051
PRUG00ITA,EURA14,2023-06-25 11:59:00,-0.00065,-0.00066,0.00202,-0.00065,-0.00066,0.00202
PRUG00ITA,EURA14,2023-06-26 11:59:00,0.00265,-0.00217,0.00018,0.00265,-0.00217,0.00018
PRUG00ITA,EURA14,2023-06-27 11:59:00,-0.00017,-0.00084,0.00192,-0.00017,-0.00084,0.00192
PRUG00ITA,EURA14,2023-06-28 11:59:00,0.00108,-0.0018,0.00459,0.00108,-0.0018,0.00459
PRUG00ITA,EURA14,2023-06-29 11:59:00,0.00021,0.00047,0.00347,0.00021,0.00047,0.00347
PRUG00ITA,EURA14,2023-06-30 11:59:00,-0.00087,-0.00065,-0.00618,-0.00087,-0.00065,-0.00618
PRUG00ITA,EURA14,2023-07-01 11:59:00,0.00166,0.00068,-0.00055,0.00166,0.00068,-0.00055
PRUG00ITA,EURA14,2023-07-02 11:59:00,0.00046,-0.00045,-0.00111,0.00046,-0.00045,-0.00111
PRUG00ITA,EURA14,2023-07-07 11:59:00,0.00098,0.00091,-0.00198,0.00098,0.00091,-0.00198
PRUG00ITA,EURA14,2023-07-08 11:59:00,0.00033,-8e-05,0.00141,0.00033,-8e-05,0.00141
PRUG00ITA,EURA14,2023-07-09 11:59:00,0.0019,-0.00148,0.00056,0.0019,-0.00148,0.00056
PRUG00ITA,EURA14,2023-07-10 11:59:00,-0.00052,0.00228,0.00114,-0.00052,0.00228,0.00114
PRUG00ITA,EURA14,2023-07-11 11:59:00,-0.00035,-0.00237,0.00477,-0.00035,-0.00237,0.00477
PRUG00ITA,EURA14,2023-07-12 11:59:00,0.00031,-0.00147,-0.00092,0.00031,-0.00147,-0.00092
PRUG00ITA,EURA14,2023-07-13 11:59:00,-0.0015,-0.00049,0.0036,-0.0015,-0.00049,0.0036
PRUG00ITA,EURA14,2023-07-14 11:59:00,7e-05,-0.00142,-0.00078,7e-05,-0.00142,-0.00078
PRUG00ITA,EURA14,2023-07-15 11:59:00,-0.00023,0.00082,0.00733,-0.00023,0.00082,0.00733
PRUG00ITA,EURA14,2023-07-16 11:59:00,5.000000000000013e-06,-0.0002950000000000001,0.00868,5.000000000000013e-06,-0.0002950000000000001,0.00868
PRUG00ITA,EURA14,2023-07-17 11:59:00,0.00024,-0.00141,0.01003,0.00024,-0.00141,0.01003
PRUG00ITA,EURA14,2023-07-18 11:59:00,0.000205,-0.00146,0.01025,0.000205,-0.00146,0.01025
PRUG00ITA,EURA14,2023-07-19 11:59:00,0.00017,-0.00151,0.01047,0.00017,-0.00151,0.01047
PRUG00ITA,EURA14,2023-07-20 11:59:00,0.0016200000000000001,-0.00035500000000000006,0.010025000000000001,0.0016200000000000001,-0.00035500000000000006,0.010025000000000001
PRUG00ITA,EURA14,2023-07-21 11:59:00,0.00307,0.0008,0.00958,0.00307,0.0008,0.00958
PRUG00ITA,EURA14,2023-07-22 11:59:00,0.00034,-0.00098,-0.00146,0.00034,-0.00098,-0.00146
PRUG00ITA,EURA14,2023-07-23 11:59:00,0.001205,-0.00013499999999999992,0.0008849999999999999,0.001205,-0.00013499999999999992,0.0008849999999999999
PRUG00ITA,EURA14,2023-07-24 11:59:00,0.00207,0.00071,0.00323,0.00207,0.00071,0.00323
PRUG00ITA,EURA14,2023-07-25 11:59:00,0.00356,0.00101,0.00883,0.00356,0.00101,0.00883
PRUG00ITA,EURA14,2023-07-26 11:59:00,0.00127,0.00096,0.00589,0.00127,0.00096,0.00589
PRUG00ITA,EURA14,2023-07-27 11:59:00,-0.00035999999999999986,0.00035999999999999997,0.00918,-0.00035999999999999986,0.00035999999999999997,0.00918
PRUG00ITA,EURA14,2023-07-28 11:59:00,-0.00199,-0.00024,0.01247,-0.00199,-0.00024,0.01247
PRUG00ITA,EURA14,2023-07-29 11:59:00,-0.00074,0.00084,0.00145,-0.00074,0.00084,0.00145
PRUG00ITA,EURA14,2023-07-30 11:59:00,-0.00087,0.00132,0.00377,-0.00087,0.00132,0.00377
PRUG00ITA,EURA14,2023-08-02 11:59:00,0.00324,-0.00047,-0.00291,0.00324,-0.00047,-0.00291
PRUG00ITA,EURA14,2023-08-03 11:59:00,-0.00127,0.00308,0.00628,-0.00127,0.00308,0.00628
PRUG00ITA,EURA14,2023-08-04 11:59:00,0.00165,-0.00057,0.00036,0.00165,-0.00057,0.00036
PRUG00ITA,EURA14,2023-08-09 11:59:00,0.00038,0.00189,0.00228,0.00038,0.00189,0.00228
PRUG00ITA,EURA14,2023-08-10 11:59:00,0.00059,0.0015249999999999999,0.00327,0.00059,0.0015249999999999999,0.00327
PRUG00ITA,EURA14,2023-08-11 11:59:00,0.0008,0.00116,0.00426,0.0008,0.00116,0.00426
PRUG00ITA,EURA14,2023-08-12 11:59:00,-0.00213,0.00034,0.00284,-0.00213,0.00034,0.00284
PRUG00ITA,EURA14,2023-08-13 11:59:00,0.0003,0.00242,-0.00173,0.0003,0.00242,-0.00173
PRUG00ITA,EURA14,2023-08-16 11:59:00,0.00036,0.00378,0.00787,0.00036,0.00378,0.00787
PRUG00ITA,EURA14,2023-08-17 11:59:00,-0.00081,0.00091,0.00248,-0.00081,0.00091,0.00248
PRUG00ITA,EURA14,2023-08-18 11:59:00,-0.00144,0.00073,-0.00124,-0.00144,0.00073,-0.00124
PRUG00ITA,EURA14,2023-08-19 11:59:00,0.0017,0.00446,0.00353,0.0017,0.00446,0.00353
PRUG00ITA,EURA14,2023-08-20 11:59:00,0.00111,0.002,0.00346,0.00111,0.002,0.00346
PRUG00ITA,EURA14,2023-08-21 11:59:00,-0.00068,0.00079,0.00738,-0.00068,0.00079,0.00738
PRUG00ITA,EURA14,2023-08-22 11:59:00,-0.00042,0.00026500000000000004,0.0054600000000000004,-0.00042,0.00026500000000000004,0.0054600000000000004
PRUG00ITA,EURA14,2023-08-23 11:59:00,-0.00016,-0.00026,0.00354,-0.00016,-0.00026,0.00354
PRUG00ITA,EURA14,2023-08-24 11:59:00,-0.00076,0.00143,0.0012,-0.00076,0.00143,0.0012
PRUG00ITA,EURA14,2023-08-25 11:59:00,-0.00147,-9e-05,-0.00151,-0.00147,-9e-05,-0.00151
PRUG00ITA,EURA14,2023-08-26 11:59:00,0.00065,-0.00043,0.00136,0.00065,-0.00043,0.00136
PRUG00ITA,EURA14,2023-08-29 11:59:00,-0.00157,-6e-05,0.01085,-0.00157,-6e-05,0.01085
PRUG00ITA,EURA14,2023-08-30 11:59:00,-0.00181,0.00175,0.00717,-0.00181,0.00175,0.00717
PRUG00ITA,EURA14,2023-08-31 11:59:00,-0.00108,0.00065,0.00498,-0.00108,0.00065,0.00498
PRUG00ITA,EURA14,2023-09-01 11:59:00,-0.00013,0.00119,-0.00207,-0.00013,0.00119,-0.00207
PRUG00ITA,EURA14,2023-09-04 11:59:00,0.00446,0.00146,0.00354,0.00446,0.00146,0.00354
PRUG00ITA,EURA14,2023-09-10 11:59:00,-0.00062,0.00027,0.00158,-0.00062,0.00027,0.00158
PRUG00ITA,EURA14,2023-09-17 11:59:00,2e-05,-0.00016,0.00046,2e-05,-0.00016,0.00046
PRUG00ITA,EURA14,2023-09-18 11:59:00,-0.00202,0.00036,0.00274,-0.00202,0.00036,0.00274
PRUG00ITA,EURA14,2023-09-19 11:59:00,-0.001005,0.000645,0.001245,-0.001005,0.000645,0.001245
PRUG00ITA,EURA14,2023-09-20 11:59:00,1e-05,0.00093,-0.00025,1e-05,0.00093,-0.00025
PRUG00ITA,EURA14,2023-09-21 11:59:00,-0.0012,-0.00017,0.00362,-0.0012,-0.00017,0.00362
PRUG00ITA,EURA14,2023-09-22 11:59:00,-0.00071,0.0005,0.00572,-0.00071,0.0005,0.00572
PRUG00ITA,EURA14,2023-09-25 11:59:00,-3e-05,0.00099,0.00896,-3e-05,0.00099,0.00896
PRUG00ITA,EURA14,2023-09-26 11:59:00,-0.00035,0.00194,0.00141,-0.00035,0.00194,0.00141
PRUG00ITA,EURA14,2023-09-27 11:59:00,-0.000575,0.0013700000000000001,0.001295,-0.000575,0.0013700000000000001,0.001295
PRUG00ITA,EURA14,2023-09-28 11:59:00,-0.0008,0.0008,0.00118,-0.0008,0.0008,0.00118
PRUG00ITA,EURA14,2023-09-29 11:59:00,0.00063,0.001025,0.0030700000000000002,0.00063,0.001025,0.0030700000000000002
PRUG00ITA,EURA14,2023-09-30 11:59:00,0.00206,0.00125,0.00496,0.00206,0.00125,0.00496
PRUG00ITA,EURA14,2023-10-01 11:59:00,0.0009450000000000001,0.0016849999999999999,0.0043,0.0009450000000000001,0.0016849999999999999,0.0043
PRUG00ITA,EURA14,2023-10-02 11:59:00,-0.00017,0.00212,0.00364,-0.00017,0.00212,0.00364
PRUG00ITA,EURA14,2023-10-03 11:59:00,-0.00082,0.0015,0.00328,-0.00082,0.0015,0.00328
PRUG00ITA,EURA14,2023-10-06 11:59:00,-0.00015,0.0025,0.00093,-0.00015,0.0025,0.00093
PRUG00ITA,EURA14,2023-10-09 11:59:00,0.00069,0.00031,-0.00058,0.00069,0.00031,-0.00058
PRUG00ITA,EURA14,2023-10-10 11:59:00,0.000125,0.0006249999999999999,0.0009549999999999999,0.000125,0.0006249999999999999,0.0009549999999999999
PRUG00ITA,EURA14,2023-10-11 11:59:00,-0.00044,0.00094,0.00249,-0.00044,0.00094,0.00249
PRUG00ITA,EURA14,2023-10-15 11:59:00,-0.00123,0.00151,-0.00037,-0.00123,0.00151,-0.00037
PRUG00ITA,EURA14,2023-10-20 11:59:00,0.003,-0.00056,0.01846,0.003,-0.00056,0.01846
PRUG00ITA,EURA14,2023-10-21 11:59:00,-0.00115,0.00135,-0.0047,-0.00115,0.00135,-0.0047
PRUG00ITA,EURA14,2023-10-22 11:59:00,-0.00026,-5e-05,0.01263,-0.00026,-5e-05,0.01263
PRUG00ITA,EURA14,2023-10-23 11:59:00,-0.00121,0.00113,0.00217,-0.00121,0.00113,0.00217
PRUG00ITA,EURA14,2023-10-24 11:59:00,0.00163,0.00165,0.01373,0.00163,0.00165,0.01373
PRUG00ITA,EURA14,2023-10-25 11:59:00,0.00047999999999999996,0.0007049999999999999,0.01553,0.00047999999999999996,0.0007049999999999999,0.01553
PRUG00ITA,EURA14,2023-10-26 11:59:00,-0.00067,-0.00024,0.01733,-0.00067,-0.00024,0.01733
PRUG00ITA,EURA14,2023-10-27 11:59:00,-0.00152,0.00401,0.01282,-0.00152,0.00401,0.01282
PRUG00ITA,EURA14,2023-10-30 11:59:00,-0.00119,0.00102,0.00975,-0.00119,0.00102,0.00975
PRUG00ITA,EURA14,2023-10-31 11:59:00,0.00187,0.0036,-0.00086,0.00187,0.0036,-0.00086
PRUG00ITA,EURA14,2023-11-01 11:59:00,-0.00123,0.00122,0.00249,-0.00123,0.00122,0.00249
PRUG00ITA,EURA14,2023-11-02 11:59:00,0.00094,0.00241,0.01397,0.00094,0.00241,0.01397
PRUG00ITA,EURA14,2023-11-03 11:59:00,0.00128,0.00179,0.0061,0.00128,0.00179,0.0061
PRUG00ITA,EURA14,2023-11-04 11:59:00,0.00145,0.00086,0.00718,0.00145,0.00086,0.00718
PRUG00ITA,EURA14,2023-11-05 11:59:00,0.00264,0.00106,0.0059,0.00264,0.00106,0.0059
PRUG00ITA,EURA14,2023-11-06 11:59:00,0.00137,0.00381,-0.00451,0.00137,0.00381,-0.00451
PRUG00ITA,EURA14,2023-11-07 11:59:00,-0.00145,0.00243,-0.00014,-0.00145,0.00243,-0.00014
PRUG00ITA,EURA14,2023-11-08 11:59:00,0.00018,0.0014,0.00118,0.00018,0.0014,0.00118
PRUG00ITA,EURA14,2023-11-09 11:59:00,0.0008,0.00076,0.00332,0.0008,0.00076,0.00332
PRUG00ITA,EURA14,2023-11-10 11:59:00,0.0004,0.00236,0.00925,0.0004,0.00236,0.00925
PRUG00ITA,EURA14,2023-11-11 11:59:00,-0.00272,0.00272,0.00942,-0.00272,0.00272,0.00942
PRUG00ITA,EURA14,2023-11-12 11:59:00,-0.0015400000000000001,0.001935,0.005615,-0.0015400000000000001,0.001935,0.005615
PRUG00ITA,EURA14,2023-11-13 11:59:00,-0.00036,0.00115,0.00181,-0.00036,0.00115,0.00181
PRUG00ITA,EURA14,2023-11-14 11:59:00,-0.00129,0.00103,-0.0009,-0.00129,0.00103,-0.0009
PRUG00ITA,EURA14,2023-11-15 11:59:00,-0.000725,0.001,0.001825,-0.000725,0.001,0.001825
PRUG00ITA,EURA14,2023-11-16 11:59:00,-0.00016,0.00097,0.00455,-0.00016,0.00097,0.00455
PRUG00ITA,EURA14,2023-11-17 11:59:00,0.00102,0.00216,0.00572,0.00102,0.00216,0.00572
PRUG00ITA,EURA14,2023-11-18 11:59:00,0.0,0.00253,0.00332,0.0,0.00253,0.00332
PRUG00ITA,EURA14,2023-11-19 11:59:00,-0.000245,0.0024000000000000002,0.00326,-0.000245,0.0024000000000000002,0.00326
PRUG00ITA,EURA14,2023-11-20 11:59:00,-0.00049,0.00227,0.0032,-0.00049,0.00227,0.0032
PRUG00ITA,EURA14,2023-11-21 11:59:00,-0.00096,0.00217,0.01122,-0.00096,0.00217,0.01122
PRUG00ITA,EURA14,2023-11-22 11:59:00,-0.00041,0.00236,0.00591,-0.00041,0.00236,0.00591
PRUG00ITA,EURA14,2023-11-23 11:59:00,-0.00046,0.0021850000000000003,0.00476,-0.00046,0.0021850000000000003,0.00476
PRUG00ITA,EURA14,2023-11-24 11:59:00,-0.00051,0.00201,0.00361,-0.00051,0.00201,0.00361
PRUG00ITA,EURA14,2023-11-25 11:59:00,-0.00069,0.00093,0.00544,-0.00069,0.00093,0.00544
PRUG00ITA,EURA14,2023-11-26 11:59:00,-0.00046,0.00139,0.00419,-0.00046,0.00139,0.00419
PRUG00ITA,EURA14,2023-11-27 11:59:00,-0.00113,0.00045,0.00475,-0.00113,0.00045,0.00475
PRUG00ITA,EURA14,2023-11-28 11:59:00,0.00093,-2e-05,0.00955,0.00093,-2e-05,0.00955
PRUG00ITA,EURA14,2023-11-29 11:59:00,-0.00071,0.00035,0.00197,-0.00071,0.00035,0.00197
PRUG00ITA,EURA14,2023-11-30 11:59:00,0.00015000000000000007,0.001165,0.0031999999999999997,0.00015000000000000007,0.001165,0.0031999999999999997
PRUG00ITA,EURA14,2023-12-01 11:59:00,0.00101,0.00198,0.00443,0.00101,0.00198,0.00443
PRUG00ITA,EURA14,2023-12-02 11:59:00,0.00145,-0.00099,0.00987,0.00145,-0.00099,0.00987
PRUG00ITA,EURA14,2023-12-03 11:59:00,0.00068,0.00224,0.00242,0.00068,0.00224,0.00242
PRUG00ITA,EURA14,2023-12-04 11:59:00,0.00094,0.00201,-0.00104,0.00094,0.00201,-0.00104
PRUG00ITA,EURA14,2023-12-05 11:59:00,-0.00035,0.00344,0.00301,-0.00035,0.00344,0.00301
PRUG00ITA,EURA14,2023-12-06 11:59:00,-0.00021,0.0013,0.0087,-0.00021,0.0013,0.0087
PRUG00ITA,EURA14,2023-12-07 11:59:00,-0.002,0.00215,0.00311,-0.002,0.00215,0.00311
PRUG00ITA,EURA14,2023-12-08 11:59:00,-0.00207,0.00191,0.00622,-0.00207,0.00191,0.00622
PRUG00ITA,EURA14,2023-12-09 11:59:00,-0.0017,0.00184,0.00258,-0.0017,0.00184,0.00258
PRUG00ITA,EURA14,2023-12-10 11:59:00,0.00073,0.00134,-0.00036,0.00073,0.00134,-0.00036
PRUG00ITA,EURA14,2023-12-11 11:59:00,0.001,0.00183,-0.00634,0.001,0.00183,-0.00634
PRUG00ITA,EURA14,2023-12-12 11:59:00,-0.00116,0.00099,0.00619,-0.00116,0.00099,0.00619
PRUG00ITA,EURA14,2023-12-13 11:59:00,-0.00075,0.001875,0.0057599999999999995,-0.00075,0.001875,0.0057599999999999995
PRUG00ITA,EURA14,2023-12-14 11:59:00,-0.00034,0.00276,0.00533,-0.00034,0.00276,0.00533
PRUG00ITA,EURA14,2023-12-15 11:59:00,0.00011,0.00202,-0.00105,0.00011,0.00202,-0.00105
PRUG00ITA,EURA14,2023-12-16 11:59:00,-0.00556,-0.0022,0.00626,-0.00556,-0.0022,0.00626
PRUG00ITA,EURA14,2023-12-17 11:59:00,-0.00076,0.00273,-0.00627,-0.00076,0.00273,-0.00627
PRUG00ITA,EURA14,2023-12-18 11:59:00,-0.00038,0.0022,-1e-05,-0.00038,0.0022,-1e-05
PRUG00ITA,EURA14,2023-12-19 11:59:00,-0.00144,0.00113,0.0014,-0.00144,0.00113,0.0014
PRUG00ITA,EURA14,2023-12-20 11:59:00,-0.00148,0.00147,0.00348,-0.00148,0.00147,0.00348
PRUG00ITA,EURA14,2023-12-24 11:59:00,-0.00153,0.00177,-0.00172,-0.00153,0.00177,-0.00172
PRUG00ITA,EURA14,2023-12-25 11:59:00,-0.00076,0.0009,0.00324,-0.00076,0.0009,0.00324
PRUG00ITA,EURA14,2023-12-26 11:59:00,-0.00051,0.00137,-0.00183,-0.00051,0.00137,-0.00183
PRUG00ITA,EURA14,2023-12-27 11:59:00,-0.00136,0.00188,0.00193,-0.00136,0.00188,0.00193
PRUG00ITA,EURA14,2023-12-28 11:59:00,-0.00076,0.0006,0.00132,-0.00076,0.0006,0.00132
PRUG00ITA,EURA14,2023-12-29 11:59:00,-0.00117,0.00148,0.00187,-0.00117,0.00148,0.00187
PRUG00ITA,EURA14,2023-12-30 11:59:00,-0.00119,0.00092,0.00422,-0.00119,0.00092,0.00422
PRUG00ITA,EURA14,2023-12-31 11:59:00,-0.001075,0.00088,0.0037,-0.001075,0.00088,0.0037
PRUG00ITA,EURA14,2024-01-01 11:59:00,-0.00096,0.00084,0.00318,-0.00096,0.00084,0.00318
PRUG00ITA,EURA14,2024-01-06 11:59:00,-0.00101,0.00148,0.0095,-0.00101,0.00148,0.0095
PRUG00ITA,EURA14,2024-01-07 11:59:00,-0.00146,0.00054,0.01302,-0.00146,0.00054,0.01302
PRUG00ITA,EURA14,2024-01-08 11:59:00,-0.00114,0.00281,0.00794,-0.00114,0.00281,0.00794
PRUG00ITA,EURA14,2024-01-09 11:59:00,-0.00079,0.00249,0.0061,-0.00079,0.00249,0.0061
PRUG00ITA,EURA14,2024-01-10 11:59:00,-0.00095,0.00215,0.0068,-0.00095,0.00215,0.0068
PRUG00ITA,EURA14,2024-01-11 11:59:00,-0.00197,0.00155,0.00758,-0.00197,0.00155,0.00758
PRUG00ITA,EURA14,2024-01-12 11:59:00,-0.00109,0.00147,0.00684,-0.00109,0.00147,0.00684
PRUG00ITA,EURA14,2024-01-13 11:59:00,-0.00042,0.0012799999999999999,0.0063,-0.00042,0.0012799999999999999,0.0063
PRUG00ITA,EURA14,2024-01-14 11:59:00,0.00025,0.00109,0.00576,0.00025,0.00109,0.00576
PRUG00ITA,EURA14,2024-01-15 11:59:00,-0.00027500000000000007,0.001025,0.00643,-0.00027500000000000007,0.001025,0.00643
PRUG00ITA,EURA14,2024-01-16 11:59:00,-0.0008,0.00096,0.0071,-0.0008,0.00096,0.0071
PRUG00ITA,EURA14,2024-01-17 11:59:00,-0.00135,0.00101,0.00936,-0.00135,0.00101,0.00936
PRUG00ITA,EURA14,2024-01-18 11:59:00,0.00057,0.00255,0.00808,0.00057,0.00255,0.00808
PRUG00ITA,EURA14,2024-01-19 11:59:00,1.500000000000004e-05,0.0029100000000000003,0.007495,1.500000000000004e-05,0.0029100000000000003,0.007495
PRUG00ITA,EURA14,2024-01-20 11:59:00,-0.00054,0.00327,0.00691,-0.00054,0.00327,0.00691
PRUG00ITA,EURA14,2024-01-21 11:59:00,-0.00143,0.00312,-0.00161,-0.00143,0.00312,-0.00161
PRUG00ITA,EURA14,2024-01-22 11:59:00,-0.00118,0.00174,-0.00055,-0.00118,0.00174,-0.00055
PRUG00ITA,EURA14,2024-01-23 11:59:00,-0.0008500000000000001,0.0019199999999999998,-0.00098,-0.0008500000000000001,0.0019199999999999998,-0.00098
PRUG00ITA,EURA14,2024-01-24 11:59:00,-0.00052,0.0021,-0.00141,-0.00052,0.0021,-0.00141
