marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
RCMA00ITA,EURA14,2024-10-04 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
RCMA00ITA,EURA14,2024-10-05 11:59:00,-0.00169,0.00093,0.00234,-0.00169,0.00093,0.00234
RCMA00ITA,EURA14,2024-10-06 11:59:00,0.00031,-0.00063,0.00128,0.00031,-0.00063,0.00128
RCMA00ITA,EURA14,2024-10-07 11:59:00,0.00042,0.00082,0.00659,0.00042,0.00082,0.00659
RCMA00ITA,EURA14,2024-10-08 11:59:00,0.00095,-0.00365,-0.00156,0.00095,-0.00365,-0.00156
RCMA00ITA,EURA14,2024-10-09 11:59:00,-0.00411,-0.0014,-0.00176,-0.00411,-0.0014,-0.00176
RCMA00ITA,EURA14,2024-10-10 11:59:00,0.00285,-0.00026,-0.00466,0.00285,-0.00026,-0.00466
RCMA00ITA,EURA14,2024-10-11 11:59:00,-0.00115,-0.00056,0.00252,-0.00115,-0.00056,0.00252
RCMA00ITA,EURA14,2024-10-12 11:59:00,-0.0003,0.00064,-0.00099,-0.0003,0.00064,-0.00099
RCMA00ITA,EURA14,2024-10-13 11:59:00,-0.00231,0.00052,-0.0004,-0.00231,0.00052,-0.0004
RCMA00ITA,EURA14,2024-10-14 11:59:00,-0.00011,0.00176,0.00371,-0.00011,0.00176,0.00371
RCMA00ITA,EURA14,2024-10-15 11:59:00,-0.001,0.00096,0.00469,-0.001,0.00096,0.00469
RCMA00ITA,EURA14,2024-10-16 11:59:00,-0.00109,0.00253,0.00409,-0.00109,0.00253,0.00409
RCMA00ITA,EURA14,2024-10-17 11:59:00,-0.0024,2e-05,0.00427,-0.0024,2e-05,0.00427
RCMA00ITA,EURA14,2024-10-18 11:59:00,0.0,-0.00135,-0.00491,0.0,-0.00135,-0.00491
RCMA00ITA,EURA14,2024-10-19 11:59:00,-0.00245,0.00047,0.00816,-0.00245,0.00047,0.00816
RCMA00ITA,EURA14,2024-10-20 11:59:00,-0.00264,0.00164,0.00627,-0.00264,0.00164,0.00627
RCMA00ITA,EURA14,2024-10-21 11:59:00,-0.00167,-0.00019,0.00121,-0.00167,-0.00019,0.00121
RCMA00ITA,EURA14,2024-10-22 11:59:00,0.00014,0.00192,0.00449,0.00014,0.00192,0.00449
RCMA00ITA,EURA14,2024-10-23 11:59:00,-0.00068,0.00218,0.00564,-0.00068,0.00218,0.00564
RCMA00ITA,EURA14,2024-10-24 11:59:00,-0.00071,0.00061,0.00123,-0.00071,0.00061,0.00123
RCMA00ITA,EURA14,2024-10-25 11:59:00,-0.00166,0.00226,-0.00014,-0.00166,0.00226,-0.00014
RCMA00ITA,EURA14,2024-10-26 11:59:00,-0.00072,0.00334,0.00714,-0.00072,0.00334,0.00714
RCMA00ITA,EURA14,2024-10-27 11:59:00,-0.00115,0.00178,0.01057,-0.00115,0.00178,0.01057
RCMA00ITA,EURA14,2024-10-28 11:59:00,-0.00223,0.00227,0.00133,-0.00223,0.00227,0.00133
RCMA00ITA,EURA14,2024-10-29 11:59:00,-0.00049,0.00122,-0.00032,-0.00049,0.00122,-0.00032
RCMA00ITA,EURA14,2024-10-30 11:59:00,-0.00039,0.00095,0.00463,-0.00039,0.00095,0.00463
RCMA00ITA,EURA14,2024-10-31 11:59:00,-0.00018,0.00198,-0.00143,-0.00018,0.00198,-0.00143
RCMA00ITA,EURA14,2024-11-01 11:59:00,9e-05,0.00264,0.00353,9e-05,0.00264,0.00353
RCMA00ITA,EURA14,2024-11-02 11:59:00,-0.00139,0.00243,0.00558,-0.00139,0.00243,0.00558
RCMA00ITA,EURA14,2024-11-03 11:59:00,0.0,0.0022,0.00536,0.0,0.0022,0.00536
RCMA00ITA,EURA14,2024-11-04 11:59:00,-0.00013,0.0015,0.005,-0.00013,0.0015,0.005
RCMA00ITA,EURA14,2024-11-05 11:59:00,-0.00067,0.00131,0.00484,-0.00067,0.00131,0.00484
RCMA00ITA,EURA14,2024-11-06 11:59:00,-0.00051,0.00284,0.00241,-0.00051,0.00284,0.00241
RCMA00ITA,EURA14,2024-11-07 11:59:00,0.00028,0.00163,0.00102,0.00028,0.00163,0.00102
RCMA00ITA,EURA14,2024-11-08 11:59:00,-3e-05,0.00114,0.00533,-3e-05,0.00114,0.00533
RCMA00ITA,EURA14,2024-11-09 11:59:00,-0.00089,0.00072,0.00434,-0.00089,0.00072,0.00434
RCMA00ITA,EURA14,2024-11-10 11:59:00,-0.00067,0.0012,0.00555,-0.00067,0.0012,0.00555
RCMA00ITA,EURA14,2024-11-11 11:59:00,-0.00022,0.00257,0.00314,-0.00022,0.00257,0.00314
RCMA00ITA,EURA14,2024-11-12 11:59:00,-0.00166,0.00272,0.00601,-0.00166,0.00272,0.00601
RCMA00ITA,EURA14,2024-11-13 11:59:00,6e-05,0.00225,0.0057,6e-05,0.00225,0.0057
RCMA00ITA,EURA14,2024-11-14 11:59:00,-0.0009,0.00204,0.00616,-0.0009,0.00204,0.00616
RCMA00ITA,EURA14,2024-11-15 11:59:00,0.0002,0.00076,0.00268,0.0002,0.00076,0.00268
RCMA00ITA,EURA14,2024-11-16 11:59:00,-0.00078,0.00224,0.00535,-0.00078,0.00224,0.00535
RCMA00ITA,EURA14,2024-11-17 11:59:00,-0.00164,0.00176,-0.00099,-0.00164,0.00176,-0.00099
RCMA00ITA,EURA14,2024-11-18 11:59:00,0.00129,0.00104,-0.00346,0.00129,0.00104,-0.00346
RCMA00ITA,EURA14,2024-11-19 11:59:00,0.00099,-0.0012,-0.0064,0.00099,-0.0012,-0.0064
RCMA00ITA,EURA14,2024-11-20 11:59:00,0.00392,0.0018,-0.01044,0.00392,0.0018,-0.01044
RCMA00ITA,EURA14,2024-11-21 11:59:00,0.00413,0.00122,-0.00242,0.00413,0.00122,-0.00242
RCMA00ITA,EURA14,2024-11-22 11:59:00,0.00067,0.00256,0.00269,0.00067,0.00256,0.00269
RCMA00ITA,EURA14,2024-11-23 11:59:00,-0.00039,0.00253,0.00409,-0.00039,0.00253,0.00409
RCMA00ITA,EURA14,2024-11-24 11:59:00,-0.00043,0.00154,-0.0035,-0.00043,0.00154,-0.0035
RCMA00ITA,EURA14,2024-11-25 11:59:00,-0.00022,0.00093,-0.00229,-0.00022,0.00093,-0.00229
RCMA00ITA,EURA14,2024-11-26 11:59:00,-0.00184,-0.00347,-0.00322,-0.00184,-0.00347,-0.00322
RCMA00ITA,EURA14,2024-11-27 11:59:00,-0.00115,-0.00371,-0.00824,-0.00115,-0.00371,-0.00824
RCMA00ITA,EURA14,2024-11-28 11:59:00,-0.00216,-0.00252,-0.00115,-0.00216,-0.00252,-0.00115
