marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
REAM00ITA,EURA14,2010-02-06 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
REAM00ITA,EURA14,2010-02-10 11:59:00,0.00036,-0.00011,0.00379,0.00036,-0.00011,0.00379
REAM00ITA,EURA14,2010-02-11 11:59:00,0.0008600000000000001,-0.000255,0.00264,0.0008600000000000001,-0.000255,0.00264
REAM00ITA,EURA14,2010-02-12 11:59:00,0.00136,-0.0004,0.00149,0.00136,-0.0004,0.00149
REAM00ITA,EURA14,2010-02-13 11:59:00,0.0011,0.00019,0.00047,0.0011,0.00019,0.00047
REAM00ITA,EURA14,2010-02-14 11:59:00,0.00048,0.00042,0.00219,0.00048,0.00042,0.00219
REAM00ITA,EURA14,2010-02-15 11:59:00,0.00017,3e-05,0.00218,0.00017,3e-05,0.00218
REAM00ITA,EURA14,2010-02-16 11:59:00,0.00142,-0.00091,-0.00443,0.00142,-0.00091,-0.00443
REAM00ITA,EURA14,2010-03-19 11:59:00,0.00073,-0.00192,-0.00834,0.00073,-0.00192,-0.00834
REAM00ITA,EURA14,2010-03-20 11:59:00,-8e-05,-0.00099,-0.00479,-8e-05,-0.00099,-0.00479
REAM00ITA,EURA14,2010-03-21 11:59:00,-0.00093,-0.00074,-0.00444,-0.00093,-0.00074,-0.00444
REAM00ITA,EURA14,2010-03-22 11:59:00,-0.00195,-0.00093,-0.00143,-0.00195,-0.00093,-0.00143
REAM00ITA,EURA14,2010-03-23 11:59:00,-0.00111,-0.0015,0.00173,-0.00111,-0.0015,0.00173
REAM00ITA,EURA14,2010-03-24 11:59:00,-0.00079,-0.00058,-0.00147,-0.00079,-0.00058,-0.00147
REAM00ITA,EURA14,2010-03-27 11:59:00,-0.00161,-0.00245,-0.00101,-0.00161,-0.00245,-0.00101
REAM00ITA,EURA14,2010-03-28 11:59:00,-0.00246,-0.00266,-0.00278,-0.00246,-0.00266,-0.00278
REAM00ITA,EURA14,2010-03-29 11:59:00,-0.00023,-0.00179,-0.00557,-0.00023,-0.00179,-0.00557
REAM00ITA,EURA14,2010-03-30 11:59:00,0.00128,0.00055,-0.00124,0.00128,0.00055,-0.00124
REAM00ITA,EURA14,2010-03-31 11:59:00,6e-05,0.00044,-0.00334,6e-05,0.00044,-0.00334
REAM00ITA,EURA14,2010-04-01 11:59:00,-0.00054,-0.00146,-0.00562,-0.00054,-0.00146,-0.00562
REAM00ITA,EURA14,2010-04-02 11:59:00,-0.00121,-0.00064,-0.00524,-0.00121,-0.00064,-0.00524
REAM00ITA,EURA14,2010-04-03 11:59:00,-0.00078,-0.00108,-0.00566,-0.00078,-0.00108,-0.00566
REAM00ITA,EURA14,2010-04-04 11:59:00,-0.001,-0.00185,0.00026,-0.001,-0.00185,0.00026
REAM00ITA,EURA14,2010-04-05 11:59:00,-0.00061,-9e-05,0.00016,-0.00061,-9e-05,0.00016
REAM00ITA,EURA14,2010-04-06 11:59:00,0.0001,0.00033,-0.00189,0.0001,0.00033,-0.00189
REAM00ITA,EURA14,2010-04-07 11:59:00,-0.001,-0.00151,0.00315,-0.001,-0.00151,0.00315
REAM00ITA,EURA14,2010-05-06 11:59:00,-0.00055,-0.00245,0.00272,-0.00055,-0.00245,0.00272
REAM00ITA,EURA14,2010-05-07 11:59:00,-0.00169,-0.00192,0.00024,-0.00169,-0.00192,0.00024
REAM00ITA,EURA14,2010-05-08 11:59:00,-0.00197,-0.00179,0.0061,-0.00197,-0.00179,0.0061
REAM00ITA,EURA14,2010-05-09 11:59:00,0.0002,-0.00157,-0.00528,0.0002,-0.00157,-0.00528
REAM00ITA,EURA14,2010-05-10 11:59:00,-0.00025,-0.00182,-0.00353,-0.00025,-0.00182,-0.00353
REAM00ITA,EURA14,2010-05-11 11:59:00,-0.00269,-0.00145,0.00034,-0.00269,-0.00145,0.00034
REAM00ITA,EURA14,2010-05-18 11:59:00,-0.00358,-0.00168,-0.00855,-0.00358,-0.00168,-0.00855
REAM00ITA,EURA14,2010-05-25 11:59:00,-0.00171,-0.00231,-0.00674,-0.00171,-0.00231,-0.00674
REAM00ITA,EURA14,2010-05-26 11:59:00,-0.00095,-0.00116,-0.00816,-0.00095,-0.00116,-0.00816
REAM00ITA,EURA14,2010-05-27 11:59:00,-0.00084,-0.00208,-0.00483,-0.00084,-0.00208,-0.00483
REAM00ITA,EURA14,2010-05-28 11:59:00,-0.00118,-0.00176,-0.01007,-0.00118,-0.00176,-0.01007
REAM00ITA,EURA14,2010-05-29 11:59:00,-0.00367,-4e-05,-0.00924,-0.00367,-4e-05,-0.00924
REAM00ITA,EURA14,2010-05-30 11:59:00,-0.00256,-0.00283,0.00227,-0.00256,-0.00283,0.00227
REAM00ITA,EURA14,2010-06-02 11:59:00,-0.0032,0.00049,0.00429,-0.0032,0.00049,0.00429
REAM00ITA,EURA14,2010-06-03 11:59:00,-0.00208,-0.00102,-0.01025,-0.00208,-0.00102,-0.01025
REAM00ITA,EURA14,2010-06-04 11:59:00,0.00029,-0.00229,-0.00933,0.00029,-0.00229,-0.00933
REAM00ITA,EURA14,2010-06-05 11:59:00,-0.00049,-0.00031,-0.01022,-0.00049,-0.00031,-0.01022
REAM00ITA,EURA14,2010-06-06 11:59:00,-0.00075,-0.00429,-0.00011,-0.00075,-0.00429,-0.00011
REAM00ITA,EURA14,2010-06-07 11:59:00,-0.00217,-0.00227,-0.00133,-0.00217,-0.00227,-0.00133
REAM00ITA,EURA14,2010-06-08 11:59:00,-0.00097,-0.0027,0.00658,-0.00097,-0.0027,0.00658
REAM00ITA,EURA14,2010-06-09 11:59:00,-0.00197,-0.00319,-0.00238,-0.00197,-0.00319,-0.00238
REAM00ITA,EURA14,2010-06-22 11:59:00,-0.00144,-0.00099,-0.00184,-0.00144,-0.00099,-0.00184
REAM00ITA,EURA14,2010-06-23 11:59:00,-0.00123,-0.0014,0.00112,-0.00123,-0.0014,0.00112
REAM00ITA,EURA14,2010-06-24 11:59:00,-0.00176,-0.00164,-0.00617,-0.00176,-0.00164,-0.00617
REAM00ITA,EURA14,2010-06-25 11:59:00,-0.00188,-0.00179,-0.00335,-0.00188,-0.00179,-0.00335
REAM00ITA,EURA14,2010-06-26 11:59:00,-0.00208,-0.00321,-0.00198,-0.00208,-0.00321,-0.00198
REAM00ITA,EURA14,2010-06-27 11:59:00,-0.0021,-0.00191,-0.00476,-0.0021,-0.00191,-0.00476
REAM00ITA,EURA14,2010-06-28 11:59:00,-0.00193,-0.00171,-0.00316,-0.00193,-0.00171,-0.00316
REAM00ITA,EURA14,2010-06-29 11:59:00,-0.00193,-0.00233,-5e-05,-0.00193,-0.00233,-5e-05
REAM00ITA,EURA14,2010-06-30 11:59:00,-0.0023,-0.00223,0.00362,-0.0023,-0.00223,0.00362
REAM00ITA,EURA14,2010-07-01 11:59:00,-0.00085,-0.00189,-0.00604,-0.00085,-0.00189,-0.00604
REAM00ITA,EURA14,2010-07-02 11:59:00,-0.00196,-0.00262,0.00585,-0.00196,-0.00262,0.00585
REAM00ITA,EURA14,2010-07-03 11:59:00,0.00043,-0.00389,0.00298,0.00043,-0.00389,0.00298
REAM00ITA,EURA14,2010-07-04 11:59:00,-0.001,-0.00188,0.00017,-0.001,-0.00188,0.00017
REAM00ITA,EURA14,2010-07-05 11:59:00,-0.00201,-0.0043,0.00017,-0.00201,-0.0043,0.00017
REAM00ITA,EURA14,2010-07-06 11:59:00,-0.00151,-0.00232,0.0008,-0.00151,-0.00232,0.0008
REAM00ITA,EURA14,2010-07-07 11:59:00,-0.00085,-0.00124,0.00522,-0.00085,-0.00124,0.00522
REAM00ITA,EURA14,2010-07-08 11:59:00,-0.00182,-0.00328,0.00534,-0.00182,-0.00328,0.00534
REAM00ITA,EURA14,2010-07-09 11:59:00,-0.00256,-0.00337,0.00133,-0.00256,-0.00337,0.00133
REAM00ITA,EURA14,2010-07-10 11:59:00,-0.00013,-0.00301,0.00438,-0.00013,-0.00301,0.00438
REAM00ITA,EURA14,2010-07-11 11:59:00,-0.00039,-0.00347,0.00812,-0.00039,-0.00347,0.00812
REAM00ITA,EURA14,2010-07-12 11:59:00,-0.00149,-0.00343,-0.00509,-0.00149,-0.00343,-0.00509
REAM00ITA,EURA14,2010-07-13 11:59:00,-0.0019,-0.00311,-0.00105,-0.0019,-0.00311,-0.00105
REAM00ITA,EURA14,2010-07-14 11:59:00,-0.00161,-0.00348,-3e-05,-0.00161,-0.00348,-3e-05
REAM00ITA,EURA14,2010-07-15 11:59:00,-0.00134,-0.0035,0.00057,-0.00134,-0.0035,0.00057
REAM00ITA,EURA14,2010-07-16 11:59:00,0.00019,-0.00296,0.00594,0.00019,-0.00296,0.00594
REAM00ITA,EURA14,2010-07-17 11:59:00,-0.00218,-0.00283,-0.00544,-0.00218,-0.00283,-0.00544
REAM00ITA,EURA14,2010-07-18 11:59:00,-0.00189,-0.00099,0.00012,-0.00189,-0.00099,0.00012
REAM00ITA,EURA14,2010-07-19 11:59:00,0.00289,-0.0039,0.00106,0.00289,-0.0039,0.00106
REAM00ITA,EURA14,2010-07-20 11:59:00,-0.00189,-0.00235,0.00693,-0.00189,-0.00235,0.00693
REAM00ITA,EURA14,2010-07-21 11:59:00,0.00133,-0.00414,0.00295,0.00133,-0.00414,0.00295
REAM00ITA,EURA14,2010-07-22 11:59:00,0.00043,-0.00335,0.00256,0.00043,-0.00335,0.00256
REAM00ITA,EURA14,2010-10-12 11:59:00,-0.00121,-0.00287,-0.00077,-0.0008142205193398226,-0.0018928363040278012,0.000654076368911799
REAM00ITA,EURA14,2010-10-13 11:59:00,-0.00124,-0.00172,0.0004,-0.0008442205193398227,-0.000742836304027801,0.001824076368911799
REAM00ITA,EURA14,2010-10-14 11:59:00,-0.00011,-0.00283,0.00359,0.0002857794806601773,-0.001852836304027801,0.005014076368911799
REAM00ITA,EURA14,2010-10-15 11:59:00,-0.00075,-0.00206,0.00177,-0.0003542205193398227,-0.0010828363040278012,0.0031940763689117992
REAM00ITA,EURA14,2010-10-16 11:59:00,-0.00023,-0.00204,0.0009,0.0001657794806601773,-0.0010628363040278011,0.002324076368911799
REAM00ITA,EURA14,2010-10-17 11:59:00,-2e-05,-0.00151,0.00682,0.0003757794806601773,-0.0005328363040278011,0.008244076368911798
REAM00ITA,EURA14,2010-10-18 11:59:00,-0.00038,-0.00156,-0.00208,1.5779480660177295e-05,-0.000582836304027801,-0.0006559236310882009
REAM00ITA,EURA14,2010-10-19 11:59:00,0.0017,-0.00028,-0.004,0.0020957794806601773,0.000697163695972199,-0.002575923631088201
REAM00ITA,EURA14,2010-10-20 11:59:00,0.000735,-0.001005,-0.005185,0.0011307794806601772,-2.783630402780103e-05,-0.0037609236310882014
REAM00ITA,EURA14,2010-10-21 11:59:00,-0.00023,-0.00173,-0.00637,0.0001657794806601773,-0.000752836304027801,-0.0049459236310882004
REAM00ITA,EURA14,2010-10-25 11:59:00,-0.00181,-0.00068,-0.00172,-0.0014142205193398228,0.00029716369597219895,-0.00029592363108820103
REAM00ITA,EURA14,2010-10-26 11:59:00,-0.00028,0.00023,-0.002,0.00011577948066017734,0.001207163695972199,-0.0005759236310882011
REAM00ITA,EURA14,2010-10-27 11:59:00,-0.0024,-0.00053,-0.00158,-0.0020042205193398226,0.000447163695972199,-0.0001559236310882011
REAM00ITA,EURA14,2010-10-28 11:59:00,-2e-05,-0.002,0.00063,0.0003757794806601773,-0.001022836304027801,0.002054076368911799
REAM00ITA,EURA14,2010-11-03 11:59:00,-0.0001,-0.00156,-0.00542,0.0002957794806601773,-0.000582836304027801,-0.003995923631088201
REAM00ITA,EURA14,2010-11-04 11:59:00,-0.00074,-0.00141,-0.00475,-0.0003442205193398227,-0.000432836304027801,-0.003325923631088201
REAM00ITA,EURA14,2010-11-05 11:59:00,-0.00062,-0.00187,-0.00469,-0.00022422051933982268,-0.0008928363040278009,-0.003265923631088201
REAM00ITA,EURA14,2010-11-06 11:59:00,-0.00044,-0.00232,-0.0061,-4.42205193398227e-05,-0.001342836304027801,-0.004675923631088201
REAM00ITA,EURA14,2010-11-07 11:59:00,-0.00102,-0.00254,-0.00019,-0.0006242205193398228,-0.0015628363040278012,0.0012340763689117989
REAM00ITA,EURA14,2010-11-08 11:59:00,-0.00063,-0.00207,0.00639,-0.0002342205193398227,-0.0010928363040278008,0.007814076368911798
REAM00ITA,EURA14,2010-11-09 11:59:00,-0.00071,-0.00105,-0.00151,-0.0003142205193398227,-7.283630402780093e-05,-8.592363108820113e-05
REAM00ITA,EURA14,2010-11-10 11:59:00,0.00201,-0.00324,0.00228,0.0024057794806601773,-0.002262836304027801,0.003704076368911799
REAM00ITA,EURA14,2010-11-13 11:59:00,-0.0001,-0.0024,-0.00546,0.0002957794806601773,-0.0014228363040278008,-0.004035923631088201
REAM00ITA,EURA14,2010-11-14 11:59:00,0.0004,-0.00202,-0.00527,0.0007957794806601774,-0.001042836304027801,-0.0038459236310882015
REAM00ITA,EURA14,2010-11-15 11:59:00,-0.00023,-0.00206,-0.00144,0.0001657794806601773,-0.0010828363040278012,-1.5923631088201164e-05
REAM00ITA,EURA14,2010-11-16 11:59:00,-0.00124,-0.00162,0.00852,-0.0008442205193398227,-0.0006428363040278009,0.009944076368911798
REAM00ITA,EURA14,2010-11-17 11:59:00,-0.00024,-0.00111,-0.00057,0.0001557794806601773,-0.0001328363040278011,0.000854076368911799
