marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
SULF00ITA,EURA14,2023-09-04 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
SULF00ITA,EURA14,2023-09-05 11:59:00,-0.00808,-0.00015,0.00989,-0.00808,-0.00015,0.00989
SULF00ITA,EURA14,2023-09-06 11:59:00,-0.01141,-0.00078,0.0274,-0.01141,-0.00078,0.0274
SULF00ITA,EURA14,2023-09-07 11:59:00,-0.01088,-0.00227,0.03411,-0.01088,-0.00227,0.03411
SULF00ITA,EURA14,2023-09-08 11:59:00,-0.01275,-0.00297,0.02818,-0.01275,-0.00297,0.02818
SULF00ITA,EURA14,2023-09-09 11:59:00,-0.012,-0.00234,0.02199,-0.012,-0.00234,0.02199
SULF00ITA,EURA14,2023-09-10 11:59:00,-0.01093,-0.00183,0.02251,-0.01093,-0.00183,0.02251
SULF00ITA,EURA14,2023-09-11 11:59:00,-0.01142,-0.00087,0.02473,-0.01142,-0.00087,0.02473
SULF00ITA,EURA14,2023-09-12 11:59:00,-0.01093,-0.002,0.03043,-0.01093,-0.002,0.03043
SULF00ITA,EURA14,2023-09-13 11:59:00,-0.01175,-0.00334,0.03092,-0.01175,-0.00334,0.03092
SULF00ITA,EURA14,2023-09-14 11:59:00,-0.01215,-0.00349,0.02453,-0.01215,-0.00349,0.02453
SULF00ITA,EURA14,2023-09-15 11:59:00,-0.01223,-0.00229,0.0241,-0.01223,-0.00229,0.0241
SULF00ITA,EURA14,2023-09-16 11:59:00,-0.01127,-0.00281,0.02262,-0.01127,-0.00281,0.02262
SULF00ITA,EURA14,2023-09-17 11:59:00,-0.01175,-0.00253,0.02367,-0.01175,-0.00253,0.02367
SULF00ITA,EURA14,2023-09-18 11:59:00,-0.01102,-0.00241,0.02928,-0.01102,-0.00241,0.02928
SULF00ITA,EURA14,2023-09-19 11:59:00,-0.01212,-0.00142,0.02805,-0.01212,-0.00142,0.02805
SULF00ITA,EURA14,2023-09-20 11:59:00,-0.00954,-0.00219,0.02861,-0.00954,-0.00219,0.02861
SULF00ITA,EURA14,2023-09-21 11:59:00,-0.01049,-0.00226,0.02534,-0.01049,-0.00226,0.02534
SULF00ITA,EURA14,2023-09-22 11:59:00,-0.011,-0.00356,0.02902,-0.011,-0.00356,0.02902
SULF00ITA,EURA14,2023-09-23 11:59:00,-0.01201,-0.00448,0.02736,-0.01201,-0.00448,0.02736
SULF00ITA,EURA14,2023-09-24 11:59:00,-0.01379,-0.00201,0.02767,-0.01379,-0.00201,0.02767
SULF00ITA,EURA14,2023-09-25 11:59:00,-0.00748,-0.00258,0.02542,-0.00748,-0.00258,0.02542
SULF00ITA,EURA14,2023-09-26 11:59:00,-0.0113,-0.00066,0.03552,-0.0113,-0.00066,0.03552
SULF00ITA,EURA14,2023-09-27 11:59:00,-0.01206,-0.00249,0.02821,-0.01206,-0.00249,0.02821
SULF00ITA,EURA14,2023-09-28 11:59:00,-0.0127,-0.00136,0.02245,-0.0127,-0.00136,0.02245
SULF00ITA,EURA14,2023-09-29 11:59:00,-0.01245,-0.00258,0.02653,-0.01245,-0.00258,0.02653
SULF00ITA,EURA14,2023-09-30 11:59:00,-0.01198,-0.0042,0.02778,-0.01198,-0.0042,0.02778
SULF00ITA,EURA14,2023-10-01 11:59:00,-0.00928,-0.00066,0.02646,-0.00928,-0.00066,0.02646
SULF00ITA,EURA14,2023-10-02 11:59:00,-0.01104,-0.00065,0.02173,-0.01104,-0.00065,0.02173
SULF00ITA,EURA14,2023-10-03 11:59:00,-0.0144,-0.00206,0.02543,-0.0144,-0.00206,0.02543
SULF00ITA,EURA14,2023-10-04 11:59:00,-0.01126,-0.00192,0.02678,-0.01126,-0.00192,0.02678
SULF00ITA,EURA14,2023-10-05 11:59:00,-0.01215,-0.00155,0.02621,-0.01215,-0.00155,0.02621
SULF00ITA,EURA14,2023-10-06 11:59:00,-0.01243,0.00065,0.02363,-0.01243,0.00065,0.02363
SULF00ITA,EURA14,2023-10-07 11:59:00,-0.01231,-0.00148,0.02163,-0.01231,-0.00148,0.02163
SULF00ITA,EURA14,2023-10-08 11:59:00,-0.01206,-0.00223,0.02519,-0.01206,-0.00223,0.02519
SULF00ITA,EURA14,2023-10-09 11:59:00,-0.012,-0.00298,0.02361,-0.012,-0.00298,0.02361
SULF00ITA,EURA14,2023-10-10 11:59:00,-0.01127,-0.00167,0.02693,-0.01127,-0.00167,0.02693
SULF00ITA,EURA14,2023-10-11 11:59:00,-0.01115,-0.00266,0.02318,-0.01115,-0.00266,0.02318
SULF00ITA,EURA14,2023-10-12 11:59:00,-0.01125,-0.00285,0.02712,-0.01125,-0.00285,0.02712
SULF00ITA,EURA14,2023-10-13 11:59:00,-0.01228,-0.00358,0.02798,-0.01228,-0.00358,0.02798
SULF00ITA,EURA14,2023-10-14 11:59:00,-0.01389,-0.00408,0.03464,-0.01389,-0.00408,0.03464
SULF00ITA,EURA14,2023-10-15 11:59:00,-0.00982,-0.00585,0.02909,-0.00982,-0.00585,0.02909
SULF00ITA,EURA14,2023-10-16 11:59:00,-0.01039,-0.0005,0.02614,-0.01039,-0.0005,0.02614
SULF00ITA,EURA14,2023-10-17 11:59:00,-0.01224,-0.00275,0.02381,-0.01224,-0.00275,0.02381
SULF00ITA,EURA14,2023-10-18 11:59:00,-0.01161,-0.00154,0.02387,-0.01161,-0.00154,0.02387
SULF00ITA,EURA14,2023-10-19 11:59:00,-0.00691,-0.00414,0.02059,-0.00691,-0.00414,0.02059
SULF00ITA,EURA14,2023-10-20 11:59:00,-0.01919,-0.01272,0.01984,-0.01919,-0.01272,0.01984
SULF00ITA,EURA14,2023-10-21 11:59:00,-0.015,-0.00338,0.02804,-0.015,-0.00338,0.02804
SULF00ITA,EURA14,2023-10-22 11:59:00,-0.01047,-0.00138,0.03397,-0.01047,-0.00138,0.03397
SULF00ITA,EURA14,2023-10-23 11:59:00,-0.01309,-0.00253,0.02935,-0.01309,-0.00253,0.02935
SULF00ITA,EURA14,2023-10-24 11:59:00,-0.01517,-0.01043,0.03668,-0.01517,-0.01043,0.03668
SULF00ITA,EURA14,2023-10-25 11:59:00,-0.01411,-0.0054,0.03337,-0.01411,-0.0054,0.03337
SULF00ITA,EURA14,2023-10-26 11:59:00,-0.01079,-0.00501,0.03627,-0.01079,-0.00501,0.03627
SULF00ITA,EURA14,2023-10-27 11:59:00,-0.01878,-0.00987,0.03227,-0.01878,-0.00987,0.03227
SULF00ITA,EURA14,2023-10-28 11:59:00,-0.01016,-0.00176,0.0368,-0.01016,-0.00176,0.0368
SULF00ITA,EURA14,2023-10-29 11:59:00,-0.00936,-0.00141,0.02959,-0.00936,-0.00141,0.02959
SULF00ITA,EURA14,2023-10-30 11:59:00,-0.0162,-0.00596,0.03392,-0.0162,-0.00596,0.03392
