marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
TARQ01ITA,EURA14,2023-06-06 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
TARQ01ITA,EURA14,2023-06-07 11:59:00,0.00069,-0.00231,0.0039,0.00069,-0.00231,0.0039
TARQ01ITA,EURA14,2023-06-14 11:59:00,-0.00308,-0.0005,0.00171,-0.00308,-0.0005,0.00171
TARQ01ITA,EURA14,2023-06-15 11:59:00,-0.00178,-0.00152,-0.00043,-0.00178,-0.00152,-0.00043
TARQ01ITA,EURA14,2023-06-16 11:59:00,-0.00066,-0.00386,0.00463,-0.00066,-0.00386,0.00463
TARQ01ITA,EURA14,2023-06-17 11:59:00,-2e-05,7e-05,-0.00355,-2e-05,7e-05,-0.00355
TARQ01ITA,EURA14,2023-06-18 11:59:00,-0.00142,-0.0013,-0.00124,-0.00142,-0.0013,-0.00124
TARQ01ITA,EURA14,2023-06-19 11:59:00,-0.0012100000000000001,-0.0012000000000000001,-0.0004150000000000001,-0.0012100000000000001,-0.0012000000000000001,-0.0004150000000000001
TARQ01ITA,EURA14,2023-06-20 11:59:00,-0.001,-0.0011,0.00041,-0.001,-0.0011,0.00041
TARQ01ITA,EURA14,2023-06-21 11:59:00,-0.00076,0.00032,-0.00013,-0.00076,0.00032,-0.00013
TARQ01ITA,EURA14,2023-06-22 11:59:00,-0.00213,0.0008,0.00162,-0.00213,0.0008,0.00162
TARQ01ITA,EURA14,2023-06-23 11:59:00,-0.00152,-0.00231,0.00454,-0.00152,-0.00231,0.00454
TARQ01ITA,EURA14,2023-06-24 11:59:00,-0.00217,-0.00274,0.00488,-0.00217,-0.00274,0.00488
TARQ01ITA,EURA14,2023-06-25 11:59:00,-0.00177,0.00018,0.00655,-0.00177,0.00018,0.00655
TARQ01ITA,EURA14,2023-06-26 11:59:00,0.00315,-0.00131,0.00752,0.00315,-0.00131,0.00752
TARQ01ITA,EURA14,2023-06-27 11:59:00,-0.00069,-0.00093,0.00371,-0.00069,-0.00093,0.00371
TARQ01ITA,EURA14,2023-06-28 11:59:00,-0.00138,-0.00279,0.00819,-0.00138,-0.00279,0.00819
TARQ01ITA,EURA14,2023-06-29 11:59:00,-0.00751,-0.00907,0.01363,-0.00751,-0.00907,0.01363
TARQ01ITA,EURA14,2023-06-30 11:59:00,-0.00311,-0.00157,0.00754,-0.00311,-0.00157,0.00754
TARQ01ITA,EURA14,2023-07-01 11:59:00,-0.00034,-0.00166,0.00856,-0.00034,-0.00166,0.00856
TARQ01ITA,EURA14,2023-07-02 11:59:00,-0.00082,-0.00085,0.00796,-0.00082,-0.00085,0.00796
TARQ01ITA,EURA14,2023-07-07 11:59:00,-0.00109,-0.00161,0.01505,-0.00109,-0.00161,0.01505
TARQ01ITA,EURA14,2023-07-08 11:59:00,-0.00243,-0.00214,0.00184,-0.00243,-0.00214,0.00184
TARQ01ITA,EURA14,2023-07-09 11:59:00,-0.00082,0.00097,0.00463,-0.00082,0.00097,0.00463
TARQ01ITA,EURA14,2023-07-10 11:59:00,-0.00096,-0.00116,0.00504,-0.00096,-0.00116,0.00504
TARQ01ITA,EURA14,2023-07-11 11:59:00,-0.00068,-0.0016,0.00434,-0.00068,-0.0016,0.00434
TARQ01ITA,EURA14,2023-07-12 11:59:00,-0.00059,-0.00136,0.00596,-0.00059,-0.00136,0.00596
TARQ01ITA,EURA14,2023-07-13 11:59:00,-0.00021,-0.0019,0.00438,-0.00021,-0.0019,0.00438
TARQ01ITA,EURA14,2023-07-14 11:59:00,-0.00212,-0.00125,0.00897,-0.00212,-0.00125,0.00897
TARQ01ITA,EURA14,2023-07-15 11:59:00,-0.00104,-0.00164,0.00238,-0.00104,-0.00164,0.00238
