marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
TEIT00ITA,EURA14,2017-03-06 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
TEIT00ITA,EURA14,2017-03-07 11:59:00,0.00551,0.00254,0.00332,0.00551,0.00254,0.00332
TEIT00ITA,EURA14,2017-03-08 11:59:00,0.00608,-0.00044,-0.00816,0.00608,-0.00044,-0.00816
TEIT00ITA,EURA14,2017-03-09 11:59:00,0.00735,0.00011,-0.01063,0.00735,0.00011,-0.01063
TEIT00ITA,EURA14,2017-03-10 11:59:00,0.0058,-3e-05,-0.0094,0.0058,-3e-05,-0.0094
TEIT00ITA,EURA14,2017-03-11 11:59:00,0.00602,-8e-05,-0.00793,0.00602,-8e-05,-0.00793
TEIT00ITA,EURA14,2017-03-12 11:59:00,0.00686,0.00011,-0.00975,0.00686,0.00011,-0.00975
TEIT00ITA,EURA14,2017-03-13 11:59:00,0.0062,-4e-05,-0.01483,0.0062,-4e-05,-0.01483
TEIT00ITA,EURA14,2017-03-14 11:59:00,0.00636,-0.0005,-0.01348,0.00636,-0.0005,-0.01348
TEIT00ITA,EURA14,2017-03-15 11:59:00,0.00674,-0.00059,-0.00679,0.00674,-0.00059,-0.00679
TEIT00ITA,EURA14,2017-03-16 11:59:00,0.00646,-0.00064,-0.0077,0.00646,-0.00064,-0.0077
TEIT00ITA,EURA14,2017-03-17 11:59:00,0.00582,-0.00156,-0.00583,0.00582,-0.00156,-0.00583
TEIT00ITA,EURA14,2017-03-18 11:59:00,0.00154,-0.00259,-0.00112,0.00154,-0.00259,-0.00112
TEIT00ITA,EURA14,2017-03-19 11:59:00,0.00624,-0.00171,-0.00885,0.00624,-0.00171,-0.00885
TEIT00ITA,EURA14,2017-03-20 11:59:00,0.00572,-0.00175,-0.011,0.00572,-0.00175,-0.011
TEIT00ITA,EURA14,2017-03-21 11:59:00,0.00557,-6e-05,-0.004,0.00557,-6e-05,-0.004
TEIT00ITA,EURA14,2017-03-22 11:59:00,0.00678,0.00024,-0.00472,0.00678,0.00024,-0.00472
TEIT00ITA,EURA14,2017-03-23 11:59:00,0.00549,-0.00159,-0.01192,0.00549,-0.00159,-0.01192
TEIT00ITA,EURA14,2017-03-24 11:59:00,0.00627,-0.00184,-0.01117,0.00627,-0.00184,-0.01117
TEIT00ITA,EURA14,2017-03-25 11:59:00,0.00629,-0.00231,-0.01499,0.00629,-0.00231,-0.01499
TEIT00ITA,EURA14,2017-03-26 11:59:00,0.00901,-0.00078,-0.00761,0.00901,-0.00078,-0.00761
TEIT00ITA,EURA14,2017-03-27 11:59:00,0.00762,-0.00078,-0.00551,0.00762,-0.00078,-0.00551
TEIT00ITA,EURA14,2017-03-28 11:59:00,0.0061,-0.00109,-0.01203,0.0061,-0.00109,-0.01203
TEIT00ITA,EURA14,2017-03-29 11:59:00,0.00643,-0.00259,-0.01187,0.00643,-0.00259,-0.01187
TEIT00ITA,EURA14,2017-03-30 11:59:00,0.00618,-0.00147,-0.0094,0.00618,-0.00147,-0.0094
TEIT00ITA,EURA14,2017-03-31 11:59:00,0.00716,-0.00153,-0.01163,0.00716,-0.00153,-0.01163
TEIT00ITA,EURA14,2017-04-01 11:59:00,0.00661,-0.00093,-0.00975,0.00661,-0.00093,-0.00975
TEIT00ITA,EURA14,2017-04-02 11:59:00,0.00687,-0.00166,-0.00713,0.00687,-0.00166,-0.00713
TEIT00ITA,EURA14,2017-04-03 11:59:00,0.00724,6e-05,-0.0072,0.00724,6e-05,-0.0072
TEIT00ITA,EURA14,2017-04-04 11:59:00,0.00586,-0.00158,-0.00765,0.00586,-0.00158,-0.00765
TEIT00ITA,EURA14,2017-04-05 11:59:00,0.00834,-0.0016,-0.00701,0.00834,-0.0016,-0.00701
TEIT00ITA,EURA14,2017-04-06 11:59:00,0.00741,-0.0015,-0.00248,0.00741,-0.0015,-0.00248
TEIT00ITA,EURA14,2017-04-07 11:59:00,0.00699,-0.00078,-0.00574,0.00699,-0.00078,-0.00574
TEIT00ITA,EURA14,2017-04-08 11:59:00,0.00701,-0.00049,-0.01064,0.00701,-0.00049,-0.01064
TEIT00ITA,EURA14,2017-04-09 11:59:00,0.00594,-0.00045,-0.01236,0.00594,-0.00045,-0.01236
TEIT00ITA,EURA14,2017-04-10 11:59:00,0.00761,-0.00089,-0.01361,0.00761,-0.00089,-0.01361
TEIT00ITA,EURA14,2017-04-11 11:59:00,0.01006,0.00135,-0.00894,0.01006,0.00135,-0.00894
TEIT00ITA,EURA14,2017-04-12 11:59:00,0.00735,-0.00226,-0.01152,0.00735,-0.00226,-0.01152
TEIT00ITA,EURA14,2017-04-13 11:59:00,0.00714,-0.00102,-0.00707,0.00714,-0.00102,-0.00707
TEIT00ITA,EURA14,2017-04-14 11:59:00,0.00761,-0.00079,-0.0106,0.00761,-0.00079,-0.0106
TEIT00ITA,EURA14,2017-04-15 11:59:00,0.00667,-0.00024,-0.01259,0.00667,-0.00024,-0.01259
TEIT00ITA,EURA14,2017-04-16 11:59:00,0.00699,-0.0022,-0.00759,0.00699,-0.0022,-0.00759
TEIT00ITA,EURA14,2017-04-17 11:59:00,0.00933,-0.00069,-0.01138,0.00933,-0.00069,-0.01138
TEIT00ITA,EURA14,2017-04-18 11:59:00,0.00782,-0.00164,0.00115,0.00782,-0.00164,0.00115
TEIT00ITA,EURA14,2017-04-19 11:59:00,0.00839,-0.00123,0.00028,0.00839,-0.00123,0.00028
TEIT00ITA,EURA14,2017-04-20 11:59:00,0.00811,1e-05,-0.00942,0.00811,1e-05,-0.00942
TEIT00ITA,EURA14,2017-04-21 11:59:00,0.00747,-0.00275,-0.01671,0.00747,-0.00275,-0.01671
TEIT00ITA,EURA14,2017-04-22 11:59:00,0.00802,-0.00121,-0.01215,0.00802,-0.00121,-0.01215
TEIT00ITA,EURA14,2017-04-23 11:59:00,0.00897,-0.00088,-0.01191,0.00897,-0.00088,-0.01191
TEIT00ITA,EURA14,2017-04-24 11:59:00,0.0088,0.00021,-0.00926,0.0088,0.00021,-0.00926
TEIT00ITA,EURA14,2017-04-25 11:59:00,0.010165,7.500000000000001e-05,0.0016349999999999993,0.010165,7.500000000000001e-05,0.0016349999999999993
TEIT00ITA,EURA14,2017-04-26 11:59:00,0.01153,-6e-05,0.01253,0.01153,-6e-05,0.01253
TEIT00ITA,EURA14,2017-04-27 11:59:00,0.01143,-0.00153,0.00117,0.01143,-0.00153,0.00117
TEIT00ITA,EURA14,2017-04-28 11:59:00,0.01123,-0.00254,0.00821,0.01123,-0.00254,0.00821
TEIT00ITA,EURA14,2017-04-29 11:59:00,0.00878,-0.00169,-0.00518,0.00878,-0.00169,-0.00518
TEIT00ITA,EURA14,2017-04-30 11:59:00,0.00905,-0.0004,-0.00566,0.00905,-0.0004,-0.00566
TEIT00ITA,EURA14,2017-05-01 11:59:00,0.00785,-0.00134,-0.00984,0.00785,-0.00134,-0.00984
TEIT00ITA,EURA14,2017-05-02 11:59:00,0.00919,0.00037,-0.01448,0.00919,0.00037,-0.01448
TEIT00ITA,EURA14,2017-05-03 11:59:00,0.0072,-0.00208,-0.00655,0.0072,-0.00208,-0.00655
TEIT00ITA,EURA14,2017-05-04 11:59:00,0.00758,-0.00104,-0.00247,0.00758,-0.00104,-0.00247
TEIT00ITA,EURA14,2017-05-05 11:59:00,0.00763,-0.0012,-0.00774,0.00763,-0.0012,-0.00774
TEIT00ITA,EURA14,2017-05-06 11:59:00,0.01084,0.00173,-0.00947,0.01084,0.00173,-0.00947
TEIT00ITA,EURA14,2017-05-07 11:59:00,0.00861,-0.00086,0.01048,0.00861,-0.00086,0.01048
TEIT00ITA,EURA14,2017-05-08 11:59:00,0.00914,0.00052,-0.0029,0.00914,0.00052,-0.0029
TEIT00ITA,EURA14,2017-05-09 11:59:00,0.00707,-0.00086,0.0008,0.00707,-0.00086,0.0008
TEIT00ITA,EURA14,2017-05-10 11:59:00,0.00829,-0.00034,-0.00938,0.00829,-0.00034,-0.00938
TEIT00ITA,EURA14,2017-05-11 11:59:00,0.00902,0.0017,-0.0091,0.00902,0.0017,-0.0091
TEIT00ITA,EURA14,2017-05-12 11:59:00,0.00975,-0.00011,-0.00209,0.00975,-0.00011,-0.00209
TEIT00ITA,EURA14,2017-05-13 11:59:00,0.009,-0.0004,-0.00937,0.009,-0.0004,-0.00937
TEIT00ITA,EURA14,2017-05-14 11:59:00,0.00643,0.00166,-0.01621,0.00643,0.00166,-0.01621
TEIT00ITA,EURA14,2017-05-15 11:59:00,0.01024,-0.00113,-0.01179,0.01024,-0.00113,-0.01179
TEIT00ITA,EURA14,2017-05-16 11:59:00,0.00795,0.00029,-0.01156,0.00795,0.00029,-0.01156
TEIT00ITA,EURA14,2017-05-17 11:59:00,0.00848,0.00056,-0.01324,0.00848,0.00056,-0.01324
TEIT00ITA,EURA14,2017-05-18 11:59:00,0.00755,-0.00093,-0.01288,0.00755,-0.00093,-0.01288
