marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
GROT01ITA,EURA14,2012-01-20 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
GROT01ITA,EURA14,2012-01-21 11:59:00,0.00016,0.00054,0.00303,0.00016,0.00054,0.00303
GROT01ITA,EURA14,2012-01-22 11:59:00,0.00114,-0.00022,0.00233,0.00114,-0.00022,0.00233
GROT01ITA,EURA14,2012-01-23 11:59:00,0.00056,-0.00105,0.00212,0.00056,-0.00105,0.00212
GROT01ITA,EURA14,2012-01-24 11:59:00,8e-05,0.00027,-0.002,8e-05,0.00027,-0.002
GROT01ITA,EURA14,2012-01-25 11:59:00,-0.00082,-0.0004,-0.00189,-0.00082,-0.0004,-0.00189
GROT01ITA,EURA14,2012-01-26 11:59:00,-5e-05,0.00083,-0.00675,-5e-05,0.00083,-0.00675
GROT01ITA,EURA14,2012-01-27 11:59:00,-0.00013,0.00052,-0.00425,-0.00013,0.00052,-0.00425
GROT01ITA,EURA14,2012-01-31 11:59:00,0.00085,-8e-05,-0.00152,0.00085,-8e-05,-0.00152
GROT01ITA,EURA14,2012-02-01 11:59:00,0.00066,0.00124,-0.00642,0.00066,0.00124,-0.00642
GROT01ITA,EURA14,2012-02-02 11:59:00,0.00118,-0.00046,0.00417,0.00118,-0.00046,0.00417
GROT01ITA,EURA14,2012-02-03 11:59:00,0.01035,-0.01017,0.00399,0.01035,-0.01017,0.00399
GROT01ITA,EURA14,2012-02-04 11:59:00,0.00822,-0.00394,-0.00017,0.00822,-0.00394,-0.00017
GROT01ITA,EURA14,2012-02-05 11:59:00,0.00452,-0.00239,-0.00122,0.00452,-0.00239,-0.00122
GROT01ITA,EURA14,2012-02-06 11:59:00,0.00122,-0.00044,0.00429,0.00122,-0.00044,0.00429
GROT01ITA,EURA14,2012-02-07 11:59:00,0.00187,-0.00082,0.00425,0.00187,-0.00082,0.00425
GROT01ITA,EURA14,2012-02-08 11:59:00,-0.00028,0.00081,-0.00178,-0.00028,0.00081,-0.00178
GROT01ITA,EURA14,2012-02-09 11:59:00,6e-05,0.00023,0.00308,6e-05,0.00023,0.00308
GROT01ITA,EURA14,2012-02-10 11:59:00,-0.00782,-0.00978,0.00778,-0.00782,-0.00978,0.00778
GROT01ITA,EURA14,2012-02-11 11:59:00,-0.00047,-0.00267,0.0056,-0.00047,-0.00267,0.0056
GROT01ITA,EURA14,2012-02-12 11:59:00,0.00105,-0.00013,0.00154,0.00105,-0.00013,0.00154
GROT01ITA,EURA14,2012-02-13 11:59:00,-0.00035,-0.001,0.00127,-0.00035,-0.001,0.00127
GROT01ITA,EURA14,2012-02-14 11:59:00,-0.00054,-0.00067,0.00162,-0.00054,-0.00067,0.00162
GROT01ITA,EURA14,2012-02-15 11:59:00,0.00028,-0.00099,-0.001,0.00028,-0.00099,-0.001
GROT01ITA,EURA14,2012-02-16 11:59:00,-0.00093,0.0003,-0.00157,-0.00093,0.0003,-0.00157
GROT01ITA,EURA14,2012-02-17 11:59:00,-0.00081,-4e-05,-3e-05,-0.00081,-4e-05,-3e-05
GROT01ITA,EURA14,2012-02-18 11:59:00,-0.00019,-0.00061,-0.00319,-0.00019,-0.00061,-0.00319
GROT01ITA,EURA14,2012-02-19 11:59:00,-8e-05,-0.00211,-0.00057,-8e-05,-0.00211,-0.00057
GROT01ITA,EURA14,2012-02-20 11:59:00,-0.00067,-0.0015,0.00154,-0.00067,-0.0015,0.00154
GROT01ITA,EURA14,2012-02-21 11:59:00,-0.00164,1e-05,-0.00214,-0.00164,1e-05,-0.00214
GROT01ITA,EURA14,2012-02-22 11:59:00,-0.00021,-0.0016,-0.00232,-0.00021,-0.0016,-0.00232
GROT01ITA,EURA14,2012-02-23 11:59:00,-0.0003,-0.00098,-0.00356,-0.0003,-0.00098,-0.00356
GROT01ITA,EURA14,2012-02-24 11:59:00,-0.00122,-0.00169,-0.00244,-0.00122,-0.00169,-0.00244
GROT01ITA,EURA14,2012-02-25 11:59:00,-0.0006,-0.00156,0.00251,-0.0006,-0.00156,0.00251
GROT01ITA,EURA14,2012-02-26 11:59:00,-0.00099,-0.00028,-0.00076,-0.00099,-0.00028,-0.00076
GROT01ITA,EURA14,2012-02-27 11:59:00,-0.00051,-0.00088,-0.00135,-0.00051,-0.00088,-0.00135
GROT01ITA,EURA14,2012-02-28 11:59:00,-0.00128,-0.00098,-0.00433,-0.00128,-0.00098,-0.00433
GROT01ITA,EURA14,2012-02-29 11:59:00,-0.0006,-0.00022,0.00262,-0.0006,-0.00022,0.00262
GROT01ITA,EURA14,2012-03-01 11:59:00,-0.00198,-0.00094,0.00223,-0.00198,-0.00094,0.00223
GROT01ITA,EURA14,2012-03-02 11:59:00,2e-05,-0.00124,-0.00297,2e-05,-0.00124,-0.00297
GROT01ITA,EURA14,2012-03-03 11:59:00,-0.00033,-0.00105,0.00079,-0.00033,-0.00105,0.00079
GROT01ITA,EURA14,2012-03-04 11:59:00,-0.0012,-0.00028,-0.00109,-0.0012,-0.00028,-0.00109
GROT01ITA,EURA14,2012-03-05 11:59:00,-0.00136,-0.00054,0.00136,-0.00136,-0.00054,0.00136
GROT01ITA,EURA14,2012-03-06 11:59:00,-0.00145,-0.00181,-0.01077,-0.00145,-0.00181,-0.01077
GROT01ITA,EURA14,2012-03-07 11:59:00,-1e-05,-0.00181,-0.00237,-1e-05,-0.00181,-0.00237
GROT01ITA,EURA14,2012-03-08 11:59:00,-0.00028,-0.00067,0.00146,-0.00028,-0.00067,0.00146
GROT01ITA,EURA14,2012-03-09 11:59:00,0.00046,-0.00071,-0.00423,0.00046,-0.00071,-0.00423
GROT01ITA,EURA14,2012-03-10 11:59:00,-0.00092,-0.00075,-0.00693,-0.00092,-0.00075,-0.00693
GROT01ITA,EURA14,2012-03-11 11:59:00,-0.00068,-0.00052,0.00149,-0.00068,-0.00052,0.00149
GROT01ITA,EURA14,2012-03-12 11:59:00,-0.00067,-0.00108,-0.00389,-0.00067,-0.00108,-0.00389
GROT01ITA,EURA14,2012-03-13 11:59:00,-9e-05,-0.00154,-0.00283,-9e-05,-0.00154,-0.00283
GROT01ITA,EURA14,2012-03-14 11:59:00,0.0007,-0.00145,-0.00355,0.0007,-0.00145,-0.00355
GROT01ITA,EURA14,2012-03-15 11:59:00,4e-05,-0.001,0.00091,4e-05,-0.001,0.00091
GROT01ITA,EURA14,2012-03-16 11:59:00,0.00057,-0.00012,-0.00822,0.00057,-0.00012,-0.00822
GROT01ITA,EURA14,2012-03-17 11:59:00,0.00165,-0.00168,-0.00858,0.00165,-0.00168,-0.00858
GROT01ITA,EURA14,2012-03-18 11:59:00,-0.00034,-0.00221,-0.00503,-0.00034,-0.00221,-0.00503
GROT01ITA,EURA14,2012-03-19 11:59:00,0.00068,-0.00292,-0.00439,0.00068,-0.00292,-0.00439
GROT01ITA,EURA14,2012-03-20 11:59:00,0.00076,-0.0009,-0.00703,0.00076,-0.0009,-0.00703
GROT01ITA,EURA14,2012-03-21 11:59:00,-0.0007,-0.00037,-0.00638,-0.0007,-0.00037,-0.00638
GROT01ITA,EURA14,2012-03-22 11:59:00,0.00012,-0.00141,-0.00539,0.00012,-0.00141,-0.00539
GROT01ITA,EURA14,2012-03-23 11:59:00,-0.00056,-0.00129,-0.00069,-0.00056,-0.00129,-0.00069
GROT01ITA,EURA14,2012-03-24 11:59:00,0.00045,-0.0004,0.00301,0.00045,-0.0004,0.00301
GROT01ITA,EURA14,2012-03-25 11:59:00,0.00088,-0.00022,-0.00045,0.00088,-0.00022,-0.00045
GROT01ITA,EURA14,2012-03-26 11:59:00,-0.00019,0.00025,-0.00055,-0.00019,0.00025,-0.00055
GROT01ITA,EURA14,2012-03-27 11:59:00,0.00012,-0.00092,-0.00412,0.00012,-0.00092,-0.00412
GROT01ITA,EURA14,2012-03-28 11:59:00,0.00045,-6e-05,-0.00278,0.00045,-6e-05,-0.00278
GROT01ITA,EURA14,2012-03-29 11:59:00,-0.00047,-0.0005,-0.00022,-0.00047,-0.0005,-0.00022
GROT01ITA,EURA14,2012-03-30 11:59:00,0.00073,0.00037,0.00113,0.00073,0.00037,0.00113
GROT01ITA,EURA14,2012-03-31 11:59:00,0.00082,-0.00112,-0.00151,0.00082,-0.00112,-0.00151
GROT01ITA,EURA14,2012-04-01 11:59:00,0.00075,-0.00059,-0.00312,0.00075,-0.00059,-0.00312
GROT01ITA,EURA14,2012-04-02 11:59:00,0.00114,-0.00117,-0.00201,0.00114,-0.00117,-0.00201
GROT01ITA,EURA14,2012-04-03 11:59:00,0.00227,-0.00164,0.00495,0.00227,-0.00164,0.00495
GROT01ITA,EURA14,2012-04-04 11:59:00,0.00221,-1e-05,0.00346,0.00221,-1e-05,0.00346
GROT01ITA,EURA14,2012-04-05 11:59:00,-0.00041,-0.00159,0.00033,-0.00041,-0.00159,0.00033
GROT01ITA,EURA14,2012-04-06 11:59:00,7e-05,-0.00098,6e-05,7e-05,-0.00098,6e-05
GROT01ITA,EURA14,2012-04-07 11:59:00,0.00133,-0.00057,0.00335,0.00133,-0.00057,0.00335
GROT01ITA,EURA14,2012-04-08 11:59:00,0.00224,0.00041,0.00229,0.00224,0.00041,0.00229
GROT01ITA,EURA14,2012-04-09 11:59:00,0.00189,-0.0006,-4e-05,0.00189,-0.0006,-4e-05
GROT01ITA,EURA14,2012-04-10 11:59:00,0.00084,0.00012,-0.00035,0.00084,0.00012,-0.00035
GROT01ITA,EURA14,2012-04-11 11:59:00,0.00112,-0.0014,-0.00129,0.00112,-0.0014,-0.00129
GROT01ITA,EURA14,2012-04-12 11:59:00,0.00145,-0.00054,0.00071,0.00145,-0.00054,0.00071
GROT01ITA,EURA14,2012-04-13 11:59:00,0.00106,-4e-05,-0.00147,0.00106,-4e-05,-0.00147
GROT01ITA,EURA14,2012-04-14 11:59:00,0.00187,0.00042,0.00299,0.00187,0.00042,0.00299
GROT01ITA,EURA14,2012-04-15 11:59:00,-0.00027,0.00048,0.00443,-0.00027,0.00048,0.00443
GROT01ITA,EURA14,2012-04-16 11:59:00,-0.00013,0.00032,0.00104,-0.00013,0.00032,0.00104
GROT01ITA,EURA14,2012-04-19 11:59:00,0.0004,-0.00066,-0.00062,0.0004,-0.00066,-0.00062
GROT01ITA,EURA14,2012-04-20 11:59:00,-0.00058,-0.00035,-0.00099,-0.00058,-0.00035,-0.00099
GROT01ITA,EURA14,2012-04-21 11:59:00,0.00129,-0.0006,-0.00644,0.00129,-0.0006,-0.00644
GROT01ITA,EURA14,2012-04-22 11:59:00,-0.00059,-0.0002,-0.00406,-0.00059,-0.0002,-0.00406
GROT01ITA,EURA14,2012-04-23 11:59:00,0.00232,9e-05,-0.00879,0.00232,9e-05,-0.00879
GROT01ITA,EURA14,2012-04-24 11:59:00,-0.00066,0.00113,-0.00553,-0.00066,0.00113,-0.00553
GROT01ITA,EURA14,2012-06-01 11:59:00,0.00035,-0.00024,0.00153,0.00019104121088117193,-0.0008657431976503822,0.0055755272839511675
GROT01ITA,EURA14,2012-06-02 11:59:00,0.00246,-0.00086,-0.0025,0.002301041210881172,-0.001485743197650382,0.0015455272839511674
GROT01ITA,EURA14,2012-06-03 11:59:00,0.00078,-0.00119,-0.00951,0.0006210412108811719,-0.0018157431976503823,-0.005464472716048832
GROT01ITA,EURA14,2012-06-06 11:59:00,0.00162,6e-05,0.00069,0.0014610412108811718,-0.0005657431976503821,0.004735527283951167
GROT01ITA,EURA14,2012-06-07 11:59:00,0.00214,-0.00165,-0.00129,0.001981041210881172,-0.0022757431976503824,0.0027555272839511675
GROT01ITA,EURA14,2012-06-08 11:59:00,0.00216,-0.00249,-0.00151,0.002001041210881172,-0.003115743197650382,0.0025355272839511674
GROT01ITA,EURA14,2012-06-09 11:59:00,-0.00127,-0.00095,0.00047,-0.0014289587891188281,-0.0015757431976503823,0.004515527283951167
GROT01ITA,EURA14,2012-06-10 11:59:00,0.0,0.00017,-0.00308,-0.00015895878911882807,-0.00045574319765038216,0.0009655272839511676
GROT01ITA,EURA14,2012-06-11 11:59:00,0.00171,-0.00109,-0.00295,0.0015510412108811719,-0.0017157431976503822,0.0010955272839511675
GROT01ITA,EURA14,2012-06-12 11:59:00,0.00495,0.00209,-0.00085,0.004791041210881172,0.0014642568023496177,0.0031955272839511674
GROT01ITA,EURA14,2012-06-13 11:59:00,0.00049,-0.0006,0.00634,0.0003310412108811719,-0.0012257431976503822,0.010385527283951167
GROT01ITA,EURA14,2012-06-14 11:59:00,0.00166,-0.00028,-0.00512,0.001501041210881172,-0.0009057431976503821,-0.001074472716048833
GROT01ITA,EURA14,2012-06-15 11:59:00,0.00069,0.00015,-0.00498,0.0005310412108811719,-0.0004757431976503822,-0.0009344727160488326
GROT01ITA,EURA14,2012-06-16 11:59:00,0.00085,-0.00037,-0.00376,0.0006910412108811719,-0.000995743197650382,0.00028552728395116753
GROT01ITA,EURA14,2012-06-17 11:59:00,0.00121,0.00039,-0.00022,0.0010510412108811719,-0.00023574319765038218,0.0038255272839511673
GROT01ITA,EURA14,2012-06-18 11:59:00,-0.00039,-0.00082,0.00388,-0.000548958789118828,-0.0014457431976503822,0.007925527283951168
GROT01ITA,EURA14,2012-06-19 11:59:00,0.00168,-0.00183,-0.00069,0.001521041210881172,-0.002455743197650382,0.0033555272839511673
GROT01ITA,EURA14,2012-06-23 11:59:00,0.0009,-0.00291,0.01137,0.0007410412108811719,-0.0035357431976503822,0.015415527283951166
GROT01ITA,EURA14,2012-06-24 11:59:00,0.00085,-0.00158,0.00676,0.0006910412108811719,-0.002205743197650382,0.010805527283951167
GROT01ITA,EURA14,2012-06-25 11:59:00,0.00033,-0.00045,0.00241,0.00017104121088117193,-0.0010757431976503823,0.006455527283951167
GROT01ITA,EURA14,2012-06-26 11:59:00,0.00213,-0.00027,0.00701,0.0019710412108811717,-0.0008957431976503822,0.011055527283951167
GROT01ITA,EURA14,2012-06-27 11:59:00,0.00102,-0.00052,-0.00286,0.000861041210881172,-0.001145743197650382,0.0011855272839511673
GROT01ITA,EURA14,2012-06-28 11:59:00,0.00319,-0.00112,0.00536,0.003031041210881172,-0.001745743197650382,0.009405527283951168
GROT01ITA,EURA14,2012-06-29 11:59:00,0.00063,0.00029,-0.00131,0.00047104121088117196,-0.00033574319765038217,0.0027355272839511675
GROT01ITA,EURA14,2012-06-30 11:59:00,0.00068,0.00019,-0.001135,0.000521041210881172,-0.00043574319765038216,0.0029105272839511677
GROT01ITA,EURA14,2012-07-01 11:59:00,0.00073,9e-05,-0.00096,0.0005710412108811719,-0.0005357431976503822,0.0030855272839511675
GROT01ITA,EURA14,2012-07-02 11:59:00,-0.00264,0.00062,0.01375,-0.0027989587891188283,-5.7431976503821746e-06,0.017795527283951167
GROT01ITA,EURA14,2012-07-03 11:59:00,-0.0002,-0.00022,0.00105,-0.00035895878911882805,-0.0008457431976503822,0.005095527283951167
GROT01ITA,EURA14,2012-07-04 11:59:00,0.00048,-0.00108,0.00641,0.00032104121088117195,-0.0017057431976503822,0.010455527283951167
GROT01ITA,EURA14,2012-07-05 11:59:00,0.00354,-0.00199,0.00235,0.0033810412108811723,-0.0026157431976503824,0.006395527283951168
GROT01ITA,EURA14,2012-07-06 11:59:00,-0.00135,-0.00241,0.00892,-0.0015089587891188281,-0.0030357431976503818,0.012965527283951169
GROT01ITA,EURA14,2012-07-07 11:59:00,0.00115,-0.00026,-0.00355,0.000991041210881172,-0.0008857431976503822,0.0004955272839511672
GROT01ITA,EURA14,2012-07-08 11:59:00,-0.0019,-0.00055,0.00408,-0.002058958789118828,-0.001175743197650382,0.008125527283951169
GROT01ITA,EURA14,2012-07-09 11:59:00,-0.00302,8e-05,0.01117,-0.0031789587891188284,-0.0005457431976503822,0.015215527283951168
GROT01ITA,EURA14,2012-07-10 11:59:00,0.0018,0.00036,-0.00605,0.0016410412108811719,-0.00026574319765038215,-0.0020044727160488324
GROT01ITA,EURA14,2012-07-11 11:59:00,0.00132,-0.00093,-0.00124,0.001161041210881172,-0.0015557431976503822,0.0028055272839511676
GROT01ITA,EURA14,2012-07-12 11:59:00,-0.00085,-0.00246,-0.0036,-0.001008958789118828,-0.0030857431976503823,0.0004455272839511675
GROT01ITA,EURA14,2012-07-13 11:59:00,-0.00039,0.00111,0.00052,-0.000548958789118828,0.0004842568023496179,0.004565527283951167
GROT01ITA,EURA14,2012-07-14 11:59:00,0.00232,-0.00075,0.01254,0.0021610412108811717,-0.0013757431976503822,0.016585527283951167
GROT01ITA,EURA14,2012-07-15 11:59:00,-0.00225,0.00084,-0.00734,-0.0024089587891188277,0.00021425680234961786,-0.0032944727160488328
GROT01ITA,EURA14,2012-07-16 11:59:00,0.00199,0.00059,0.01312,0.001831041210881172,-3.5743197650382145e-05,0.017165527283951168
GROT01ITA,EURA14,2012-07-17 11:59:00,-9e-05,0.00192,-0.0015,-0.0002489587891188281,0.0012942568023496179,0.0025455272839511674
GROT01ITA,EURA14,2012-07-18 11:59:00,-0.00038,0.00075,0.00338,-0.0005389587891188281,0.00012425680234961784,0.007425527283951168
GROT01ITA,EURA14,2012-07-19 11:59:00,0.00058,0.00051,-0.0007,0.00042104121088117194,-0.00011574319765038214,0.0033455272839511673
GROT01ITA,EURA14,2012-07-20 11:59:00,-0.00015,0.00096,-0.00201,-0.000308958789118828,0.00033425680234961785,0.0020355272839511673
GROT01ITA,EURA14,2012-07-21 11:59:00,-0.00131,0.00038,-0.00121,-0.001468958789118828,-0.00024574319765038215,0.0028355272839511673
