marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ELEO00ITA,EURA14,2012-04-05 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ELEO00ITA,EURA14,2012-04-06 11:59:00,-0.00156,-0.00079,-0.00556,-0.00156,-0.00079,-0.00556
ELEO00ITA,EURA14,2012-04-07 11:59:00,0.00044,0.0008,-0.00993,0.00044,0.0008,-0.00993
ELEO00ITA,EURA14,2012-04-08 11:59:00,-0.00034,0.00068,-0.00595,-0.00034,0.00068,-0.00595
ELEO00ITA,EURA14,2012-04-09 11:59:00,0.00234,0.00018,-0.00972,0.00234,0.00018,-0.00972
ELEO00ITA,EURA14,2012-04-10 11:59:00,0.00068,0.00037,-0.00568,0.00068,0.00037,-0.00568
ELEO00ITA,EURA14,2012-04-11 11:59:00,0.00238,-2e-05,-0.0052,0.00238,-2e-05,-0.0052
ELEO00ITA,EURA14,2012-04-12 11:59:00,0.00097,0.00025,-0.00498,0.00097,0.00025,-0.00498
ELEO00ITA,EURA14,2012-04-13 11:59:00,0.00163,-0.0001,-0.00552,0.00163,-0.0001,-0.00552
ELEO00ITA,EURA14,2012-04-14 11:59:00,0.00122,0.00035,-0.01152,0.00122,0.00035,-0.01152
ELEO00ITA,EURA14,2012-04-15 11:59:00,0.00173,0.00105,-0.00255,0.00173,0.00105,-0.00255
ELEO00ITA,EURA14,2012-04-16 11:59:00,0.00097,0.00121,-0.00716,0.00097,0.00121,-0.00716
ELEO00ITA,EURA14,2012-04-17 11:59:00,0.00166,0.00107,-0.00912,0.00166,0.00107,-0.00912
ELEO00ITA,EURA14,2012-04-18 11:59:00,-0.00067,0.00078,-0.00748,-0.00067,0.00078,-0.00748
ELEO00ITA,EURA14,2012-04-19 11:59:00,0.00053,-0.00039,-0.00123,0.00053,-0.00039,-0.00123
ELEO00ITA,EURA14,2012-04-20 11:59:00,0.00134,9e-05,-0.00361,0.00134,9e-05,-0.00361
ELEO00ITA,EURA14,2012-04-21 11:59:00,0.00072,0.00034,-0.00562,0.00072,0.00034,-0.00562
ELEO00ITA,EURA14,2012-04-22 11:59:00,-0.00209,-7e-05,-0.00439,-0.00209,-7e-05,-0.00439
ELEO00ITA,EURA14,2012-04-23 11:59:00,0.00095,0.00037,-0.01085,0.00095,0.00037,-0.01085
ELEO00ITA,EURA14,2012-04-24 11:59:00,0.00082,0.0009,-0.00933,0.00082,0.0009,-0.00933
ELEO00ITA,EURA14,2012-04-25 11:59:00,0.00063,0.00049,-0.01103,0.00063,0.00049,-0.01103
ELEO00ITA,EURA14,2012-04-26 11:59:00,0.00086,0.00011,-0.00972,0.00086,0.00011,-0.00972
ELEO00ITA,EURA14,2012-04-27 11:59:00,0.00072,0.00127,-0.01674,0.00072,0.00127,-0.01674
ELEO00ITA,EURA14,2012-04-28 11:59:00,0.00015,4e-05,-0.00971,0.00015,4e-05,-0.00971
