marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
EMIL00ITA,EURA14,2009-03-11 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
EMIL00ITA,EURA14,2009-03-12 11:59:00,-0.00094,0.00042,-0.0029,-0.00094,0.00042,-0.0029
EMIL00ITA,EURA14,2009-03-13 11:59:00,-0.00165,0.00124,-0.00206,-0.00165,0.00124,-0.00206
EMIL00ITA,EURA14,2009-03-14 11:59:00,-0.00227,0.00185,-0.00165,-0.00227,0.00185,-0.00165
EMIL00ITA,EURA14,2009-03-15 11:59:00,-0.00237,0.00242,-0.00397,-0.00237,0.00242,-0.00397
EMIL00ITA,EURA14,2009-03-16 11:59:00,-0.00325,0.00165,-0.00348,-0.00325,0.00165,-0.00348
EMIL00ITA,EURA14,2009-03-17 11:59:00,-0.00104,0.00237,-0.00307,-0.00104,0.00237,-0.00307
EMIL00ITA,EURA14,2009-03-18 11:59:00,-0.00308,0.00236,0.00473,-0.00308,0.00236,0.00473
EMIL00ITA,EURA14,2009-03-19 11:59:00,-0.00297,0.00258,-0.00451,-0.00297,0.00258,-0.00451
EMIL00ITA,EURA14,2009-03-20 11:59:00,-0.00369,0.00098,-0.00227,-0.00369,0.00098,-0.00227
EMIL00ITA,EURA14,2009-03-21 11:59:00,-0.00349,-0.00108,-0.00033,-0.00349,-0.00108,-0.00033
EMIL00ITA,EURA14,2009-03-22 11:59:00,-0.0021,0.00016,-0.00229,-0.0021,0.00016,-0.00229
EMIL00ITA,EURA14,2009-03-23 11:59:00,-0.00258,0.00041,0.00059,-0.00258,0.00041,0.00059
EMIL00ITA,EURA14,2009-03-24 11:59:00,-0.00353,0.00069,0.00519,-0.00353,0.00069,0.00519
EMIL00ITA,EURA14,2009-03-25 11:59:00,-0.00218,0.00139,0.00339,-0.00218,0.00139,0.00339
EMIL00ITA,EURA14,2009-03-26 11:59:00,-0.0015,0.00105,0.00071,-0.0015,0.00105,0.00071
EMIL00ITA,EURA14,2009-03-27 11:59:00,-0.00132,0.00263,-0.00396,-0.00132,0.00263,-0.00396
EMIL00ITA,EURA14,2009-03-28 11:59:00,-0.00194,0.00226,-0.00105,-0.00194,0.00226,-0.00105
EMIL00ITA,EURA14,2009-03-29 11:59:00,-0.0035,-0.00048,-0.00357,-0.0035,-0.00048,-0.00357
EMIL00ITA,EURA14,2009-03-30 11:59:00,-0.00243,0.0003,-0.00119,-0.00243,0.0003,-0.00119
EMIL00ITA,EURA14,2009-04-03 11:59:00,-0.00246,0.00184,-0.00394,-0.00246,0.00184,-0.00394
EMIL00ITA,EURA14,2009-04-04 11:59:00,-0.00183,0.00114,-0.00872,-0.00183,0.00114,-0.00872
EMIL00ITA,EURA14,2009-04-05 11:59:00,-0.00245,0.0018,-0.00125,-0.00245,0.0018,-0.00125
EMIL00ITA,EURA14,2009-04-06 11:59:00,0.0002,0.00134,-0.00733,-0.0022716762702985854,0.0011221843897328445,-0.011094332111052908
EMIL00ITA,EURA14,2009-04-07 11:59:00,-0.00192,0.00199,-0.00077,-0.004391676270298585,0.0017721843897328445,-0.004534332111052908
EMIL00ITA,EURA14,2009-04-08 11:59:00,-0.0018,0.00294,-0.00338,-0.004271676270298586,0.0027221843897328444,-0.007144332111052908
EMIL00ITA,EURA14,2009-04-09 11:59:00,-0.001,0.00309,-0.00186,-0.0034716762702985855,0.0028721843897328444,-0.0056243321110529074
EMIL00ITA,EURA14,2009-04-10 11:59:00,-0.00019,0.00344,-0.00026,-0.0026616762702985856,0.0032221843897328444,-0.004024332111052908
EMIL00ITA,EURA14,2009-04-11 11:59:00,-7e-05,0.00321,-0.0007,-0.0025416762702985857,0.0029921843897328447,-0.004464332111052908
EMIL00ITA,EURA14,2009-04-12 11:59:00,0.00065,0.00287,0.00126,-0.0018216762702985855,0.0026521843897328447,-0.002504332111052908
