marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
FALC00ITA,EURA14,2007-12-12 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
FALC00ITA,EURA14,2007-12-13 11:59:00,-0.00012,-0.00075,0.00109,-0.00012,-0.00075,0.00109
FALC00ITA,EURA14,2007-12-14 11:59:00,-0.00086,-0.00096,0.00314,-0.00086,-0.00096,0.00314
FALC00ITA,EURA14,2007-12-15 11:59:00,-0.00142,-0.00112,-0.00086,-0.00142,-0.00112,-0.00086
FALC00ITA,EURA14,2007-12-16 11:59:00,0.00062,-0.00012,0.00111,0.00062,-0.00012,0.00111
FALC00ITA,EURA14,2007-12-17 11:59:00,-0.00022,-0.00053,-0.00076,-0.00022,-0.00053,-0.00076
FALC00ITA,EURA14,2007-12-18 11:59:00,2e-05,-0.00136,-0.00428,2e-05,-0.00136,-0.00428
FALC00ITA,EURA14,2007-12-19 11:59:00,-0.00012,-0.00061,-0.00412,-0.00012,-0.00061,-0.00412
FALC00ITA,EURA14,2007-12-20 11:59:00,5e-05,-0.00136,-0.00292,5e-05,-0.00136,-0.00292
FALC00ITA,EURA14,2007-12-21 11:59:00,0.00031,-0.00134,-8e-05,0.00031,-0.00134,-8e-05
FALC00ITA,EURA14,2007-12-22 11:59:00,0.00107,-0.00149,-0.00386,0.00107,-0.00149,-0.00386
FALC00ITA,EURA14,2007-12-23 11:59:00,0.00013,-0.00058,-0.0005,0.00013,-0.00058,-0.0005
FALC00ITA,EURA14,2007-12-24 11:59:00,-0.00069,-0.00045,-0.001,-0.00069,-0.00045,-0.001
FALC00ITA,EURA14,2007-12-25 11:59:00,-0.00033,-0.0008,-0.00193,-0.00033,-0.0008,-0.00193
FALC00ITA,EURA14,2007-12-26 11:59:00,3e-05,-0.00087,-0.00027,3e-05,-0.00087,-0.00027
FALC00ITA,EURA14,2007-12-27 11:59:00,6e-05,-0.0008,-0.00078,6e-05,-0.0008,-0.00078
FALC00ITA,EURA14,2007-12-28 11:59:00,-0.00057,-0.00127,-0.00036,-0.00057,-0.00127,-0.00036
FALC00ITA,EURA14,2007-12-29 11:59:00,-0.00056,-0.00064,0.00026,-0.00056,-0.00064,0.00026
FALC00ITA,EURA14,2007-12-30 11:59:00,-0.00012,-0.00123,0.00278,-0.00012,-0.00123,0.00278
FALC00ITA,EURA14,2007-12-31 11:59:00,-0.00063,-0.00026,0.00636,-0.00063,-0.00026,0.00636
FALC00ITA,EURA14,2008-01-01 11:59:00,-0.00048,3e-05,0.00304,-0.00048,3e-05,0.00304
FALC00ITA,EURA14,2008-01-02 11:59:00,0.00024,-0.00044,0.00531,0.00024,-0.00044,0.00531
FALC00ITA,EURA14,2008-01-03 11:59:00,0.0004,-0.00052,0.00413,0.0004,-0.00052,0.00413
FALC00ITA,EURA14,2008-01-04 11:59:00,-1e-05,-0.00152,0.00308,-1e-05,-0.00152,0.00308
FALC00ITA,EURA14,2008-01-05 11:59:00,-0.00036,-0.00073,-0.00356,-0.00036,-0.00073,-0.00356
FALC00ITA,EURA14,2008-01-06 11:59:00,0.00076,0.00015,-0.00161,0.00076,0.00015,-0.00161
FALC00ITA,EURA14,2008-01-07 11:59:00,0.00013,-0.001,0.00119,0.00013,-0.001,0.00119
FALC00ITA,EURA14,2008-01-08 11:59:00,0.00057,-0.00014,-0.00262,0.00057,-0.00014,-0.00262
FALC00ITA,EURA14,2008-01-09 11:59:00,0.00012,-0.0006,-0.00087,0.00012,-0.0006,-0.00087
FALC00ITA,EURA14,2008-01-10 11:59:00,0.00016,-0.00114,-0.00108,0.00016,-0.00114,-0.00108
FALC00ITA,EURA14,2008-01-11 11:59:00,0.0002,-0.00107,-0.00078,0.0002,-0.00107,-0.00078
FALC00ITA,EURA14,2008-01-12 11:59:00,0.00016,-0.00165,0.00635,0.00016,-0.00165,0.00635
FALC00ITA,EURA14,2008-01-13 11:59:00,0.00065,-0.00182,0.00215,0.00065,-0.00182,0.00215
FALC00ITA,EURA14,2008-01-14 11:59:00,0.00029,-0.00099,-0.00055,0.00029,-0.00099,-0.00055
FALC00ITA,EURA14,2008-01-15 11:59:00,0.0012,-0.00124,-0.0014,0.0012,-0.00124,-0.0014
FALC00ITA,EURA14,2008-01-16 11:59:00,0.00062,-0.0009,-0.00293,0.00062,-0.0009,-0.00293
FALC00ITA,EURA14,2008-01-17 11:59:00,0.00026,-0.00064,-0.00245,0.00026,-0.00064,-0.00245
FALC00ITA,EURA14,2008-01-18 11:59:00,0.00055,-0.00089,-0.00635,0.00055,-0.00089,-0.00635
FALC00ITA,EURA14,2008-01-19 11:59:00,0.00023,-0.00127,-0.00235,0.00023,-0.00127,-0.00235
FALC00ITA,EURA14,2008-01-20 11:59:00,0.00099,-0.00032,-0.00533,0.00099,-0.00032,-0.00533
FALC00ITA,EURA14,2008-01-21 11:59:00,-0.00034,-0.00141,-0.0065,-0.00034,-0.00141,-0.0065
FALC00ITA,EURA14,2008-01-22 11:59:00,-0.00027,-0.00075,-0.00143,-0.00027,-0.00075,-0.00143
FALC00ITA,EURA14,2008-01-23 11:59:00,-0.0003,-6e-05,-0.00324,-0.0003,-6e-05,-0.00324
FALC00ITA,EURA14,2008-01-24 11:59:00,-0.00036,-0.00037,-0.00402,-0.00036,-0.00037,-0.00402
FALC00ITA,EURA14,2008-01-25 11:59:00,-0.00027,-0.00069,-0.00133,-0.00027,-0.00069,-0.00133
FALC00ITA,EURA14,2008-01-26 11:59:00,-0.00069,-0.00047,-0.00303,-0.00069,-0.00047,-0.00303
FALC00ITA,EURA14,2008-01-27 11:59:00,-0.00012,-0.00152,0.00045,-0.00012,-0.00152,0.00045
FALC00ITA,EURA14,2008-01-28 11:59:00,-0.0007,-0.00044,0.00052,-0.0007,-0.00044,0.00052
FALC00ITA,EURA14,2008-01-29 11:59:00,-0.00039,-0.00012,-0.00454,-0.00039,-0.00012,-0.00454
FALC00ITA,EURA14,2008-01-30 11:59:00,0.00129,-0.00116,0.00111,0.00129,-0.00116,0.00111
FALC00ITA,EURA14,2008-01-31 11:59:00,5e-05,-0.00058,-0.00068,5e-05,-0.00058,-0.00068
FALC00ITA,EURA14,2008-02-01 11:59:00,0.00082,-0.00119,0.00026,0.00082,-0.00119,0.00026
FALC00ITA,EURA14,2008-02-02 11:59:00,0.00016,-0.00023,0.00241,0.00016,-0.00023,0.00241
FALC00ITA,EURA14,2008-02-03 11:59:00,0.00091,-0.00061,-0.00181,0.00091,-0.00061,-0.00181
FALC00ITA,EURA14,2008-02-04 11:59:00,-0.00095,-0.00201,0.00095,-0.00095,-0.00201,0.00095
FALC00ITA,EURA14,2008-02-05 11:59:00,0.00101,-0.00043,-0.00194,0.00101,-0.00043,-0.00194
