marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
FRAT00ITA,EURA14,2007-01-01 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
FRAT00ITA,EURA14,2007-01-02 11:59:00,0.00451,-0.00386,0.01033,0.00451,-0.00386,0.01033
FRAT00ITA,EURA14,2007-01-03 11:59:00,0.00269,-0.00411,0.00126,0.00269,-0.00411,0.00126
FRAT00ITA,EURA14,2007-01-04 11:59:00,0.0006,-0.00064,-0.00019,0.0006,-0.00064,-0.00019
FRAT00ITA,EURA14,2007-01-05 11:59:00,-4e-05,-0.00176,0.00024,-4e-05,-0.00176,0.00024
FRAT00ITA,EURA14,2007-01-06 11:59:00,0.00048,-0.00157,-0.0005,0.00048,-0.00157,-0.0005
FRAT00ITA,EURA14,2007-01-07 11:59:00,0.00096,-0.00039,-0.00051,0.00096,-0.00039,-0.00051
FRAT00ITA,EURA14,2007-01-08 11:59:00,0.00098,-0.00058,0.00014,0.00098,-0.00058,0.00014
FRAT00ITA,EURA14,2007-01-09 11:59:00,0.00103,-0.0014,-0.00493,0.00103,-0.0014,-0.00493
FRAT00ITA,EURA14,2007-01-10 11:59:00,0.00061,-0.00041,-0.00454,0.00061,-0.00041,-0.00454
FRAT00ITA,EURA14,2007-01-11 11:59:00,-0.0007,-0.00072,-0.00053,-0.0007,-0.00072,-0.00053
FRAT00ITA,EURA14,2007-01-12 11:59:00,0.00052,-0.00057,-0.00148,0.00052,-0.00057,-0.00148
FRAT00ITA,EURA14,2007-01-13 11:59:00,-0.00037,-0.00154,-0.00368,-0.00037,-0.00154,-0.00368
FRAT00ITA,EURA14,2007-01-14 11:59:00,0.00161,-0.00166,-0.00282,0.00161,-0.00166,-0.00282
FRAT00ITA,EURA14,2007-01-15 11:59:00,0.00039,-0.00085,-0.00259,0.00039,-0.00085,-0.00259
FRAT00ITA,EURA14,2007-01-16 11:59:00,-5e-05,-0.00083,-0.00173,-5e-05,-0.00083,-0.00173
FRAT00ITA,EURA14,2007-01-17 11:59:00,0.00123,-0.00234,-0.00016,0.00123,-0.00234,-0.00016
FRAT00ITA,EURA14,2007-01-18 11:59:00,0.00036,-0.00197,-0.00888,0.00036,-0.00197,-0.00888
FRAT00ITA,EURA14,2007-01-19 11:59:00,0.00042,-0.00118,-0.00034,0.00042,-0.00118,-0.00034
FRAT00ITA,EURA14,2007-01-20 11:59:00,0.00138,-0.002,0.00095,0.00138,-0.002,0.00095
FRAT00ITA,EURA14,2007-01-21 11:59:00,0.00096,-0.00223,-0.00398,0.00096,-0.00223,-0.00398
FRAT00ITA,EURA14,2007-01-22 11:59:00,0.00091,0.00046,-0.00266,0.00091,0.00046,-0.00266
FRAT00ITA,EURA14,2007-01-23 11:59:00,-0.00195,0.00162,-0.00827,-0.00195,0.00162,-0.00827
FRAT00ITA,EURA14,2007-01-24 11:59:00,0.00156,5e-05,0.00578,0.00156,5e-05,0.00578
FRAT00ITA,EURA14,2007-01-25 11:59:00,0.00275,-0.00068,-0.00419,0.00275,-0.00068,-0.00419
FRAT00ITA,EURA14,2007-01-26 11:59:00,0.00118,-0.00218,-0.00156,0.00118,-0.00218,-0.00156
FRAT00ITA,EURA14,2007-01-27 11:59:00,0.00167,-0.0024,-0.00321,0.00167,-0.0024,-0.00321
FRAT00ITA,EURA14,2007-01-28 11:59:00,0.00048,0.0002,-0.00311,0.00048,0.0002,-0.00311
FRAT00ITA,EURA14,2007-01-29 11:59:00,0.00091,-0.0012,-0.00069,0.00091,-0.0012,-0.00069
FRAT00ITA,EURA14,2007-01-30 11:59:00,-0.00057,-0.00098,-0.00261,-0.00057,-0.00098,-0.00261
FRAT00ITA,EURA14,2007-01-31 11:59:00,0.0,-0.00096,-0.00426,0.0,-0.00096,-0.00426
FRAT00ITA,EURA14,2007-02-01 11:59:00,-0.00043,-0.00069,-0.00193,-0.00043,-0.00069,-0.00193
FRAT00ITA,EURA14,2007-02-02 11:59:00,0.00194,-0.00092,-0.00346,0.00194,-0.00092,-0.00346
FRAT00ITA,EURA14,2007-02-03 11:59:00,0.00118,7e-05,-0.00083,0.00118,7e-05,-0.00083
FRAT00ITA,EURA14,2007-02-04 11:59:00,0.00052,-0.00031,0.00352,0.00052,-0.00031,0.00352
FRAT00ITA,EURA14,2007-02-05 11:59:00,0.00032,0.00032,-0.00128,0.00032,0.00032,-0.00128
FRAT00ITA,EURA14,2007-02-06 11:59:00,0.00084,0.00026,-0.00214,0.00084,0.00026,-0.00214
FRAT00ITA,EURA14,2007-02-07 11:59:00,0.00067,-0.00018,0.00199,0.00067,-0.00018,0.00199
