marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
GRTM00ITA,EURA14,2009-07-02 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
GRTM00ITA,EURA14,2009-07-03 11:59:00,-0.00315,-0.00481,-0.00056,-0.00315,-0.00481,-0.00056
GRTM00ITA,EURA14,2009-07-04 11:59:00,-0.00367,-0.00516,-0.00018,-0.00367,-0.00516,-0.00018
GRTM00ITA,EURA14,2009-07-05 11:59:00,-0.00279,-0.00334,-0.00595,-0.00279,-0.00334,-0.00595
GRTM00ITA,EURA14,2009-07-06 11:59:00,-0.00458,-0.00422,-0.00287,-0.00458,-0.00422,-0.00287
GRTM00ITA,EURA14,2009-07-07 11:59:00,-0.00625,-0.00596,-0.00716,-0.00625,-0.00596,-0.00716
GRTM00ITA,EURA14,2009-07-08 11:59:00,-0.01004,-0.0056,-0.01742,-0.01004,-0.0056,-0.01742
GRTM00ITA,EURA14,2009-07-09 11:59:00,-0.00615,-0.0029,-0.01686,-0.00615,-0.0029,-0.01686
GRTM00ITA,EURA14,2009-07-10 11:59:00,-0.00509,-0.00131,-0.00783,-0.00509,-0.00131,-0.00783
GRTM00ITA,EURA14,2009-07-11 11:59:00,-0.00346,-0.00216,-0.00593,-0.00346,-0.00216,-0.00593
GRTM00ITA,EURA14,2009-07-12 11:59:00,-0.00253,-0.00187,-0.0132,-0.00253,-0.00187,-0.0132
GRTM00ITA,EURA14,2009-07-13 11:59:00,-0.0054,-0.00357,-0.00666,-0.0054,-0.00357,-0.00666
GRTM00ITA,EURA14,2009-07-14 11:59:00,-0.00497,-0.00293,-0.00406,-0.00497,-0.00293,-0.00406
GRTM00ITA,EURA14,2009-07-15 11:59:00,-0.0045,-0.00506,0.0,-0.0045,-0.00506,0.0
GRTM00ITA,EURA14,2009-07-16 11:59:00,-0.00496,-0.00413,0.00275,-0.00496,-0.00413,0.00275
GRTM00ITA,EURA14,2009-07-17 11:59:00,-0.00683,-0.00737,0.01057,-0.00683,-0.00737,0.01057
GRTM00ITA,EURA14,2009-07-18 11:59:00,-0.00512,0.00153,0.00059,-0.00512,0.00153,0.00059
GRTM00ITA,EURA14,2009-07-19 11:59:00,-0.00349,-0.00388,-0.00675,-0.00349,-0.00388,-0.00675
GRTM00ITA,EURA14,2009-07-20 11:59:00,-0.00471,-0.00293,-0.00369,-0.00471,-0.00293,-0.00369
GRTM00ITA,EURA14,2009-07-21 11:59:00,-0.00327,-0.00498,-0.0027,-0.00327,-0.00498,-0.0027
GRTM00ITA,EURA14,2009-07-22 11:59:00,-0.00342,-0.00403,-0.00636,-0.00342,-0.00403,-0.00636
GRTM00ITA,EURA14,2009-07-23 11:59:00,-0.00416,-0.00512,-0.00547,-0.00416,-0.00512,-0.00547
GRTM00ITA,EURA14,2009-07-24 11:59:00,-0.00331,-0.00464,-0.00503,-0.00331,-0.00464,-0.00503
GRTM00ITA,EURA14,2009-07-25 11:59:00,-0.00412,-0.00458,0.01484,-0.00412,-0.00458,0.01484
GRTM00ITA,EURA14,2009-07-26 11:59:00,-0.00463,-0.00549,0.00057,-0.00463,-0.00549,0.00057
GRTM00ITA,EURA14,2009-07-27 11:59:00,-0.0038,-0.006,0.00262,-0.0038,-0.006,0.00262
GRTM00ITA,EURA14,2009-07-28 11:59:00,-0.00417,-0.00393,-0.00052,-0.00417,-0.00393,-0.00052
GRTM00ITA,EURA14,2009-07-29 11:59:00,-0.00502,-0.0024,-0.01287,-0.00502,-0.0024,-0.01287
GRTM00ITA,EURA14,2009-07-30 11:59:00,-0.00261,-0.00245,-0.00024,-0.00261,-0.00245,-0.00024
GRTM00ITA,EURA14,2009-07-31 11:59:00,-0.0055,-0.00381,-0.00155,-0.0055,-0.00381,-0.00155
GRTM00ITA,EURA14,2009-08-01 11:59:00,-0.00352,-0.00346,-0.00478,-0.00352,-0.00346,-0.00478
GRTM00ITA,EURA14,2009-08-02 11:59:00,-0.00154,-0.0032,0.00596,-0.00154,-0.0032,0.00596
GRTM00ITA,EURA14,2009-08-03 11:59:00,-0.00241,-0.00255,-0.00049,-0.00241,-0.00255,-0.00049
GRTM00ITA,EURA14,2009-08-04 11:59:00,-0.00416,-0.00174,0.00066,-0.00416,-0.00174,0.00066
GRTM00ITA,EURA14,2009-08-05 11:59:00,-0.00373,-0.00027,-0.00254,-0.00373,-0.00027,-0.00254
GRTM00ITA,EURA14,2009-08-06 11:59:00,-0.0034,-0.00222,-0.00139,-0.0034,-0.00222,-0.00139
GRTM00ITA,EURA14,2009-08-07 11:59:00,-0.00319,-0.00062,-0.00481,-0.00319,-0.00062,-0.00481
GRTM00ITA,EURA14,2009-08-08 11:59:00,-0.00327,-0.00328,-0.00244,-0.00327,-0.00328,-0.00244
GRTM00ITA,EURA14,2009-08-09 11:59:00,-0.00455,-0.00366,-0.0018,-0.00455,-0.00366,-0.0018
GRTM00ITA,EURA14,2009-08-10 11:59:00,-0.00369,-0.00387,-0.0072,-0.00369,-0.00387,-0.0072
GRTM00ITA,EURA14,2009-08-11 11:59:00,-0.00403,-0.00442,-0.00678,-0.00403,-0.00442,-0.00678
GRTM00ITA,EURA14,2009-08-12 11:59:00,-0.00434,-0.00283,-0.00683,-0.00434,-0.00283,-0.00683
GRTM00ITA,EURA14,2009-08-13 11:59:00,-0.00421,-0.00394,-0.00913,-0.00421,-0.00394,-0.00913
GRTM00ITA,EURA14,2009-08-14 11:59:00,-0.00653,-0.00267,0.00543,-0.00653,-0.00267,0.00543
GRTM00ITA,EURA14,2009-08-15 11:59:00,-0.00527,-0.00244,-0.0046,-0.00527,-0.00244,-0.0046
GRTM00ITA,EURA14,2009-08-16 11:59:00,-0.00523,-0.00233,-0.00409,-0.00523,-0.00233,-0.00409
GRTM00ITA,EURA14,2009-08-17 11:59:00,-0.00227,-0.00219,-0.00094,-0.00227,-0.00219,-0.00094
GRTM00ITA,EURA14,2009-08-18 11:59:00,-0.00582,-0.00051,-0.00846,-0.00582,-0.00051,-0.00846
GRTM00ITA,EURA14,2009-08-19 11:59:00,-0.00609,-0.00341,-0.00418,-0.00609,-0.00341,-0.00418
GRTM00ITA,EURA14,2009-08-20 11:59:00,-0.00422,-0.00153,-0.00519,-0.00422,-0.00153,-0.00519
GRTM00ITA,EURA14,2009-08-21 11:59:00,-0.00462,-0.00243,-0.00709,-0.00462,-0.00243,-0.00709
GRTM00ITA,EURA14,2009-08-22 11:59:00,-0.00618,-0.00371,-0.00196,-0.00618,-0.00371,-0.00196
GRTM00ITA,EURA14,2009-08-23 11:59:00,-0.00497,-0.00111,-0.002,-0.00497,-0.00111,-0.002
GRTM00ITA,EURA14,2009-08-24 11:59:00,-0.00471,-0.00219,0.00259,-0.00471,-0.00219,0.00259
GRTM00ITA,EURA14,2009-08-25 11:59:00,-0.00376,-0.00293,-0.00246,-0.00376,-0.00293,-0.00246
GRTM00ITA,EURA14,2009-08-26 11:59:00,-0.00385,-0.00296,-0.00053,-0.00385,-0.00296,-0.00053
GRTM00ITA,EURA14,2009-08-27 11:59:00,-0.00464,-0.00279,7e-05,-0.00464,-0.00279,7e-05
GRTM00ITA,EURA14,2009-08-28 11:59:00,-0.00577,-0.00318,0.00325,-0.00577,-0.00318,0.00325
GRTM00ITA,EURA14,2009-08-29 11:59:00,-0.00439,-0.00505,-0.00205,-0.00439,-0.00505,-0.00205
GRTM00ITA,EURA14,2009-08-30 11:59:00,-0.00313,-0.00186,-0.00065,-0.00313,-0.00186,-0.00065
GRTM00ITA,EURA14,2009-08-31 11:59:00,-0.00306,-0.00063,-0.00518,-0.00306,-0.00063,-0.00518
GRTM00ITA,EURA14,2009-09-01 11:59:00,-0.00375,-0.00235,-0.00967,-0.00375,-0.00235,-0.00967
GRTM00ITA,EURA14,2009-09-02 11:59:00,-0.005,-0.00013,-0.01396,-0.005,-0.00013,-0.01396
GRTM00ITA,EURA14,2009-09-03 11:59:00,-0.00273,-0.00274,-0.00946,-0.00273,-0.00274,-0.00946
GRTM00ITA,EURA14,2009-09-04 11:59:00,-0.00645,-0.00158,-0.00474,-0.00645,-0.00158,-0.00474
GRTM00ITA,EURA14,2009-09-05 11:59:00,-0.00656,-0.00249,0.00069,-0.00656,-0.00249,0.00069
GRTM00ITA,EURA14,2009-09-06 11:59:00,-0.00534,-0.00243,0.00193,-0.00534,-0.00243,0.00193
GRTM00ITA,EURA14,2009-09-07 11:59:00,-0.00546,-0.00176,0.00118,-0.00546,-0.00176,0.00118
GRTM00ITA,EURA14,2009-09-08 11:59:00,-0.00467,-0.00129,-0.00389,-0.00467,-0.00129,-0.00389
GRTM00ITA,EURA14,2009-09-09 11:59:00,-0.00404,0.00036,0.00645,-0.00404,0.00036,0.00645
GRTM00ITA,EURA14,2009-09-10 11:59:00,-0.0044,0.00246,-0.0156,-0.0044,0.00246,-0.0156
GRTM00ITA,EURA14,2009-09-11 11:59:00,-0.00492,0.0005,-0.00012,-0.00492,0.0005,-0.00012
