marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ITGS00ITA,EURA14,2009-11-20 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ITGS00ITA,EURA14,2009-11-21 11:59:00,-0.00072,0.00041,0.00765,-0.00072,0.00041,0.00765
ITGS00ITA,EURA14,2009-11-22 11:59:00,-0.00071,0.00105,0.00604,-0.00071,0.00105,0.00604
ITGS00ITA,EURA14,2009-11-23 11:59:00,-0.00105,0.00011,-0.00206,-0.00105,0.00011,-0.00206
ITGS00ITA,EURA14,2009-11-24 11:59:00,-0.00073,0.00014,0.00364,-0.00073,0.00014,0.00364
ITGS00ITA,EURA14,2009-11-25 11:59:00,-0.00029,0.00041,0.00656,-0.00029,0.00041,0.00656
ITGS00ITA,EURA14,2009-11-26 11:59:00,0.00021,-0.00082,0.00289,0.00021,-0.00082,0.00289
ITGS00ITA,EURA14,2009-11-27 11:59:00,0.00023,-3e-05,0.00301,0.00023,-3e-05,0.00301
ITGS00ITA,EURA14,2009-11-28 11:59:00,0.00029,0.00042999999999999994,-0.0011100000000000003,0.00029,0.00042999999999999994,-0.0011100000000000003
ITGS00ITA,EURA14,2009-11-29 11:59:00,0.00035,0.00089,-0.00523,0.00035,0.00089,-0.00523
ITGS00ITA,EURA14,2009-11-30 11:59:00,0.00024,0.00125,-0.00169,0.00024,0.00125,-0.00169
ITGS00ITA,EURA14,2009-12-01 11:59:00,-0.00014,0.00124,0.00853,-0.00014,0.00124,0.00853
ITGS00ITA,EURA14,2009-12-02 11:59:00,-0.00098,0.00192,0.00195,-0.00098,0.00192,0.00195
ITGS00ITA,EURA14,2009-12-03 11:59:00,-8e-05,0.00148,0.00551,-8e-05,0.00148,0.00551
ITGS00ITA,EURA14,2009-12-04 11:59:00,-0.00028,0.00204,0.00528,-0.00028,0.00204,0.00528
ITGS00ITA,EURA14,2009-12-05 11:59:00,-0.0004,0.00229,7e-05,-0.0004,0.00229,7e-05
ITGS00ITA,EURA14,2009-12-06 11:59:00,-0.0009,0.00194,-0.00364,-0.0009,0.00194,-0.00364
