marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
PINE01ITA,EURA14,2009-07-01 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
PINE01ITA,EURA14,2009-07-02 11:59:00,0.00275,-0.00097,0.0057,0.00275,-0.00097,0.0057
PINE01ITA,EURA14,2009-07-03 11:59:00,0.00169,-0.0012,0.01018,0.00169,-0.0012,0.01018
PINE01ITA,EURA14,2009-07-04 11:59:00,0.00239,-0.00047,0.00442,0.00239,-0.00047,0.00442
PINE01ITA,EURA14,2009-07-05 11:59:00,0.00167,-0.00091,0.00474,0.00167,-0.00091,0.00474
PINE01ITA,EURA14,2009-07-06 11:59:00,0.00059,-0.00077,0.00188,0.00059,-0.00077,0.00188
PINE01ITA,EURA14,2009-07-07 11:59:00,-0.00099,-0.00036,0.00635,-0.00099,-0.00036,0.00635
PINE01ITA,EURA14,2009-07-08 11:59:00,-0.00105,-0.00214,0.0003,-0.00105,-0.00214,0.0003
PINE01ITA,EURA14,2009-07-09 11:59:00,0.00095,0.00227,-0.00118,0.00095,0.00227,-0.00118
PINE01ITA,EURA14,2009-07-10 11:59:00,0.00065,0.00066,0.00588,0.00065,0.00066,0.00588
PINE01ITA,EURA14,2009-07-11 11:59:00,0.00376,-0.00018,0.00341,0.00376,-0.00018,0.00341
PINE01ITA,EURA14,2009-07-12 11:59:00,0.00228,0.00058,-0.00361,0.00228,0.00058,-0.00361
PINE01ITA,EURA14,2009-07-13 11:59:00,0.00286,-0.00089,0.00058,0.00286,-0.00089,0.00058
PINE01ITA,EURA14,2009-07-14 11:59:00,0.00244,-0.00076,0.00806,0.00244,-0.00076,0.00806
PINE01ITA,EURA14,2009-07-15 11:59:00,0.00273,0.0,0.00481,0.00273,0.0,0.00481
PINE01ITA,EURA14,2009-07-16 11:59:00,0.00164,-8e-05,0.00902,0.00164,-8e-05,0.00902
PINE01ITA,EURA14,2009-07-17 11:59:00,0.0015,-0.00039,0.00823,0.0015,-0.00039,0.00823
PINE01ITA,EURA14,2009-07-18 11:59:00,0.00021,0.00131,0.02026,0.00021,0.00131,0.02026
PINE01ITA,EURA14,2009-07-19 11:59:00,0.00218,0.00038,0.00198,0.00218,0.00038,0.00198
PINE01ITA,EURA14,2009-07-20 11:59:00,0.00304,1e-05,-0.00298,0.00304,1e-05,-0.00298
PINE01ITA,EURA14,2009-07-21 11:59:00,0.00264,0.00033,0.0055,0.00264,0.00033,0.0055
PINE01ITA,EURA14,2009-07-22 11:59:00,0.00115,-0.00084,0.00896,0.00115,-0.00084,0.00896
PINE01ITA,EURA14,2009-07-23 11:59:00,0.0017,-0.0009,0.00826,0.0017,-0.0009,0.00826
PINE01ITA,EURA14,2009-07-24 11:59:00,0.00407,0.00051,-0.00291,0.00407,0.00051,-0.00291
PINE01ITA,EURA14,2009-07-25 11:59:00,0.00339,0.00013,-0.00514,0.00339,0.00013,-0.00514
PINE01ITA,EURA14,2009-07-26 11:59:00,0.00298,-0.00048,0.00322,0.00298,-0.00048,0.00322
PINE01ITA,EURA14,2009-07-27 11:59:00,0.00199,0.00105,0.01273,0.00199,0.00105,0.01273
PINE01ITA,EURA14,2009-07-28 11:59:00,0.00205,-0.00017,0.00476,0.00205,-0.00017,0.00476
PINE01ITA,EURA14,2009-07-29 11:59:00,0.00181,0.00184,-0.00172,0.00181,0.00184,-0.00172
