marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
LNGS00ITA,EURA14,2008-07-31 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
LNGS00ITA,EURA14,2008-08-01 11:59:00,0.00074,0.00314,0.00941,0.00074,0.00314,0.00941
LNGS00ITA,EURA14,2008-08-02 11:59:00,-0.00223,0.00235,-0.00798,-0.00223,0.00235,-0.00798
LNGS00ITA,EURA14,2008-08-03 11:59:00,0.00199,0.00101,-0.00108,0.00199,0.00101,-0.00108
LNGS00ITA,EURA14,2008-08-04 11:59:00,0.00078,0.00144,0.00309,0.00078,0.00144,0.00309
LNGS00ITA,EURA14,2008-08-05 11:59:00,0.00076,-0.00052,-0.00418,0.00076,-0.00052,-0.00418
LNGS00ITA,EURA14,2008-08-06 11:59:00,0.00183,0.00022,-0.00245,0.00183,0.00022,-0.00245
LNGS00ITA,EURA14,2008-08-07 11:59:00,0.00106,-0.0002,0.00716,0.00106,-0.0002,0.00716
LNGS00ITA,EURA14,2008-08-08 11:59:00,-0.00365,0.00055,0.00081,-0.00365,0.00055,0.00081
LNGS00ITA,EURA14,2008-08-09 11:59:00,0.00209,0.00263,0.00587,0.00209,0.00263,0.00587
LNGS00ITA,EURA14,2008-08-10 11:59:00,0.00049,-0.00013,0.00069,0.00049,-0.00013,0.00069
LNGS00ITA,EURA14,2008-08-11 11:59:00,0.00092,0.00153,0.00442,0.00092,0.00153,0.00442
LNGS00ITA,EURA14,2008-08-12 11:59:00,0.0009,0.00176,-0.00027,0.0009,0.00176,-0.00027
LNGS00ITA,EURA14,2008-08-13 11:59:00,0.00091,0.00092,0.00884,0.00091,0.00092,0.00884
LNGS00ITA,EURA14,2008-08-14 11:59:00,0.00092,8e-05,0.01795,0.00092,8e-05,0.01795
LNGS00ITA,EURA14,2008-08-15 11:59:00,-0.00105,0.00289,0.00917,-0.00105,0.00289,0.00917
LNGS00ITA,EURA14,2008-08-16 11:59:00,0.00093,0.00266,0.00775,0.00093,0.00266,0.00775
LNGS00ITA,EURA14,2008-08-17 11:59:00,0.00226,0.00169,0.00789,0.00226,0.00169,0.00789
LNGS00ITA,EURA14,2008-08-18 11:59:00,0.00116,0.00091,0.00293,0.00116,0.00091,0.00293
LNGS00ITA,EURA14,2008-08-19 11:59:00,0.00258,2e-05,0.00704,0.00258,2e-05,0.00704
LNGS00ITA,EURA14,2008-08-20 11:59:00,0.00153,0.00023,0.00933,0.00153,0.00023,0.00933
LNGS00ITA,EURA14,2008-08-21 11:59:00,0.00298,-0.00176,0.00767,0.00298,-0.00176,0.00767
LNGS00ITA,EURA14,2008-08-22 11:59:00,0.0019,-0.00095,0.01161,0.0019,-0.00095,0.01161
LNGS00ITA,EURA14,2008-08-23 11:59:00,-0.00062,-0.00156,0.01305,-0.00062,-0.00156,0.01305
LNGS00ITA,EURA14,2008-08-24 11:59:00,0.00358,0.00072,0.00243,0.00358,0.00072,0.00243
LNGS00ITA,EURA14,2008-08-25 11:59:00,0.00165,0.00221,0.0065,0.00165,0.00221,0.0065
LNGS00ITA,EURA14,2008-08-26 11:59:00,0.00177,0.0,0.0059,0.00177,0.0,0.0059
LNGS00ITA,EURA14,2008-08-27 11:59:00,0.00466,0.00252,-0.00657,0.00466,0.00252,-0.00657
LNGS00ITA,EURA14,2008-08-28 11:59:00,0.00263,0.00148,0.00419,0.00263,0.00148,0.00419
LNGS00ITA,EURA14,2008-08-29 11:59:00,0.00277,0.00098,0.00582,0.00277,0.00098,0.00582
LNGS00ITA,EURA14,2008-08-30 11:59:00,0.00168,-0.00171,0.01479,0.00168,-0.00171,0.01479
LNGS00ITA,EURA14,2008-08-31 11:59:00,-0.00039,5e-05,-0.00177,-0.00039,5e-05,-0.00177
LNGS00ITA,EURA14,2008-09-01 11:59:00,0.00291,0.0012,-0.00572,0.00291,0.0012,-0.00572
LNGS00ITA,EURA14,2008-09-02 11:59:00,0.00318,0.00085,0.00463,0.00318,0.00085,0.00463
LNGS00ITA,EURA14,2008-09-03 11:59:00,0.00376,-0.00111,0.01019,0.00376,-0.00111,0.01019
LNGS00ITA,EURA14,2008-09-04 11:59:00,0.00064,0.00261,0.00634,0.00064,0.00261,0.00634
LNGS00ITA,EURA14,2008-09-05 11:59:00,0.0036,0.00155,0.01873,0.0036,0.00155,0.01873
LNGS00ITA,EURA14,2008-09-06 11:59:00,0.00184,0.00114,0.01769,0.00184,0.00114,0.01769
LNGS00ITA,EURA14,2008-09-07 11:59:00,0.0024,0.00012,0.00455,0.0024,0.00012,0.00455
LNGS00ITA,EURA14,2008-09-08 11:59:00,0.00018,0.00217,0.00585,0.00018,0.00217,0.00585
LNGS00ITA,EURA14,2008-09-09 11:59:00,0.00312,0.00211,0.00709,0.00312,0.00211,0.00709
LNGS00ITA,EURA14,2008-09-10 11:59:00,0.0012,0.00666,0.00481,0.0012,0.00666,0.00481
LNGS00ITA,EURA14,2008-09-11 11:59:00,0.00071,0.00339,0.00982,0.00071,0.00339,0.00982
LNGS00ITA,EURA14,2008-09-12 11:59:00,0.00311,0.00209,0.00502,0.00311,0.00209,0.00502
LNGS00ITA,EURA14,2008-09-13 11:59:00,0.00294,0.00551,0.01331,0.00294,0.00551,0.01331
LNGS00ITA,EURA14,2008-09-14 11:59:00,0.00217,0.00445,0.01787,0.00217,0.00445,0.01787
LNGS00ITA,EURA14,2008-09-15 11:59:00,0.00275,0.00434,0.01572,0.00275,0.00434,0.01572
LNGS00ITA,EURA14,2008-09-16 11:59:00,0.0028,0.00481,0.01145,0.0028,0.00481,0.01145
LNGS00ITA,EURA14,2008-09-17 11:59:00,0.0025,0.00977,0.0153,0.0025,0.00977,0.0153
LNGS00ITA,EURA14,2008-09-18 11:59:00,0.00149,0.00476,0.00771,0.00149,0.00476,0.00771
LNGS00ITA,EURA14,2008-09-19 11:59:00,0.00179,0.0069,0.01783,0.00179,0.0069,0.01783
LNGS00ITA,EURA14,2008-09-20 11:59:00,0.00172,0.00678,0.01772,0.00172,0.00678,0.01772
LNGS00ITA,EURA14,2008-09-21 11:59:00,0.00291,0.0044,0.01597,0.00291,0.0044,0.01597
LNGS00ITA,EURA14,2008-09-22 11:59:00,0.00419,0.00455,0.01497,0.00419,0.00455,0.01497
LNGS00ITA,EURA14,2008-09-23 11:59:00,0.00198,0.0056,0.01003,0.00198,0.0056,0.01003
LNGS00ITA,EURA14,2008-09-24 11:59:00,0.00056,0.00479,0.01374,0.00056,0.00479,0.01374
LNGS00ITA,EURA14,2008-09-25 11:59:00,0.00267,0.00347,0.01017,0.00267,0.00347,0.01017
LNGS00ITA,EURA14,2008-09-26 11:59:00,0.00289,0.00551,0.00687,0.00289,0.00551,0.00687
LNGS00ITA,EURA14,2008-09-27 11:59:00,0.00356,0.00411,0.00867,0.00356,0.00411,0.00867
LNGS00ITA,EURA14,2008-09-28 11:59:00,0.00302,0.00339,0.00944,0.00302,0.00339,0.00944
LNGS00ITA,EURA14,2008-09-29 11:59:00,0.0027,0.00297,0.00921,0.0027,0.00297,0.00921
LNGS00ITA,EURA14,2008-09-30 11:59:00,0.00456,0.00207,0.01033,0.00456,0.00207,0.01033
LNGS00ITA,EURA14,2008-10-01 11:59:00,0.00215,0.00249,0.02127,0.00215,0.00249,0.02127
LNGS00ITA,EURA14,2008-10-02 11:59:00,0.00306,0.00411,0.01428,0.00306,0.00411,0.01428
LNGS00ITA,EURA14,2008-10-03 11:59:00,0.00586,0.00367,0.00818,0.00586,0.00367,0.00818
LNGS00ITA,EURA14,2008-10-04 11:59:00,0.00124,0.00625,0.01719,0.00124,0.00625,0.01719
LNGS00ITA,EURA14,2008-10-05 11:59:00,0.00525,0.00569,0.01042,0.00525,0.00569,0.01042
LNGS00ITA,EURA14,2008-10-06 11:59:00,0.00317,0.00427,0.00792,0.00317,0.00427,0.00792
LNGS00ITA,EURA14,2008-10-07 11:59:00,0.00209,0.0033,0.01078,0.00209,0.0033,0.01078
LNGS00ITA,EURA14,2008-10-08 11:59:00,0.00197,0.00278,0.00924,0.00197,0.00278,0.00924
LNGS00ITA,EURA14,2008-10-09 11:59:00,0.00093,0.00281,0.00416,0.00093,0.00281,0.00416
LNGS00ITA,EURA14,2008-10-10 11:59:00,0.00165,0.00425,0.01527,0.00165,0.00425,0.01527
LNGS00ITA,EURA14,2008-10-11 11:59:00,0.00063,0.00165,0.01102,0.00063,0.00165,0.01102
LNGS00ITA,EURA14,2008-10-12 11:59:00,0.00096,0.00301,0.01331,0.00096,0.00301,0.01331
LNGS00ITA,EURA14,2008-10-13 11:59:00,0.00101,0.0009,0.01708,0.00101,0.0009,0.01708
LNGS00ITA,EURA14,2008-10-14 11:59:00,0.0014,0.0024,0.0191,0.0014,0.0024,0.0191
LNGS00ITA,EURA14,2008-10-15 11:59:00,0.00177,0.00247,0.01339,0.00177,0.00247,0.01339
LNGS00ITA,EURA14,2008-10-16 11:59:00,0.00409,0.00283,0.02383,0.00409,0.00283,0.02383
LNGS00ITA,EURA14,2008-10-17 11:59:00,0.0011,0.00171,0.02045,0.0011,0.00171,0.02045
LNGS00ITA,EURA14,2008-10-18 11:59:00,0.00084,0.00176,0.02302,0.00084,0.00176,0.02302
