marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ARSX00ITA,EURA14,2018-10-09 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ARSX00ITA,EURA14,2018-10-10 11:59:00,-0.00094,0.0036,0.00265,-0.00094,0.0036,0.00265
ARSX00ITA,EURA14,2018-10-18 11:59:00,0.00078,0.00274,0.00028,0.00078,0.00274,0.00028
ARSX00ITA,EURA14,2018-10-19 11:59:00,0.00108,0.00271,0.00022,0.00108,0.00271,0.00022
ARSX00ITA,EURA14,2018-10-20 11:59:00,-0.00026,0.00251,0.00047,-0.00026,0.00251,0.00047
ARSX00ITA,EURA14,2018-10-21 11:59:00,0.00011,0.00325,-0.00448,0.00011,0.00325,-0.00448
ARSX00ITA,EURA14,2018-10-22 11:59:00,0.00042,0.00193,-0.00229,0.00042,0.00193,-0.00229
ARSX00ITA,EURA14,2018-10-23 11:59:00,0.00023,0.00181,-0.00248,0.00023,0.00181,-0.00248
ARSX00ITA,EURA14,2018-10-24 11:59:00,-0.00057,3e-05,-0.00158,-0.00057,3e-05,-0.00158
ARSX00ITA,EURA14,2018-10-25 11:59:00,0.00194,0.00283,-0.00126,0.00194,0.00283,-0.00126
ARSX00ITA,EURA14,2018-10-26 11:59:00,-0.00117,0.00462,0.00265,-0.00117,0.00462,0.00265
ARSX00ITA,EURA14,2018-10-27 11:59:00,0.00267,0.00325,0.0122,0.00267,0.00325,0.0122
ARSX00ITA,EURA14,2018-10-28 11:59:00,0.00023,0.00067,-0.00065,0.00023,0.00067,-0.00065
ARSX00ITA,EURA14,2018-10-29 11:59:00,0.0015899999999999998,0.002,0.0005400000000000001,0.0015899999999999998,0.002,0.0005400000000000001
ARSX00ITA,EURA14,2018-10-30 11:59:00,0.00295,0.00333,0.00173,0.00295,0.00333,0.00173
ARSX00ITA,EURA14,2018-10-31 11:59:00,0.00146,0.00261,-0.00668,0.00146,0.00261,-0.00668
ARSX00ITA,EURA14,2018-11-01 11:59:00,0.00073,0.00125,-0.00766,0.00073,0.00125,-0.00766
