marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CONI00ITA,EURA14,2009-04-08 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CONI00ITA,EURA14,2009-04-09 11:59:00,0.00086,0.00412,-0.00268,0.00086,0.00412,-0.00268
CONI00ITA,EURA14,2009-04-10 11:59:00,-0.00206,0.00444,-0.00264,-0.00206,0.00444,-0.00264
CONI00ITA,EURA14,2009-04-11 11:59:00,0.0009,0.00259,-0.00108,0.0009,0.00259,-0.00108
CONI00ITA,EURA14,2009-04-12 11:59:00,0.00082,0.00104,0.00376,0.00082,0.00104,0.00376
CONI00ITA,EURA14,2009-04-13 11:59:00,-0.00162,-0.00116,0.00231,-0.00162,-0.00116,0.00231
CONI00ITA,EURA14,2009-04-14 11:59:00,0.00096,0.00045,0.00498,0.00096,0.00045,0.00498
CONI00ITA,EURA14,2009-04-15 11:59:00,9e-05,0.0018,-0.00139,9e-05,0.0018,-0.00139
CONI00ITA,EURA14,2009-04-16 11:59:00,0.00214,0.00139,0.00219,0.00214,0.00139,0.00219
CONI00ITA,EURA14,2009-04-17 11:59:00,0.00205,0.00054,0.00624,0.00205,0.00054,0.00624
CONI00ITA,EURA14,2009-04-18 11:59:00,-0.00015,0.0004,-0.00471,-0.00015,0.0004,-0.00471
CONI00ITA,EURA14,2009-04-19 11:59:00,0.00042,0.00122,-0.00671,0.00042,0.00122,-0.00671
CONI00ITA,EURA14,2009-04-20 11:59:00,0.00045,1e-05,-0.00393,0.00045,1e-05,-0.00393
CONI00ITA,EURA14,2009-04-21 11:59:00,0.0012,-0.00037,-0.00599,0.0012,-0.00037,-0.00599
CONI00ITA,EURA14,2009-04-22 11:59:00,0.00043,-0.0019,-0.00396,0.00043,-0.0019,-0.00396
CONI00ITA,EURA14,2009-04-23 11:59:00,0.00182,-3e-05,-0.00639,0.00182,-3e-05,-0.00639
CONI00ITA,EURA14,2009-04-24 11:59:00,0.00068,-0.00029,-0.01373,0.00068,-0.00029,-0.01373
CONI00ITA,EURA14,2009-04-25 11:59:00,0.00066,-0.00114,-0.00561,0.00066,-0.00114,-0.00561
CONI00ITA,EURA14,2009-04-26 11:59:00,0.00142,-0.0013,-0.00852,0.00142,-0.0013,-0.00852
CONI00ITA,EURA14,2009-04-27 11:59:00,0.00014,-0.00072,0.00263,0.00014,-0.00072,0.00263
CONI00ITA,EURA14,2009-04-28 11:59:00,5e-05,-0.00274,-0.00349,5e-05,-0.00274,-0.00349
CONI00ITA,EURA14,2009-04-29 11:59:00,0.00043,-0.00187,-0.00802,0.00043,-0.00187,-0.00802
CONI00ITA,EURA14,2009-04-30 11:59:00,0.00109,-0.00531,-0.00252,0.00109,-0.00531,-0.00252
CONI00ITA,EURA14,2009-05-01 11:59:00,0.00055,-0.00424,-0.004,0.00055,-0.00424,-0.004
CONI00ITA,EURA14,2009-05-02 11:59:00,-0.00116,-0.00395,-0.00811,-0.00116,-0.00395,-0.00811
CONI00ITA,EURA14,2009-05-03 11:59:00,-0.00089,0.00012,-0.02164,-0.00089,0.00012,-0.02164
CONI00ITA,EURA14,2009-05-04 11:59:00,-0.0021,-0.0032,-0.00615,-0.0021,-0.0032,-0.00615
CONI00ITA,EURA14,2009-05-05 11:59:00,-0.00104,-0.0045,-0.00694,-0.00104,-0.0045,-0.00694
CONI00ITA,EURA14,2009-05-06 11:59:00,0.0001,-0.00407,-0.00862,0.0001,-0.00407,-0.00862
CONI00ITA,EURA14,2009-05-07 11:59:00,0.00069,-0.00315,-0.00638,0.00069,-0.00315,-0.00638
CONI00ITA,EURA14,2009-05-08 11:59:00,0.00298,-0.00441,-0.01392,0.00298,-0.00441,-0.01392
CONI00ITA,EURA14,2009-05-09 11:59:00,0.001,-0.00375,-0.01067,0.001,-0.00375,-0.01067
CONI00ITA,EURA14,2009-05-10 11:59:00,0.0037,-0.00217,-0.01249,0.0037,-0.00217,-0.01249
CONI00ITA,EURA14,2009-05-11 11:59:00,0.00219,-0.00424,-0.00366,0.00219,-0.00424,-0.00366
CONI00ITA,EURA14,2009-05-12 11:59:00,0.00165,-0.00325,-0.00662,0.00165,-0.00325,-0.00662
CONI00ITA,EURA14,2009-05-13 11:59:00,0.00117,-0.00472,-0.00584,0.00117,-0.00472,-0.00584
CONI00ITA,EURA14,2009-05-14 11:59:00,0.0024,-0.00582,0.00037,0.0024,-0.00582,0.00037
CONI00ITA,EURA14,2009-05-15 11:59:00,0.00063,-0.00455,-0.00277,0.00063,-0.00455,-0.00277
CONI00ITA,EURA14,2009-05-16 11:59:00,0.0034,-0.00476,-0.00366,0.0034,-0.00476,-0.00366
CONI00ITA,EURA14,2009-05-17 11:59:00,-4e-05,-0.00587,-0.0069,-4e-05,-0.00587,-0.0069
CONI00ITA,EURA14,2009-05-18 11:59:00,0.00129,-0.00468,-0.00812,0.00129,-0.00468,-0.00812
CONI00ITA,EURA14,2009-05-19 11:59:00,0.00122,-0.00403,-0.00159,0.00122,-0.00403,-0.00159
CONI00ITA,EURA14,2009-05-20 11:59:00,0.00263,-0.00355,-0.00946,0.00263,-0.00355,-0.00946
CONI00ITA,EURA14,2009-05-21 11:59:00,0.00233,-0.00492,-0.00067,0.00233,-0.00492,-0.00067
CONI00ITA,EURA14,2009-05-22 11:59:00,0.00154,-0.00437,-0.00977,0.00154,-0.00437,-0.00977
CONI00ITA,EURA14,2009-05-23 11:59:00,0.00161,-0.00433,-0.01192,0.00161,-0.00433,-0.01192
CONI00ITA,EURA14,2009-05-24 11:59:00,0.00177,-0.00471,-0.00318,0.00177,-0.00471,-0.00318
CONI00ITA,EURA14,2009-05-25 11:59:00,0.0023,-0.00517,-0.0062,0.0023,-0.00517,-0.0062
CONI00ITA,EURA14,2009-05-26 11:59:00,0.00521,-0.00542,-0.00495,0.00521,-0.00542,-0.00495
CONI00ITA,EURA14,2009-05-27 11:59:00,0.00415,-0.00472,-0.00742,0.00415,-0.00472,-0.00742
CONI00ITA,EURA14,2009-05-28 11:59:00,0.00146,-0.00434,-0.01176,0.00146,-0.00434,-0.01176
CONI00ITA,EURA14,2009-05-29 11:59:00,0.00062,-0.00507,-0.00686,0.00062,-0.00507,-0.00686
CONI00ITA,EURA14,2009-05-30 11:59:00,0.00157,-0.0048,-0.00904,0.00157,-0.0048,-0.00904
CONI00ITA,EURA14,2009-05-31 11:59:00,0.00189,-0.0044,-0.01236,0.00189,-0.0044,-0.01236
CONI00ITA,EURA14,2009-06-01 11:59:00,0.00097,-0.00617,-0.00576,0.00097,-0.00617,-0.00576
CONI00ITA,EURA14,2009-06-02 11:59:00,0.00144,-0.00516,-0.00477,0.00144,-0.00516,-0.00477
