marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CSCA00ITA,EURA14,2017-09-21 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CSCA00ITA,EURA14,2017-09-22 11:59:00,0.00018,-0.00066,0.00147,0.00018,-0.00066,0.00147
CSCA00ITA,EURA14,2017-09-23 11:59:00,-0.00038,9e-05,-0.00083,-0.00038,9e-05,-0.00083
CSCA00ITA,EURA14,2017-09-24 11:59:00,-0.00016,5e-05,0.00118,-0.00016,5e-05,0.00118
CSCA00ITA,EURA14,2017-09-25 11:59:00,-0.00067,0.0,0.00326,-0.00067,0.0,0.00326
CSCA00ITA,EURA14,2017-09-26 11:59:00,0.00014,-0.00016,0.00012,0.00014,-0.00016,0.00012
CSCA00ITA,EURA14,2017-09-27 11:59:00,-0.00022,-0.00078,-0.00245,-0.00022,-0.00078,-0.00245
CSCA00ITA,EURA14,2017-09-28 11:59:00,-0.00059,-0.00066,-0.00199,-0.00059,-0.00066,-0.00199
CSCA00ITA,EURA14,2017-09-29 11:59:00,-0.00039,-0.00087,-0.00121,-0.00039,-0.00087,-0.00121
CSCA00ITA,EURA14,2017-09-30 11:59:00,0.00136,-0.00124,-0.0019,0.00136,-0.00124,-0.0019
CSCA00ITA,EURA14,2017-10-01 11:59:00,-1e-05,0.00031,0.00108,-1e-05,0.00031,0.00108
CSCA00ITA,EURA14,2017-10-02 11:59:00,0.00133,0.00071,0.00078,0.00133,0.00071,0.00078
CSCA00ITA,EURA14,2017-10-03 11:59:00,-0.00046,0.00073,-0.00178,-0.00046,0.00073,-0.00178
CSCA00ITA,EURA14,2017-10-04 11:59:00,0.00097,0.00018,-0.00199,0.00097,0.00018,-0.00199
CSCA00ITA,EURA14,2017-10-05 11:59:00,-0.00094,-0.00245,0.00041,-0.00094,-0.00245,0.00041
CSCA00ITA,EURA14,2017-10-10 11:59:00,0.00203,-0.00136,-0.00169,0.00203,-0.00136,-0.00169
CSCA00ITA,EURA14,2017-10-11 11:59:00,0.00124,-7e-05,-0.0006,0.00124,-7e-05,-0.0006
CSCA00ITA,EURA14,2017-10-12 11:59:00,0.00143,-0.00072,-0.00299,0.00143,-0.00072,-0.00299
CSCA00ITA,EURA14,2017-10-13 11:59:00,5e-05,-0.00119,-0.00695,5e-05,-0.00119,-0.00695
CSCA00ITA,EURA14,2017-10-14 11:59:00,0.00012,0.00102,-0.00499,0.00012,0.00102,-0.00499
CSCA00ITA,EURA14,2017-10-15 11:59:00,0.00058,-0.00081,-0.00749,0.00058,-0.00081,-0.00749
CSCA00ITA,EURA14,2017-10-16 11:59:00,0.00099,-0.001,-0.00739,0.00099,-0.001,-0.00739
CSCA00ITA,EURA14,2017-10-17 11:59:00,5e-05,0.00049,-0.00241,5e-05,0.00049,-0.00241
CSCA00ITA,EURA14,2017-10-18 11:59:00,0.00126,-0.00025,-0.00065,0.00126,-0.00025,-0.00065
CSCA00ITA,EURA14,2017-10-19 11:59:00,0.00037,-0.00031,-0.00169,0.00037,-0.00031,-0.00169
CSCA00ITA,EURA14,2017-10-20 11:59:00,1e-05,-0.0003,0.00083,1e-05,-0.0003,0.00083
CSCA00ITA,EURA14,2017-10-21 11:59:00,0.00015,0.00029,-0.00244,0.00015,0.00029,-0.00244
CSCA00ITA,EURA14,2017-10-22 11:59:00,0.00455,-0.00373,0.00181,0.00455,-0.00373,0.00181
CSCA00ITA,EURA14,2017-10-23 11:59:00,-0.00039,0.00099,0.00434,-0.00039,0.00099,0.00434
CSCA00ITA,EURA14,2017-10-24 11:59:00,-0.00311,-0.00318,0.01332,-0.00311,-0.00318,0.01332
CSCA00ITA,EURA14,2017-10-25 11:59:00,0.00111,-0.00093,0.00422,0.00111,-0.00093,0.00422
CSCA00ITA,EURA14,2017-10-26 11:59:00,0.00063,-0.00065,-0.00284,0.00063,-0.00065,-0.00284
CSCA00ITA,EURA14,2017-10-27 11:59:00,-0.00027,0.00069,-0.00415,-0.00027,0.00069,-0.00415
CSCA00ITA,EURA14,2017-10-28 11:59:00,0.00023,-0.00075,0.0025,0.00023,-0.00075,0.0025
CSCA00ITA,EURA14,2017-10-29 11:59:00,0.0,-0.00109,0.00405,0.0,-0.00109,0.00405
CSCA00ITA,EURA14,2017-10-30 11:59:00,0.00069,-0.00085,0.00193,0.00069,-0.00085,0.00193
CSCA00ITA,EURA14,2017-10-31 11:59:00,0.00117,-0.00091,-0.00195,0.00117,-0.00091,-0.00195
CSCA00ITA,EURA14,2017-11-01 11:59:00,0.00049,-0.00143,-0.00272,0.00049,-0.00143,-0.00272
CSCA00ITA,EURA14,2017-11-02 11:59:00,0.00028,-0.00139,-0.00069,0.00028,-0.00139,-0.00069
CSCA00ITA,EURA14,2017-11-03 11:59:00,0.00031,-3e-05,-8e-05,0.00031,-3e-05,-8e-05
CSCA00ITA,EURA14,2017-11-04 11:59:00,0.0013,-0.00064,-0.00142,0.0013,-0.00064,-0.00142
CSCA00ITA,EURA14,2017-11-07 11:59:00,0.00132,-0.00021,0.00441,0.00132,-0.00021,0.00441
CSCA00ITA,EURA14,2017-11-08 11:59:00,0.00062,-0.00044,0.00124,0.00062,-0.00044,0.00124
CSCA00ITA,EURA14,2017-11-09 11:59:00,0.00052,0.00036,0.00096,0.00052,0.00036,0.00096
CSCA00ITA,EURA14,2017-11-10 11:59:00,0.00047,0.00071,-0.00049,0.00047,0.00071,-0.00049
CSCA00ITA,EURA14,2017-11-11 11:59:00,0.00032,-0.00111,0.00025,0.00032,-0.00111,0.00025
CSCA00ITA,EURA14,2017-11-12 11:59:00,0.0033,-0.00273,0.0039,0.0033,-0.00273,0.0039
CSCA00ITA,EURA14,2017-11-13 11:59:00,0.00064,-0.00156,0.00802,0.00064,-0.00156,0.00802
CSCA00ITA,EURA14,2017-11-14 11:59:00,0.00405,0.00256,0.00215,0.00405,0.00256,0.00215
CSCA00ITA,EURA14,2017-11-15 11:59:00,-0.00202,0.00053,0.00979,-0.00202,0.00053,0.00979
CSCA00ITA,EURA14,2017-11-16 11:59:00,-0.00238,-0.0004,0.00519,-0.00238,-0.0004,0.00519
CSCA00ITA,EURA14,2017-11-17 11:59:00,-0.00025,-0.00112,0.00174,-0.00025,-0.00112,0.00174
CSCA00ITA,EURA14,2017-11-18 11:59:00,-0.00055,-0.00083,0.00084,-0.00055,-0.00083,0.00084
CSCA00ITA,EURA14,2017-11-19 11:59:00,-0.00014,-0.00195,-0.00505,-0.00014,-0.00195,-0.00505
CSCA00ITA,EURA14,2017-11-20 11:59:00,0.00042,-0.00207,-0.00123,0.00042,-0.00207,-0.00123
CSCA00ITA,EURA14,2017-11-21 11:59:00,-0.00096,-0.00019,-0.00163,-0.00096,-0.00019,-0.00163
CSCA00ITA,EURA14,2017-11-22 11:59:00,-0.00048,-0.00093,-0.00151,-0.00048,-0.00093,-0.00151
CSCA00ITA,EURA14,2017-11-23 11:59:00,0.0,-0.00138,-0.00225,0.0,-0.00138,-0.00225
CSCA00ITA,EURA14,2017-11-24 11:59:00,0.00026,-0.00028,-0.00497,0.00026,-0.00028,-0.00497
CSCA00ITA,EURA14,2017-11-25 11:59:00,0.00238,-0.0014,0.00219,0.00238,-0.0014,0.00219
CSCA00ITA,EURA14,2017-11-26 11:59:00,-0.00027,-0.00109,0.00701,-0.00027,-0.00109,0.00701
CSCA00ITA,EURA14,2017-11-27 11:59:00,0.00011,-0.00101,-0.00691,0.00011,-0.00101,-0.00691
CSCA00ITA,EURA14,2017-11-28 11:59:00,-0.00026,-0.00092,0.00217,-0.00026,-0.00092,0.00217
CSCA00ITA,EURA14,2017-11-29 11:59:00,0.00058,-0.00424,0.00202,0.00058,-0.00424,0.00202
CSCA00ITA,EURA14,2017-11-30 11:59:00,0.00247,-0.00285,-0.00419,0.00247,-0.00285,-0.00419
CSCA00ITA,EURA14,2017-12-01 11:59:00,-0.00066,-0.00157,0.00057,-0.00066,-0.00157,0.00057
CSCA00ITA,EURA14,2017-12-02 11:59:00,-0.00086,-0.00107,-0.0002,-0.00086,-0.00107,-0.0002
CSCA00ITA,EURA14,2017-12-03 11:59:00,0.00258,-0.00139,-0.01043,0.00258,-0.00139,-0.01043
CSCA00ITA,EURA14,2017-12-04 11:59:00,-0.0015,-0.00151,-0.00794,-0.0015,-0.00151,-0.00794
CSCA00ITA,EURA14,2017-12-05 11:59:00,-0.00149,-0.00153,-0.00863,-0.00149,-0.00153,-0.00863
CSCA00ITA,EURA14,2017-12-06 11:59:00,-0.00184,-0.00191,-0.01048,-0.00184,-0.00191,-0.01048
CSCA00ITA,EURA14,2017-12-07 11:59:00,-0.00076,-0.00136,-0.00815,-0.00076,-0.00136,-0.00815
CSCA00ITA,EURA14,2017-12-08 11:59:00,0.00316,-0.0045,-0.00576,0.00316,-0.0045,-0.00576
CSCA00ITA,EURA14,2017-12-09 11:59:00,-0.00237,0.00034,-0.00903,-0.00237,0.00034,-0.00903
