marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
INGR00ITA,EURA14,1995-06-23 11:59:00,0.00461,0.00082,-0.00474,0.00461,0.00082,-0.00474
INGR00ITA,EURA14,1995-06-24 11:59:00,0.01281,0.00451,0.00201,0.01281,0.00451,0.00201
INGR00ITA,EURA14,1996-06-18 11:59:00,0.0051,-0.00781,0.01522,0.0051,-0.00781,0.01522
INGR00ITA,EURA14,1996-06-19 11:59:00,0.00693,-0.0076,-0.00761,0.00693,-0.0076,-0.00761
INGR00ITA,EURA14,1996-06-20 11:59:00,0.00761,-0.00818,-0.00406,0.00761,-0.00818,-0.00406
INGR00ITA,EURA14,1996-06-21 11:59:00,0.00905,-0.00795,-5e-05,0.00905,-0.00795,-5e-05
INGR00ITA,EURA14,1996-06-22 11:59:00,0.0063,-0.00963,-0.00322,0.0063,-0.00963,-0.00322
INGR00ITA,EURA14,1996-06-23 11:59:00,-0.00458,-0.00725,0.01622,-0.00458,-0.00725,0.01622
INGR00ITA,EURA14,1997-06-06 11:59:00,0.00429,0.00585,-0.0024,0.00429,0.00585,-0.0024
INGR00ITA,EURA14,1997-06-07 11:59:00,0.00401,0.00667,-0.00204,0.00401,0.00667,-0.00204
INGR00ITA,EURA14,1997-06-08 11:59:00,0.00304,0.00644,-0.0075,0.00304,0.00644,-0.0075
INGR00ITA,EURA14,1997-06-09 11:59:00,0.00252,0.00754,-0.00313,0.00252,0.00754,-0.00313
INGR00ITA,EURA14,1997-06-10 11:59:00,0.00057,0.0064,-0.00353,0.00057,0.0064,-0.00353
INGR00ITA,EURA14,1997-06-11 11:59:00,0.00158,0.00527,-0.00419,0.00158,0.00527,-0.00419
INGR00ITA,EURA14,1999-05-17 11:59:00,0.0017,0.00803,-0.0095,0.0017,0.00803,-0.0095
INGR00ITA,EURA14,1999-05-18 11:59:00,-0.00032,0.00836,-0.00232,-0.00032,0.00836,-0.00232
INGR00ITA,EURA14,1999-05-19 11:59:00,0.00102,0.00791,-0.00296,0.00102,0.00791,-0.00296
INGR00ITA,EURA14,1999-05-20 11:59:00,0.00075,0.00892,-0.01156,0.00075,0.00892,-0.01156
INGR00ITA,EURA14,1999-05-21 11:59:00,0.00251,0.00915,-0.00814,0.00251,0.00915,-0.00814
INGR00ITA,EURA14,1999-05-22 11:59:00,0.00137,0.00913,-0.00726,0.00137,0.00913,-0.00726
INGR00ITA,EURA14,1999-05-23 11:59:00,0.00212,0.00726,-0.00676,0.00212,0.00726,-0.00676
INGR00ITA,EURA14,1999-05-24 11:59:00,0.0026,0.00984,-0.01094,0.0026,0.00984,-0.01094
INGR00ITA,EURA14,1999-06-15 11:59:00,0.00146,0.01203,-0.01154,0.00146,0.01203,-0.01154
INGR00ITA,EURA14,1999-06-16 11:59:00,-0.00169,0.01237,0.00586,-0.00169,0.01237,0.00586
INGR00ITA,EURA14,1999-06-17 11:59:00,0.00092,0.01048,-0.01132,0.00092,0.01048,-0.01132
INGR00ITA,EURA14,1999-06-18 11:59:00,0.00055,0.0088,-0.00621,0.00055,0.0088,-0.00621
INGR00ITA,EURA14,1999-06-19 11:59:00,0.00067,0.0117,-0.01591,0.00067,0.0117,-0.01591
INGR00ITA,EURA14,1999-06-20 11:59:00,0.00209,0.01046,-0.00246,0.00209,0.01046,-0.00246
INGR00ITA,EURA14,1999-06-21 11:59:00,0.00191,0.01144,-0.00617,0.00191,0.01144,-0.00617
INGR00ITA,EURA14,2000-05-15 11:59:00,-0.00022,0.01044,0.01114,-0.00022,0.01044,0.01114
INGR00ITA,EURA14,2000-05-16 11:59:00,0.00049,0.01264,-0.00509,0.00049,0.01264,-0.00509
INGR00ITA,EURA14,2000-05-17 11:59:00,0.00088,0.01225,-0.00577,0.00088,0.01225,-0.00577
INGR00ITA,EURA14,2000-05-18 11:59:00,-0.00017,0.0107,-0.00606,-0.00017,0.0107,-0.00606
INGR00ITA,EURA14,2000-05-19 11:59:00,0.0001,0.00942,-0.00052,0.0001,0.00942,-0.00052
INGR00ITA,EURA14,2000-05-20 11:59:00,0.00018,0.01088,-0.00418,0.00018,0.01088,-0.00418
INGR00ITA,EURA14,2000-05-21 11:59:00,-0.00058,0.01045,-0.00358,-0.00058,0.01045,-0.00358
INGR00ITA,EURA14,2000-05-26 11:59:00,0.00054,0.00955,-0.00887,0.00054,0.00955,-0.00887
INGR00ITA,EURA14,2000-05-27 11:59:00,0.00023,0.01195,-0.00882,0.00023,0.01195,-0.00882
INGR00ITA,EURA14,2000-05-28 11:59:00,-0.0013,0.0128,-0.01098,-0.0013,0.0128,-0.01098
