marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ISER01ITA,EURA14,2012-01-20 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ISER01ITA,EURA14,2012-01-21 11:59:00,0.0016,0.00141,-0.00545,0.0016,0.00141,-0.00545
ISER01ITA,EURA14,2012-01-22 11:59:00,0.00151,0.00053,-0.00855,0.00151,0.00053,-0.00855
ISER01ITA,EURA14,2012-01-23 11:59:00,0.00035,0.00135,-0.00792,0.00035,0.00135,-0.00792
ISER01ITA,EURA14,2012-01-24 11:59:00,0.00062,0.0028,-0.00797,0.00062,0.0028,-0.00797
ISER01ITA,EURA14,2012-01-25 11:59:00,0.00308,0.00476,-0.01049,0.00308,0.00476,-0.01049
ISER01ITA,EURA14,2012-01-26 11:59:00,0.00253,0.00501,-0.01106,0.00253,0.00501,-0.01106
ISER01ITA,EURA14,2012-01-27 11:59:00,0.00145,0.00179,-0.01268,0.00145,0.00179,-0.01268
ISER01ITA,EURA14,2012-01-31 11:59:00,0.00154,0.00171,-0.00478,0.00154,0.00171,-0.00478
ISER01ITA,EURA14,2012-02-01 11:59:00,0.0007,0.00228,-0.0193,0.0007,0.00228,-0.0193
ISER01ITA,EURA14,2012-02-02 11:59:00,0.00214,0.0013,-0.00998,0.00214,0.0013,-0.00998
ISER01ITA,EURA14,2012-02-05 11:59:00,0.00133,0.00046,-0.01203,0.00133,0.00046,-0.01203
ISER01ITA,EURA14,2012-02-06 11:59:00,0.00128,0.00114,-0.0017,0.00128,0.00114,-0.0017
ISER01ITA,EURA14,2012-02-07 11:59:00,0.00204,8e-05,-0.00376,0.00204,8e-05,-0.00376
ISER01ITA,EURA14,2012-02-08 11:59:00,0.00192,0.00079,-0.01249,0.00192,0.00079,-0.01249
ISER01ITA,EURA14,2012-02-09 11:59:00,0.00335,0.00047,-0.00785,0.00335,0.00047,-0.00785
ISER01ITA,EURA14,2012-02-10 11:59:00,0.0008,0.00036,-0.01189,0.0008,0.00036,-0.01189
ISER01ITA,EURA14,2012-02-11 11:59:00,0.00154,-0.00016,-0.01418,0.00154,-0.00016,-0.01418
ISER01ITA,EURA14,2012-02-12 11:59:00,0.00275,0.00025,-0.01034,0.00275,0.00025,-0.01034
ISER01ITA,EURA14,2012-02-13 11:59:00,0.00213,-0.00022,-0.01055,0.00213,-0.00022,-0.01055
ISER01ITA,EURA14,2012-02-14 11:59:00,0.00206,0.00091,-0.00981,0.00206,0.00091,-0.00981
ISER01ITA,EURA14,2012-02-15 11:59:00,0.00325,-0.00039,-0.015,0.00325,-0.00039,-0.015
ISER01ITA,EURA14,2012-02-16 11:59:00,0.00385,0.00427,-0.01201,0.00385,0.00427,-0.01201
ISER01ITA,EURA14,2012-02-17 11:59:00,0.00181,0.00062,-0.00712,0.00181,0.00062,-0.00712
ISER01ITA,EURA14,2012-02-18 11:59:00,0.00261,-9e-05,-0.01464,0.00261,-9e-05,-0.01464
ISER01ITA,EURA14,2012-02-19 11:59:00,0.00122,-2e-05,-0.01,0.00122,-2e-05,-0.01
ISER01ITA,EURA14,2012-02-20 11:59:00,0.00189,0.00097,-0.00702,0.00189,0.00097,-0.00702
ISER01ITA,EURA14,2012-02-21 11:59:00,0.00204,0.00086,-0.01429,0.00204,0.00086,-0.01429
ISER01ITA,EURA14,2012-02-22 11:59:00,0.00497,0.00055,-0.00728,0.00497,0.00055,-0.00728
ISER01ITA,EURA14,2012-02-23 11:59:00,0.0009,-0.0003,-0.00759,0.0009,-0.0003,-0.00759
ISER01ITA,EURA14,2012-02-24 11:59:00,0.00217,0.00022,-0.00696,0.00217,0.00022,-0.00696
ISER01ITA,EURA14,2012-02-25 11:59:00,0.00077,0.00025,-0.00688,0.00077,0.00025,-0.00688
ISER01ITA,EURA14,2012-02-26 11:59:00,0.00222,0.00254,-0.01409,0.00222,0.00254,-0.01409
ISER01ITA,EURA14,2012-02-27 11:59:00,0.0017300000000000002,0.00149,-0.012419999999999999,0.0017300000000000002,0.00149,-0.012419999999999999
ISER01ITA,EURA14,2012-02-28 11:59:00,0.00124,0.00044,-0.01075,0.00124,0.00044,-0.01075
ISER01ITA,EURA14,2012-02-29 11:59:00,0.00383,0.00064,-0.00586,0.00383,0.00064,-0.00586
ISER01ITA,EURA14,2012-03-01 11:59:00,0.00077,0.00092,-0.02087,0.00077,0.00092,-0.02087
ISER01ITA,EURA14,2012-03-02 11:59:00,0.00244,0.00038,-0.01407,0.00244,0.00038,-0.01407
ISER01ITA,EURA14,2012-03-03 11:59:00,0.00136,0.0001,-0.00691,0.00136,0.0001,-0.00691
ISER01ITA,EURA14,2012-03-04 11:59:00,0.00021,0.00039,-0.00523,0.00021,0.00039,-0.00523
ISER01ITA,EURA14,2012-03-05 11:59:00,0.00066,0.0009,-0.00741,0.00066,0.0009,-0.00741
ISER01ITA,EURA14,2012-03-06 11:59:00,-0.00054,0.00093,-0.00374,-0.00054,0.00093,-0.00374
ISER01ITA,EURA14,2012-03-07 11:59:00,0.00081,-0.00098,-0.00604,0.00081,-0.00098,-0.00604
ISER01ITA,EURA14,2012-03-08 11:59:00,0.00321,0.0003,-0.01142,0.00321,0.0003,-0.01142
ISER01ITA,EURA14,2012-03-09 11:59:00,0.00142,0.00127,-0.00725,0.00142,0.00127,-0.00725
ISER01ITA,EURA14,2012-03-10 11:59:00,0.00258,-0.00084,-0.00299,0.00258,-0.00084,-0.00299
ISER01ITA,EURA14,2012-03-11 11:59:00,0.00342,0.00277,-0.01147,0.00342,0.00277,-0.01147
ISER01ITA,EURA14,2012-03-12 11:59:00,0.00707,0.00105,-0.01165,0.00707,0.00105,-0.01165
ISER01ITA,EURA14,2012-03-13 11:59:00,0.00259,0.00126,-0.00855,0.00259,0.00126,-0.00855
ISER01ITA,EURA14,2012-03-14 11:59:00,0.00184,0.00039,-0.01011,0.00184,0.00039,-0.01011
ISER01ITA,EURA14,2012-03-15 11:59:00,0.00123,-0.00011,-0.01162,0.00123,-0.00011,-0.01162
ISER01ITA,EURA14,2012-03-16 11:59:00,0.0026,0.00024,-0.01612,0.0026,0.00024,-0.01612
ISER01ITA,EURA14,2012-03-17 11:59:00,0.00156,0.0003,-0.01446,0.00156,0.0003,-0.01446
ISER01ITA,EURA14,2012-03-18 11:59:00,-0.00081,0.00064,-0.00271,-0.00081,0.00064,-0.00271
ISER01ITA,EURA14,2012-03-19 11:59:00,0.00137,0.00071,-0.00727,0.00137,0.00071,-0.00727
ISER01ITA,EURA14,2012-03-20 11:59:00,0.00216,-0.00033,-0.01024,0.00216,-0.00033,-0.01024
ISER01ITA,EURA14,2012-03-21 11:59:00,-0.0001,0.00027,-0.00468,-0.0001,0.00027,-0.00468
ISER01ITA,EURA14,2012-03-22 11:59:00,0.00077,-0.00017,-0.00371,0.00077,-0.00017,-0.00371
ISER01ITA,EURA14,2012-03-23 11:59:00,0.0005,-0.00211,-0.00156,0.0005,-0.00211,-0.00156
ISER01ITA,EURA14,2012-03-24 11:59:00,0.00051,-0.00111,-0.00529,0.00051,-0.00111,-0.00529
ISER01ITA,EURA14,2012-03-25 11:59:00,0.00194,0.00064,-0.00936,0.00194,0.00064,-0.00936
ISER01ITA,EURA14,2012-03-26 11:59:00,0.00096,0.00034,-0.01236,0.00096,0.00034,-0.01236
ISER01ITA,EURA14,2012-03-27 11:59:00,0.00021,-0.00031,-0.00422,0.00021,-0.00031,-0.00422
ISER01ITA,EURA14,2012-03-28 11:59:00,-0.00052,-0.00037,-0.00495,-0.00052,-0.00037,-0.00495
ISER01ITA,EURA14,2012-03-29 11:59:00,0.00123,-0.0005,-0.00527,0.00123,-0.0005,-0.00527
ISER01ITA,EURA14,2012-03-30 11:59:00,0.00032,-0.00091,-0.00679,0.00032,-0.00091,-0.00679
ISER01ITA,EURA14,2012-03-31 11:59:00,4e-05,-0.00169,-0.00455,4e-05,-0.00169,-0.00455
ISER01ITA,EURA14,2012-04-01 11:59:00,0.00141,-0.00254,-0.00552,0.00141,-0.00254,-0.00552
ISER01ITA,EURA14,2012-04-02 11:59:00,0.00134,0.00044,-0.00791,0.00134,0.00044,-0.00791
ISER01ITA,EURA14,2012-04-03 11:59:00,0.001,-0.00021,-0.00293,0.001,-0.00021,-0.00293
ISER01ITA,EURA14,2012-04-04 11:59:00,0.00143,0.00041,-0.0031,0.00143,0.00041,-0.0031
ISER01ITA,EURA14,2012-04-05 11:59:00,0.00213,0.00117,-0.00593,0.00213,0.00117,-0.00593
ISER01ITA,EURA14,2012-04-06 11:59:00,-0.00125,-0.00042,-0.0092,-0.00125,-0.00042,-0.0092
ISER01ITA,EURA14,2012-04-07 11:59:00,-0.00016,0.00109,-0.00458,-0.00016,0.00109,-0.00458
ISER01ITA,EURA14,2012-04-08 11:59:00,-0.00011,0.00042,-0.00378,-0.00011,0.00042,-0.00378
ISER01ITA,EURA14,2012-04-09 11:59:00,0.00255,0.00119,-0.01334,0.00255,0.00119,-0.01334
ISER01ITA,EURA14,2012-04-10 11:59:00,0.00105,1e-05,-0.00869,0.00105,1e-05,-0.00869
ISER01ITA,EURA14,2012-04-11 11:59:00,0.00143,0.00149,-0.00563,0.00143,0.00149,-0.00563
ISER01ITA,EURA14,2012-04-12 11:59:00,0.00092,0.00065,-0.00715,0.00092,0.00065,-0.00715
ISER01ITA,EURA14,2012-04-13 11:59:00,0.00176,-0.00057,-0.00904,0.00176,-0.00057,-0.00904
ISER01ITA,EURA14,2012-04-14 11:59:00,0.00086,-0.00039,-0.0041,0.00086,-0.00039,-0.0041
ISER01ITA,EURA14,2012-04-15 11:59:00,0.00074,0.00076,-0.00353,0.00074,0.00076,-0.00353
ISER01ITA,EURA14,2012-04-16 11:59:00,0.0012,-3e-05,-0.00607,0.0012,-3e-05,-0.00607
ISER01ITA,EURA14,2012-04-20 11:59:00,0.00044,0.00019,-0.00434,0.00044,0.00019,-0.00434
ISER01ITA,EURA14,2012-04-21 11:59:00,-0.00099,0.00066,-0.00513,-0.00099,0.00066,-0.00513
ISER01ITA,EURA14,2012-04-22 11:59:00,-0.00139,0.00066,-0.00317,-0.00139,0.00066,-0.00317
ISER01ITA,EURA14,2012-04-23 11:59:00,0.0007,0.00162,-0.00623,0.0007,0.00162,-0.00623
ISER01ITA,EURA14,2012-04-24 11:59:00,0.00433,0.00185,-0.00349,0.00433,0.00185,-0.00349
ISER01ITA,EURA14,2012-04-25 11:59:00,0.00109,0.00105,-0.0141,0.00109,0.00105,-0.0141
ISER01ITA,EURA14,2012-04-26 11:59:00,0.00061,0.00085,-0.01573,0.00061,0.00085,-0.01573
ISER01ITA,EURA14,2012-04-27 11:59:00,0.00181,0.00019,-0.01218,0.00181,0.00019,-0.01218
ISER01ITA,EURA14,2012-04-28 11:59:00,0.00192,-0.00206,-0.00441,0.00192,-0.00206,-0.00441
