marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
LAT100ITA,EURA14,2006-04-21 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
LAT100ITA,EURA14,2006-04-22 11:59:00,-0.00335,-0.00088,-0.00402,-0.00335,-0.00088,-0.00402
LAT100ITA,EURA14,2006-04-23 11:59:00,-0.00065,0.0,-0.00054,-0.00065,0.0,-0.00054
LAT100ITA,EURA14,2006-04-24 11:59:00,-0.00193,-0.00069,-0.0086,-0.00193,-0.00069,-0.0086
LAT100ITA,EURA14,2006-05-02 11:59:00,-0.00175,-8e-05,0.00515,-0.00175,-8e-05,0.00515
LAT100ITA,EURA14,2006-05-03 11:59:00,-0.00223,-0.00232,-0.00508,-0.00223,-0.00232,-0.00508
LAT100ITA,EURA14,2006-05-04 11:59:00,-0.002605,-0.00119,-0.004605,-0.002605,-0.00119,-0.004605
LAT100ITA,EURA14,2006-05-05 11:59:00,-0.00298,-6e-05,-0.00413,-0.00298,-6e-05,-0.00413
LAT100ITA,EURA14,2006-05-06 11:59:00,-0.00273,0.0009,0.00421,-0.00273,0.0009,0.00421
LAT100ITA,EURA14,2006-05-07 11:59:00,0.00079,-0.00083,0.00096,0.00079,-0.00083,0.00096
LAT100ITA,EURA14,2006-05-08 11:59:00,-0.00139,4e-05,0.00394,-0.00139,4e-05,0.00394
LAT100ITA,EURA14,2006-05-09 11:59:00,-0.00048,-0.00065,0.01,-0.00048,-0.00065,0.01
LAT100ITA,EURA14,2006-05-10 11:59:00,0.00066,0.0019,0.00679,0.00066,0.0019,0.00679
LAT100ITA,EURA14,2006-05-11 11:59:00,-0.001,-0.0006,0.00304,-0.001,-0.0006,0.00304
LAT100ITA,EURA14,2006-05-12 11:59:00,-0.00017,-0.00015,-0.00242,-0.00017,-0.00015,-0.00242
LAT100ITA,EURA14,2006-05-13 11:59:00,3e-05,0.0003,-0.00247,3e-05,0.0003,-0.00247
LAT100ITA,EURA14,2006-05-14 11:59:00,-0.00106,0.0007000000000000001,-0.0026249999999999997,-0.00106,0.0007000000000000001,-0.0026249999999999997
LAT100ITA,EURA14,2006-05-15 11:59:00,-0.00215,0.0011,-0.00278,-0.00215,0.0011,-0.00278
LAT100ITA,EURA14,2006-05-16 11:59:00,-0.00055,0.00093,0.00085,-0.00055,0.00093,0.00085
LAT100ITA,EURA14,2006-05-17 11:59:00,-0.00127,-0.00064,0.00111,-0.00127,-0.00064,0.00111
LAT100ITA,EURA14,2006-05-18 11:59:00,-0.00032,-0.0058,0.01735,-0.00032,-0.0058,0.01735
LAT100ITA,EURA14,2006-05-23 11:59:00,-0.00252,-0.00037,0.00353,-0.00252,-0.00037,0.00353
LAT100ITA,EURA14,2006-05-24 11:59:00,-0.00234,-0.00024,0.0019,-0.00234,-0.00024,0.0019
LAT100ITA,EURA14,2006-05-25 11:59:00,-0.00164,4e-05,0.00393,-0.00164,4e-05,0.00393
LAT100ITA,EURA14,2006-05-26 11:59:00,-0.00308,0.00093,-0.00596,-0.00308,0.00093,-0.00596
LAT100ITA,EURA14,2006-05-27 11:59:00,0.00031,0.00026,0.00125,0.00031,0.00026,0.00125
