marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
LTNA00ITA,EURA14,2012-06-14 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
LTNA00ITA,EURA14,2012-06-15 11:59:00,0.0,-0.00041,0.00384,0.0,-0.00041,0.00384
LTNA00ITA,EURA14,2012-06-16 11:59:00,0.00029,0.00034,-0.00295,0.00029,0.00034,-0.00295
LTNA00ITA,EURA14,2012-06-17 11:59:00,-0.00081,0.00131,0.00208,-0.00081,0.00131,0.00208
LTNA00ITA,EURA14,2012-06-18 11:59:00,-0.00011,0.00095,-0.00434,-0.00011,0.00095,-0.00434
LTNA00ITA,EURA14,2012-06-19 11:59:00,0.00028,0.00048,0.00103,0.00028,0.00048,0.00103
LTNA00ITA,EURA14,2012-06-20 11:59:00,0.0002,0.00092,0.00361,0.0002,0.00092,0.00361
LTNA00ITA,EURA14,2012-06-21 11:59:00,0.00105,-0.00039,0.0079,0.00105,-0.00039,0.0079
LTNA00ITA,EURA14,2012-06-22 11:59:00,0.00012,-0.00021,0.00532,0.00012,-0.00021,0.00532
LTNA00ITA,EURA14,2012-06-23 11:59:00,0.00135,0.00121,-0.0031,0.00135,0.00121,-0.0031
LTNA00ITA,EURA14,2012-06-24 11:59:00,0.00183,1e-05,0.0041,0.00183,1e-05,0.0041
LTNA00ITA,EURA14,2012-06-25 11:59:00,0.00064,0.00145,0.00343,0.00064,0.00145,0.00343
LTNA00ITA,EURA14,2012-06-26 11:59:00,0.00185,0.00129,0.0044,0.00185,0.00129,0.0044
LTNA00ITA,EURA14,2012-06-27 11:59:00,0.00114,0.00106,0.00253,0.00114,0.00106,0.00253
LTNA00ITA,EURA14,2012-06-28 11:59:00,0.00196,-0.00075,0.0003,0.00196,-0.00075,0.0003
LTNA00ITA,EURA14,2012-06-29 11:59:00,-0.00019,-5e-05,-0.00583,-0.00019,-5e-05,-0.00583
LTNA00ITA,EURA14,2012-06-30 11:59:00,0.00029,-0.00056,0.00183,0.00029,-0.00056,0.00183
LTNA00ITA,EURA14,2012-07-01 11:59:00,0.00148,0.00081,-0.00094,0.00148,0.00081,-0.00094
LTNA00ITA,EURA14,2012-07-02 11:59:00,0.00191,0.00044,-0.00139,0.00191,0.00044,-0.00139
LTNA00ITA,EURA14,2012-07-03 11:59:00,0.00014,0.00075,-0.00107,0.00014,0.00075,-0.00107
LTNA00ITA,EURA14,2012-07-04 11:59:00,0.00097,0.0009,0.00326,0.00097,0.0009,0.00326
LTNA00ITA,EURA14,2012-07-05 11:59:00,0.00148,-0.00024,0.00157,0.00148,-0.00024,0.00157
LTNA00ITA,EURA14,2012-07-06 11:59:00,0.00176,-0.00024,0.00344,0.00176,-0.00024,0.00344
LTNA00ITA,EURA14,2012-07-07 11:59:00,0.00133,0.00133,-0.0045,0.00133,0.00133,-0.0045
LTNA00ITA,EURA14,2012-07-08 11:59:00,-0.00054,0.00048,-0.00548,-0.00054,0.00048,-0.00548
LTNA00ITA,EURA14,2012-07-09 11:59:00,-0.00044,0.0003,0.00594,-0.00044,0.0003,0.00594
LTNA00ITA,EURA14,2012-07-10 11:59:00,0.00165,0.00075,-0.00073,0.00165,0.00075,-0.00073
LTNA00ITA,EURA14,2012-07-11 11:59:00,0.00061,0.00041,-0.00814,0.00061,0.00041,-0.00814
LTNA00ITA,EURA14,2012-07-12 11:59:00,0.00064,0.00058,0.00298,0.00064,0.00058,0.00298
LTNA00ITA,EURA14,2012-07-13 11:59:00,0.00028,0.00016,-0.00063,0.00028,0.00016,-0.00063
LTNA00ITA,EURA14,2012-07-14 11:59:00,0.00045,0.0,0.00193,0.00045,0.0,0.00193
LTNA00ITA,EURA14,2012-07-15 11:59:00,0.00037,-0.00032,0.00177,0.00037,-0.00032,0.00177
LTNA00ITA,EURA14,2012-07-16 11:59:00,0.00026,0.00014,0.00068,0.00026,0.00014,0.00068
LTNA00ITA,EURA14,2012-07-17 11:59:00,-0.00065,0.00098,0.00224,-0.00065,0.00098,0.00224
LTNA00ITA,EURA14,2012-07-18 11:59:00,0.0005,-0.00038,0.00372,0.0005,-0.00038,0.00372
LTNA00ITA,EURA14,2012-07-19 11:59:00,0.00023,-0.00047,-0.00066,0.00023,-0.00047,-0.00066
LTNA00ITA,EURA14,2012-07-20 11:59:00,-0.00046,0.00023,0.0048,-0.00046,0.00023,0.0048
LTNA00ITA,EURA14,2012-09-18 11:59:00,-0.00126,-0.00154,-0.02244,-0.0014066818222829144,0.0013211473148687736,-0.001697327497872804
LTNA00ITA,EURA14,2012-09-19 11:59:00,-0.00313,-0.0003,-0.0117,-0.003276681822282914,0.0025611473148687736,0.009042672502127197
LTNA00ITA,EURA14,2012-09-20 11:59:00,-0.0014,-0.00198,-0.02138,-0.0015466818222829143,0.0008811473148687735,-0.000637327497872802
LTNA00ITA,EURA14,2012-09-21 11:59:00,-0.00013,-0.00148,-0.02403,-0.0002766818222829143,0.0013811473148687735,-0.0032873274978728016
LTNA00ITA,EURA14,2012-09-22 11:59:00,-0.0016,-0.00149,-0.02219,-0.0017466818222829144,0.0013711473148687735,-0.0014473274978728037
LTNA00ITA,EURA14,2012-09-23 11:59:00,-0.00081,-0.00121,-0.02089,-0.0009566818222829143,0.0016511473148687736,-0.0001473274978728012
LTNA00ITA,EURA14,2012-09-24 11:59:00,-0.00047,-0.00273,-0.02636,-0.0006166818222829143,0.0001311473148687737,-0.005617327497872804
LTNA00ITA,EURA14,2012-09-25 11:59:00,-6e-05,-0.00071,-0.02209,-0.00020668182228291432,0.0021511473148687734,-0.0013473274978728009
LTNA00ITA,EURA14,2012-09-26 11:59:00,0.00049,-0.00204,-0.02028,0.00034331817771708563,0.0008211473148687734,0.00046267250212719824
LTNA00ITA,EURA14,2012-09-27 11:59:00,0.00038,-0.00244,-0.02614,0.0002333181777170857,0.0004211473148687736,-0.005397327497872802
LTNA00ITA,EURA14,2012-09-28 11:59:00,-0.00033,-0.00143,-0.01839,-0.00047668182228291435,0.0014311473148687734,0.0023526725021271976
LTNA00ITA,EURA14,2012-09-29 11:59:00,0.00023,-0.00069,-0.01912,8.331817771708568e-05,0.0021711473148687734,0.001622672502127196
LTNA00ITA,EURA14,2012-09-30 11:59:00,-0.00044,-0.00227,-0.01794,-0.0005866818222829143,0.0005911473148687736,0.0028026725021271966
LTNA00ITA,EURA14,2012-10-01 11:59:00,-0.00015,-0.0018,-0.021,-0.0002966818222829143,0.0010611473148687735,-0.00025732749787280365
LTNA00ITA,EURA14,2012-10-02 11:59:00,-9e-05,-0.00184,-0.02417,-0.00023668182228291432,0.0010211473148687734,-0.003427327497872803
LTNA00ITA,EURA14,2012-10-03 11:59:00,-0.00018,-0.00109,-0.02307,-0.00032668182228291434,0.0017711473148687735,-0.0023273274978728026
LTNA00ITA,EURA14,2012-10-04 11:59:00,-0.00066,-0.00129,-0.01977,-0.0008066818222829143,0.0015711473148687736,0.0009726725021271983
LTNA00ITA,EURA14,2012-10-05 11:59:00,0.00021,-0.00161,-0.02394,6.331817771708568e-05,0.0012511473148687734,-0.003197327497872802
LTNA00ITA,EURA14,2012-10-06 11:59:00,-0.00048,-0.00156,-0.02211,-0.0006266818222829143,0.0013011473148687735,-0.0013673274978728035
LTNA00ITA,EURA14,2012-10-07 11:59:00,0.00016,-0.00193,-0.01564,1.3318177717085687e-05,0.0009311473148687734,0.0051026725021271965
LTNA00ITA,EURA14,2012-10-08 11:59:00,-0.00034,-0.0009,-0.02284,-0.0004866818222829144,0.0019611473148687733,-0.0020973274978728015
LTNA00ITA,EURA14,2012-10-09 11:59:00,0.00118,-0.00028,-0.01279,0.0010333181777170857,0.0025811473148687736,0.007952672502127198
LTNA00ITA,EURA14,2012-10-10 11:59:00,-0.00116,-0.00073,-0.01859,-0.0013066818222829144,0.0021311473148687733,0.0021526725021271988
LTNA00ITA,EURA14,2012-10-11 11:59:00,-0.0001,-0.001,-0.01558,-0.00024668182228291434,0.0018611473148687735,0.0051626725021271976
LTNA00ITA,EURA14,2012-10-12 11:59:00,-0.00079,-0.00126,-0.02688,-0.0009366818222829144,0.0016011473148687734,-0.0061373274978728035
LTNA00ITA,EURA14,2012-10-13 11:59:00,-0.00131,-0.00219,-0.01835,-0.0014566818222829143,0.0006711473148687734,0.002392672502127196
LTNA00ITA,EURA14,2012-10-14 11:59:00,0.00039,-0.00165,-0.01509,0.00024331817771708567,0.0012111473148687735,0.005652672502127198
LTNA00ITA,EURA14,2012-10-15 11:59:00,0.00077,-0.00034,-0.01435,0.0006233181777170856,0.0025211473148687735,0.006392672502127198
LTNA00ITA,EURA14,2012-10-16 11:59:00,-0.00104,-0.0015,-0.02307,-0.0011866818222829143,0.0013611473148687735,-0.0023273274978728026
LTNA00ITA,EURA14,2012-10-17 11:59:00,0.00066,-0.00108,-0.02298,0.0005133181777170856,0.0017811473148687735,-0.0022373274978728028
LTNA00ITA,EURA14,2012-10-18 11:59:00,0.00028,-0.00035,-0.02354,0.00013331817771708565,0.0025111473148687734,-0.0027973274978728008
LTNA00ITA,EURA14,2012-10-19 11:59:00,-0.00049,-0.00094,-0.0231,-0.0006366818222829143,0.0019211473148687736,-0.0023573274978728014
LTNA00ITA,EURA14,2012-10-20 11:59:00,0.00089,-0.0006,-0.02327,0.0007433181777170856,0.0022611473148687737,-0.0025273274978728014
LTNA00ITA,EURA14,2012-10-21 11:59:00,-0.00077,0.00028,-0.02242,-0.0009166818222829143,0.0031411473148687734,-0.0016773274978728013
LTNA00ITA,EURA14,2012-10-22 11:59:00,-0.00032,-0.00014,-0.018,-0.0004666818222829143,0.0027211473148687736,0.002742672502127199
LTNA00ITA,EURA14,2012-10-23 11:59:00,0.00049,0.00062,-0.02598,0.00034331817771708563,0.0034811473148687734,-0.005237327497872802
LTNA00ITA,EURA14,2012-10-24 11:59:00,0.00132,0.0016,-0.02412,0.0011733181777170856,0.004461147314868774,-0.0033773274978728014
LTNA00ITA,EURA14,2012-10-25 11:59:00,-0.00132,-0.00157,-0.02163,-0.0014666818222829143,0.0012911473148687735,-0.0008873274978728023
LTNA00ITA,EURA14,2012-10-26 11:59:00,-0.00151,-0.00253,-0.02098,-0.0016566818222829144,0.00033114731486877337,-0.000237327497872801
LTNA00ITA,EURA14,2012-10-27 11:59:00,-0.00302,-0.00205,-0.00755,-0.0031666818222829143,0.0008111473148687733,0.013192672502127196
LTNA00ITA,EURA14,2012-10-28 11:59:00,-0.00106,-0.0019,-0.00991,-0.0012066818222829143,0.0009611473148687735,0.010832672502127197
LTNA00ITA,EURA14,2012-10-29 11:59:00,-0.00074,-0.00033,-0.01973,-0.0008866818222829143,0.0025311473148687735,0.0010126725021271966
LTNA00ITA,EURA14,2012-10-30 11:59:00,-0.00028,-0.00056,-0.0214,-0.00042668182228291433,0.0023011473148687733,-0.0006573274978728012
LTNA00ITA,EURA14,2012-10-31 11:59:00,-0.00138,-0.0022,-0.0164,-0.0015266818222829143,0.0006611473148687734,0.004342672502127196
LTNA00ITA,EURA14,2012-11-01 11:59:00,-0.00214,-0.00138,-0.02003,-0.002286681822282914,0.0014811473148687736,0.0007126725021271985
LTNA00ITA,EURA14,2012-11-02 11:59:00,-0.00066,-0.00104,-0.02313,-0.0008066818222829143,0.0018211473148687736,-0.0023873274978728036
LTNA00ITA,EURA14,2012-11-03 11:59:00,-0.0017,-0.00055,-0.02496,-0.0018466818222829143,0.0023111473148687734,-0.004217327497872802
LTNA00ITA,EURA14,2012-11-04 11:59:00,-0.00138,-0.00023,-0.02568,-0.0015266818222829143,0.0026311473148687733,-0.004937327497872804
LTNA00ITA,EURA14,2012-11-05 11:59:00,-0.00173,-0.0011,-0.02632,-0.0018766818222829143,0.0017611473148687734,-0.005577327497872802
LTNA00ITA,EURA14,2012-11-06 11:59:00,-0.0015,-0.00074,-0.02117,-0.0016466818222829144,0.0021211473148687737,-0.00042732749787280366
LTNA00ITA,EURA14,2012-11-07 11:59:00,-0.00058,0.00079,-0.0277,-0.0007266818222829144,0.0036511473148687734,-0.006957327497872801
LTNA00ITA,EURA14,2012-11-08 11:59:00,-0.0014,-0.00078,-0.02462,-0.0015466818222829143,0.0020811473148687736,-0.003877327497872802
LTNA00ITA,EURA14,2012-11-09 11:59:00,-0.00214,0.00026,-0.02187,-0.002286681822282914,0.0031211473148687733,-0.001127327497872803
LTNA00ITA,EURA14,2012-11-10 11:59:00,-0.00111,-0.00096,-0.01975,-0.0012566818222829144,0.0019011473148687736,0.0009926725021271975
LTNA00ITA,EURA14,2012-11-11 11:59:00,-0.00177,-0.00015,-0.01429,-0.0019166818222829144,0.0027111473148687735,0.006452672502127197
LTNA00ITA,EURA14,2012-11-12 11:59:00,-0.00091,0.00025,-0.02174,-0.0010566818222829144,0.0031111473148687733,-0.0009973274978728013
LTNA00ITA,EURA14,2012-11-13 11:59:00,-0.00091,-0.00021,-0.02584,-0.0010566818222829144,0.0026511473148687734,-0.005097327497872801
LTNA00ITA,EURA14,2012-11-14 11:59:00,-0.00137,0.00088,-0.02157,-0.0015166818222829143,0.0037411473148687736,-0.0008273274978728012
LTNA00ITA,EURA14,2012-11-15 11:59:00,-0.001,0.00016,-0.02319,-0.0011466818222829144,0.0030211473148687735,-0.002447327497872801
LTNA00ITA,EURA14,2012-11-16 11:59:00,-0.00183,2e-05,-0.02163,-0.001976681822282914,0.0028811473148687736,-0.0008873274978728023
LTNA00ITA,EURA14,2012-11-17 11:59:00,-0.00083,-0.00032,-0.01914,-0.0009766818222829144,0.0025411473148687735,0.0016026725021271969
