marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
MARI00ITA,EURA14,2012-01-20 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
MARI00ITA,EURA14,2012-01-21 11:59:00,0.00066,0.00015,0.00573,0.00066,0.00015,0.00573
MARI00ITA,EURA14,2012-01-22 11:59:00,0.00087,-0.00124,0.00396,0.00087,-0.00124,0.00396
MARI00ITA,EURA14,2012-01-23 11:59:00,0.00012,-0.00158,0.00236,0.00012,-0.00158,0.00236
MARI00ITA,EURA14,2012-01-24 11:59:00,0.0001,-0.00066,0.00118,0.0001,-0.00066,0.00118
MARI00ITA,EURA14,2012-01-25 11:59:00,0.00044,-0.00042,-0.00072,0.00044,-0.00042,-0.00072
MARI00ITA,EURA14,2012-01-26 11:59:00,0.00054,-0.00059,-0.00106,0.00054,-0.00059,-0.00106
MARI00ITA,EURA14,2012-01-27 11:59:00,0.000655,-0.000575,-0.0017299999999999998,0.000655,-0.000575,-0.0017299999999999998
MARI00ITA,EURA14,2012-01-28 11:59:00,0.00077,-0.00056,-0.0024,0.00077,-0.00056,-0.0024
MARI00ITA,EURA14,2012-01-29 11:59:00,0.00112,-0.00084,-0.00014,0.00112,-0.00084,-0.00014
MARI00ITA,EURA14,2012-01-30 11:59:00,0.0007,-0.00019,0.00198,0.0007,-0.00019,0.00198
MARI00ITA,EURA14,2012-01-31 11:59:00,0.00043,-0.00121,0.00263,0.00043,-0.00121,0.00263
MARI00ITA,EURA14,2012-02-01 11:59:00,-0.00027,0.0,-0.00174,-0.00027,0.0,-0.00174
MARI00ITA,EURA14,2012-02-02 11:59:00,0.00126,-0.00068,0.00253,0.00126,-0.00068,0.00253
MARI00ITA,EURA14,2012-02-03 11:59:00,0.00047,-0.00111,0.00302,0.00047,-0.00111,0.00302
MARI00ITA,EURA14,2012-02-04 11:59:00,0.0013,-0.00092,-0.00058,0.0013,-0.00092,-0.00058
MARI00ITA,EURA14,2012-02-05 11:59:00,0.00095,-0.00078,-0.0015,0.00095,-0.00078,-0.0015
MARI00ITA,EURA14,2012-02-06 11:59:00,0.00122,7e-05,0.00213,0.00122,7e-05,0.00213
MARI00ITA,EURA14,2012-02-07 11:59:00,0.00093,-0.00068,0.00869,0.00093,-0.00068,0.00869
MARI00ITA,EURA14,2012-02-08 11:59:00,0.0013,-0.00083,0.00301,0.0013,-0.00083,0.00301
MARI00ITA,EURA14,2012-02-09 11:59:00,0.00162,-0.00066,0.00027,0.00162,-0.00066,0.00027
MARI00ITA,EURA14,2012-02-10 11:59:00,-0.00645,-0.00196,-0.00172,-0.00645,-0.00196,-0.00172
MARI00ITA,EURA14,2012-02-11 11:59:00,-0.00106,-0.002,0.00076,-0.00106,-0.002,0.00076
MARI00ITA,EURA14,2012-02-12 11:59:00,0.00149,-0.00107,0.00071,0.00149,-0.00107,0.00071
MARI00ITA,EURA14,2012-02-13 11:59:00,0.00114,-0.00138,0.00024,0.00114,-0.00138,0.00024
MARI00ITA,EURA14,2012-02-14 11:59:00,0.00029,-0.00122,0.0013,0.00029,-0.00122,0.0013
MARI00ITA,EURA14,2012-02-15 11:59:00,0.00141,-0.00152,-0.00121,0.00141,-0.00152,-0.00121
MARI00ITA,EURA14,2012-02-16 11:59:00,-0.00051,-0.00042,0.0011,-0.00051,-0.00042,0.0011
MARI00ITA,EURA14,2012-02-17 11:59:00,0.00103,-0.00129,-0.00162,0.00103,-0.00129,-0.00162
MARI00ITA,EURA14,2012-02-18 11:59:00,0.00046,-0.00201,-0.00065,0.00046,-0.00201,-0.00065
MARI00ITA,EURA14,2012-02-19 11:59:00,7e-05,-0.0024,0.00493,7e-05,-0.0024,0.00493
MARI00ITA,EURA14,2012-02-20 11:59:00,0.00045,-0.00277,0.00097,0.00045,-0.00277,0.00097
MARI00ITA,EURA14,2012-02-21 11:59:00,0.00014,-0.00092,-0.00034,0.00014,-0.00092,-0.00034
MARI00ITA,EURA14,2012-02-22 11:59:00,0.00029,-0.00067,0.00253,0.00029,-0.00067,0.00253
MARI00ITA,EURA14,2012-02-23 11:59:00,0.00082,-0.00144,0.00115,0.00082,-0.00144,0.00115
MARI00ITA,EURA14,2012-02-24 11:59:00,0.00082,-0.00208,-0.00025,0.00082,-0.00208,-0.00025
MARI00ITA,EURA14,2012-02-25 11:59:00,-0.00088,-0.00212,-0.00059,-0.00088,-0.00212,-0.00059
MARI00ITA,EURA14,2012-02-26 11:59:00,0.00066,-0.00162,0.00347,0.00066,-0.00162,0.00347
MARI00ITA,EURA14,2012-02-27 11:59:00,-0.00053,-0.00108,0.00039,-0.00053,-0.00108,0.00039
MARI00ITA,EURA14,2012-02-28 11:59:00,-0.00059,-0.00257,-0.00046,-0.00059,-0.00257,-0.00046
MARI00ITA,EURA14,2012-02-29 11:59:00,-0.0001,-0.002,0.00017,-0.0001,-0.002,0.00017
MARI00ITA,EURA14,2012-03-01 11:59:00,0.000335,-0.0020150000000000003,0.00019,0.000335,-0.0020150000000000003,0.00019
MARI00ITA,EURA14,2012-03-02 11:59:00,0.00077,-0.00203,0.00021,0.00077,-0.00203,0.00021
MARI00ITA,EURA14,2012-03-03 11:59:00,-0.00057,-0.00196,0.00146,-0.00057,-0.00196,0.00146
MARI00ITA,EURA14,2012-03-04 11:59:00,-0.00043,-0.00174,4e-05,-0.00043,-0.00174,4e-05
MARI00ITA,EURA14,2012-03-05 11:59:00,0.0001,-0.00195,0.0037,0.0001,-0.00195,0.0037
MARI00ITA,EURA14,2012-03-06 11:59:00,0.00024,-0.0025,0.00543,0.00024,-0.0025,0.00543
MARI00ITA,EURA14,2012-03-07 11:59:00,0.0006,-0.00218,0.00062,0.0006,-0.00218,0.00062
MARI00ITA,EURA14,2012-03-08 11:59:00,0.00047,-0.00187,0.00316,0.00047,-0.00187,0.00316
MARI00ITA,EURA14,2012-03-09 11:59:00,0.00121,-0.00117,0.00362,0.00121,-0.00117,0.00362
MARI00ITA,EURA14,2012-03-10 11:59:00,0.0009,-0.0021,0.00271,0.0009,-0.0021,0.00271
MARI00ITA,EURA14,2012-03-11 11:59:00,4e-05,-0.00133,0.00369,4e-05,-0.00133,0.00369
MARI00ITA,EURA14,2012-03-12 11:59:00,0.00094,-1e-05,0.00519,0.00094,-1e-05,0.00519
MARI00ITA,EURA14,2012-03-13 11:59:00,0.00046,-0.00381,-0.00165,0.00046,-0.00381,-0.00165
MARI00ITA,EURA14,2012-03-14 11:59:00,0.00049,-0.00173,-0.00276,0.00049,-0.00173,-0.00276
MARI00ITA,EURA14,2012-03-15 11:59:00,0.00015,-0.00115,-0.00343,0.00015,-0.00115,-0.00343
MARI00ITA,EURA14,2012-03-16 11:59:00,0.00018,-0.00181,-0.00513,0.00018,-0.00181,-0.00513
MARI00ITA,EURA14,2012-03-17 11:59:00,0.00096,-0.00286,-0.00468,0.00096,-0.00286,-0.00468
MARI00ITA,EURA14,2012-03-18 11:59:00,-0.00071,-0.00271,-0.00142,-0.00071,-0.00271,-0.00142
MARI00ITA,EURA14,2012-03-19 11:59:00,-0.00011,-0.00217,0.00341,-0.00011,-0.00217,0.00341
MARI00ITA,EURA14,2012-03-20 11:59:00,0.00242,-0.00174,0.00231,0.00242,-0.00174,0.00231
MARI00ITA,EURA14,2012-03-21 11:59:00,0.00054,-0.00154,0.00068,0.00054,-0.00154,0.00068
MARI00ITA,EURA14,2012-03-22 11:59:00,0.00059,-0.00227,-0.00191,0.00059,-0.00227,-0.00191
MARI00ITA,EURA14,2012-03-23 11:59:00,0.00125,-0.0024,0.00079,0.00125,-0.0024,0.00079
MARI00ITA,EURA14,2012-03-24 11:59:00,0.001,-0.00153,0.0032,0.001,-0.00153,0.0032
MARI00ITA,EURA14,2012-03-25 11:59:00,0.00061,-0.00172,0.00385,0.00061,-0.00172,0.00385
MARI00ITA,EURA14,2012-03-26 11:59:00,0.0002,-0.00192,0.0053,0.0002,-0.00192,0.0053
MARI00ITA,EURA14,2012-03-27 11:59:00,-0.00031,-0.0028,0.00172,-0.00031,-0.0028,0.00172
MARI00ITA,EURA14,2012-03-28 11:59:00,-0.00053,-0.00245,7e-05,-0.00053,-0.00245,7e-05
MARI00ITA,EURA14,2012-03-29 11:59:00,-0.00055,-0.0023,0.00191,-0.00055,-0.0023,0.00191
MARI00ITA,EURA14,2012-03-30 11:59:00,0.00064,-0.002,0.00204,0.00064,-0.002,0.00204
MARI00ITA,EURA14,2012-03-31 11:59:00,4e-05,-0.00276,0.00747,4e-05,-0.00276,0.00747
MARI00ITA,EURA14,2012-04-01 11:59:00,0.00098,-0.00238,0.00088,0.00098,-0.00238,0.00088
MARI00ITA,EURA14,2012-04-02 11:59:00,9e-05,-0.00254,0.00375,9e-05,-0.00254,0.00375
MARI00ITA,EURA14,2012-04-03 11:59:00,0.00101,-0.0027,0.00161,0.00101,-0.0027,0.00161
MARI00ITA,EURA14,2012-04-04 11:59:00,0.00094,-0.00345,0.00255,0.00094,-0.00345,0.00255
MARI00ITA,EURA14,2012-04-05 11:59:00,0.000925,-0.002635,0.0015,0.000925,-0.002635,0.0015
MARI00ITA,EURA14,2012-04-06 11:59:00,0.00091,-0.00182,0.00045,0.00091,-0.00182,0.00045
MARI00ITA,EURA14,2012-04-07 11:59:00,0.00159,-0.00282,0.00088,0.00159,-0.00282,0.00088
MARI00ITA,EURA14,2012-04-08 11:59:00,-0.00028,-0.00157,-0.00349,-0.00028,-0.00157,-0.00349
MARI00ITA,EURA14,2012-04-09 11:59:00,0.00127,-0.00329,0.0014,0.00127,-0.00329,0.0014
MARI00ITA,EURA14,2012-04-10 11:59:00,0.0,-0.00232,-0.00038,0.0,-0.00232,-0.00038
MARI00ITA,EURA14,2012-04-11 11:59:00,0.00337,-0.00365,0.00442,0.00337,-0.00365,0.00442
MARI00ITA,EURA14,2012-04-12 11:59:00,0.00138,-0.00182,-0.00203,0.00138,-0.00182,-0.00203
MARI00ITA,EURA14,2012-04-13 11:59:00,0.00208,-0.00189,0.00029,0.00208,-0.00189,0.00029
MARI00ITA,EURA14,2012-04-14 11:59:00,0.00224,-0.00146,0.00568,0.00224,-0.00146,0.00568
MARI00ITA,EURA14,2012-04-15 11:59:00,0.00235,-0.0023,0.00251,0.00235,-0.0023,0.00251
MARI00ITA,EURA14,2012-04-16 11:59:00,0.00087,-0.00185,0.00369,0.00087,-0.00185,0.00369
MARI00ITA,EURA14,2012-04-17 11:59:00,0.00206,-0.00168,-0.00337,0.00206,-0.00168,-0.00337
MARI00ITA,EURA14,2012-04-18 11:59:00,0.00118,-0.00105,-0.00116,0.00118,-0.00105,-0.00116
MARI00ITA,EURA14,2012-04-19 11:59:00,0.00053,-0.00282,0.00212,0.00053,-0.00282,0.00212
MARI00ITA,EURA14,2012-04-20 11:59:00,0.00236,-0.00298,0.00479,0.00236,-0.00298,0.00479
MARI00ITA,EURA14,2012-04-21 11:59:00,0.00115,-0.00299,0.00342,0.00115,-0.00299,0.00342
