marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
MTRA00ITA,EURA14,2006-06-12 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
MTRA00ITA,EURA14,2006-06-13 11:59:00,0.02505,-0.0082,-0.02204,0.02505,-0.0082,-0.02204
MTRA00ITA,EURA14,2006-06-14 11:59:00,0.02013,-0.00916,-0.02578,0.02013,-0.00916,-0.02578
MTRA00ITA,EURA14,2006-06-22 11:59:00,0.02241,-0.00437,-0.02314,0.02241,-0.00437,-0.02314
MTRA00ITA,EURA14,2006-06-23 11:59:00,0.01966,-0.00769,-0.02588,0.01966,-0.00769,-0.02588
MTRA00ITA,EURA14,2006-06-24 11:59:00,0.02432,-0.00768,-0.02174,0.02432,-0.00768,-0.02174
MTRA00ITA,EURA14,2006-06-25 11:59:00,0.02382,-0.00688,-0.01981,0.02382,-0.00688,-0.01981
MTRA00ITA,EURA14,2006-06-26 11:59:00,0.02307,-0.00787,-0.02341,0.02307,-0.00787,-0.02341
MTRA00ITA,EURA14,2006-06-27 11:59:00,0.02262,-0.00657,-0.02208,0.02262,-0.00657,-0.02208
MTRA00ITA,EURA14,2006-06-28 11:59:00,0.02232,-0.00464,-0.03637,0.02232,-0.00464,-0.03637
MTRA00ITA,EURA14,2006-06-29 11:59:00,0.02358,-0.00383,-0.03448,0.02358,-0.00383,-0.03448
MTRA00ITA,EURA14,2006-06-30 11:59:00,0.02391,-0.00656,-0.03487,0.02391,-0.00656,-0.03487
MTRA00ITA,EURA14,2006-07-01 11:59:00,0.02384,-0.00623,-0.03689,0.02384,-0.00623,-0.03689
MTRA00ITA,EURA14,2006-07-02 11:59:00,0.0244,-0.00517,-0.02601,0.0244,-0.00517,-0.02601
MTRA00ITA,EURA14,2006-07-03 11:59:00,0.02374,-0.00451,-0.03065,0.02374,-0.00451,-0.03065
MTRA00ITA,EURA14,2006-07-04 11:59:00,0.02254,-0.00533,-0.02789,0.02254,-0.00533,-0.02789
MTRA00ITA,EURA14,2006-07-05 11:59:00,0.02362,-0.00533,-0.03424,0.02362,-0.00533,-0.03424
MTRA00ITA,EURA14,2006-07-06 11:59:00,0.0237,-0.00714,-0.02729,0.0237,-0.00714,-0.02729
MTRA00ITA,EURA14,2006-07-07 11:59:00,0.02068,-0.0063,-0.02755,0.02068,-0.0063,-0.02755
MTRA00ITA,EURA14,2006-07-08 11:59:00,0.02319,-0.00734,-0.02849,0.02319,-0.00734,-0.02849
MTRA00ITA,EURA14,2006-07-09 11:59:00,0.02242,-0.00578,-0.03407,0.02242,-0.00578,-0.03407
MTRA00ITA,EURA14,2006-07-10 11:59:00,0.02722,-0.00664,-0.01576,0.02722,-0.00664,-0.01576
MTRA00ITA,EURA14,2006-07-11 11:59:00,0.019,-0.00736,-0.02837,0.019,-0.00736,-0.02837
