marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
PG0100ITA,EURA14,2006-10-08 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
PG0100ITA,EURA14,2006-10-09 11:59:00,-0.00037,-0.000225,-0.000435,-0.00037,-0.000225,-0.000435
PG0100ITA,EURA14,2006-10-10 11:59:00,-0.00074,-0.00045,-0.00087,-0.00074,-0.00045,-0.00087
PG0100ITA,EURA14,2006-10-11 11:59:00,-0.00417,-0.00464,0.00473,-0.00417,-0.00464,0.00473
PG0100ITA,EURA14,2006-10-12 11:59:00,-0.0052,-0.00289,0.00298,-0.0052,-0.00289,0.00298
PG0100ITA,EURA14,2006-10-13 11:59:00,-0.00155,-0.00095,0.00379,-0.00155,-0.00095,0.00379
PG0100ITA,EURA14,2006-10-14 11:59:00,-0.0022,0.00323,-0.00059,-0.0022,0.00323,-0.00059
PG0100ITA,EURA14,2006-10-15 11:59:00,-0.00431,-0.00071,0.00102,-0.00431,-0.00071,0.00102
PG0100ITA,EURA14,2006-10-16 11:59:00,-0.00139,-0.0015,0.01278,-0.00139,-0.0015,0.01278
PG0100ITA,EURA14,2006-10-17 11:59:00,-0.0041,-0.00241,0.00608,-0.0041,-0.00241,0.00608
PG0100ITA,EURA14,2006-10-18 11:59:00,-0.0044,-0.00311,-0.00311,-0.0044,-0.00311,-0.00311
PG0100ITA,EURA14,2006-10-19 11:59:00,-0.00519,-0.00283,-0.00054,-0.00519,-0.00283,-0.00054
PG0100ITA,EURA14,2006-10-20 11:59:00,-0.004295,-0.00219,0.001925,-0.004295,-0.00219,0.001925
PG0100ITA,EURA14,2006-10-21 11:59:00,-0.0034,-0.00155,0.00439,-0.0034,-0.00155,0.00439
PG0100ITA,EURA14,2006-10-22 11:59:00,-0.00365,-0.00354,0.00194,-0.00365,-0.00354,0.00194
PG0100ITA,EURA14,2006-10-23 11:59:00,-0.0037,-0.00238,0.01166,-0.0037,-0.00238,0.01166
PG0100ITA,EURA14,2006-10-24 11:59:00,-0.00501,-0.0028,-0.0006,-0.00501,-0.0028,-0.0006
PG0100ITA,EURA14,2006-10-25 11:59:00,-0.00465,-0.00198,-0.00396,-0.00465,-0.00198,-0.00396
PG0100ITA,EURA14,2006-10-26 11:59:00,-0.00434,-0.00172,-0.00298,-0.00434,-0.00172,-0.00298
PG0100ITA,EURA14,2006-10-27 11:59:00,-0.00393,-0.00374,-0.00121,-0.00393,-0.00374,-0.00121
PG0100ITA,EURA14,2006-10-28 11:59:00,-0.00404,-0.00236,-0.00158,-0.00404,-0.00236,-0.00158
PG0100ITA,EURA14,2006-10-29 11:59:00,-0.00452,-0.00288,0.00324,-0.00452,-0.00288,0.00324
PG0100ITA,EURA14,2006-11-01 11:59:00,-0.004,-0.00278,0.00885,-0.004,-0.00278,0.00885
PG0100ITA,EURA14,2006-11-02 11:59:00,-0.00457,-0.00185,0.00801,-0.00457,-0.00185,0.00801
PG0100ITA,EURA14,2006-11-03 11:59:00,-0.00313,-0.00211,0.00322,-0.00313,-0.00211,0.00322
PG0100ITA,EURA14,2006-11-04 11:59:00,-0.00512,-0.0024,0.00703,-0.00512,-0.0024,0.00703
